batch,state,n,rmse,mae
LAB004,X,12,0.4618268378388827,0.40249157613094927
LAB004,Xd,12,0.15380031556850468,0.06123034536993959
LAB004,N,13,0.03987819441629678,0.02981146685673539
LAB004,G,13,4.694579847478817,3.254659718318432
LAB004,F,13,6.062469183082699,4.497198104304185
LAB004,E,5,6.64173083352867,5.415738189380717
LAB004,Gly,13,0.44113762659464495,0.36415187589432946
LAB005,X,12,0.3944346342652982,0.3653962352141979
LAB005,Xd,12,0.17862135100895102,0.06699310959729986
LAB005,N,13,0.05380383756515052,0.037861650024430864
LAB005,G,13,4.408719243155836,2.6832970965707617
LAB005,F,13,4.662686745932488,3.941426016409518
LAB005,E,5,3.3436432704874925,2.4381794653320013
LAB005,Gly,13,1.7702762043361935,0.7057621272490222
LAB006,X,14,0.6948589334097965,0.5454997601849636
LAB006,Xd,14,0.13962508995806527,0.059870588659524875
LAB006,N,15,0.030125853907149905,0.024597203077774486
LAB006,G,15,13.665064080651288,11.48942579079938
LAB006,F,15,11.680526924683381,9.596045704231075
LAB006,E,5,15.112278398751698,11.399822155913837
LAB006,Gly,15,0.800133085750108,0.7115673234602834
LAB007,X,13,0.3103109907215641,0.25819605486684816
LAB007,Xd,13,0.08871577081172827,0.03139757308501469
LAB007,N,13,0.029911478621206595,0.023718973144868
LAB007,G,13,4.9540369526815455,3.795740021218665
LAB007,F,13,6.188667443588104,4.4981624392268325
LAB007,E,6,6.152698020531717,4.375323253955176
LAB007,Gly,13,0.46390989206489636,0.3494213453280451
LAB008,X,13,0.4121269886533009,0.34636331142933857
LAB008,Xd,13,0.08510998232386649,0.030547467408055327
LAB008,N,13,0.024623453215997404,0.019771488543216757
LAB008,G,13,4.85943670228584,3.823503594955736
LAB008,F,13,6.315648579426776,4.626388839960333
LAB008,E,6,7.7640215895,6.399975267460021
LAB008,Gly,13,0.47649440185271347,0.35555192459767215
LAB009,X,12,0.4640124205239872,0.3191917578722235
LAB009,Xd,12,0.020944489736983887,0.014574179258810016
LAB009,N,12,0.03637910754758123,0.026152436392770064
LAB009,G,12,4.449255585186599,3.1129689738554482
LAB009,F,12,4.48857269752044,3.1309239131342994
LAB009,E,5,5.020711343018394,3.35731210150024
LAB009,Gly,12,0.6461004369115797,0.4743418011025606
LAB010,X,9,0.8538689806643929,0.7579178435328343
LAB010,Xd,9,0.10162325033830198,0.0948657380775703
LAB010,N,4,0.0768840432079375,0.046904999999999995
LAB010,G,4,23.448357541573586,11.861271537875892
LAB010,F,4,25.40981607135965,16.68221126258575
LAB010,E,4,18.949392312189268,10.940248282243937
LAB010,Gly,4,1.8654037614554289,1.30215875621317
LAB011,X,7,0.791375679826197,0.6870239415868464
LAB011,Xd,7,0.04812959915523162,0.039472220116626225
LAB011,N,4,0.12688513498644072,0.09170275972149232
LAB011,G,4,23.777120592317083,15.576977608851568
LAB011,F,4,27.939289803777918,18.80382793069067
LAB011,E,4,19.99050815745373,13.635999934420795
LAB011,Gly,4,1.8142845504603786,1.3225827068718747
LAB012,X,8,0.6764539534532507,0.5698504994397448
LAB012,Xd,8,0.12032460022274177,0.10978228210813593
LAB012,N,4,0.19209558375975228,0.15929500000000002
LAB012,G,4,26.528859754149067,18.699159615288128
LAB012,F,4,23.53013786624441,16.428812127472845
LAB012,E,4,20.97881476164395,14.962235499769273
LAB012,Gly,4,2.011537850447241,1.5350652925409292
