,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,29341.358553586284,-19768.381772120636,-1874.8488056267777,-1257.0377839223386,15428.702863102491,6312.365283133554,-4190.4654042372285,-14266.79844314437,-24.732457313286925,2299.442945817502,0.23550738962083673,-43.257839375861536,-118.1407984162966,184.88438702134857,172.75570151284595,34.00145730063583,690.1305050180704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qN,-19768.381772120636,21037.894502449668,1870.612496772812,1713.5333816083598,-13495.613031962854,-6036.079635647328,3613.129912452956,11684.44728063496,25.463836050821293,-1447.3455484753758,-0.15194514077608148,-358.9957613604121,-220.2467963044192,120.40352056904919,-2884.9372261534654,304.50518088966663,-623.8750328664096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
betaG0,-1874.8488056267777,1870.612496772812,3382.689692392892,7207.796678034738,-4927.691337830927,-7030.34156842727,-179.33454499378155,1311.8848490164794,6.504734325583463,-840.9605302228898,-0.09166841708173597,-53.72429066071941,-40.77916985216692,35.09070457649467,-350.6903054670146,42.10036555237727,71.56492270002533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
betaF0,-1257.0377839223386,1713.5333816083598,7207.796678034738,17577.489557442732,-7686.190924156813,-17674.60566203709,150.06172363113907,429.32445195021995,24.576904418696767,-535.5829025325042,-0.05753877806255425,-70.96202848265808,-53.68507267868209,46.295234473099796,-460.4996432289316,55.76524244433433,144.47442980491502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qEG,15428.702863102491,-13495.613031962854,-4927.691337830927,-7686.190924156813,26432.664332260847,10526.873491444287,-2260.6066345708396,-12502.311690103157,-1.6763992693655676,-4932.466689738007,-0.6851157622289844,343.52717703300266,238.9031325471486,-195.59547438582595,2398.006901020001,-263.1991147164757,50.48190062073224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qEF,6312.365283133554,-6036.079635647328,-7030.34156842727,-17674.60566203709,10526.873491444287,21271.01378008539,-3238.7246087521326,-4680.2836920937625,-22.51579400048335,19.22858002178349,0.001499913325203046,160.0603511501242,112.05803831846752,-92.76543416501741,1109.6688212001366,-123.02085657394329,-71.48024184932753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iG,-4190.4654042372285,3613.129912452956,-179.33454499378155,150.06172363113907,-2260.6066345708396,-3238.7246087521326,2760.8021803197644,3512.723753639774,-1.184651621613463,490.0380099851956,0.05282924181065193,-88.14560975628895,-57.29917681653094,45.433135521182685,-639.3021341763337,65.77461107551312,-65.46672156565899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iE,-14266.79844314437,11684.44728063496,1311.8848490164794,429.32445195021995,-12502.311690103157,-4680.2836920937625,3512.723753639774,11683.835231578525,-5.920527901123505,-1729.188998631685,-0.18202266755901853,-177.95178600579823,-122.89743261926643,100.65631644620197,-1290.636472562306,140.3100972329447,-124.83591565058907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kd0,-24.732457313286925,25.463836050821293,6.504734325583463,24.576904418696767,-1.6763992693655676,-22.51579400048335,-1.184651621613463,-5.920527901123505,7.3266399627642675,-0.042220852749223395,-6.256184620492601e-06,0.24082269340661844,0.5657899538008857,-0.8022618912918028,-0.03281037594712083,-0.1100983645468857,-3.5583737154336736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gammaG0,2299.442945817502,-1447.3455484753758,-840.9605302228898,-535.5829025325042,-4932.466689738007,19.22858002178349,490.0380099851956,-1729.188998631685,-0.042220852749223395,9109.510907274402,1.123547754800777,-3.3965433666668105e-05,-1.3104767422098617e-05,1.3906404978227274e-05,-0.0002691151921206841,8.214454239194394e-06,1.4674023791896813e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
