batch,timestamp,flow_filt_sccm,is_spike,n_raw_rows,t_h,flow_filt_sccm_physical,co2_offgas_equivalent_g_l_h,co2_observed_increment_g_l,co2_cumulative_observed_lower_bound_g_l,co2_segment,t0,reactor_volume_l
LAB004,2026-04-06 14:40:00,-0.00385,0.0,20,1.6666666666666667,0.0,0.0,0.0,0.0,1,2026-04-06 13:00:00,2.0
LAB004,2026-04-06 14:50:00,0.00375,0.0,58,1.8333333333333333,0.00375,0.0002208943071294726,1.8407858927456034e-05,1.8407858927456034e-05,1,2026-04-06 13:00:00,2.0
LAB004,2026-04-06 15:00:00,0.0244,0.0,59,2.0,0.0244,0.0014372856250557688,0.00013818166101543686,0.0001565895199428929,1,2026-04-06 13:00:00,2.0
LAB004,2026-04-06 15:10:00,0.0433,0.0,59,2.1666666666666665,0.0433,0.0025505929329883107,0.0003323232131703397,0.0004889127331132326,1,2026-04-06 13:00:00,2.0
LAB004,2026-04-06 15:20:00,0.05335,0.0,58,2.3333333333333335,0.05335,0.0031425896760952973,0.0004744318840903015,0.0009633446172035341,1,2026-04-06 13:00:00,2.0
LAB004,2026-04-06 15:30:00,0.0537,0.0,59,2.5,0.0537,0.0031632064780940483,0.0005254830128491117,0.0014888276300526458,1,2026-04-06 13:00:00,2.0
LAB004,2026-04-06 15:40:00,0.0464,0.0,58,2.6666666666666665,0.0464,0.0027331988935486748,0.0004913671143035598,0.0019801947443562054,1,2026-04-06 13:00:00,2.0
LAB004,2026-04-06 15:50:00,0.0351,0.0,59,2.8333333333333335,0.0351,0.0020675707147318634,0.0004000641340233789,0.0023802588783795845,1,2026-04-06 13:00:00,2.0
LAB004,2026-04-06 16:00:00,0.0228,0.0,59,3.0,0.0228,0.0013430373873471936,0.00028421734183992114,0.0026644762202195056,1,2026-04-06 13:00:00,2.0
LAB004,2026-04-06 16:10:00,0.012,0.0,58,3.1666666666666665,0.012,0.0007068617828143124,0.000170824930846792,0.0028353011510662976,1,2026-04-06 13:00:00,2.0
LAB004,2026-04-06 16:20:00,0.0038,0.0,59,3.3333333333333335,0.0038,0.0002238395645578656,7.755844561434831e-05,0.002912859596680646,1,2026-04-06 13:00:00,2.0
LAB004,2026-04-06 16:30:00,-0.0015,0.0,58,3.5,0.0,0.0,1.8653297046488785e-05,0.002931512893727135,1,2026-04-06 13:00:00,2.0
LAB004,2026-04-06 16:40:00,-0.0042,0.0,59,3.6666666666666665,0.0,0.0,0.0,0.002931512893727135,1,2026-04-06 13:00:00,2.0
LAB004,2026-04-06 16:50:00,-0.0048,0.0,58,3.8333333333333335,0.0,0.0,0.0,0.002931512893727135,1,2026-04-06 13:00:00,2.0
LAB004,2026-04-06 17:00:00,-0.0043,0.0,59,4.0,0.0,0.0,0.0,0.002931512893727135,1,2026-04-06 13:00:00,2.0
LAB004,2026-04-06 17:10:00,-0.0031,0.0,59,4.166666666666667,0.0,0.0,0.0,0.002931512893727135,1,2026-04-06 13:00:00,2.0
LAB004,2026-04-06 17:20:00,-0.0017,0.0,58,4.333333333333333,0.0,0.0,0.0,0.002931512893727135,1,2026-04-06 13:00:00,2.0
LAB004,2026-04-06 17:30:00,-0.0005,0.0,59,4.5,0.0,0.0,0.0,0.002931512893727135,1,2026-04-06 13:00:00,2.0
LAB004,2026-04-06 17:40:00,0.0003,0.0,58,4.666666666666667,0.0003,1.767154457035781e-05,1.4726287141964867e-06,0.0029329855224413314,1,2026-04-06 13:00:00,2.0
LAB004,2026-04-06 17:50:00,0.0008,0.0,59,4.833333333333333,0.0008,4.7124118854287494e-05,5.399638618720423e-06,0.002938385161060052,1,2026-04-06 13:00:00,2.0
LAB004,2026-04-06 18:00:00,0.0009,0.0,58,5.0,0.0009,5.301463371107343e-05,8.344896047113425e-06,0.002946730057107165,1,2026-04-06 13:00:00,2.0
LAB004,2026-04-06 18:10:00,0.0008,0.0,59,5.166666666666667,0.0008,4.7124118854287494e-05,8.344896047113425e-06,0.0029550749531542784,1,2026-04-06 13:00:00,2.0
LAB004,2026-04-06 18:20:00,0.0006,0.0,59,5.333333333333333,0.0006,3.534308914071562e-05,6.872267332916901e-06,0.0029619472204871953,1,2026-04-06 13:00:00,2.0
LAB004,2026-04-06 18:30:00,0.0004,0.0,58,5.5,0.0004,2.3562059427143747e-05,4.908762380654956e-06,0.00296685598286785,1,2026-04-06 13:00:00,2.0
LAB004,2026-04-06 18:40:00,0.0002,0.0,59,5.666666666666667,0.0002,1.1781029713571873e-05,2.9452574283929735e-06,0.002969801240296243,1,2026-04-06 13:00:00,2.0
LAB004,2026-04-06 18:50:00,0.0,0.0,58,5.833333333333333,0.0,0.0,9.81752476130986e-07,0.0029707829927723742,1,2026-04-06 13:00:00,2.0
LAB004,2026-04-06 19:00:00,-0.0001,0.0,59,6.0,0.0,0.0,0.0,0.0029707829927723742,1,2026-04-06 13:00:00,2.0
LAB004,2026-04-06 19:10:00,-0.0001,0.0,58,6.166666666666667,0.0,0.0,0.0,0.0029707829927723742,1,2026-04-06 13:00:00,2.0
LAB004,2026-04-06 19:20:00,-0.0001,0.0,59,6.333333333333333,0.0,0.0,0.0,0.0029707829927723742,1,2026-04-06 13:00:00,2.0
LAB004,2026-04-06 19:30:00,-0.0001,0.0,59,6.5,0.0,0.0,0.0,0.0029707829927723742,1,2026-04-06 13:00:00,2.0
LAB004,2026-04-06 19:40:00,-0.0001,0.0,58,6.666666666666667,0.0,0.0,0.0,0.0029707829927723742,1,2026-04-06 13:00:00,2.0
LAB004,2026-04-06 19:50:00,-0.0,0.0,59,6.833333333333333,-0.0,-0.0,0.0,0.0029707829927723742,1,2026-04-06 13:00:00,2.0
LAB004,2026-04-06 20:00:00,-0.0,0.0,58,7.0,-0.0,-0.0,-0.0,0.0029707829927723742,1,2026-04-06 13:00:00,2.0
LAB004,2026-04-06 20:10:00,0.0,0.0,59,7.166666666666667,0.0,0.0,0.0,0.0029707829927723742,1,2026-04-06 13:00:00,2.0
LAB004,2026-04-06 20:20:00,0.0,0.0,58,7.333333333333333,0.0,0.0,0.0,0.0029707829927723742,1,2026-04-06 13:00:00,2.0
LAB004,2026-04-06 20:30:00,0.0,0.0,59,7.5,0.0,0.0,0.0,0.0029707829927723742,1,2026-04-06 13:00:00,2.0
LAB004,2026-04-06 20:40:00,0.0,0.0,58,7.666666666666667,0.0,0.0,0.0,0.0029707829927723742,1,2026-04-06 13:00:00,2.0
LAB004,2026-04-06 20:50:00,0.0,0.0,59,7.833333333333333,0.0,0.0,0.0,0.0029707829927723742,1,2026-04-06 13:00:00,2.0
LAB004,2026-04-06 21:00:00,0.0,0.0,59,8.0,0.0,0.0,0.0,0.0029707829927723742,1,2026-04-06 13:00:00,2.0
