,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,52355.77477956675,-38444.39677603913,-13598.77987691887,-4931.923284397733,30536.47408936976,19923.229475295804,-8849.95793881996,-30579.331471166373,-191.5026538724727,4770.06344626017,426.065586469718,-329.21261559366917,-633.4901174570091,1290.664623676308,-1020.0343489534582,1980.6818392876344,978.2779524605593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qN,-38444.39677603913,40214.926240905406,13718.642017530969,5206.912108495806,-30103.156985916583,-19686.244039437075,8674.60431687985,28224.255545970835,224.25591924749392,-3946.8401255955005,-360.068776761262,-1843.4807715972731,23.252295943687272,-373.55516309227704,-2199.8788494463215,424.01930561174606,-1049.0572866286948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
betaG0,-13598.77987691887,13718.642017530969,24770.58837523869,13783.59952187392,-29783.928827117517,-19450.293028425363,3304.2462814283926,12961.902526617469,1081.4784224844063,-4723.586435623557,-449.55563357531855,-733.3904313307523,-177.15613448640963,251.6072738225388,-681.583884943664,381.5522139770792,15.385825194106383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
betaF0,-4931.923284397733,5206.912108495806,13783.59952187392,9269.895956203272,-13700.227413397086,-13211.530928907243,2320.7009207107253,4523.607029864066,835.5117630615337,-1517.389257556759,-150.77050566991016,-244.9991144208908,-50.53063325845103,63.671348725088265,-255.66909436869366,154.5989618917816,28.64429323775689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qEG,30536.47408936976,-30103.156985916583,-29783.928827117517,-13700.227413397086,62757.77773141106,24520.581672799533,-5536.050915539772,-28722.58883969474,-775.1536430162988,-5558.644759264167,-644.1674882575189,3012.8034112772784,712.5620011873594,-1018.9591626668675,2427.546198644112,-1107.1303447153484,256.193206427314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qEF,19923.229475295804,-19686.244039437075,-19450.293028425363,-13211.530928907243,24520.581672799533,32407.236928496866,-11632.724230805523,-18995.99391831966,-856.0968433775404,-351.3886201616426,-44.84485070178812,1183.916792462784,278.2281056613626,-391.6124085780865,1107.3484530171377,-518.807637889455,115.24986503012055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iG,-8849.95793881996,8674.60431687985,3304.2462814283926,2320.7009207107253,-5536.050915539772,-11632.724230805523,5926.390842287373,8520.23428434192,-1.8240697274316524,305.36632879880557,29.25047726932226,-767.3007166282853,-183.06338099183915,262.0850412466817,-665.8983002935588,284.20947166937697,-105.79345034057485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iE,-30579.331471166373,28224.255545970835,12961.902526617469,4523.607029864066,-28722.58883969474,-18995.99391831966,8520.23428434192,28888.019580464046,-103.32387826296542,-4305.313921967083,-395.35624147967735,-641.4555828787761,-162.53930759049922,234.4319600131538,-1031.4638560563872,445.8195905355956,-198.3463999002254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kd0,-191.5026538724727,224.25591924749392,1081.4784224844063,835.5117630615337,-775.1536430162988,-856.0968433775404,-1.8240697274316524,-103.32387826296542,533.5869013541042,-99.31540879635202,-12.230068660290595,4.6538693052925275,20.550106678074332,-42.65043098114763,-6.011666709377824,-1.3770694736734868,-17.16049245204499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gammaG0,4770.06344626017,-3946.8401255955005,-4723.586435623557,-1517.389257556759,-5558.644759264167,-351.3886201616426,305.36632879880557,-4305.313921967083,-99.31540879635202,15681.992169187351,1567.4900027982767,2.3461892041580994e-06,-1.2659940417298344e-05,2.186682762347684e-05,-0.0002100372481461497,0.0003800695932911645,1.8209730913228597e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gammaF0,426.065586469718,-360.068776761262,-449.55563357531855,-150.77050566991016,-644.1674882575189,-44.84485070178812,29.25047726932226,-395.35624147967735,-12.230068660290595,1567.4900027982767,167.1414840035194,-1.0166796085281896e-07,4.645521041989444e-07,-7.515079051258902e-07,8.156151143731074e-06,-1.4892305118228883e-05,-9.507708867883691e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS_N,-329.21261559366917,-1843.4807715972731,-733.3904313307523,-244.9991144208908,3012.8034112772784,1183.916792462784,-767.3007166282853,-641.4555828787761,4.6538693052925275,2.3461892041580994e-06,-1.0166796085281896e-07,4321.697186574114,1031.107062975892,-1475.2414498052053,3.1523391811635912,-2.7082537368237154,0.759193087785646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrO2,-633.4901174570091,23.252295943687272,-177.15613448640963,-50.53063325845103,712.5620011873594,278.2281056613626,-183.06338099183915,-162.53930759049922,20.550106678074332,-1.2659940417298344e-05,4.645521041989444e-07,1031.107062975892,835.5685653903622,-1506.2174965559025,0.5647137144030433,-0.6614753069776838,0.2563974939472536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrDrain,1290.664623676308,-373.55516309227704,251.6072738225388,63.671348725088265,-1018.9591626668675,-391.6124085780865,262.0850412466817,234.4319600131538,-42.65043098114763,2.186682762347684e-05,-7.515079051258902e-07,-1475.2414498052053,-1506.2174965559025,2857.4596288701514,-0.6171956665694477,0.8183949395455973,-0.33834248323846305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS_N,-1020.0343489534582,-2199.8788494463215,-681.583884943664,-255.66909436869366,2427.546198644112,1107.3484530171377,-665.8983002935588,-1031.4638560563872,-6.011666709377824,-0.0002100372481461497,8.156151143731074e-06,3.1523391811635912,0.5647137144030433,-0.6171956665694477,3642.1292708296705,-1670.8336399498412,397.9456507260395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAld,1980.6818392876344,424.01930561174606,381.5522139770792,154.5989618917816,-1107.1303447153484,-518.807637889455,284.20947166937697,445.8195905355956,-1.3770694736734868,0.0003800695932911645,-1.4892305118228883e-05,-2.7082537368237154,-0.6614753069776838,0.8183949395455973,-1670.8336399498412,1680.6715023730567,137.77437027584446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
