,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,12796.130715669113,-9670.037517842498,-4692.806710228053,-1573.6960128476642,10353.659960889796,8057.4985526936125,-2843.2857623510836,-11821.103654892782,347.2244441949872,1732.7434005204761,0.3505241187927843,-216.33703494056098,-785.1447562314772,1596.719854021742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qN,-9670.037517842498,27126.65874042732,7569.51849953597,3082.7733565315593,-14504.232634066335,-12958.579746797703,4191.32881960259,16453.50495130571,-325.2560950576084,-1709.4440286281483,-0.36811628598797774,-1114.593440520359,-485.2612617994372,295.99790263541354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
betaG0,-4692.806710228053,7569.51849953597,17910.231927906647,11157.250700212822,-19797.72923903085,-14796.580194114738,1417.0728686914024,7427.462344358651,1766.169026722375,-3310.7756244679367,-0.7251622751379699,-403.36220689069773,-192.00597530166064,154.7895934245335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
betaF0,-1573.6960128476642,3082.7733565315593,11157.250700212822,7984.724690205459,-10523.844620042697,-10280.709812902767,965.8524190911253,2176.9529233698577,1508.546351746071,-999.8649667383594,-0.22194143881542988,-149.9887710225979,-60.90220783781202,36.814688236901894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qEG,10353.659960889796,-14504.232634066335,-19797.72923903085,-10523.844620042697,42087.06856238437,16491.52186498769,-2219.174002324018,-16954.151466046955,-1079.7573981884639,-7557.443279480796,-2.0589214022175226,1037.0102833400288,449.83476025580444,-312.6237838630269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qEF,8057.4985526936125,-12958.579746797703,-14796.580194114738,-10280.709812902767,16491.52186498769,24641.5250554392,-6718.847340056808,-13676.195134639085,-1104.6165189741098,-31.446558252756876,-0.01003922755807152,428.96937456447097,185.07345295903542,-129.06423235995584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iG,-2843.2857623510836,4191.32881960259,1417.0728686914024,965.8524190911253,-2219.174002324018,-6718.847340056808,2898.2095621899357,4940.037592915264,-176.38640710518203,628.6383357566459,0.13725469509912513,-192.93410381196105,-80.64321645342068,52.86616388199588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iE,-11821.103654892782,16453.50495130571,7427.462344358651,2176.9529233698577,-16954.151466046955,-13676.195134639085,4940.037592915264,20863.075596770257,-930.6173250113031,-3009.25074027709,-0.630232247834423,-386.2118712805563,-200.30606747800852,179.90717113162617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kd0,347.2244441949872,-325.2560950576084,1766.169026722375,1508.546351746071,-1079.7573981884639,-1104.6165189741098,-176.38640710518203,-930.6173250113031,1082.7921345955322,-57.35169315974959,-0.01678885038716592,-3.5000752163545945,20.971032443342747,-44.88810139279542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gammaG0,1732.7434005204761,-1709.4440286281483,-3310.7756244679367,-999.8649667383594,-7557.443279480796,-31.446558252756876,628.6383357566459,-3009.25074027709,-57.35169315974959,15282.845031908884,3.6870727550421933,-1.2361005945179005e-05,-7.732141032007942e-06,7.94733180194138e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gammaF0,0.3505241187927843,-0.36811628598797774,-0.7251622751379699,-0.22194143881542988,-2.0589214022175226,-0.01003922755807152,0.13725469509912513,-0.630232247834423,-0.01678885038716592,3.6870727550421933,0.0009362250834473605,5.687516263298261e-09,2.3115335713342214e-09,-6.682912466865847e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS_N,-216.33703494056098,-1114.593440520359,-403.36220689069773,-149.9887710225979,1037.0102833400288,428.96937456447097,-192.93410381196105,-386.2118712805563,-3.5000752163545945,-1.2361005945179005e-05,5.687516263298261e-09,1526.445457159004,675.3492591085487,-488.0967231299363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
