,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,22770.752169510793,-11526.783960537114,-850.3250867604153,-33.88943964290462,6087.034347068411,3898.907599245092,-2299.81705382,-7571.563220452419,-55.53408199072254,1089.646207677154,100.05668590497866,43.759932674715344,-70.29080895884569,124.13090655449523,-1020.0343489534582,1980.6818392876344,978.2779524605593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qN,-11526.783960537114,12775.625573476958,1556.726304903044,482.89057738098467,-6458.90371409257,-4087.5142645144833,2243.0909223115923,6355.761459383487,69.22456305366075,-687.4453710738564,-66.36855930608837,-875.5335074221815,-174.9937791912898,193.12235574144296,-2199.8788494463215,424.01930561174606,-1049.0572866286948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
betaG0,-850.3250867604153,1556.726304903044,4109.472627318566,2619.1355469035316,-4495.481811172202,-2939.0655098530774,184.42382166288968,887.5001594488374,102.3583474446889,-637.927045370735,-65.06064100537925,-262.9496294143241,-63.00669783625733,75.87087254732172,-681.583884943664,381.5522139770792,15.385825194106383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
betaF0,-33.88943964290462,482.89057738098467,2619.1355469035316,2149.3828227379645,-2211.6689464083333,-2564.7202268041974,251.22644460933498,75.64039534093965,105.60878928133242,-200.17330350410396,-21.857194146019456,-104.3381501749477,-24.09315667588531,28.12857965314451,-255.66909436869366,154.5989618917816,28.64429323775689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qEG,6087.034347068411,-6458.90371409257,-4495.481811172202,-2211.6689464083333,10831.809193455203,3890.587685985618,-966.2299254226025,-4617.317867035638,-72.08864128372569,-570.7009963466445,-79.97550461389554,825.4315607785182,192.8049785360965,-231.99277263003302,2427.546198644112,-1107.1303447153484,256.193206427314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qEF,3898.907599245092,-4087.5142645144833,-2939.0655098530774,-2564.7202268041974,3890.587685985618,6180.472208314374,-2185.291785316313,-3043.04394217627,-93.95312973854637,-44.6190394434244,-7.055854873476877,385.63273500916097,90.28089966240707,-109.83472137829341,1107.3484530171377,-518.807637889455,115.24986503012055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iG,-2299.81705382,2243.0909223115923,184.42382166288968,251.22644460933498,-966.2299254226025,-2185.291785316313,1238.326245708964,1769.7947748652703,-6.14863592084143,27.530432928836408,2.6700248668590087,-219.138378042522,-51.131038539229095,62.510412133960415,-665.8983002935588,284.20947166937697,-105.79345034057485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iE,-7571.563220452419,6355.761459383487,887.5001594488374,75.64039534093965,-4617.317867035638,-3043.04394217627,1769.7947748652703,5332.267799831627,-35.97616030305525,-636.5287991315383,-62.91601741804327,-330.70503853729747,-79.33414861865054,97.49255802782841,-1031.4638560563872,445.8195905355956,-198.3463999002254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kd0,-55.53408199072254,69.22456305366075,102.3583474446889,105.60878928133242,-72.08864128372569,-93.95312973854637,-6.14863592084143,-35.97616030305525,52.79416491541585,-3.448288512861404,-0.519222717889356,0.9665763172357262,1.415141631929566,-2.591001048820699,-6.011666709377824,-1.3770694736734868,-17.16049245204499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gammaG0,1089.646207677154,-687.4453710738564,-637.927045370735,-200.17330350410396,-570.7009963466445,-44.6190394434244,27.530432928836408,-636.5287991315383,-3.448288512861404,2065.831413326455,224.21187114338488,2.6548404951724483e-06,-1.2433832896387577e-05,2.1471253855063847e-05,-0.0002100372481461497,0.0003800695932911645,1.8209730913228597e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gammaF0,100.05668590497866,-66.36855930608837,-65.06064100537925,-21.857194146019456,-79.97550461389554,-7.055854873476877,2.6700248668590087,-62.91601741804327,-0.519222717889356,224.21187114338488,27.266551437792547,-1.9321725995935946e-07,4.7133159679824093e-07,-8.171094726033424e-07,8.156151143731074e-06,-1.4892305118228883e-05,-9.507708867883691e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS_N,43.759932674715344,-875.5335074221815,-262.9496294143241,-104.3381501749477,825.4315607785182,385.63273500916097,-219.138378042522,-330.70503853729747,0.9665763172357262,2.6548404951724483e-06,-1.9321725995935946e-07,1245.3737944038683,293.1219928955005,-355.94811511737487,3.1523391811635912,-2.7082537368237154,0.759193087785646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrO2,-70.29080895884569,-174.9937791912898,-63.00669783625733,-24.09315667588531,192.8049785360965,90.28089966240707,-51.131038539229095,-79.33414861865054,1.415141631929566,-1.2433832896387577e-05,4.7133159679824093e-07,293.1219928955005,133.8435689074057,-190.77956622890804,0.5647137144030433,-0.6614753069776838,0.2563974939472536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrDrain,124.13090655449523,193.12235574144296,75.87087254732172,28.12857965314451,-231.99277263003302,-109.83472137829341,62.510412133960415,97.49255802782841,-2.591001048820699,2.1471253855063847e-05,-8.171094726033424e-07,-355.94811511737487,-190.77956622890804,281.9665734744977,-0.6171956665694477,0.8183949395455973,-0.33834248323846305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS_N,-1020.0343489534582,-2199.8788494463215,-681.583884943664,-255.66909436869366,2427.546198644112,1107.3484530171377,-665.8983002935588,-1031.4638560563872,-6.011666709377824,-0.0002100372481461497,8.156151143731074e-06,3.1523391811635912,0.5647137144030433,-0.6171956665694477,3642.1292708296705,-1670.8336399498412,397.9456507260395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAld,1980.6818392876344,424.01930561174606,381.5522139770792,154.5989618917816,-1107.1303447153484,-518.807637889455,284.20947166937697,445.8195905355956,-1.3770694736734868,0.0003800695932911645,-1.4892305118228883e-05,-2.7082537368237154,-0.6614753069776838,0.8183949395455973,-1670.8336399498412,1680.6715023730567,137.77437027584446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcStress,978.2779524605593,-1049.0572866286948,15.385825194106383,28.64429323775689,256.193206427314,115.24986503012055,-105.79345034057485,-198.3463999002254,-17.16049245204499,1.8209730913228597e-05,-9.507708867883691e-07,0.759193087785646,0.2563974939472536,-0.33834248323846305,397.9456507260395,137.77437027584446,831.4941091222033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k_EA_growth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k_EA_stationary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k_IAA_growth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k_IAA_stationary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k_EO_growth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k_EO_stationary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alpha_EA_loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alpha_IAA_loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alpha_EO_loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
