case,batch,state,block,n,rmse,mae
historical_theta_on_lot2,lot2_F1,X,core,17,0.7742909929410874,0.633382945661236
historical_theta_on_lot2,lot2_F1,Xd,core,17,0.024663064065178993,0.01654606411764706
historical_theta_on_lot2,lot2_F1,N,core,14,0.12023183350906151,0.09184001872734769
historical_theta_on_lot2,lot2_F1,G,core,15,35.39415131222939,27.58760299631541
historical_theta_on_lot2,lot2_F1,F,core,15,11.88816608618046,9.6641550266608
historical_theta_on_lot2,lot2_F1,E,core,13,21.47597261986134,17.238988814859983
historical_theta_on_lot2,lot2_F1,Gly,core,15,1.7921220060749088,1.3309883864955696
historical_theta_on_lot2,lot2_F1,Pyr,secondary,15,42.9814999856078,31.72662518135629
historical_theta_on_lot2,lot2_F1,AcAld,secondary,14,64.76310943028095,45.500427065704564
historical_theta_on_lot2,lot2_F1,Acetate,secondary,15,0.28176345005907794,0.24380772563829592
historical_theta_on_lot2,lot2_F2,X,core,17,0.6912259947978235,0.5716562818430612
historical_theta_on_lot2,lot2_F2,Xd,core,17,0.058335416217103496,0.029256635603102713
historical_theta_on_lot2,lot2_F2,N,core,15,0.1239608849289804,0.09519312293712047
historical_theta_on_lot2,lot2_F2,G,core,15,20.736618709788647,15.611327391516154
historical_theta_on_lot2,lot2_F2,F,core,15,22.259063207141335,17.569108817726125
historical_theta_on_lot2,lot2_F2,E,core,12,21.49355985985992,16.92114945293795
historical_theta_on_lot2,lot2_F2,Gly,core,14,2.299001038115273,1.7351600444364181
historical_theta_on_lot2,lot2_F2,Pyr,secondary,15,42.84819706241196,33.49405955083092
historical_theta_on_lot2,lot2_F2,AcAld,secondary,14,58.499030590102436,45.31585360502465
historical_theta_on_lot2,lot2_F2,Acetate,secondary,15,0.4106937050913364,0.35340165521878136
historical_theta_on_lot2,lot2_F3,X,core,15,0.7187731678433523,0.5389557229320077
historical_theta_on_lot2,lot2_F3,Xd,core,15,0.05442362236078368,0.032566490007106506
historical_theta_on_lot2,lot2_F3,N,core,14,0.08787714223523059,0.05478844989797031
historical_theta_on_lot2,lot2_F3,G,core,14,12.25521110148061,9.26522080961898
historical_theta_on_lot2,lot2_F3,F,core,14,11.3920624873851,9.123327871764031
historical_theta_on_lot2,lot2_F3,E,core,11,8.83146432925209,7.084507245555199
historical_theta_on_lot2,lot2_F3,Gly,core,13,1.30848585466578,0.9681336576274538
historical_theta_on_lot2,lot2_F3,Pyr,secondary,14,35.34391366775661,26.304799851752737
historical_theta_on_lot2,lot2_F3,AcAld,secondary,13,70.70730352413855,50.45151182250099
historical_theta_on_lot2,lot2_F3,Acetate,secondary,14,0.2567667956521965,0.21725814717228495
combined_theta_on_lot2,lot2_F1,X,core,17,0.35443050837567475,0.2784059345947244
combined_theta_on_lot2,lot2_F1,Xd,core,17,0.02385024412367381,0.015323007979407185
combined_theta_on_lot2,lot2_F1,N,core,14,0.017577761557405813,0.015861709564000154
combined_theta_on_lot2,lot2_F1,G,core,15,20.199414547642203,16.13167721754256
combined_theta_on_lot2,lot2_F1,F,core,15,7.520798580369936,6.187622966867922
combined_theta_on_lot2,lot2_F1,E,core,13,9.68838649087209,7.438001162284646
combined_theta_on_lot2,lot2_F1,Gly,core,15,0.9608073171067856,0.7649674511278047
combined_theta_on_lot2,lot2_F1,Pyr,secondary,15,20.218955985870412,15.687765321367058
combined_theta_on_lot2,lot2_F1,AcAld,secondary,14,41.6512339081443,27.532449676728554
combined_theta_on_lot2,lot2_F1,Acetate,secondary,15,0.1933077801651863,0.16335487590776804
combined_theta_on_lot2,lot2_F2,X,core,17,0.2656309343357201,0.2004833484176247
combined_theta_on_lot2,lot2_F2,Xd,core,17,0.06236669463114449,0.033680782648284446
combined_theta_on_lot2,lot2_F2,N,core,15,0.03661257411660187,0.031202360255680305
combined_theta_on_lot2,lot2_F2,G,core,15,5.377428853506999,4.256931682145701
combined_theta_on_lot2,lot2_F2,F,core,15,11.390938834190734,8.938240195588314
combined_theta_on_lot2,lot2_F2,E,core,12,6.187396133855948,4.52741424702737
combined_theta_on_lot2,lot2_F2,Gly,core,14,1.2556451549178356,0.9562191705783033
combined_theta_on_lot2,lot2_F2,Pyr,secondary,15,19.00049793675323,14.979408501805798
combined_theta_on_lot2,lot2_F2,AcAld,secondary,14,29.324970763358778,22.93018042209477
combined_theta_on_lot2,lot2_F2,Acetate,secondary,15,0.25794834021643454,0.21314376707305457
combined_theta_on_lot2,lot2_F3,X,core,15,0.5904076314819348,0.44735880431562774
combined_theta_on_lot2,lot2_F3,Xd,core,15,0.05163412693711584,0.031771046812366276
combined_theta_on_lot2,lot2_F3,N,core,14,0.024389819345467013,0.020137688633895638
combined_theta_on_lot2,lot2_F3,G,core,14,4.211107230469016,3.2937677775024876
combined_theta_on_lot2,lot2_F3,F,core,14,5.13687463086081,3.1952506697679226
combined_theta_on_lot2,lot2_F3,E,core,11,0.7977838801450303,0.5632489822136165
combined_theta_on_lot2,lot2_F3,Gly,core,13,0.7937654751465569,0.5599828343652923
combined_theta_on_lot2,lot2_F3,Pyr,secondary,14,17.99426397380315,14.384713531562213
combined_theta_on_lot2,lot2_F3,AcAld,secondary,13,36.84097337260342,29.017983314633014
combined_theta_on_lot2,lot2_F3,Acetate,secondary,14,0.1945014281139765,0.16121757697034209
