case,profiled_parameter,theta_hat,theta_value,success,objective,lr_stat,chi2_95_threshold,error
historical_only,Kd0,0.000753987457851095,0.0003769937289255475,True,24023.824890163538,164.2164656990135,3.841458820694124,
historical_only,Kd0,0.000753987457851095,0.000753987457851095,True,23859.608424464524,0.0,3.841458820694124,
historical_only,Kd0,0.000753987457851095,0.0009424843223138689,True,23917.762015309134,58.153590844609425,3.841458820694124,
historical_only,Kd0,0.000753987457851095,0.00150797491570219,True,24322.0915776642,462.48315319967514,3.841458820694124,
historical_only,qN,0.014939941033320156,0.007469970516660078,True,28991.237454697526,5131.629030233002,3.841458820694124,
historical_only,qN,0.014939941033320156,0.014939941033320156,True,23859.608424464524,0.0,3.841458820694124,
historical_only,qN,0.014939941033320156,0.018674926291650195,True,24294.001925780572,434.39350131604806,3.841458820694124,
historical_only,qN,0.014939941033320156,0.02987988206664031,True,26152.82516259818,2293.216738133655,3.841458820694124,
historical_plus_lot1,Kd0,0.0009067101651034062,0.0004533550825517031,True,36474.37321118024,217.83997562745935,3.841458820694124,
historical_plus_lot1,Kd0,0.0009067101651034062,0.0009067101651034062,True,36256.53323555278,0.0,3.841458820694124,
historical_plus_lot1,Kd0,0.0009067101651034062,0.0011333877063792576,True,36280.77721215944,24.24397660666,3.841458820694124,
historical_plus_lot1,Kd0,0.0009067101651034062,0.0018134203302068125,True,36674.624986527,418.0917509742212,3.841458820694124,
historical_plus_lot1,qN,0.016296441287017016,0.008148220643508508,True,49623.790716834104,13367.257481281325,3.841458820694124,
historical_plus_lot1,qN,0.016296441287017016,0.016296441287017016,True,36256.53323555278,0.0,3.841458820694124,
historical_plus_lot1,qN,0.016296441287017016,0.02037055160877127,True,37089.154333599334,832.6210980465548,3.841458820694124,
historical_plus_lot1,qN,0.016296441287017016,0.03259288257403403,True,37457.2684150151,1200.7351794623246,3.841458820694124,
