case,weak_direction,eigenvalue,dominant_parameters,dominant_abs_loadings
historical_only,1,0.0,"kPyrS_N, alpha_EO_loss, alpha_IAA_loss, qN, betaG0, betaF0, qEG","1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000"
historical_only,2,0.0,"alpha_EO_loss, alpha_IAA_loss, qN, betaG0, betaF0, qEG, qEF","1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000"
historical_only,3,0.0,"alpha_IAA_loss, alpha_EO_loss, qN, betaG0, betaF0, qEG, qEF","1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000"
historical_only,4,0.0,"k_EO_stationary, alpha_EO_loss, kPyrS_N, qN, betaG0, betaF0, qEG","1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000"
historical_only,5,0.0,"k_EO_growth, alpha_EO_loss, kPyrS_N, qN, betaG0, betaF0, qEG","1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000"
historical_only,6,0.0,"k_IAA_stationary, alpha_EO_loss, kPyrS_N, qN, betaG0, betaF0, qEG","1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000"
historical_only,7,0.0,"k_IAA_growth, alpha_EO_loss, kPyrS_N, qN, betaG0, betaF0, qEG","1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000"
historical_only,8,0.0,"alpha_EA_loss, alpha_EO_loss, kPyrS_N, qN, betaG0, betaF0, qEG","1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000"
historical_plus_lot1,1,0.0,"k_EA_growth, alpha_EO_loss, kPyrS_N, qN, betaG0, betaF0, qEG","1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000"
historical_plus_lot1,2,0.0,"k_EA_stationary, alpha_EO_loss, kPyrS_N, qN, betaG0, betaF0, qEG","1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000"
historical_plus_lot1,3,0.0,"k_IAA_growth, alpha_EO_loss, kPyrS_N, qN, betaG0, betaF0, qEG","1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000"
historical_plus_lot1,4,0.0,"k_IAA_stationary, alpha_EO_loss, kPyrS_N, qN, betaG0, betaF0, qEG","1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000"
historical_plus_lot1,5,0.0,"k_EO_growth, alpha_EO_loss, kPyrS_N, qN, betaG0, betaF0, qEG","1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000"
historical_plus_lot1,6,0.0,"k_EO_stationary, alpha_EO_loss, kPyrS_N, qN, betaG0, betaF0, qEG","1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000"
historical_plus_lot1,7,0.0,"alpha_EA_loss, alpha_EO_loss, kPyrS_N, qN, betaG0, betaF0, qEG","1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000"
historical_plus_lot1,8,0.0,"alpha_IAA_loss, alpha_EO_loss, qN, betaG0, betaF0, qEG, qEF","1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000"
