,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,7235.3881162167145,-4094.94928295628,-1027.3609599127726,-558.6438286240096,4001.64534225829,4492.737015939646,-868.6235200018727,-4936.4550886816805,-430.7767528121642,594.6004710171891,6.924445132199561,-0.23216246083647302,-52.507056074256354,62.792038570258214,42.764455314715505,16.780172807934054,431.08919555055337,128.177482733744,1106.0129126086588,102.54655225656595,1266.894119791603,108.94428880586176,1262.9795669165567,-64.0324363665203,-71.07265497590672,-74.36003121593201
qN,-4094.94928295628,4576.471768810713,886.1598527933279,504.54771906463174,-2979.278732456979,-3462.8677613902114,672.7236846570208,3512.755755278598,386.21032836723987,-360.4041361861514,-4.240922120449592,-122.3671741520635,-97.72788021001257,46.77215410254745,-984.6422346443145,98.93372948258823,-367.67938076027514,-37.914558273157276,-445.94219805496994,-23.11538715787896,-420.96266761137747,-25.638301268408224,-432.63856915343814,27.408487379654765,25.3470524373058,27.34662745846011
betaG0,-1027.3609599127726,886.1598527933279,3305.7027354854094,2110.283083100934,-2727.645570156162,-2771.728111961048,48.04564900948331,402.06558468759476,578.7401645661748,-385.0306706713794,-5.145911288197178,-8.321768361606233,4.162402295978554,-10.21149461108252,-116.60492699046996,11.40275335089692,-36.840350539624566,-62.998984526082154,-713.4041690292311,-48.01884456339726,-776.5946115785023,-49.37368446260846,-743.6168243776744,46.81083358572923,49.56278476357201,49.360379217880066
betaF0,-558.6438286240096,504.54771906463174,2110.283083100934,1457.9766323618264,-1483.6100451750856,-2114.233840000177,70.95712334807688,141.99276145202666,434.3880506625163,-102.1938028744375,-1.4161215550195707,-0.014143410810721362,8.50487596724163,-10.678490781664985,-36.39943873341746,2.840419869214754,-28.69928880514148,-38.92905800242961,-489.0411558343173,-29.96243978621843,-538.5021976327196,-30.87580008322366,-519.2626154833864,33.74262323645934,36.34548689727596,36.656262058125776
qEG,4001.64534225829,-2979.278732456979,-2727.645570156162,-1483.6100451750856,7455.7631120734295,2948.2300868824764,-302.15632066669525,-3018.9532810056285,-381.4360485029072,-1510.388792092825,-23.800804874366463,84.65258022820476,80.70239956888997,-51.09005438756158,676.9369496835498,-72.37569307031704,37.30727883443544,103.98285273812441,887.2309265215191,77.05692235853941,932.1027871104277,81.17714546195171,911.0809843088599,-51.04562636582614,-51.32127353257219,-52.18547705724729
qEF,4492.737015939646,-3462.8677613902114,-2771.728111961048,-2114.233840000177,2948.2300868824764,7151.672205113956,-1031.158088273889,-3448.8023561248083,-664.7061541785973,-18.37173263827342,-0.3289908013542338,45.69359001366783,45.40720730787073,-29.84973569133545,357.64299427766196,-38.66284200022537,11.488133157241018,112.17403772785943,1246.4113052299176,86.38313472839658,1379.3385063378164,90.95153023631006,1358.0570428290016,-81.47679296292233,-88.07055270542827,-90.6841857805069
iG,-868.6235200018727,672.7236846570208,48.04564900948331,70.95712334807688,-302.15632066669525,-1031.158088273889,237.62699092949896,750.437548801816,23.657275803628007,25.598838757337944,0.3722998664492486,-17.22391228569871,-19.0091468034789,13.658738141155796,-126.55527244015626,13.79952349461833,0.5936114812659637,-14.506603210194362,-118.68693117486212,-10.719423527794177,-125.30583072707616,-11.516349775307324,-126.18465701660658,6.7138775041412195,6.817165955023445,7.2015950188857465
iE,-4936.4550886816805,3512.755755278598,402.06558468759476,141.99276145202666,-3018.9532810056285,-3448.8023561248083,750.437548801816,4196.041673928713,57.5552609611396,-500.0793804422355,-5.908899764461525,-69.22245922260326,-80.86105706175967,60.3311785157703,-493.1236345785009,54.70441866575691,17.85409548184827,-78.37492205580028,-684.1453209430892,-59.44711041971702,-744.7543199004165,-63.727378614313004,-749.2344759202829,39.53809555276721,41.63935613843297,44.011157541735024
Kd0,-430.7767528121642,386.21032836723987,578.7401645661748,434.3880506625163,-381.4360485029072,-664.7061541785973,23.657275803628007,57.5552609611396,359.9852167552418,-27.725851507947347,-0.4444094439891072,6.615137973961971,17.509721441989583,-17.87860981060434,-0.5720870417925562,-3.2371442577021314,-78.03708129735243,-9.680504359304557,-142.5754380310876,-7.744494823674906,-163.08518236506865,-8.151461429482247,-161.32816783537737,10.276784828507314,11.544177256082957,11.938919797233487
gammaG0,594.6004710171891,-360.4041361861514,-385.0306706713794,-102.1938028744375,-1510.388792092825,-18.37173263827342,25.598838757337944,-500.0793804422355,-27.725851507947347,2668.354680099681,37.96674281852778,-0.0026144300717193965,-0.003684620636003003,0.0029594247184391836,-0.01656806969347565,0.002308142883174655,0.00801265550675117,0.002495864136055201,0.019250959072239573,0.0021208795108692445,0.023530578301091145,0.0022295010962055492,0.023170094930931775,-0.0010234450788149218,-0.0012140901235386894,-0.001255420770602371
gammaF0,6.924445132199561,-4.240922120449592,-5.145911288197178,-1.4161215550195707,-23.800804874366463,-0.3289908013542338,0.3722998664492486,-5.908899764461525,-0.4444094439891072,37.96674281852778,0.5550432877674386,-3.539582804921117e-05,-0.0007602550362239797,0.0009303422639503016,0.0021887749940284716,-0.00021863218011392558,0.0008153502111925245,0.008731267459084696,0.1179051986182227,0.006981507514419866,0.13487330623944782,0.00736340563286091,0.1335900678217863,-0.008152952934596213,-0.00913719327201883,-0.009452154716051191
kPyrS_N,-0.23216246083647302,-122.3671741520635,-8.321768361606233,-0.014143410810721362,84.65258022820476,45.69359001366783,-17.22391228569871,-69.22245922260326,6.615137973961971,-0.0026144300717193965,-3.539582804921117e-05,140.92954538375363,142.1777748761434,-94.86236263516557,3.168880509364672,-0.4615851333196666,0.056544791605423125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrO2,-52.507056074256354,-97.72788021001257,4.162402295978554,8.50487596724163,80.70239956888997,45.40720730787073,-19.0091468034789,-80.86105706175967,17.509721441989583,-0.003684620636003003,-0.0007602550362239797,142.1777748761434,212.54142839038352,-172.52071297554247,3.029570224258144,-0.49803084358148897,0.041994337757317104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrDrain,62.792038570258214,46.77215410254745,-10.21149461108252,-10.678490781664985,-51.09005438756158,-29.84973569133545,13.658738141155796,60.3311785157703,-17.87860981060434,0.0029594247184391836,0.0009303422639503016,-94.86236263516557,-172.52071297554247,151.44094613513928,-1.8730175904094604,0.3265870698155771,-0.021325703883362288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS_N,42.764455314715505,-984.6422346443145,-116.60492699046996,-36.39943873341746,676.9369496835498,357.64299427766196,-126.55527244015626,-493.1236345785009,-0.5720870417925562,-0.01656806969347565,0.0021887749940284716,3.168880509364672,3.029570224258144,-1.8730175904094604,1113.5939939480756,-120.51550953413698,26.469681590840693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAld,16.780172807934054,98.93372948258823,11.40275335089692,2.840419869214754,-72.37569307031704,-38.66284200022537,13.79952349461833,54.70441866575691,-3.2371442577021314,0.002308142883174655,-0.00021863218011392558,-0.4615851333196666,-0.49803084358148897,0.3265870698155771,-120.51550953413698,18.83103522909349,24.392787589226472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcStress,431.08919555055337,-367.67938076027514,-36.840350539624566,-28.69928880514148,37.30727883443544,11.488133157241018,0.5936114812659637,17.85409548184827,-78.03708129735243,0.00801265550675117,0.0008153502111925245,0.056544791605423125,0.041994337757317104,-0.021325703883362288,26.469681590840693,24.392787589226472,642.083535457349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k_EA_growth,128.177482733744,-37.914558273157276,-62.998984526082154,-38.92905800242961,103.98285273812441,112.17403772785943,-14.506603210194362,-78.37492205580028,-9.680504359304557,0.002495864136055201,0.008731267459084696,0.0,0.0,0.0,0.0,0.0,0.0,34.4467237874069,281.03687814823616,0.0,0.0,0.0,0.0,-16.752039076507653,0.0,0.0
k_EA_stationary,1106.0129126086588,-445.94219805496994,-713.4041690292311,-489.0411558343173,887.2309265215191,1246.4113052299176,-118.68693117486212,-684.1453209430892,-142.5754380310876,0.019250959072239573,0.1179051986182227,0.0,0.0,0.0,0.0,0.0,0.0,281.03687814823616,3259.0628652224527,0.0,0.0,0.0,0.0,-215.4502465613162,0.0,0.0
k_IAA_growth,102.54655225656595,-23.11538715787896,-48.01884456339726,-29.96243978621843,77.05692235853941,86.38313472839658,-10.719423527794177,-59.44711041971702,-7.744494823674906,0.0021208795108692445,0.006981507514419866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.333387917341664,225.19164431833508,0.0,0.0,0.0,-13.017137501082262,0.0
k_IAA_stationary,1266.894119791603,-420.96266761137747,-776.5946115785023,-538.5021976327196,932.1027871104277,1379.3385063378164,-125.30583072707616,-744.7543199004165,-163.08518236506865,0.023530578301091145,0.13487330623944782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.19164431833508,3731.800483334204,0.0,0.0,0.0,-241.10984382733812,0.0
k_EO_growth,108.94428880586176,-25.638301268408224,-49.37368446260846,-30.87580008322366,81.17714546195171,90.95153023631006,-11.516349775307324,-63.727378614313004,-8.151461429482247,0.0022295010962055492,0.00736340563286091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.865746143261923,238.63376063523006,0.0,0.0,-14.429701566686688
k_EO_stationary,1262.9795669165567,-432.63856915343814,-743.6168243776744,-519.2626154833864,911.0809843088599,1358.0570428290016,-126.18465701660658,-749.2344759202829,-161.32816783537737,0.023170094930931775,0.1335900678217863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.63376063523006,3712.971227346335,0.0,0.0,-251.38235896947953
alpha_EA_loss,-64.0324363665203,27.408487379654765,46.81083358572923,33.74262323645934,-51.04562636582614,-81.47679296292233,6.7138775041412195,39.53809555276721,10.276784828507314,-0.0010234450788149218,-0.008152952934596213,0.0,0.0,0.0,0.0,0.0,0.0,-16.752039076507653,-215.4502465613162,0.0,0.0,0.0,0.0,15.968123255504098,0.0,0.0
alpha_IAA_loss,-71.07265497590672,25.3470524373058,49.56278476357201,36.34548689727596,-51.32127353257219,-88.07055270542827,6.817165955023445,41.63935613843297,11.544177256082957,-0.0012140901235386894,-0.00913719327201883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.017137501082262,-241.10984382733812,0.0,0.0,0.0,17.745364755565518,0.0
alpha_EO_loss,-74.36003121593201,27.34662745846011,49.360379217880066,36.656262058125776,-52.18547705724729,-90.6841857805069,7.2015950188857465,44.011157541735024,11.938919797233487,-0.001255420770602371,-0.009452154716051191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.429701566686688,-251.38235896947953,0.0,0.0,19.8402932696971
