,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,15342.326041567036,-9044.79988075324,-2978.627002273087,-1123.3840813453803,9786.703178767442,9693.058956804753,-2286.768363351472,-8795.597804357725,40.665498916043724,950.6398795232031,8.667983877177994,-43.39002445368098,-108.23049053411486,169.04819416209486,81.49972283805018,37.21685011238218,559.0360828792398,290.7678161120601,2090.4667233747186,233.6427662862842,2406.883122707602,248.59686852954118,2404.4528074353016,-152.2005011752946,-162.80871081348045,-166.24254856712164
qN,-9044.79988075324,9376.145965062502,2326.604838873908,876.6304309313579,-7216.6379618528235,-7531.180275175277,1822.2752468614829,6251.351508213036,-53.04485075322342,-519.8159732634128,-4.8458361204078875,-255.10630943391754,-107.99690282911621,36.7356789358488,-2235.293211670492,233.02530635249985,-487.4795164560822,-79.46708314706797,-876.1313044503058,-48.00061491485231,-856.6830342970843,-53.59764866292804,-878.6595511645456,68.72697159029093,63.85037500164189,66.50839490698183
betaG0,-2978.627002273087,2326.604838873908,7203.28452565765,3515.8026516605105,-7214.72904839893,-6442.478141421891,584.7949568684214,2259.828001652501,333.90822013433745,-519.1383522935377,-4.779011945816748,-63.54418393378233,-33.94195813333413,23.099728609241318,-496.95207717697093,62.55924096963201,77.40522071019689,-164.01251873637165,-1414.784572423782,-123.20253371679067,-1517.7177504382691,-126.34090954999003,-1444.9191710067807,109.41110000861138,108.79464630524718,104.46271222610247
betaF0,-1123.3840813453803,876.6304309313579,3515.8026516605105,1809.5316659623868,-3026.439456950791,-3416.4590240866423,326.9757077910707,911.410162935379,190.93128666674195,-145.8883667611922,-1.347887941247468,-19.08472753019396,-8.71890151072324,3.9051097831010178,-156.10975677890414,20.448948625734868,34.56773901710388,-76.29230659515322,-713.1379845629768,-57.60023767421282,-769.6079010606377,-58.923226803578984,-733.577091826928,57.07703552728998,57.31283755628253,55.291485416291
qEG,9786.703178767442,-7216.6379618528235,-7214.72904839893,-3026.439456950791,15578.595395850849,7182.189362224745,-1032.6137790924615,-6292.860744216244,-213.3583264813569,-131.11995817814213,-1.2248733129599727,246.088324155852,146.09633412770074,-123.69185703628071,1927.4279261693644,-213.55561848574774,23.00118636246989,266.3381298513503,1871.5572073512108,195.78984736087196,1957.1773842520204,205.52986299305044,1902.4178019002168,-135.21582757952496,-130.15916658866414,-128.25993711333612
qEF,9693.058956804753,-7531.180275175277,-6442.478141421891,-3416.4590240866423,7182.189362224745,14393.789323575831,-2875.1890945944447,-6786.742233886944,-307.87082994705725,0.24028145863608094,0.020857369931502192,109.02479074780861,65.3025974210839,-55.79739078898473,852.2700693137132,-94.56148150628555,11.932416221348458,235.2247921393802,2128.5007401800644,181.0262100260829,2359.821440181325,190.89948552137366,2327.518817241252,-167.15339378123488,-172.97951228511812,-173.1589164309755
iG,-2286.768363351472,1822.2752468614829,584.7949568684214,326.9757077910707,-1032.6137790924615,-2875.1890945944447,758.6903978122274,1535.418713875868,18.8159525568215,57.747008753381856,0.5275679406708162,-42.51313403635989,-26.000443682855792,23.138305805340348,-332.06076949974823,35.38066493864996,-19.607643010992934,-41.043012470816045,-309.68476785972075,-30.72343228516617,-336.0229981743412,-32.995300339807144,-338.15628940685934,22.97379797034005,23.239897781378225,23.84082378977731
iE,-8795.597804357725,6251.351508213036,2259.828001652501,911.410162935379,-6292.860744216244,-6786.742233886944,1535.418713875868,5689.116355475159,14.717743846600968,-536.4727906214966,-4.937879064622012,-71.55540547062051,-48.510926156478334,47.18906340559557,-557.3243925368167,60.13985592847832,-49.559518002173895,-154.81728252468025,-1272.5083965482784,-121.25003383595956,-1435.0840001690399,-129.58538661146696,-1439.364163428595,95.86143426618192,100.84258839320763,103.18080047036312
Kd0,40.665498916043724,-53.04485075322342,333.90822013433745,190.93128666674195,-213.3583264813569,-307.87082994705725,18.8159525568215,14.717743846600968,110.79514451518118,-0.009150074542847286,-0.0011779452576558447,2.9644661577757887,4.926450335173559,-7.657470949541893,-0.5426483693966608,-1.3793017819080824,-22.08605248591749,-4.682581235587779,-55.24973947008108,-3.803764762279936,-64.09755327765032,-4.06152982279122,-64.27892755586096,4.611832985006398,5.013697478934841,5.0901551370979385
gammaG0,950.6398795232031,-519.8159732634128,-519.1383522935377,-145.8883667611922,-131.11995817814213,0.24028145863608094,57.747008753381856,-536.4727906214966,-0.009150074542847286,1961.3109403552105,17.91627023238103,-0.000164365113665841,-0.0002441755854834888,0.00037539559978803753,7.539279737362443e-05,0.00011579225128629454,0.0018237403373837998,-0.0006163751671044821,-0.004788873211253642,-0.0004968978125368563,-0.005510037053838963,-0.0005249265125852507,-0.005455071482980075,0.000345820852879185,0.00036953856100355555,0.0003751598748935752
