,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,12146.352309725615,-7448.193370166059,-2790.478990316188,-1057.042424189961,8836.025722374776,8375.911212785946,-1987.2574285732571,-7573.3375474014865,-2.0154989856042995,764.2396576187123,7.045079984253586,-19.907791427648018,-94.77634112807434,133.17776748523332,114.19608601095199,25.218456558760163,449.34422973445334,236.02163774123647,1851.2220773257768,188.97373623945143,2126.363806083548,200.72321387515757,2121.892955658378,-119.42828477962287,-128.79912871791504,-132.75042533809187
qN,-7448.193370166059,7593.184527546118,2153.9545126688963,822.4687533155713,-6509.057146554407,-6534.6611415804855,1579.5666284745696,5430.8901898521335,-3.16804759381489,-442.74020118752327,-4.142745647939623,-190.18183931665445,-82.81120879546519,23.977441935793895,-1682.1219178598913,171.395277928359,-396.81554181088836,-78.4181099259724,-852.8826295523471,-50.805441529825785,-855.8152847090307,-55.89781327656838,-873.2504290942865,59.04242838038404,56.71410126179484,59.41283284390134
betaG0,-2790.478990316188,2153.9545126688963,5796.11324750279,2753.794904011719,-6241.851823084802,-5224.105354023835,519.8379733715423,2159.360747496531,85.02286819319981,-440.308984578598,-4.085879842976682,-51.524076249543945,-33.966502859281896,25.907884515006327,-365.2778242678648,46.68223618437309,88.75127159235934,-135.7785481763726,-1221.9678569452574,-102.80884792792186,-1322.6758634067342,-105.94122972815654,-1268.6123424345485,82.85996293921639,83.99535256243001,82.27506468348288
betaF0,-1057.042424189961,822.4687533155713,2753.794904011719,1378.7856316428447,-2538.572542833509,-2698.6530258466855,283.68494736123904,858.1831632311112,48.48101924436195,-126.74635063759894,-1.1781263278634577,-16.526504550065248,-10.518444231975929,7.583970348386609,-116.32838495520537,15.908085869087774,42.82123212416073,-60.99412926361807,-587.4256672558237,-46.357941877646354,-638.4851988900762,-47.69330379153285,-612.9520521765727,41.14727603064937,42.01967169782926,41.32283565698989
qEG,8836.025722374776,-6509.057146554407,-6241.851823084802,-2538.572542833509,14293.190366744195,6328.848216585586,-957.5596654056795,-5981.190656232928,-58.29350396262574,-103.33370821591741,-0.9761447777909857,198.1501261498284,129.66871922222626,-102.21041409987134,1499.9915606706018,-161.09440585855072,16.095299791276517,236.66152185355043,1795.672423604773,176.1440664993899,1910.9514113328078,185.45105281104512,1872.3378275583595,-114.69114373886924,-113.88514365497511,-114.66249769556974
qEF,8375.911212785946,-6534.6611415804855,-5224.105354023835,-2698.6530258466855,6328.848216585586,12409.472744367571,-2608.3722622780965,-6184.038351519321,-83.70504261611893,0.2568940205399126,0.0024118046828898697,90.96434824409113,59.907806533320056,-47.4490864688819,688.1961669217792,-73.96863297053173,9.378641405035268,197.49924291655245,1862.5926428047137,152.19422709796325,2068.840165154478,160.54248628168932,2043.7286349982264,-128.45444701869963,-134.48686212404323,-136.35069598182267
iG,-1987.2574285732571,1579.5666284745696,519.8379733715423,283.68494736123904,-957.5596654056795,-2608.3722622780965,694.5335790869924,1411.4798738386917,6.404354603725219,48.66526952043578,0.4518273214645753,-34.37902337386144,-22.49389226317199,17.93320798665204,-264.05890547927794,26.963505617121378,-20.111812006899857,-36.53620475938019,-295.1870152201162,-27.48105631902295,-321.69707456296794,-29.406705399410445,-322.71702269697494,19.325637369990858,19.830273810454756,20.486370094230654
iE,-7573.3375474014865,5430.8901898521335,2159.360747496531,858.1831632311112,-5981.190656232928,-6184.038351519321,1411.4798738386917,5240.562390740362,8.507894601352497,-456.79399243126215,-4.241640613726437,-50.91959897408956,-35.64987850682082,29.773522022940174,-402.59162101002863,40.55018147746045,-59.97172792139481,-139.58962283270935,-1232.0730407506317,-109.7442919417443,-1394.2147248358287,-116.94659465986312,-1395.629468990522,82.19203213921475,87.63358468674816,90.43428354587992
Kd0,-2.0154989856042995,-3.16804759381489,85.02286819319981,48.48101924436195,-58.29350396262574,-83.70504261611893,6.404354603725219,8.507894601352497,20.973860599695648,6.310887241768094e-26,0.0,0.7528845978364357,1.4395452892811034,-1.9467839456134401,-0.11503638393310785,-0.3319979576790422,-5.4042345229479904,-1.2167563218253594,-15.164437633382706,-0.9824071848243494,-17.500492196127347,-1.0426648880227773,-17.45733484005991,1.1160669506800773,1.2174234354601468,1.2385516325002826
gammaG0,764.2396576187123,-442.74020118752327,-440.308984578598,-126.74635063759894,-103.33370821591741,0.2568940205399126,48.66526952043578,-456.79399243126215,6.310887241768094e-26,1677.5858888971786,15.494134155114402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
