,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,3920.341238050587,-3533.9268731577913,-575.5823724233926,15.49862798873437,5291.60968099821,2354.6416799549197,-853.1165991854168,-3632.5309094244326,0.0,699.3129026364857,6.585469947939245,13.920923378522543,30.76787868481634,-12.779223833870626,24.15006150143986,0.1381949722466832,59.05376968144579,32.68817221586481,862.8527504763028,26.08754386739048,986.5080448887973,27.71570022617818,984.300074122486,-42.27134086221675,-47.59759935535176,-49.06804229835593
qN,-3533.9268731577913,3381.5896563874603,462.53714280028777,-40.15511780150206,-4662.470728582431,-2087.2376859019555,764.3526397440859,3249.1425954250194,0.0,-632.2225142963567,-5.981428117126572,-35.21534386609144,-68.94352565324857,27.746702397787114,-163.28265100595686,10.47214203177021,-57.41123697578017,-22.02071921516163,-658.1010356912618,-16.531611490734775,-722.5277035551019,-17.726996804089417,-725.4695028774646,33.509215302845696,36.45330173037956,37.7392534797889
betaG0,-575.5823724233926,462.53714280028777,4948.0024228536095,2078.99886174467,-5332.007905273253,-2103.2655350762734,-17.241441073013647,682.6987977479617,0.0,-745.7967550956271,-7.097466845106017,-3.782962853847078,-7.84415334426574,3.2583198651499057,-18.143527656846473,2.2795982728592064,29.538909808949402,-31.554226745318662,-899.802630272446,-24.770152676659833,-1009.046877447472,-25.865072989660106,-986.4528207536133,46.00667347487276,50.66325174537901,50.95542627285975
betaF0,15.49862798873437,-40.15511780150206,2078.99886174467,913.419360431224,-1748.8495121926017,-921.7131343903255,-3.2075365076962683,-6.090083231658696,0.0,-215.8313123871426,-2.0584840154287174,-1.1805181654252312,-2.63010550554887,1.1189292164478852,-4.991631610621392,0.7743823581776201,12.933351076530245,-11.659615130396856,-339.50033236422996,-9.137481747012881,-379.9431420457991,-9.517634772375866,-370.5782011517458,17.601941112805438,19.347422783380054,19.428979717519393
qEG,5291.60968099821,-4662.470728582431,-5332.007905273253,-1748.8495121926017,16188.801362201059,3361.3615557215808,-525.9755360669978,-5747.364156427513,0.0,-234.1601758978345,-2.288177465915345,20.589788978509088,35.71131914364395,-13.897384130011076,129.37810619226104,-9.55451063752946,2.7527781250914547,78.69239129109971,2084.7675075124403,61.917535942218755,2350.640820994821,65.45160197986033,2328.882311305916,-102.8772291885125,-114.147093938843,-116.6469381874024
qEF,2354.6416799549197,-2087.2376859019555,-2103.2655350762734,-921.7131343903255,3361.3615557215808,5248.741192995005,-1598.4445010497484,-2610.547374212844,0.0,0.4287584981606097,0.00413622973287466,9.117214088310757,15.8384868954679,-6.167409298416231,57.217093742462076,-4.2384383192068755,0.829468887029484,40.675681924644884,1112.2642243419505,32.07679004383001,1256.9041238140308,33.902395591272914,1245.530262273115,-55.75589724075405,-62.010814971433916,-63.374608980914296
iG,-853.1165991854168,764.3526397440859,-17.241441073013647,-3.2075365076962683,-525.9755360669978,-1598.4445010497484,601.3056461441165,924.6956548532621,0.0,81.44230594693478,0.7750376466906748,-3.901891989334945,-6.545442997406276,2.5118295091445852,-25.499027532277935,1.7192605958665947,-5.744735108602753,-11.028473455832215,-276.82957463610376,-8.676854566831295,-312.6633923568079,-9.22975968177028,-312.05339619047425,13.280689548792807,14.778457544015996,15.24047865890725
iE,-3632.5309094244326,3249.1425954250194,682.6987977479617,-6.090083231658696,-5747.364156427513,-2610.547374212844,924.6956548532621,4076.114149825493,0.0,-770.2902787150846,-7.334364377308116,-2.1987694089261387,-3.1320899202859454,1.0933716019901747,-16.63566580403161,0.7741577201049928,-15.903594718745415,-33.42883878381454,-956.963468550369,-26.76580990440555,-1097.1658379625383,-28.415399693305528,-1094.2017685651033,48.4977398737029,54.7548955658509,56.35964019554722
Kd0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gammaG0,699.3129026364857,-632.2225142963567,-745.7967550956271,-215.8313123871426,-234.1601758978345,0.4287584981606097,81.44230594693478,-770.2902787150846,0.0,2804.988022315286,26.52997398364389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gammaF0,6.585469947939245,-5.981428117126572,-7.097466845106017,-2.0584840154287174,-2.288177465915345,0.00413622973287466,0.7750376466906748,-7.334364377308116,0.0,26.52997398364389,0.25206141409200167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS_N,13.920923378522543,-35.21534386609144,-3.782962853847078,-1.1805181654252312,20.589788978509088,9.117214088310757,-3.901891989334945,-2.1987694089261387,0.0,0.0,0.0,30.510649938097448,53.03678251304355,-20.659844800277607,0.361872286130686,-0.03872911347224628,0.005115374019206265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrO2,30.76787868481634,-68.94352565324857,-7.84415334426574,-2.63010550554887,35.71131914364395,15.8384868954679,-6.545442997406276,-3.1320899202859454,0.0,0.0,0.0,53.03678251304355,152.39732109746166,-68.82911754443738,0.5360264622072818,-0.06841578841849591,0.0065158038666120474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
