,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,3584.032435532433,-2698.3880704223866,-607.5775384468749,-134.55189936435227,3020.3362341482007,2293.7948029564477,-568.3749196185188,-2971.7856401101576,-136.89007506274007,440.382359939985,5.0675052091108865,13.118195739397917,12.002804258344021,-4.224411956687318,18.04740242492184,2.5234846786109877,98.03807064252295,41.464018429842056,652.4353507567771,33.14392865058733,747.9621188471494,35.186042053228185,745.677014515891,-35.45066007235012,-39.48401411319253,-40.310519231098624
qN,-2698.3880704223866,2821.9444415853195,501.45451481860647,111.05087243522763,-2386.1833220070957,-1898.6037448417349,468.691682403436,2391.003415869983,120.02409659055476,-354.07916638831557,-4.150678949620596,-51.10900632056673,-65.30249418619968,30.120099042882096,-278.88113083973974,20.04301788109711,-91.3763740049384,-18.63584660015733,-398.41583005872553,-12.948350121297246,-422.3678427667243,-14.040662112191269,-426.4181736326188,23.328529275275535,24.327049928787602,25.014646737830585
betaG0,-607.5775384468749,501.45451481860647,2215.3392611719673,1101.9209667017828,-2237.292609833588,-1371.566230426,29.176129821552525,501.62257987775854,307.55962249181385,-347.11202860406183,-4.162335117425491,-4.70864016549034,-5.774238632299019,2.6695048500912613,-26.46240535445116,2.1600398892859594,5.249867548344101,-24.195152291662925,-461.792818060678,-18.86333606546046,-515.9223518258357,-19.70227562460598,-504.5169910828513,27.386654504564852,29.567390363308785,29.323959637982412
betaF0,-134.55189936435227,111.05087243522763,1101.9209667017828,593.8398646849266,-867.8396785515785,-795.7470494567315,33.45381109365499,84.86965784233402,166.90305274270793,-96.53739134230926,-1.1810525974924053,-1.462053931890339,-1.8327712598730068,0.849174580690104,-7.696575159918878,0.6215356249485252,1.557868821045414,-10.753024159216872,-216.11193701915167,-8.387019034096838,-241.29866391310625,-8.745596181713188,-235.7070354334006,13.18055988348089,14.218145943363503,14.098720853619946
qEG,3020.3362341482007,-2386.1833220070957,-2237.292609833588,-867.8396785515785,6090.875918831205,1874.7174095022788,-236.39489641068727,-2742.471026446322,-268.222669505304,-318.1191099243798,-3.8682706850099504,28.43248624571258,32.87690656292907,-14.954555223082728,177.65794366020054,-13.185589903249713,3.851671912695028,55.4831611493887,889.1868813611661,42.93213327940044,990.092449290635,45.41852413597469,979.6971917711194,-49.262576511232375,-53.223315145542294,-53.73458166809343
qEF,2293.7948029564477,-1898.6037448417349,-1371.566230426,-795.7470494567315,1874.7174095022788,3858.6869939774283,-798.8821392602786,-2110.517007264624,-261.61320528574566,-0.7513819196378344,0.08171604582787467,14.001127118473171,16.220226808429835,-7.38376020043387,87.51650094971707,-6.5158756972893315,1.6076929636115267,38.26627389212245,681.2184757689434,29.913904255986935,766.6210789246588,31.65856282518307,760.3859156398582,-39.266370419288194,-42.85949376344562,-43.2911612485334
iG,-568.3749196185188,468.691682403436,29.176129821552525,33.45381109365499,-236.39489641068727,-798.8821392602786,215.99395331037172,530.3147098828026,16.78141838305954,26.914615784217805,0.30567176463932566,-5.449162151326669,-6.237145285611002,2.828534935854412,-34.562653290469264,2.5293135593751184,-1.7569231842635746,-7.691288232215132,-111.82990304454478,-5.936050614282456,-124.6585680925306,-6.345403380520463,-124.97862964517672,5.916944470735124,6.42213798667403,6.602586376768834
iE,-2971.7856401101576,2391.003415869983,501.62257987775854,84.86965784233402,-2742.471026446322,-2110.517007264624,530.3147098828026,2788.0859876954196,76.02690259483136,-422.5445413964821,-4.89042943155378,-15.476734541937125,-17.817795938995438,8.10387706621524,-99.09349201378116,7.334242829273442,-4.602912330444395,-34.297396307068034,-563.3819518865162,-26.873942426425245,-636.9973013160355,-28.639648320808856,-637.2208107867278,31.206731691928283,34.325725049630535,35.10719230140476
Kd0,-136.89007506274007,120.02409659055476,307.55962249181385,166.90305274270793,-268.222669505304,-261.61320528574566,16.78141838305954,76.02690259483136,211.0774660097169,-36.38446149240142,-0.48781110211781786,0.17038535505308608,0.690494679754752,-0.4757060326163188,0.21792993151869913,-0.533130166277585,-15.611580050523397,-2.7278911902228713,-67.64814936593616,-2.2076773775025402,-78.31140421127618,-2.3575655397790305,-78.6220218472102,4.300782767063385,4.806093143239125,4.867496090730944
gammaG0,440.382359939985,-354.07916638831557,-347.11202860406183,-96.53739134230926,-318.1191099243798,-0.7513819196378344,26.914615784217805,-422.5445413964821,-36.38446149240142,1411.8941044277003,16.475988243969585,6.363568946747287e-05,0.0002267996092292072,-0.00016736796781725665,0.0009444023822734545,-0.0004689881722306339,-0.010542376349098027,-0.008311012858789766,-0.20205038809022835,-0.006657222664540769,-0.2312135578054115,-0.007036262836976041,-0.22937292627006628,0.012632796792377781,0.013811136869925519,0.013587360983300455
