,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,8303.323350694915,-3785.4839452253314,172.22411890686115,471.44993497773396,5051.435126574882,2163.090824757155,-821.7037710077262,-3764.2577903996657,-20.22460748954611,638.2878600074876,6.020900623074492,28.251218730306984,-1.0431528706830362,6.6816381089533,63.66166661951017,11.287951627821656,52.79055252378346,145.84041662860167,682.8153032066987,117.03652952170474,788.5502623297272,124.97518987448835,789.1646712026585,-44.12606133113567,-45.80214474762759,-46.24214878346234
qN,-3785.4839452253314,4544.818264552152,-88.20409328728934,-320.83593542238225,-3349.482618557944,-1559.884039616336,616.0395136579972,2425.4502037283287,16.306983762231518,-329.17382747112407,-3.197909942114247,-211.79988621266568,-103.77153539188492,73.09942942852756,-1130.7848285078837,84.85767768105605,-37.74197609850153,-23.76559994279071,-207.05266460938137,-11.392715598501306,-191.799804653584,-13.47939489926732,-199.4575973769105,14.828645597579417,13.04720310747892,13.38522326670224
betaG0,172.22411890686115,-88.20409328728934,3070.825562245023,1429.0700081985237,-2867.734450401283,-1000.0028095797552,-143.3559051687518,-141.38787780273975,-14.29548661865622,-310.8137839869409,-2.9766601998299818,-48.07068924227106,-21.857971419375502,14.829173896128259,-256.70147086247744,19.34093574633302,11.424201732209873,-55.873928390427494,-302.47539617146487,-42.12680861448955,-328.88910768464547,-44.33003199679678,-322.2078417778151,20.739556965496735,19.754551443974922,18.441591745850126
betaF0,471.44993497773396,-320.83593542238225,1429.0700081985237,710.5199041683974,-983.9647532886082,-462.79592936272985,-74.87663388353684,-284.1786916174017,-11.042744586179063,-85.7931373264768,-0.8246070389208359,-15.546867599012433,-7.201669552583843,4.944356573510964,-80.88204165608443,6.303342629020174,5.093661934520301,-21.401050055723942,-120.10740078255681,-16.14335784805133,-130.3956776914842,-16.900574093194006,-127.10319988473064,8.714529360701313,8.291331021361998,7.719085804741184
qEG,5051.435126574882,-3349.482618557944,-2867.734450401283,-983.9647532886082,8415.482194266868,1628.6457955251813,-210.77671212177415,-2517.988117886003,4.927975836566949,-81.93185862154841,-0.8156545385612337,186.0030269572867,79.48222227836958,-51.75364753494637,1065.8575133603752,-71.5352705032559,3.590961201188851,129.98996229201114,636.3080788249708,96.67809689080438,688.2762925098953,103.47757494182295,686.7006161919757,-43.1660871543611,-41.74275999155387,-41.207464202829364
qEF,2163.090824757155,-1559.884039616336,-1000.0028095797552,-462.79592936272985,1628.6457955251813,2509.5745323092665,-682.1354943107791,-1147.6045523649984,-3.659490955640892,0.1828814756118163,0.0018105292700303006,83.8355288384722,35.9652276546726,-23.479397635751923,480.8210188275575,-32.41933039321252,1.5095455227660317,73.48511691821162,380.9058575578288,55.52624045496779,417.87368960866326,59.36196586304068,416.82830677920515,-25.27753902712563,-24.71714245970879,-24.175640956358865
iG,-821.7037710077262,616.0395136579972,-143.3559051687518,-74.87663388353684,-210.77671212177415,-682.1354943107791,256.75453881108274,446.2966141034043,3.1543835581227175,32.026748861595415,0.30654048490399904,-32.28417778741531,-13.543320614043076,8.704690339211808,-188.1785865484572,12.236158316901971,-2.7864662116316996,-17.293691010660446,-78.0980422443897,-12.677518521266128,-83.60657103750609,-13.715561331794314,-84.4524111791787,4.987115489634557,4.799795202232562,4.854681165502041
iE,-3764.2577903996657,2425.4502037283287,-141.38787780273975,-284.1786916174017,-2517.988117886003,-1147.6045523649984,446.2966141034043,1966.6580381831468,15.264061826480095,-301.44150523723215,-2.8835694358966033,-45.85352761459516,-20.13427993816939,13.324961001869928,-276.6807026680551,18.864408558258845,-6.462943312040262,-55.45885081797135,-296.46152879526016,-43.07261046493749,-333.2882511039086,-46.29315056209266,-335.35652395456674,19.520512134667815,19.86348466635825,20.048926854575544
Kd0,-20.22460748954611,16.306983762231518,-14.29548661865622,-11.042744586179063,4.927975836566949,-3.659490955640892,3.1543835581227175,15.264061826480095,3.5808776570954226,-0.23646009551643932,-0.0024712817218042926,0.020218217692822976,0.020853492565022193,-0.0198731128234826,0.06769304135755039,-0.020630914825436417,-0.09410061220270217,-0.15066738830090307,-1.1106751769767824,-0.12269856482537887,-1.2876322530229642,-0.13717614025059877,-1.3270409288523617,-0.11946709925460566,-0.13615163295714053,-0.17949821805277036
gammaG0,638.2878600074876,-329.17382747112407,-310.8137839869409,-85.7931373264768,-81.93185862154841,0.1828814756118163,32.026748861595415,-301.44150523723215,-0.23646009551643932,1251.2218772131484,11.600554513602544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gammaF0,6.020900623074492,-3.197909942114247,-2.9766601998299818,-0.8246070389208359,-0.8156545385612337,0.0018105292700303006,0.30654048490399904,-2.8835694358966033,-0.0024712817218042926,11.600554513602544,0.11078869634865052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS_N,28.251218730306984,-211.79988621266568,-48.07068924227106,-15.546867599012433,186.0030269572867,83.8355288384722,-32.28417778741531,-45.85352761459516,0.020218217692822976,0.0,0.0,280.7807156842002,120.29771776502335,-78.47352485738503,2.902868799250149,-0.27324155508624837,0.008011751177045437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrO2,-1.0431528706830362,-103.77153539188492,-21.857971419375502,-7.201669552583843,79.48222227836958,35.9652276546726,-13.543320614043076,-20.13427993816939,0.020853492565022193,0.0,0.0,120.29771776502335,68.53553670400208,-52.88031737446704,1.0466904647992552,-0.11192264834756821,0.0026013582692955136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrDrain,6.6816381089533,73.09942942852756,14.829173896128259,4.944356573510964,-51.75364753494637,-23.479397635751923,8.704690339211808,13.324961001869928,-0.0198731128234826,0.0,0.0,-78.47352485738503,-52.88031737446704,43.78588749557108,-0.5906143851542248,0.07026183220793934,-0.0013088570850185858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS_N,63.66166661951017,-1130.7848285078837,-256.70147086247744,-80.88204165608443,1065.8575133603752,480.8210188275575,-188.1785865484572,-276.6807026680551,0.06769304135755039,0.0,0.0,2.902868799250149,1.0466904647992552,-0.5906143851542248,1622.8410977237577,-108.98784847653022,5.1948156682277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAld,11.287951627821656,84.85767768105605,19.34093574633302,6.303342629020174,-71.5352705032559,-32.41933039321252,12.236158316901971,18.864408558258845,-0.020630914825436417,0.0,0.0,-0.27324155508624837,-0.11192264834756821,0.07026183220793934,-108.98784847653022,11.073638394125368,4.907630941944968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcStress,52.79055252378346,-37.74197609850153,11.424201732209873,5.093661934520301,3.590961201188851,1.5095455227660317,-2.7864662116316996,-6.462943312040262,-0.09410061220270217,0.0,0.0,0.008011751177045437,0.0026013582692955136,-0.0013088570850185858,5.1948156682277,4.907630941944968,44.528546216316734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k_EA_growth,145.84041662860167,-23.76559994279071,-55.873928390427494,-21.401050055723942,129.98996229201114,73.48511691821162,-17.293691010660446,-55.45885081797135,-0.15066738830090307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.43485979047951,164.61739545010542,0.0,0.0,0.0,0.0,-10.032080272539162,0.0,0.0
k_EA_stationary,682.8153032066987,-207.05266460938137,-302.47539617146487,-120.10740078255681,636.3080788249708,380.9058575578288,-78.0980422443897,-296.46152879526016,-1.1106751769767824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.61739545010542,893.188808495156,0.0,0.0,0.0,0.0,-60.13823865654468,0.0,0.0
k_IAA_growth,117.03652952170474,-11.392715598501306,-42.12680861448955,-16.14335784805133,96.67809689080438,55.52624045496779,-12.677518521266128,-43.07261046493749,-0.12269856482537887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1697573318303,132.54426594352725,0.0,0.0,0.0,-7.167556068569587,0.0
k_IAA_stationary,788.5502623297272,-191.799804653584,-328.88910768464547,-130.3956776914842,688.2762925098953,417.87368960866326,-83.60657103750609,-333.2882511039086,-1.2876322530229642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.54426594352725,1026.8858415475156,0.0,0.0,0.0,-62.39123434767293,0.0
k_EO_growth,124.97518987448835,-13.47939489926732,-44.33003199679678,-16.900574093194006,103.47757494182295,59.36196586304068,-13.715561331794314,-46.29315056209266,-0.13717614025059877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.760290406606817,141.3518829785944,0.0,0.0,-7.6952287379182875
k_EO_stationary,789.1646712026585,-199.4575973769105,-322.2078417778151,-127.10319988473064,686.7006161919757,416.82830677920515,-84.4524111791787,-335.35652395456674,-1.3270409288523617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.3518829785944,1027.1194949011776,0.0,0.0,-62.805254201264624
