,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,3961.9748593266772,-501.12100598149306,198.3395587847118,284.4795753009387,1368.852270568949,1593.232217676123,-442.59440316648187,-1605.8866870885386,57.317102326544784,277.70668179917317,3.1419781146203536,41.065116151231216,-16.27047796976214,54.26925732257147,193.18909030351563,16.881846228338276,353.40598256778765,78.5595478454197,301.776834616036,60.76558796211966,340.15548373866466,63.61010687299068,334.4094732508096,-20.350032664497423,-23.380342071594505,-26.97635071461072
qN,-501.12100598149306,2523.570877026604,84.30786047735296,-84.58148837693268,-1098.4434270608037,-1092.9159361474276,311.3977821342356,895.4010043507697,-44.33830881960081,-62.78416763636315,-0.703279441931057,-145.3506861827181,-68.86981419494282,36.87620181071707,-1230.7488377068132,135.30226025384096,-307.6217003303239,35.0637138292226,207.8716207444423,36.451398049487146,309.6528417322598,36.398470189684666,290.08967003408515,-16.567150831440582,-25.151871306711495,-27.035010906613962
betaG0,198.3395587847118,84.30786047735296,5405.859908917648,3873.8713217170693,-5247.763282361147,-3624.6392735009795,-44.20869366469803,-146.41460103120852,193.02598541528334,-202.28134644832215,-2.5106023339607395,-41.38480848257556,-15.16253962026641,2.1911999567708893,-316.4075721842307,34.892534038373874,28.133312049887056,-33.38910628134818,-165.13006253457115,-22.126728586013886,-147.49769182813708,-21.211268546380524,-121.94995349252413,11.833218615388615,10.371535877633429,9.435871647247085
betaF0,284.4795753009387,-84.58148837693268,3873.8713217170693,2875.4613074119497,-3607.896844659462,-2684.996759295689,-34.41639764407832,-216.33261674156023,146.91404226649948,-51.80707491091919,-0.6322625111447452,-13.7730908502501,-3.2342808544215003,-4.839636375302145,-112.97881800985358,12.835106019376733,14.658908861437421,-21.322967276579664,-133.69183702438556,-14.986227823642116,-133.94912824235917,-14.795909831903543,-122.58512791172949,10.569957594956493,10.9417136079802,11.736569662541449
qEG,1368.852270568949,-1098.4434270608037,-5247.763282361147,-3607.896844659462,8607.13990568484,3997.333083622829,-141.60031404423452,-736.0265890969664,-178.0689232846021,-1415.6819769697993,-22.916568653960066,150.99725590395454,63.991554103080524,-40.75782724778351,1128.9719441739935,-112.46530731303793,27.88591683820433,51.81974827624752,137.74880759816588,31.410307320668114,79.82508660041164,32.378051016586014,66.6349776473144,-7.872607613543172,-2.7221916228184524,-2.129507463923156
qEF,1593.232217676123,-1092.9159361474276,-3624.6392735009795,-2684.996759295689,3997.333083622829,4934.9158267729945,-544.3093061007103,-1137.215270523152,-92.99334651295563,-30.541723127108046,-0.51602953962224,80.16576194884864,34.79352373102101,-23.71014778525157,597.6600183145838,-60.60138860578645,-2.1002582512494294,58.57661914365589,301.9197541403501,40.96544382424703,299.87397076614445,42.099991009531124,286.4330908644673,-21.829620925491884,-22.054290882189413,-24.6546692352289
iG,-442.59440316648187,311.3977821342356,-44.20869366469803,-34.41639764407832,-141.60031404423452,-544.3093061007103,153.46795470870921,303.7105265817703,-9.199947314298287,17.19609195507544,0.21802014319447258,-25.482821910219343,-11.604835309707806,9.630100306367046,-186.47261403915223,18.074332236497835,-7.634499053679074,-6.818175581680881,-13.213848975229999,-4.051785123026929,-5.302654435841662,-4.351937823768696,-5.585814043443259,0.5408772590811319,-0.1742433329015099,-0.12372565489213323
iE,-1605.8866870885386,895.4010043507697,-146.41460103120852,-216.33261674156023,-736.0265890969664,-1137.215270523152,303.7105265817703,1093.6582021688553,-40.2733498994607,-166.38799935654237,-2.021241446638267,-45.372574476590565,-22.560453336945162,21.02038388153659,-344.37649406518545,35.12844467714586,-16.005334545902397,-30.182934990861575,-135.05659157170584,-21.497924530717114,-135.95631441839728,-22.654842392870062,-135.71230714388471,8.906888356488206,8.98035818524668,10.651648663898525
Kd0,57.317102326544784,-44.33830881960081,193.02598541528334,146.91404226649948,-178.0689232846021,-92.99334651295563,-9.199947314298287,-40.2733498994607,85.79529359079145,-0.01910456723303216,-0.00029079516309370965,1.7754684705014885,3.0269542216806813,-6.87659644223516,-0.8266354568986752,-1.9511680075230633,-43.01281714322668,-0.006102501764637323,-0.04836233541763287,-0.0043123230757941295,-0.04841113614551267,-0.0037021678717783757,-0.03798613041483553,0.003749691770715694,0.0037616020453514662,0.003106417974704468
gammaG0,277.70668179917317,-62.78416763636315,-202.28134644832215,-51.80707491091919,-1415.6819769697993,-30.541723127108046,17.19609195507544,-166.38799935654237,-0.01910456723303216,2034.4905416395568,30.27509367863354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gammaF0,3.1419781146203536,-0.703279441931057,-2.5106023339607395,-0.6322625111447452,-22.916568653960066,-0.51602953962224,0.21802014319447258,-2.021241446638267,-0.00029079516309370965,30.27509367863354,0.46443844067359313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS_N,41.065116151231216,-145.3506861827181,-41.38480848257556,-13.7730908502501,150.99725590395454,80.16576194884864,-25.482821910219343,-45.372574476590565,1.7754684705014885,0.0,0.0,240.7992723836953,107.78362499876769,-83.0014834164804,5.451853168240567,-0.8669542629948109,0.07614544255903997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrO2,-16.27047796976214,-68.86981419494282,-15.16253962026641,-3.2342808544215003,63.991554103080524,34.79352373102101,-11.604835309707806,-22.560453336945162,3.0269542216806813,0.0,0.0,107.78362499876769,80.02536027760956,-89.4553238896918,3.892081031280085,-0.6975565230654049,0.036293555824343175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrDrain,54.26925732257147,36.87620181071707,2.1911999567708893,-4.839636375302145,-40.75782724778351,-23.71014778525157,9.630100306367046,21.02038388153659,-6.87659644223516,0.0,0.0,-83.0014834164804,-89.4553238896918,132.82290009023822,-4.131014323389039,0.7814158099463623,-0.025339116050333215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS_N,193.18909030351563,-1230.7488377068132,-316.4075721842307,-112.97881800985358,1128.9719441739935,597.6600183145838,-186.47261403915223,-344.37649406518545,-0.8266354568986752,0.0,0.0,5.451853168240567,3.892081031280085,-4.131014323389039,1801.2236115286482,-180.18473496865508,32.152401056048525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAld,16.881846228338276,135.30226025384096,34.892534038373874,12.835106019376733,-112.46530731303793,-60.60138860578645,18.074332236497835,35.12844467714586,-1.9511680075230633,0.0,0.0,-0.8669542629948109,-0.6975565230654049,0.7814158099463623,-180.18473496865508,29.79783487262531,29.41229873619493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcStress,353.40598256778765,-307.6217003303239,28.133312049887056,14.658908861437421,27.88591683820433,-2.1002582512494294,-7.634499053679074,-16.005334545902397,-43.01281714322668,0.0,0.0,0.07614544255903997,0.036293555824343175,-0.025339116050333215,32.152401056048525,29.41229873619493,644.8801861752714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k_EA_growth,78.5595478454197,35.0637138292226,-33.38910628134818,-21.322967276579664,51.81974827624752,58.57661914365589,-6.818175581680881,-30.182934990861575,-0.006102501764637323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.9748316688278,264.6150020361644,0.0,0.0,0.0,0.0,-19.738727117570082,0.0,0.0
k_EA_stationary,301.776834616036,207.8716207444423,-165.13006253457115,-133.69183702438556,137.74880759816588,301.9197541403501,-13.213848975229999,-135.05659157170584,-0.04836233541763287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.6150020361644,1989.8978063804414,0.0,0.0,0.0,0.0,-156.51703889098692,0.0,0.0
k_IAA_growth,60.76558796211966,36.451398049487146,-22.126728586013886,-14.986227823642116,31.410307320668114,40.96544382424703,-4.051785123026929,-21.497924530717114,-0.0043123230757941295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.729703453400333,207.95918679057894,0.0,0.0,0.0,-15.923812413554105,0.0
k_IAA_stationary,340.15548373866466,309.6528417322598,-147.49769182813708,-133.94912824235917,79.82508660041164,299.87397076614445,-5.302654435841662,-135.95631441839728,-0.04841113614551267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.95918679057894,2251.7293558636748,0.0,0.0,0.0,-183.71108754803475,0.0
k_EO_growth,63.61010687299068,36.398470189684666,-21.211268546380524,-14.795909831903543,32.378051016586014,42.099991009531124,-4.351937823768696,-22.654842392870062,-0.0037021678717783757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.803393647404036,214.70385992247287,0.0,0.0,-18.931505760595023
