,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,2789.9196967685893,-1606.9151790806054,-134.43130681488918,48.64281499620883,1393.8072425271862,1531.0290337068752,-336.8261811004689,-1455.619727295164,-99.83823271692899,262.699647996383,3.402905357591984,8.168493348332191,-9.47329645443686,11.97077332693491,20.898462553147002,7.90938307406702,132.54990555123797,49.4005767142534,415.83107646625734,38.20884488714041,460.6115942783111,38.892780674332656,439.1758509694844,-26.664288173180385,-31.756653576885803,-35.650950632670146
qN,-1606.9151790806054,2096.9966390151635,141.7627218065671,-23.172420222575973,-1164.6511336849985,-1187.3542727435445,278.3329533802305,1044.7565729267424,107.06568786938819,-167.5512576592838,-2.188424630905352,-76.30731851757852,-67.25692588657823,41.1798103847694,-549.7359912397754,53.718818149546244,-124.20129978065174,-6.596048746144778,-52.48465802351452,-1.0389792995488738,-0.7553704762308575,-1.2333177244906808,-1.5988259858841039,2.4924229744310815,-1.1927910188005966,-0.9328592885532057
betaG0,-134.43130681488918,141.7627218065671,2168.866671729506,1457.758731677252,-1982.5746805883266,-1212.8484978977772,-48.58385075994646,-118.89935567115691,261.02945551541666,-201.45585834619587,-2.7873977899592175,-10.545005266593675,-6.463855453842992,2.9378541116312737,-83.42603194809632,8.305232600298586,-4.796448000243082,-25.696659818005383,-247.29187805382534,-18.63840251376982,-253.83876470350907,-18.183435017579125,-228.2085199001201,17.2531930795301,18.878593051132004,19.634161184276753
betaF0,48.64281499620883,-23.172420222575973,1457.758731677252,1051.7945293473383,-1180.3015926296691,-910.3775431284844,-26.298975973978855,-188.6125253323313,203.10509475525868,-48.23227115657772,-0.6852634072438378,-3.1184434889476815,-0.3711012943568905,-0.7484614709630723,-29.18188579881032,2.5956693554709283,-6.6201874521098905,-15.957828997965526,-173.6158271532422,-11.83547778235998,-184.60194147991217,-11.74321193010811,-172.08213319334183,13.038513855382961,14.936128487483042,16.344967357213168
qEG,1393.8072425271862,-1164.6511336849985,-1982.5746805883266,-1180.3015926296691,4303.006293072512,1462.7667193296977,-73.64257652890194,-684.76675761468,-214.5526372192892,-912.8881568781238,-14.85404187482842,49.73085068896761,42.16793699404198,-26.405316368202655,372.933886730104,-36.731405817446785,22.93798735810093,44.2353788319782,347.1471419244468,31.249997850187704,340.42197976289197,31.48738462981927,314.8483985903998,-21.957908399461257,-22.7141636105515,-24.615210623116358
qEF,1531.0290337068752,-1187.3542727435445,-1212.8484978977772,-910.3775431284844,1462.7667193296977,2669.6001342094364,-391.9345743059032,-884.0007699423305,-107.89246548731863,-22.480182815890064,-0.37046054584981475,29.16900140287003,25.568833481627884,-16.337952551078505,215.85246949257424,-21.595051219682414,8.459480112498767,43.30750493766432,407.12089504529905,31.757383951066743,426.0280463430521,31.995102222789235,400.85049355019595,-27.994586013304264,-31.472491289318754,-34.76191314637344
iG,-336.8261811004689,278.3329533802305,-48.58385075994646,-26.298975973978855,-73.64257652890194,-391.9345743059032,97.91587272486862,226.20133564208408,-15.959500458736121,13.351413857162155,0.1890784806089147,-8.85495247068538,-8.207333190522432,5.443830598445323,-64.44364042850432,6.435461872349786,-2.21352600821833,-5.10821099773792,-34.30114659309531,-3.5397635427954213,-32.21166820091869,-3.6617684054426394,-30.901683584184045,1.9242772745733583,1.8567838597124882,2.1288956992761983
iE,-1455.619727295164,1044.7565729267424,-118.89935567115691,-188.6125253323313,-684.76675761468,-884.0007699423305,226.20133564208408,964.6455528581716,-78.9788318925191,-171.4297985120983,-2.2484063134854044,-17.760369266655548,-17.64839214411035,12.094621801300727,-128.4680624745453,13.140538702070158,-2.9971338295443273,-24.688926042095773,-212.63062942411696,-18.33143028754831,-224.85780513962044,-18.690187019044487,-214.70537818779508,13.647193196952973,15.486102888151036,17.45235849682955
Kd0,-99.83823271692899,107.06568786938819,261.02945551541666,203.10509475525868,-214.5526372192892,-107.89246548731863,-15.959500458736121,-78.9788318925191,214.6822569070007,-3.173617199821693,-0.08846769173767205,2.287366085628516,5.643746622038366,-5.023042977888733,1.240061538165283,-1.8810264763310418,-29.736537463866558,-1.1044059160445525,-15.880943339106599,-0.8663190487128574,-18.009990670108134,-0.8890970584730843,-17.631998278298276,1.2764024696435021,1.5504272761296665,1.7492684804779903
gammaG0,262.699647996383,-167.5512576592838,-201.45585834619587,-48.23227115657772,-912.8881568781238,-22.480182815890064,13.351413857162155,-171.4297985120983,-3.173617199821693,1489.6034844530043,22.482931103644244,0.0029350538010018017,0.007260116996645113,-0.006474856794897703,0.0030093307732923726,-0.002148544819949892,-0.029397650301400527,-0.003220834999136852,-0.041796996532488556,-0.000849793512816138,-0.01153459359908752,0.00129289287138273,0.033892946051718525,0.002731681822826196,-0.0004322475654935291,-0.006475003186583473
gammaF0,3.402905357591984,-2.188424630905352,-2.7873977899592175,-0.6852634072438378,-14.85404187482842,-0.37046054584981475,0.1890784806089147,-2.2484063134854044,-0.08846769173767205,22.482931103644244,0.3467524949769645,-0.00021803050020242082,-0.0005440121602336432,0.0004865967617629873,-0.00016661281142081813,0.00016187307849326415,0.0023690214173536393,0.0003963573833624138,0.0055060154095844735,0.0003102504646239201,0.006229185905235325,0.00031727277310480663,0.006072463965703429,-0.00043195839045398986,-0.0005233239038036453,-0.0005867912460114749
kPyrS_N,8.168493348332191,-76.30731851757852,-10.545005266593675,-3.1184434889476815,49.73085068896761,29.16900140287003,-8.85495247068538,-17.760369266655548,2.287366085628516,0.0029350538010018017,-0.00021803050020242082,83.99938080630113,76.14546268492114,-49.67984228556297,1.5995515879509035,-0.22249461503378798,0.02070532584832306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrO2,-9.47329645443686,-67.25692588657823,-6.463855453842992,-0.3711012943568905,42.16793699404198,25.568833481627884,-8.207333190522432,-17.64839214411035,5.643746622038366,0.007260116996645113,-0.0005440121602336432,76.14546268492114,109.35959414474183,-83.37856201082694,1.291708765514843,-0.20542109590850913,0.013470112969610369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrDrain,11.97077332693491,41.1798103847694,2.9378541116312737,-0.7484614709630723,-26.405316368202655,-16.337952551078505,5.443830598445323,12.094621801300727,-5.023042977888733,-0.006474856794897703,0.0004865967617629873,-49.67984228556297,-83.37856201082694,66.32506402838997,-0.7794663894745388,0.13043080307465524,-0.007168607074339438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS_N,20.898462553147002,-549.7359912397754,-83.42603194809632,-29.18188579881032,372.933886730104,215.85246949257424,-64.44364042850432,-128.4680624745453,1.240061538165283,0.0030093307732923726,-0.00016661281142081813,1.5995515879509035,1.291708765514843,-0.7794663894745388,621.6373902086439,-62.976511802534446,9.975469011524483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAld,7.90938307406702,53.718818149546244,8.305232600298586,2.5956693554709283,-36.731405817446785,-21.595051219682414,6.435461872349786,13.140538702070158,-1.8810264763310418,-0.002148544819949892,0.00016187307849326415,-0.22249461503378798,-0.20542109590850913,0.13043080307465524,-62.976511802534446,9.483010228934855,9.20271219053249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcStress,132.54990555123797,-124.20129978065174,-4.796448000243082,-6.6201874521098905,22.93798735810093,8.459480112498767,-2.21352600821833,-2.9971338295443273,-29.736537463866558,-0.029397650301400527,0.0023690214173536393,0.02070532584832306,0.013470112969610369,-0.007168607074339438,9.975469011524483,9.20271219053249,184.5869748917901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k_EA_growth,49.4005767142534,-6.596048746144778,-25.696659818005383,-15.957828997965526,44.2353788319782,43.30750493766432,-5.10821099773792,-24.688926042095773,-1.1044059160445525,-0.003220834999136852,0.0003963573833624138,0.0,0.0,0.0,0.0,0.0,0.0,18.14244963281698,161.40853135176286,0.0,0.0,0.0,0.0,-11.118288806301933,0.0,0.0
k_EA_stationary,415.83107646625734,-52.48465802351452,-247.29187805382534,-173.6158271532422,347.1471419244468,407.12089504529905,-34.30114659309531,-212.63062942411696,-15.880943339106599,-0.041796996532488556,0.0055060154095844735,0.0,0.0,0.0,0.0,0.0,0.0,161.40853135176286,1863.7509329574432,0.0,0.0,0.0,0.0,-138.1609167492803,0.0,0.0
k_IAA_growth,38.20884488714041,-1.0389792995488738,-18.63840251376982,-11.83547778235998,31.249997850187704,31.757383951066743,-3.5397635427954213,-18.33143028754831,-0.8663190487128574,-0.000849793512816138,0.0003102504646239201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.92757208828993,126.45857932536603,0.0,0.0,0.0,-9.31951362874314,0.0
k_IAA_stationary,460.6115942783111,-0.7553704762308575,-253.83876470350907,-184.60194147991217,340.42197976289197,426.0280463430521,-32.21166820091869,-224.85780513962044,-18.009990670108134,-0.01153459359908752,0.006229185905235325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.45857932536603,2104.45703520359,0.0,0.0,0.0,-167.73225650309274,0.0
k_EO_growth,38.892780674332656,-1.2333177244906808,-18.183435017579125,-11.74321193010811,31.48738462981927,31.995102222789235,-3.6617684054426394,-18.690187019044487,-0.8890970584730843,0.00129289287138273,0.00031727277310480663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.856364164567097,130.0540764953267,0.0,0.0,-11.127749388207437
k_EO_stationary,439.1758509694844,-1.5988259858841039,-228.2085199001201,-172.08213319334183,314.8483985903998,400.85049355019595,-30.901683584184045,-214.70537818779508,-17.631998278298276,0.033892946051718525,0.006072463965703429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0540764953267,2055.378048364552,0.0,0.0,-190.74910285618148
