,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,6511.687316925361,-4009.6749528829496,-1002.4659116552097,-303.18777071206796,4289.959440908462,4181.791089486663,-1055.334783514501,-4049.988231548905,-2.5155820847396106,382.2993124248676,3.5246598213414706,-9.80599927595934,-47.30838539049157,66.52065521664119,57.496720126900506,12.604717103799631,224.7509255714358,118.1199947098399,926.0926725973402,94.57697622508958,1063.767538939503,100.4777976129242,1061.6706823852185,-59.324977736587826,-63.93646404162114,-65.76467660652257
qN,-4009.6749528829496,4012.082035790466,781.0080441116543,237.66623115972854,-3145.727771148601,-3262.2069332702017,835.5983001221243,2915.836718187888,-0.3191686861842409,-221.38579286165785,-2.0720952800211108,-95.30547172050096,-41.45143665001859,12.010819354063852,-841.7127259901029,85.68253446519688,-198.48242684674292,-39.17736698959487,-426.83072471305024,-25.371097198811828,-428.35249050482145,-27.925794981125282,-437.14141036856716,29.328105995808794,28.165310216477895,29.444490775629923
betaG0,-1002.4659116552097,781.0080441116543,3368.571525741816,1653.7485261271524,-3328.1663583662294,-2623.782890145739,188.94929959403825,786.6647199721984,40.09951518480373,-220.2924788748255,-2.0446197348890154,-25.820642712013118,-16.99382409535063,12.951243509621978,-182.86940311361687,23.344922989790934,44.3777132557582,-67.89504327375025,-611.073141728206,-51.42777600684083,-661.5994245228806,-53.0342290668744,-634.8460131928572,41.429699027488184,41.81868998899035,40.646540580339064
betaF0,-303.18777071206796,237.66623115972854,1653.7485261271524,855.173384549155,-1402.7582529133301,-1356.5309194022655,100.62115835368486,257.718246560419,22.65731067127716,-63.413776225773994,-0.5895592571567086,-8.283034145583102,-5.263156630023535,3.790848574316109,-58.24108085015494,7.955282304438254,21.410846638133158,-30.476572042361248,-293.6468039599739,-23.170517621388672,-319.2342648384074,-23.849711342604472,-306.5550368129939,20.73505302862232,21.110422059736393,20.663855468062472
qEG,4289.959440908462,-3145.727771148601,-3328.1663583662294,-1402.7582529133301,7307.4458355994175,3173.000696477498,-451.01787016661683,-2882.381334089942,-27.1490178561237,-51.83824411510601,-0.4898929641910949,99.26882609351914,64.85977061165059,-51.093337830791675,750.7715589163383,-80.55890163164362,8.048906297247171,118.33897285361033,897.9759912693177,88.08805595170995,955.756586396476,92.77347353254783,936.6690855379479,-57.4744225786483,-56.955100785541035,-57.1032629239057
qEF,4181.791089486663,-3262.2069332702017,-2623.782890145739,-1356.5309194022655,3173.000696477498,6206.58840096975,-1302.8148677462852,-3087.0248238555278,-41.88223574977052,0.128476693100213,0.0012064248539523867,45.573306268380215,29.966354071222913,-23.719862179118557,344.46272205608085,-36.98983216461773,4.69038301522527,98.81417832200293,931.7329559751463,76.16015205726727,1035.0222272787873,80.37521425528561,1022.7228914176003,-63.883897296850286,-66.747965905954,-67.38651852525763
iG,-1055.334783514501,835.5983001221243,188.94929959403825,100.62115835368486,-451.01787016661683,-1302.8148677462852,358.18130801140546,751.1246283675986,3.5454249919732916,24.3446940496169,0.2260678745303258,-17.221282786739096,-11.250734238705803,8.96478248925904,-132.15703902170938,13.483638402834263,-10.056852418107958,-18.28404373520166,-147.67593769976392,-13.75337442259937,-160.94998814212306,-14.722267440418943,-161.49633086950644,9.56814115209817,9.80541825096295,10.095056071840714
iE,-4049.988231548905,2915.836718187888,786.6647199721984,257.718246560419,-2882.381334089942,-3087.0248238555278,751.1246283675986,2816.443660457208,5.548637805803687,-228.526247618309,-2.1224293857166043,-25.522964319326096,-17.832444393424428,14.883852007666183,-201.55552865640698,20.279129218424263,-29.98428406427313,-69.85464814160932,-616.4682823207293,-54.921778466913935,-697.6271506104449,-58.541571876653535,-698.441740865293,40.78953178544514,43.46230911332585,44.75326659417933
Kd0,-2.5155820847396106,-0.3191686861842409,40.09951518480373,22.65731067127716,-27.1490178561237,-41.88223574977052,3.5454249919732916,5.548637805803687,10.549374667479784,6.310887241768094e-26,0.0,0.3766985710614575,0.7204095856848638,-0.9751597166248316,-0.05783896169367231,-0.16640831167042522,-2.7122750102115365,-0.6115617662784931,-7.60975994598686,-0.49410819252632904,-8.786398637294324,-0.5252952605067744,-8.773286940753692,0.5451916430176895,0.5935598314988662,0.5993481668735509
gammaG0,382.2993124248676,-221.38579286165785,-220.2924788748255,-63.413776225773994,-51.83824411510601,0.128476693100213,24.3446940496169,-228.526247618309,6.310887241768094e-26,839.2920574898819,7.753053946810623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
