,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,11879.699194081599,-3575.2727848602094,-341.09496721486784,72.40721720020893,4143.376720839119,4595.881296095105,-1146.0985115552758,-5030.850239428547,149.2021935425207,598.9385539170179,5.845400568997236,-11.200695596517622,-65.05675154283907,166.1641939023737,277.81651254879307,42.93264666413958,591.5151661306861,221.32237545594822,872.7314603682075,175.7525416830638,1002.3524482046987,186.88298165156388,999.9878030633943,-62.78753095683247,-64.54788999412969,-67.21551974360553
qN,-3575.2727848602094,5978.1473869032925,419.54140230473337,4.64811500362337,-2782.352475994132,-3082.8356333687866,796.3266189816703,2995.7763974714685,-129.1534673376061,-232.29895686157218,-2.3518004971375768,-172.37554972625284,-69.79059540901746,28.137534661481126,-1970.2179236719312,239.77353321877405,-473.3263779791994,-12.811245607385773,-104.64294830948961,4.4480414157279835,-23.392747836457254,2.4324871496599125,-37.64485426067149,8.013437521787298,1.9983276759585358,3.251999883992286
betaG0,-341.09496721486784,419.54140230473337,4232.353283424774,2444.166442646909,-4098.052541212403,-2852.7016912861177,43.949975145550766,368.4784089667589,231.99761019459277,-297.9318360752096,-2.9451572016066234,-73.7333096579835,-31.134977503158254,27.123080671714256,-615.6574491972086,80.80892255499862,62.42064507206287,-87.6564055600021,-394.74136988536935,-62.02909861275825,-393.76787491045286,-62.91483402296921,-364.7593025182665,29.525280402149747,26.037616336583557,24.458639347607875
betaF0,72.40721720020893,4.64811500362337,2444.166442646909,1525.9472847283055,-2069.573135366186,-1775.6208387754898,18.05821357833483,45.865276569960216,158.80802078176364,-86.33400638819485,-0.8548462965796167,-24.385753293159734,-9.76110427016442,6.599195524928907,-207.03967018400937,28.13795532866752,31.93104942202137,-52.222878403556244,-284.2740712981526,-38.155120690338244,-297.23984108923986,-38.85797244365338,-281.31746905041507,22.71456818149568,21.463413669831432,20.978568010660428
qEG,4143.376720839119,-2782.352475994132,-4098.052541212403,-2069.573135366186,8223.824006461315,3285.2185759253352,-348.61343852091835,-2452.3919110193187,-171.7471399892116,-138.04309457541152,-1.4140444542105337,234.04316108611692,99.93264659839146,-100.56103134944853,2001.4053857354083,-238.19125522415976,17.746881223325673,122.89979377012259,365.8906987174468,80.40505562205169,305.3393441524282,84.33193440239492,287.36470667110297,-24.787404721400236,-16.918745500378417,-16.238209064538907
qEF,4595.881296095105,-3082.8356333687866,-2852.7016912861177,-1775.6208387754898,3285.2185759253352,6215.297866976803,-1071.9696758151608,-2853.0187974371597,-114.80482070547127,0.12160352510335608,0.0011813329276166595,111.97970378659362,48.570529021762,-50.459462919558185,955.1349622881158,-114.01022097599305,11.195046857290558,151.75215525901734,789.0134249349842,113.04440571957065,849.9652951846173,119.07735071246289,836.4297725034811,-61.131726233887925,-59.655813588134535,-60.79849943613125
iG,-1146.0985115552758,796.3266189816703,43.949975145550766,18.05821357833483,-348.61343852091835,-1071.9696758151608,307.3534758872853,683.9214547270866,-13.654066191971468,31.677765888573088,0.31259374556267794,-37.80051507952514,-16.34199949219787,17.65812524359168,-322.92964466236157,36.92257878593356,-16.35724966808638,-19.70043082513943,-73.08190204060222,-13.506795281539754,-71.1872491824619,-14.686336258655313,-72.72109955201608,5.255193640099735,4.554432486085189,4.876969323107318
iE,-5030.850239428547,2995.7763974714685,368.4784089667589,45.865276569960216,-2452.3919110193187,-2853.0187974371597,683.9214547270866,2875.258209685485,-59.03172996530642,-303.69970720777974,-3.0007997926770504,-80.43679936946225,-37.04533745397445,43.41486122840002,-710.8086656491603,83.59583689515179,-46.17723919624847,-91.2147644412029,-400.9145357138952,-68.61321739367754,-434.49887170437904,-73.7050814037294,-438.60615486293614,29.343467851342982,28.60808392162113,30.16951094900084
Kd0,149.2021935425207,-129.1534673376061,231.99761019459277,158.80802078176364,-171.7471399892116,-114.80482070547127,-13.654066191971468,-59.03172996530642,105.26648474383573,-3.155443620884047e-26,0.0,2.1177113853385254,2.2710668386880375,-5.9907964402521445,-0.2028923324748268,-1.6208218523377798,-23.21361896123984,-2.6291737087450335,-18.64165239606376,-2.1250308083154974,-21.535868965136487,-2.2515838861113653,-21.460128641037628,1.5073894431261725,1.5933722439445501,1.6387217134985754
gammaG0,598.9385539170179,-232.29895686157218,-297.9318360752096,-86.33400638819485,-138.04309457541152,0.12160352510335608,31.677765888573088,-303.69970720777974,-3.155443620884047e-26,1113.9185114739344,10.960836074801218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
