policy,objective,campaign_order,candidate,family,medium,horizon_h,temperature_segments,score,rationale,campaign_logdet,campaign_min_eigenvalue,campaign_max_eigenvalue,campaign_min_relative_eigenvalue,campaign_condition_number,campaign_trace_inv,campaign_rank_1e-8,var_ratio_mu0,var_reduction_mu0,var_ratio_qN,var_reduction_qN,var_ratio_betaG0,var_reduction_betaG0,var_ratio_betaF0,var_reduction_betaF0,var_ratio_qEG,var_reduction_qEG,var_ratio_qEF,var_reduction_qEF,var_ratio_iG,var_reduction_iG,var_ratio_iE,var_reduction_iE,var_ratio_Kd0,var_reduction_Kd0,var_ratio_gammaG0,var_reduction_gammaG0,var_ratio_gammaF0,var_reduction_gammaF0,var_ratio_kPyrS_N,var_reduction_kPyrS_N,var_ratio_kPyrO2,var_reduction_kPyrO2,var_ratio_kPyrDrain,var_reduction_kPyrDrain,var_ratio_kAldS_N,var_reduction_kAldS_N,var_ratio_kAcAld,var_reduction_kAcAld,var_ratio_kAcStress,var_reduction_kAcStress,var_ratio_k_EA_growth,var_reduction_k_EA_growth,var_ratio_k_EA_stationary,var_reduction_k_EA_stationary,var_ratio_k_IAA_growth,var_reduction_k_IAA_growth,var_ratio_k_IAA_stationary,var_reduction_k_IAA_stationary,var_ratio_k_EO_growth,var_reduction_k_EO_growth,var_ratio_k_EO_stationary,var_reduction_k_EO_stationary,var_ratio_alpha_EA_loss,var_reduction_alpha_EA_loss,var_ratio_alpha_IAA_loss,var_reduction_alpha_IAA_loss,var_ratio_alpha_EO_loss,var_reduction_alpha_EO_loss,new_param_mean_var_reduction,new_param_worst_var_reduction
two_per_day,hybrid,1,synthetic_fructose_rich_glucose_pulse,sugar_separation,synthetic,216.0,"17, 20, 23, 20",138.8314842939112,Fructose-rich run probes iG and fructose kinetic directions.,164.7960305827869,0.41290879189612895,174206.5353583967,2.3702256120681573e-06,421900.7654412454,3.286783024176219,26,0.8757033050808007,0.12429669491919926,0.8679483947957187,0.13205160520428127,0.5950666169636437,0.4049333830363563,0.3544842696921994,0.6455157303078005,0.7234622240392398,0.27653777596076023,0.3946409612560467,0.6053590387439534,0.36475923424451673,0.6352407657554833,0.6639290653128145,0.3360709346871855,0.9166540928007236,0.08334590719927637,0.5675891931427705,0.43241080685722955,0.37575630562104917,0.6242436943789509,0.9456529892787072,0.05434701072129278,0.9791721076953807,0.020827892304619344,0.9737019306458978,0.02629806935410217,0.8483299577245252,0.15167004227547476,0.9462332980869728,0.05376670191302724,0.7710296354868468,0.22897036451315322,0.033591963075279736,0.9664080369247202,0.0022139274496655783,0.9977860725503345,0.05885830310202396,0.941141696897976,0.001887838041508664,0.9981121619584913,0.05224233817204638,0.9477576618279536,0.0017940598425623528,0.9982059401574377,0.4222867328951539,0.5777132671048462,0.36554084359990974,0.6344591564000903,0.2829855057258616,0.7170144942741383,0.7328486867747426,0.05376670191302724
two_per_day,hybrid,2,synthetic_high_biomass_low_N_maintenance,maintenance,synthetic,216.0,"16, 18, 20, 18",148.74247298273113,High biomass with low N creates low-growth sugar consumption windows for m0.,174.70141852084248,0.43128591769525776,182258.50707521668,2.3663417670664304e-06,422593.22550846345,2.751913866343459,26,0.815300723762157,0.184699276237843,0.8508937114253056,0.14910628857469443,0.5530461148282677,0.4469538851717323,0.3329616320318527,0.6670383679681473,0.6831645491319093,0.31683545086809073,0.3722976711727989,0.6277023288272011,0.35124461668118645,0.6487553833188135,0.5754327239168853,0.42456727608311473,0.8848913863299704,0.11510861367002956,0.5412626717979183,0.4587373282020817,0.35974297121204324,0.6402570287879568,0.7523115435616294,0.24768845643837056,0.6762450766480862,0.3237549233519138,0.7363518807059999,0.2636481192940001,0.846177036975805,0.15382296302419496,0.9446267642921728,0.05537323570782715,0.43758975991147236,0.5624102400885276,0.015511766475422998,0.984488233524577,0.0005477345281340326,0.9994522654718659,0.027763322261370196,0.9722366777386298,0.00048036166437587826,0.9995196383356241,0.02481650387913826,0.9751834961208617,0.00043692766763400644,0.999563072332366,0.22053681238486775,0.7794631876151322,0.18080268360967833,0.8191973163903217,0.13638744556596477,0.8636125544340352,0.8191363561599787,0.05537323570782715
two_per_day,hybrid,3,synthetic_lit_SM410_18C_highN_ester,literature_nitrogen_high,synthetic,216.0,"18, 18, 18, 18",154.7183951854017,Literature SM410-like high YAN tests ester capacity and nitrogen-saturated aroma phase.,180.8426769348825,0.4460105785288942,205109.55871877645,2.174499235018172e-06,459875.9953077855,2.5526925942624943,26,0.6065034147619219,0.39349658523807807,0.6310167181631302,0.3689832818368698,0.45491192850083245,0.5450880714991675,0.31178391100434066,0.6882160889956593,0.5537867323571714,0.44621326764282865,0.3385183830371295,0.6614816169628706,0.3157908321983235,0.6842091678016765,0.4947799870274432,0.5052200129725568,0.7789727298044796,0.22102727019552038,0.47890003101142625,0.5210999689885738,0.34786545432599486,0.6521345456740051,0.6655895702274306,0.3344104297725694,0.6228130026234456,0.37718699737655437,0.6629194030943407,0.3370805969056593,0.7077142632053958,0.29228573679460423,0.8943402723672761,0.10565972763272391,0.35254725721747415,0.6474527427825258,0.006570969565004467,0.9934290304349955,0.0004546765804071763,0.9995453234195928,0.01188980258341848,0.9881101974165816,0.0004006218323671715,0.9995993781676328,0.010571743432501767,0.9894282565674982,0.00036253592296349847,0.9996374640770365,0.17456529217709824,0.8254347078229017,0.14729451169915425,0.8527054883008458,0.11101561201231165,0.8889843879876883,0.8445442458736386,0.10565972763272391
two_per_day,hybrid,4,synthetic_glucose_rich_fructose_pulse,sugar_separation,synthetic,216.0,"17, 20, 23, 20",158.47858746420405,High glucose plus fructose pulse separates glucose and fructose uptake/yield directions.,184.59738571254903,0.4836777224214193,222406.0637881253,2.1747506078889738e-06,459822.83962697594,2.2981453898053865,26,0.5667145835397207,0.4332854164602793,0.5797221259806742,0.4202778740193258,0.3426955250042828,0.6573044749957172,0.25924620971890605,0.7407537902810939,0.4903101142267733,0.5096898857732267,0.3085235682081111,0.6914764317918889,0.2765271918774608,0.7234728081225392,0.44867101286673694,0.5513289871332631,0.7137805340261765,0.28621946597382353,0.4177196759104731,0.5822803240895269,0.32077719105293623,0.6792228089470638,0.644850103614218,0.355149896385782,0.6159825766582568,0.38401742334174316,0.65214262610458,0.34785737389542004,0.6620694771540074,0.33793052284599256,0.8744102633901693,0.12558973660983075,0.32095915712052625,0.6790408428794737,0.00549566629792908,0.9945043337020709,0.0003685420648506682,0.9996314579351493,0.009957441661555337,0.9900425583384447,0.00032173018431714466,0.9996782698156829,0.00885113376880512,0.9911488662311949,0.0002902051662156434,0.9997097948337843,0.12402611213140609,0.8759738878685939,0.1045568936813073,0.8954431063186927,0.07832565469034894,0.9216743453096511,0.8611306545311426,0.12558973660983075
two_per_day,hybrid,5,synthetic_high_sugar_reference,synthetic_baseline,synthetic,216.0,"18, 20, 20, 18",160.84138924286592,Synthetic high-sugar operating point close to the current synthetic dataset.,187.10612551414766,0.49850169945098527,246836.35294714756,2.019563542804913e-06,495156.4923830666,2.2024269535024774,26,0.5434459539045031,0.4565540460954969,0.5485918005479846,0.4514081994520154,0.3026668913387598,0.6973331086612402,0.25006863366518267,0.7499313663348173,0.43506245545600314,0.5649375445439968,0.2935129274848712,0.7064870725151289,0.2607600976956979,0.7392399023043021,0.4116462117868888,0.5883537882131111,0.672882866751153,0.32711713324884695,0.3852592269258524,0.6147407730741477,0.311237739111741,0.688762260888259,0.6282763899531293,0.3717236100468707,0.6080389307633748,0.3919610692366252,0.6428985753598594,0.3571014246401406,0.6309254720118831,0.3690745279881169,0.8599460614893499,0.14005393851065007,0.29448351300079717,0.7055164869992028,0.004914948886692727,0.9950850511133073,0.00031800013088846313,0.9996819998691115,0.008926943850420135,0.9910730561495799,0.00027574561509260433,0.9997242543849074,0.00792433432530599,0.992075665674694,0.00024755363724635824,0.9997524463627536,0.10212346929007349,0.8978765307099266,0.08698704621379685,0.9130129537862032,0.06558539971279835,0.9344146002872017,0.8698424530770489,0.14005393851065007
two_per_day,hybrid,6,synthetic_viable_biomass_step,biomass_input,synthetic,216.0,"18, 22, 22, 18",162.79306146806695,Known viable biomass addition tests rate proportionality to X and supports yield separation.,189.08562181246262,0.5163117971502977,259497.8063443757,1.9896576561618713e-06,502599.0259696433,2.115493764517145,26,0.5156753681363895,0.4843246318636105,0.5171558711127184,0.48284412888728157,0.28680736551106,0.71319263448894,0.23235011040577266,0.7676498895942273,0.40234703409611494,0.5976529659038851,0.2767817858070342,0.7232182141929657,0.25658356695576423,0.7434164330442358,0.3866446436898088,0.6133553563101912,0.6157838626335059,0.38421613736649407,0.36950893693507586,0.6304910630649241,0.3005000709844637,0.6994999290155364,0.6090502301732057,0.3909497698267943,0.5878620699549477,0.4121379300450523,0.6159591164554981,0.38404088354450194,0.6054688828237699,0.39453111717623013,0.8479870593997784,0.15201294060022164,0.2516789204260771,0.7483210795739229,0.004505896014584222,0.9954941039854158,0.0002979408468085583,0.9997020591531914,0.008178114188624568,0.9918218858113754,0.00025640063376340975,0.9997435993662366,0.007252272085984566,0.9927477279140154,0.00022742686692494438,0.9997725731330751,0.09413897570663954,0.9058610242933605,0.07853069889510489,0.9214693011048951,0.05712878361828301,0.942871216381717,0.8772561373924933,0.15201294060022164
two_per_day,hybrid,7,synthetic_lit_SM410_24C_highN_strip,literature_temp_strip,synthetic,168.0,"20, 24, 24, 20",164.51651050866622,High YAN plus warm high-rate fermentation excites CO2 stripping and temperature-partition effects.,190.90860198173925,0.5237426925562899,276839.9066236076,1.891861252750573e-06,528579.9889109745,2.062363210533164,26,0.4954607409664274,0.5045392590335727,0.5059837337311339,0.4940162662688661,0.26895035614438484,0.7310496438556151,0.22630613524880183,0.7736938647511982,0.3718654383949498,0.6281345616050502,0.26644015604081706,0.733559843959183,0.25206032190001315,0.7479396780999868,0.36277147267860854,0.6372285273213915,0.6004465716113411,0.3995534283886589,0.3526300622573304,0.6473699377426696,0.29623625968272393,0.7037637403172761,0.5743281591314826,0.4256718408685174,0.5833967767672588,0.41660322323274124,0.6152490635596572,0.38475093644034275,0.57003946914894,0.42996053085106,0.8301174447564885,0.16988255524351148,0.24789304179173094,0.7521069582082691,0.0038259081869334226,0.9961740918130666,0.0002598607194381166,0.9997401392805619,0.006946495978196672,0.9930535040218034,0.00022468373864152107,0.9997753162613585,0.006157720260019057,0.993842279739981,0.00020061934046426423,0.9997993806595358,0.07877608911514618,0.9212239108848538,0.06630189809622639,0.9336981019037736,0.04839310208174584,0.9516068979182541,0.882809375994088,0.16988255524351148
two_per_day,hybrid,8,synthetic_lit_SM70_warm_shift_Nrescue,literature_nitrogen_timing,synthetic,216.0,"16, 18, 24, 20",165.9583360342206,Low initial YAN with operational N rescue tests phase transition timing and practical nutrient intervention.,192.40368027770785,0.5376944449424618,292117.97019362263,1.8406756851900117e-06,543278.7579289236,1.9972505867017094,26,0.4860597170271556,0.5139402829728443,0.5010036173105495,0.49899638268945046,0.24616990384249804,0.753830096157502,0.2189398469335269,0.7810601530664731,0.3390393022108576,0.6609606977891425,0.25565053437213614,0.7443494656278639,0.24276645656746776,0.7572335434325322,0.3399518852643669,0.6600481147356331,0.595903487900679,0.40409651209932096,0.33052761200672964,0.6694723879932704,0.28854991219079434,0.7114500878092056,0.5338685562646751,0.4661314437353249,0.5018061134165852,0.4981938865834148,0.5510114409218829,0.4489885590781171,0.5582890115261249,0.44171098847387513,0.825976193255571,0.17402380674442897,0.24286613163958629,0.7571338683604137,0.0036830568427956025,0.9963169431572044,0.00022438501381197694,0.999775614986188,0.006686029644504978,0.9933139703554951,0.0001931418126090741,0.9998068581873909,0.005925417176982244,0.9940745828230177,0.00017208551328462053,0.9998279144867154,0.06964014792918444,0.9303598520708156,0.05815102594601277,0.9418489740539873,0.04252409716745149,0.9574759028325485,0.8858143898234733,0.17402380674442897
two_per_day,hybrid,9,natural_glucose_pulse_after_growth,natural_sugar_pulse,natural,216.0,"18, 20, 22, 19",167.28291039206277,Natural must with glucose perturbation to test sugar-transfer validity.,193.78764432306303,0.5420112010082828,303433.4555902841,1.786260516177696e-06,559828.7545087968,1.9723580427326262,26,0.47546001448608843,0.5245399855139116,0.48347475490547404,0.5165252450945259,0.23661879409905104,0.7633812059009489,0.21432631395958757,0.7856736860404124,0.3211549217957729,0.6788450782042271,0.247640176983457,0.752359823016543,0.24028092781119287,0.7597190721888072,0.3252876543981117,0.6747123456018883,0.5710884048222653,0.4289115951777347,0.32113456782585104,0.678865432174149,0.2862514690079684,0.7137485309920316,0.4902893797435843,0.5097106202564157,0.4711806209084666,0.5288193790915334,0.5212224143641293,0.4787775856358707,0.528669480141699,0.471330519858301,0.8072415760576618,0.19275842394233822,0.22981350789694388,0.7701864921030561,0.003428039116513546,0.9965719608834864,0.00021286551267219876,0.9997871344873278,0.0062304165033424275,0.9937695834966576,0.00018237633753082083,0.9998176236624692,0.005520148595314813,0.9944798514046852,0.00016175245521579922,0.9998382475447842,0.06480084213106556,0.9351991578689345,0.05351205516988786,0.9464879448301121,0.03851525706585532,0.9614847429341447,0.8900346511961814,0.19275842394233822
two_per_day,d_opt,1,synthetic_fructose_rich_glucose_pulse,sugar_separation,synthetic,216.0,"17, 20, 23, 20",164.7960305827869,Fructose-rich run probes iG and fructose kinetic directions.,164.7960305827869,0.41290879189612895,174206.5353583967,2.3702256120681573e-06,421900.7654412454,3.286783024176219,26,0.8757033050808007,0.12429669491919926,0.8679483947957187,0.13205160520428127,0.5950666169636437,0.4049333830363563,0.3544842696921994,0.6455157303078005,0.7234622240392398,0.27653777596076023,0.3946409612560467,0.6053590387439534,0.36475923424451673,0.6352407657554833,0.6639290653128145,0.3360709346871855,0.9166540928007236,0.08334590719927637,0.5675891931427705,0.43241080685722955,0.37575630562104917,0.6242436943789509,0.9456529892787072,0.05434701072129278,0.9791721076953807,0.020827892304619344,0.9737019306458978,0.02629806935410217,0.8483299577245252,0.15167004227547476,0.9462332980869728,0.05376670191302724,0.7710296354868468,0.22897036451315322,0.033591963075279736,0.9664080369247202,0.0022139274496655783,0.9977860725503345,0.05885830310202396,0.941141696897976,0.001887838041508664,0.9981121619584913,0.05224233817204638,0.9477576618279536,0.0017940598425623528,0.9982059401574377,0.4222867328951539,0.5777132671048462,0.36554084359990974,0.6344591564000903,0.2829855057258616,0.7170144942741383,0.7328486867747426,0.05376670191302724
