analysis,parameter,var_ratio,var_reduction
after_actual_lot1,alpha_EO_loss,0.9999983093939657,1.6906060342769536e-06
after_actual_lot1,alpha_EA_loss,0.9999983093939657,1.6906060342769536e-06
after_actual_lot1,alpha_IAA_loss,0.9999983093939657,1.6906060342769536e-06
after_actual_lot1,k_EO_stationary,0.9999953039426377,4.696057362307826e-06
after_actual_lot1,k_EO_growth,0.9999953039426377,4.696057362307826e-06
after_actual_lot1,k_IAA_stationary,0.9999953039426377,4.696057362307826e-06
after_actual_lot1,k_IAA_growth,0.9999953039426377,4.696057362307826e-06
after_actual_lot1,k_EA_stationary,0.9999953039426377,4.696057362307826e-06
after_actual_lot1,k_EA_growth,0.9999953039426377,4.696057362307826e-06
after_actual_lot1,Kd0,0.8432837637865703,0.15671623621342967
after_actual_lot1,betaG0,0.7486449041983293,0.2513550958016707
after_actual_lot1,qN,0.6999624802073374,0.3000375197926626
after_actual_lot1_plus_fixed_lot2,Kd0,0.6791504231346932,0.3208495768653068
after_actual_lot1_plus_fixed_lot2,qN,0.5871052839166067,0.41289471608339334
after_actual_lot1_plus_fixed_lot2,mu0,0.5162822628484901,0.4837177371515099
after_actual_lot1_plus_fixed_lot2,qEG,0.5073439171897401,0.49265608281025985
after_actual_lot1_plus_fixed_lot2,iE,0.4942163864431977,0.5057836135568023
after_actual_lot1_plus_fixed_lot2,gammaG0,0.4561720920044405,0.5438279079955595
after_actual_lot1_plus_fixed_lot2,gammaF0,0.43539449613586706,0.5646055038641329
after_actual_lot1_plus_fixed_lot2,betaG0,0.43535570126376866,0.5646442987362313
after_actual_lot1_plus_fixed_lot2,betaF0,0.3972034368130121,0.6027965631869878
after_actual_lot1_plus_fixed_lot2,qEF,0.37205645255740183,0.6279435474425982
after_actual_lot1_plus_fixed_lot2,iG,0.3689008297611578,0.6310991702388422
after_actual_lot1_plus_fixed_lot2,alpha_EA_loss,0.17012592249832073,0.8298740775016793
after_original_remaining,Kd0,0.6363485716345919,0.3636514283654081
after_original_remaining,qN,0.49533781155569656,0.5046621884443034
after_original_remaining,mu0,0.4698361543041638,0.5301638456958362
after_original_remaining,iE,0.41140817099877364,0.5885918290012264
after_original_remaining,qEG,0.3989854147985831,0.6010145852014168
after_original_remaining,gammaF0,0.3839304057972883,0.6160695942027117
after_original_remaining,gammaG0,0.3689306745432559,0.6310693254567441
after_original_remaining,betaF0,0.3571101262755619,0.6428898737244382
after_original_remaining,betaG0,0.34493540421064234,0.6550645957893577
after_original_remaining,qEF,0.3306330966502391,0.6693669033497609
after_original_remaining,iG,0.3261803075814396,0.6738196924185604
after_original_remaining,alpha_EA_loss,0.0944352075803102,0.9055647924196898
