process,sample_id,source_sheet,ethanol_percent_vv_rep1,ethanol_percent_vv_rep2,ethanol_percent_vv_rep1_num,ethanol_percent_vv_rep2_num,ethanol_percent_vv_final_calc,ethanol_g_l_manual_num,ethanol_g_l_from_percent_vv,ethanol_g_l_for_model_manual,ethanol_pending,ethanol_status,ethanol_sample_type,sample_volume_ml,ethanol_measurement_datetime,ethanol_method,operator,qc_flag,notes
F1,DOE-LAB001-1,F1,0.05,,0.05,,0.05,,0.3945,0.3945,False,measured,ethanol_50mL,50.0,,Alcolyzer,,,
F1,DOE-LAB001-2,F1,0.82,,0.82,,0.82,,6.469799999999999,6.469799999999999,False,measured,ethanol_50mL,50.0,,Alcolyzer,,,
F1,DOE-LAB001-3,F1,,,,,,,,,False,not_measured,small_5mL,5.0,,Alcolyzer,,,
F1,DOE-LAB001-4,F1,,,,,,,,,False,not_measured,small_5mL,5.0,,Alcolyzer,,,
F1,DOE-LAB001-5,F1,1.18,,1.18,,1.18,,9.310199999999998,9.310199999999998,False,measured,ethanol_50mL,50.0,,Alcolyzer,,,
F1,DOE-LAB001-6,F1,2.62,,2.62,,2.62,,20.6718,20.6718,False,measured,ethanol_50mL,50.0,,Alcolyzer,,,
F1,DOE-LAB001-7,F1,3.19,,3.19,,3.19,,25.1691,25.1691,False,measured,ethanol_50mL,50.0,,Alcolyzer,,,
F1,DOE-LAB001-8,F1,,,,,,,,,False,not_measured,small_5mL,5.0,,Alcolyzer,,,
F1,DOE-LAB001-9,F1,5.16,,5.16,,5.16,,40.7124,40.7124,False,measured,ethanol_50mL,50.0,,Alcolyzer,,,
F1,DOE-LAB001-10,F1,,,,,,,,,False,not_measured,small_5mL,5.0,,Alcolyzer,,,
F1,DOE-LAB001-11,F1,5.72,,5.72,,5.72,,45.130799999999994,45.130799999999994,False,measured,ethanol_50mL,50.0,,Alcolyzer,,,
F1,DOE-LAB001-12,F1,6.3,,6.3,,6.3,,49.706999999999994,49.706999999999994,False,measured,ethanol_50mL,50.0,,Alcolyzer,,,
F1,DOE-LAB001-13,F1,,,,,,,,,False,not_measured,small_5mL,5.0,,Alcolyzer,,,
F1,DOE-LAB001-14,F1,7.57,,7.57,,7.57,,59.7273,59.7273,False,measured,ethanol_50mL,50.0,,Alcolyzer,,,
F1,DOE-LAB001-15,F1,11.47,,11.47,,11.47,,90.4983,90.4983,False,measured,ethanol_50mL,50.0,,Alcolyzer,,,
F1,DOE-LAB001-16,F1,11.75,,11.75,,11.75,,92.7075,92.7075,False,measured,ethanol_50mL,50.0,,Alcolyzer,,,
F1,DOE-LAB001-17,F1,,,,,,,,,False,not_measured,small_5mL,5.0,,Alcolyzer,,,
F1,DOE-LAB001-18,F1,,,,,,,,,False,not_measured,small_5mL,5.0,,Alcolyzer,,,
F1,DOE-LAB001-19,F1,12.93,,12.93,,12.93,,102.01769999999999,102.01769999999999,False,measured,ethanol_50mL,50.0,,Alcolyzer,,,
F2,DOE-LAB002-1,F2,1.31,,1.31,,1.31,,10.3359,10.3359,False,measured,ethanol_50mL,50.0,,,,,
F2,DOE-LAB002-2,F2,1.89,,1.89,,1.89,,14.912099999999999,14.912099999999999,False,measured,ethanol_50mL,50.0,,,,,
