sample_id,analyte,station,value_raw,unit,analysis_datetime_raw,source_file,session_datetime,value,analysis_datetime,source_kind,process,analyte_canonical,analyte_priority,is_numeric
DOE-LAB001-17,PAN,ST1,10,mg/L,23-06-2026 10:13:17,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,10.0,2026-06-23 10:13:17,EXP,F1,pan_mg_l,0,True
DOE-LAB002-17,PAN,ST1,-10,mg/L,23-06-2026 10:14:05,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,-10.0,2026-06-23 10:14:05,EXP,F2,pan_mg_l,0,True
DOE-LAB001-17,AMMONIA,ST1,2,mg/L,23-06-2026 10:14:53,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,2.0,2026-06-23 10:14:53,EXP,F1,ammonia_mg_l,0,True
DOE-LAB002-17,AMMONIA,ST1,0,mg/L,23-06-2026 10:15:41,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,0.0,2026-06-23 10:15:41,EXP,F2,ammonia_mg_l,0,True
DOE-LAB003-17,PAN,ST1,-7,mg/L,23-06-2026 10:16:29,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,-7.0,2026-06-23 10:16:29,EXP,F3,pan_mg_l,0,True
DOE-LAB003-17,AMMONIA,ST1,1,mg/L,23-06-2026 10:18:06,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,1.0,2026-06-23 10:18:06,EXP,F3,ammonia_mg_l,0,True
DOE-LAB001-17,GLUCOSE,ST1,"3,41",g/L,23-06-2026 10:27:42,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,3.41,2026-06-23 10:27:42,EXP,F1,glucose_g_l,1,True
DOE-LAB001-17,GLUCOSE-FRUCTOSE,ST1,Out High,g/L,23-06-2026 10:28:06,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,,2026-06-23 10:28:06,EXP,F1,sugar_total_g_l,1,False
DOE-LAB001-17,GLU-FRU-320,ST1,"21,10",g/L,23-06-2026 10:30:07,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,21.1,2026-06-23 10:30:07,EXP,F1,sugar_total_g_l,0,True
DOE-LAB001-17,PYRUVIC ACID,ST1,22,mg/L,23-06-2026 10:30:07,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,22.0,2026-06-23 10:30:07,EXP,F1,pyruvic_acid_mg_l,0,True
DOE-LAB001-17,ACETALDEHID-1000,ST1,43,mg/L,23-06-2026 10:31:19,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,43.0,2026-06-23 10:31:19,EXP,F1,acetaldehyde_mg_l,0,True
DOE-LAB001-17,ACETIC ACID,ST1,"0,88",g/L,23-06-2026 10:32:07,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,0.88,2026-06-23 10:32:07,EXP,F1,acetic_acid_g_l,0,True
DOE-LAB001-17,GLYCEROL,ST1,"7,07",g/L,23-06-2026 10:32:55,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,7.07,2026-06-23 10:32:55,EXP,F1,glycerol_g_l,0,True
DOE-LAB002-17,GLUCOSE,ST1,Out High,g/L,23-06-2026 10:35:43,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,,2026-06-23 10:35:43,EXP,F2,glucose_g_l,1,False
