process,kind,path,status,n_rows
F1,temperature,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\MBDoE_2026\DOE_Lote_2\DOE26-F04_F1_Lot2_synthetic_glucose_rich_fructose_pulse\Temp_F1.csv,loaded,74594.0
F1,temperature,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\MBDoE_2026\DOE_Lote_2\DOE26-F04_F1_Lot2_synthetic_glucose_rich_fructose_pulse\Temp_F1_pt2.csv,loaded,29032.0
F1,co2_filtered,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\MBDoE_2026\DOE_Lote_2\DOE26-F04_F1_Lot2_synthetic_glucose_rich_fructose_pulse\CO2_FILT_F1.csv,loaded,24865.0
F1,co2_filtered,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\MBDoE_2026\DOE_Lote_2\DOE26-F04_F1_Lot2_synthetic_glucose_rich_fructose_pulse\CO2_FILT_F1_pt2.csv,unreadable:[Errno 2] No such file or directory: 'C:\\Users\\ctorrealba\\OneDrive - Viña Concha y Toro S.A\\Documentos\\Doctorado\\Artículos\\Artículo - Estimación_dFBA\\pyomo-doe\\fermentation_model\\data\\Laboratorio 2026\\MBDoE_2026\\DOE_Lote_2\\DOE26-F04_F1_Lot2_synthetic_glucose_rich_fructose_pulse\\CO2_FILT_F1_pt2.csv',
F1,co2_raw_fallback,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\MBDoE_2026\DOE_Lote_2\DOE26-F04_F1_Lot2_synthetic_glucose_rich_fructose_pulse\CO2_F1_pt2.csv,loaded_uncovered_rows,9677.0
F2,temperature,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\MBDoE_2026\DOE_Lote_2\DOE26-F05_F2_Lot2_synthetic_lit_SM410_24C_highN_strip\Temp_F2.csv,loaded,74569.0
F2,temperature,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\MBDoE_2026\DOE_Lote_2\DOE26-F05_F2_Lot2_synthetic_lit_SM410_24C_highN_strip\Temp_F2_pt2.csv,loaded,29028.0
F2,co2_filtered,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\MBDoE_2026\DOE_Lote_2\DOE26-F05_F2_Lot2_synthetic_lit_SM410_24C_highN_strip\CO2_FILT_F2.csv,loaded,24856.0
F2,co2_filtered,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\MBDoE_2026\DOE_Lote_2\DOE26-F05_F2_Lot2_synthetic_lit_SM410_24C_highN_strip\CO2_FILT_F2_pt2.csv,loaded,9675.0
F2,co2_raw_fallback,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\MBDoE_2026\DOE_Lote_2\DOE26-F05_F2_Lot2_synthetic_lit_SM410_24C_highN_strip\CO2_F2.csv,loaded_uncovered_rows,1.0
F3,temperature,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\MBDoE_2026\DOE_Lote_2\DOE26-F06_F3_Lot2_synthetic_viable_biomass_step\Temp_F3.csv,loaded,74542.0
F3,temperature,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\MBDoE_2026\DOE_Lote_2\DOE26-F06_F3_Lot2_synthetic_viable_biomass_step\Temp_F3_pt2.csv,loaded,29032.0
F3,co2_filtered,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\MBDoE_2026\DOE_Lote_2\DOE26-F06_F3_Lot2_synthetic_viable_biomass_step\CO2_FILT_F3.csv,loaded,24847.0
