process,sample_id,sample_sequence,ethanol_percent_vv_rep1_num,ethanol_percent_vv_rep2_num,ethanol_percent_vv_final_calc,ethanol_g_l_manual_num,ethanol_g_l_from_percent_vv,ethanol_g_l_for_model,ethanol_measured,sample_volume_ml,ethanol_measurement_datetime,ethanol_method,operator,qc_flag,notes,acetaldehyde_mg_l,acetic_acid_g_l,ammonia_mg_l,glucose_g_l,glycerol_g_l,pan_mg_l,pyruvic_acid_mg_l,sugar_total_g_l,y15_analysis_datetime_start,y15_analysis_datetime_end,y15_source_files,fructose_g_l_raw,glucose_for_model_g_l,fructose_for_model_g_l,ammonia_for_model_mg_l,pan_for_model_mg_l,yan_calc_mg_l_raw,yan_for_model_physical_mg_l,negative_censored_for_model,sample_id_raw,sample_id_repaired,sample_collection_datetime_raw,sample_collection_datetime,analysis_datetime,time_source,t0,t_h,oculyze_concentration_million_cells_ml,viability_percent,budding_index_percent,density_oculyze,temperature_oculyze_c,x_total_g_l,x_viable_g_l,x_dead_g_l,sample_datetime_used,sample_time_source,sample_observed,time_inferred,cumulative_sample_volume_ml,reactor_volume_after_sample_ml,ethanol_increment_g_l,known_sugar_input_before_sample_g_l,sugar_consumed_since_first_g_l,ethanol_from_sugar_upper_g_l,ethanol_mass_balance_screen,ethanol_use_for_model
F1,DOE-LAB004-1,1,0.3,,0.3,,2.367,2.367,True,50.0,,,,,,34.0,0.08,143.0,120.36,0.31,57.0,6.0,170.77,2026-07-06 13:19:33,2026-07-06 13:27:58,ONLINE(26-07-06 11-48)_1.txt,50.41000000000001,120.36,50.41000000000001,143.0,57.0,200.0,200.0,False,DOE-LAB004-1,False,2026-07-06 12:00:00,2026-07-06 12:00:00,2026-07-06 14:54:05,oculyze_description,2026-07-06 12:00:00,0.0,3.61,69.15,21.28,1068.6,19.7,0.1083,0.07488945,0.03341055,2026-07-06 12:00:00.000000000,oculyze_description,True,False,50.0,1950.0,,0.0,0.0,0.0,pass_or_not_tested,True
F1,DOE-LAB004-2,2,,,,,,,False,5.0,,,,,,33.0,0.11,134.0,117.48,0.31,53.0,-1.0,164.84,2026-07-06 15:47:14,2026-07-06 16:00:27,ONLINE(26-07-06 11-48)_1.txt,47.36,117.48,47.36,134.0,53.0,187.0,187.0,True,,,,,,,2026-07-06 12:00:00,3.174722222222222,,,,,,,,,2026-07-06 15:10:29.000000000,y15_analysis_start_minus_process_median_lag,True,True,55.0,1945.0,,0.0,5.930000000000007,3.261500000000004,pass_or_not_tested,False
F1,DOE-LAB004-3,3,0.32,,0.32,,2.5248,2.5248,True,50.0,,,,,,33.0,0.15,135.0,116.81,0.39,52.0,7.0,164.28,2026-07-06 16:52:06,2026-07-06 17:05:20,ONLINE(26-07-06 11-48)_1.txt,47.47,116.81,47.47,135.0,52.0,187.0,187.0,False,DOE-LAB004-3,False,2026-07-06 16:30:00,2026-07-06 16:30:00,2026-07-06 16:56:33,oculyze_description,2026-07-06 12:00:00,4.5,7.07,85.87,20.11,1069.9,20.0,0.2121,0.18213027,0.02996973,2026-07-06 16:30:00.000000000,oculyze_description,True,False,105.0,1895.0,,0.0,6.490000000000009,3.5695000000000054,pass_or_not_tested,True
F1,DOE-LAB004-4,4,0.7,,0.7,,5.523,5.523,True,50.0,,,,,,46.0,0.21,98.0,110.38,1.13,35.0,20.0,152.94,2026-07-07 08:50:09,2026-07-07 09:02:59,ONLINE(26-07-07 08-26)_1.txt,42.56,110.38,42.56,98.0,35.0,133.0,133.0,False,DOE-LAB004-4,False,2026-07-07 09:00:00,2026-07-07 09:00:00,2026-07-07 08:38:47,oculyze_description,2026-07-06 12:00:00,21.0,10.06,92.75,29.39,1061.1,19.6,0.3018,0.27991950000000004,0.02188049999999997,2026-07-07 09:00:00.000000000,oculyze_description,True,False,155.0,1845.0,2.9981999999999998,0.0,17.830000000000013,9.806500000000007,pass_or_not_tested,True
F1,DOE-LAB004-5,5,,,,,,,False,5.0,,,,,,67.0,0.24,117.0,106.38,0.91,37.0,31.0,150.55,2026-07-07 12:40:11,2026-07-07 13:15:25,ONLINE(26-07-07 08-26)_1.txt,44.170000000000016,106.38,44.170000000000016,117.0,37.0,154.0,154.0,False,DOE-LAB004-5,False,2026-07-07 12:00:00,2026-07-07 12:00:00,2026-07-07 14:35:03,oculyze_description,2026-07-06 12:00:00,24.0,12.52,94.48,27.61,1062.0,19.3,0.3756,0.35486688,0.020733119999999994,2026-07-07 12:00:00.000000000,oculyze_description,True,False,160.0,1840.0,,0.0,20.22,11.121,pass_or_not_tested,False
F1,DOE-LAB004-6,6,,,,,,,False,5.0,,,,,,66.0,0.32,110.0,101.75,1.08,36.0,44.0,145.53,2026-07-07 15:11:29,2026-07-07 15:27:31,ONLINE(26-07-07 08-26)_1.txt,43.78,101.75,43.78,110.0,36.0,146.0,146.0,False,DOE-LAB004-6,False,2026-07-07 15:00:00,2026-07-07 15:00:00,2026-07-07 15:29:57,oculyze_description,2026-07-06 12:00:00,27.0,15.09,94.66,25.95,1060.6,19.6,0.4527,0.42852582,0.02417417999999999,2026-07-07 15:00:00.000000000,oculyze_description,True,False,165.0,1835.0,,0.0,25.24000000000001,13.882000000000007,pass_or_not_tested,False
F1,DOE-LAB004-7,7,1.08,,1.08,,8.5212,8.5212,True,50.0,,,,,,,,,,,,,,,,,,,,,,,,,DOE-LAB004-7,False,2026-07-07 17:00:00,2026-07-07 17:00:00,2026-07-07 17:14:56,oculyze_description,2026-07-06 12:00:00,29.0,11.29,94.56,27.55,1056.5,21.6,0.33869999999999995,0.32027471999999996,0.01842527999999999,2026-07-07 17:00:00.000000000,oculyze_description,True,False,215.0,1785.0,,0.0,,,pass_or_not_tested,True
F1,DOE-LAB004-8,8,2.54,,2.54,,20.040599999999998,20.040599999999998,True,50.0,,,,,,168.0,0.34,4.0,83.87,2.99,26.0,92.0,121.3,2026-07-08 10:18:30,2026-07-08 10:29:20,ONLINE(26-07-08 09-58)_1.txt,37.42999999999999,83.87,37.42999999999999,4.0,26.0,30.0,30.0,False,DOE-LAB004-8,False,2026-07-08 09:00:00,2026-07-08 09:00:00,2026-07-08 10:10:00,oculyze_description,2026-07-06 12:00:00,45.0,42.93,96.78,25.4,1048.0,20.1,1.2879,1.24642962,0.04147038000000003,2026-07-08 09:00:00.000000000,oculyze_description,True,False,265.0,1735.0,11.519399999999997,0.0,49.47000000000001,27.208500000000008,pass_or_not_tested,True
F1,DOE-LAB004-9,9,,,,,,,False,5.0,,,,,,160.0,0.4,3.0,74.31,2.98,21.0,94.0,112.82,2026-07-08 14:53:33,2026-07-08 15:12:23,ONLINE(26-07-08 09-58)_1.txt,38.50999999999999,74.31,38.50999999999999,3.0,21.0,24.0,24.0,False,DOE-LAB004-9,False,2026-07-08 14:30:00,2026-07-08 14:30:00,2026-07-08 14:48:39,oculyze_description,2026-07-06 12:00:00,50.5,49.08,97.34,26.29,1043.9,20.5,1.4724,1.43323416,0.039165839999999896,2026-07-08 14:30:00.000000000,oculyze_description,True,False,270.0,1730.0,,0.0,57.95000000000002,31.872500000000013,pass_or_not_tested,False
F1,DOE-LAB004-10,10,2.68,,2.68,,21.1452,21.1452,True,50.0,,,,,,171.0,0.4,6.0,73.66,2.51,21.0,90.0,111.39,2026-07-08 16:36:26,2026-07-08 16:54:28,ONLINE(26-07-08 09-58)_1.txt,37.730000000000004,73.66,37.730000000000004,6.0,21.0,27.0,27.0,False,DOE-LAB004-10,False,2026-07-08 16:00:00,2026-07-08 16:00:00,2026-07-08 16:44:04,oculyze_description,2026-07-06 12:00:00,52.0,48.16,95.85,24.88,1042.5,20.9,1.4447999999999999,1.3848407999999999,0.05995919999999999,2026-07-08 16:00:00.000000000,oculyze_description,True,False,320.0,1680.0,,0.0,59.38000000000001,32.659000000000006,pass_or_not_tested,True
