process,sample_id,sample_sequence,acetaldehyde_mg_l,acetic_acid_g_l,ammonia_mg_l,glucose_g_l,glycerol_g_l,pan_mg_l,pyruvic_acid_mg_l,sugar_total_g_l,y15_analysis_datetime_start,y15_analysis_datetime_end,y15_source_files,fructose_g_l_raw,glucose_for_model_g_l,fructose_for_model_g_l,ammonia_for_model_mg_l,pan_for_model_mg_l,yan_calc_mg_l_raw,yan_for_model_physical_mg_l,negative_censored_for_model
F1,DOE-LAB004-1,1,34.0,0.08,143.0,120.36,0.31,57.0,6.0,170.77,2026-07-06 13:19:33,2026-07-06 13:27:58,ONLINE(26-07-06 11-48)_1.txt,50.41000000000001,120.36,50.41000000000001,143.0,57.0,200.0,200.0,False
F1,DOE-LAB004-2,2,33.0,0.11,134.0,117.48,0.31,53.0,-1.0,164.84,2026-07-06 15:47:14,2026-07-06 16:00:27,ONLINE(26-07-06 11-48)_1.txt,47.36,117.48,47.36,134.0,53.0,187.0,187.0,True
F1,DOE-LAB004-3,3,33.0,0.15,135.0,116.81,0.39,52.0,7.0,164.28,2026-07-06 16:52:06,2026-07-06 17:05:20,ONLINE(26-07-06 11-48)_1.txt,47.47,116.81,47.47,135.0,52.0,187.0,187.0,False
F1,DOE-LAB004-4,4,46.0,0.21,98.0,110.38,1.13,35.0,20.0,152.94,2026-07-07 08:50:09,2026-07-07 09:02:59,ONLINE(26-07-07 08-26)_1.txt,42.56,110.38,42.56,98.0,35.0,133.0,133.0,False
F1,DOE-LAB004-5,5,67.0,0.24,117.0,106.38,0.91,37.0,31.0,150.55,2026-07-07 12:40:11,2026-07-07 13:15:25,ONLINE(26-07-07 08-26)_1.txt,44.170000000000016,106.38,44.170000000000016,117.0,37.0,154.0,154.0,False
F1,DOE-LAB004-6,6,66.0,0.32,110.0,101.75,1.08,36.0,44.0,145.53,2026-07-07 15:11:29,2026-07-07 15:27:31,ONLINE(26-07-07 08-26)_1.txt,43.78,101.75,43.78,110.0,36.0,146.0,146.0,False
F1,DOE-LAB004-8,8,168.0,0.34,4.0,83.87,2.99,26.0,92.0,121.3,2026-07-08 10:18:30,2026-07-08 10:29:20,ONLINE(26-07-08 09-58)_1.txt,37.42999999999999,83.87,37.42999999999999,4.0,26.0,30.0,30.0,False
F1,DOE-LAB004-9,9,160.0,0.4,3.0,74.31,2.98,21.0,94.0,112.82,2026-07-08 14:53:33,2026-07-08 15:12:23,ONLINE(26-07-08 09-58)_1.txt,38.50999999999999,74.31,38.50999999999999,3.0,21.0,24.0,24.0,False
F1,DOE-LAB004-10,10,171.0,0.4,6.0,73.66,2.51,21.0,90.0,111.39,2026-07-08 16:36:26,2026-07-08 16:54:28,ONLINE(26-07-08 09-58)_1.txt,37.730000000000004,73.66,37.730000000000004,6.0,21.0,27.0,27.0,False
F1,DOE-LAB004-11,11,80.0,0.43,-1.0,48.3,4.28,18.0,76.0,75.7,2026-07-09 10:29:21,2026-07-09 10:44:59,ONLINE(26-07-09 10-09)_1.txt,27.400000000000006,48.3,27.400000000000006,0.0,18.0,17.0,18.0,True
