,mu0,sN,qN,qXG,qXF,betaG0,sG,betaF0,sF,qEG,qEF,iG,iE,Kd0,m0,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary
mu0,72725.86965871621,721.2915716443647,-56018.15991989073,-1113.3627546988919,440.41092126473353,20204.96287863477,7293.894727644145,34824.556186621856,6482.714490000888,-13291.176082784077,13871.171830441357,-7317.291416802962,-35976.61896187772,-2237.3915562353545,598.734523344893,117.0485694222542,1637.4354905788114,238.5616325964695,4817.876577265168,97.66561928044786,1869.6883426294226
sN,721.2915716443647,15.474641251723115,-391.85673096286496,-6.1178063654642125,7.6926073892033875,93.5721167656178,61.073956838878985,178.21509512018918,48.31116363015134,-34.957774399276346,232.12083873437456,-61.81322029755923,-281.7254221258286,-13.299409134950624,12.061172290783986,3.6892697110329054,45.38064954103816,8.361563957528343,149.43315238927676,3.349964152900636,56.48783923617199
qN,-56018.15991989073,-391.85673096286496,47502.163130649766,841.6475199680605,-360.8318100221891,-15991.399339020665,-5709.846217353808,-27417.576440874604,-5399.762015702909,10636.259401329735,-11948.897981955128,5880.429813029649,29518.003877628475,1948.5336648040125,-531.6846030542822,-76.77875450696203,-1203.2649681984956,-148.74687000264268,-3389.3034253500555,-61.27389449912906,-1322.7740288318755
qXG,-1113.3627546988919,-6.1178063654642125,841.6475199680605,67.67947913539929,29.652479605590937,-933.166170005644,-170.91654587384753,-1563.7886328475229,-100.60170858284906,775.3602548869409,799.1615275224401,112.83737463456316,618.8371805272462,34.010797607280054,51.90546999331751,2.128843422546587,26.150836939221374,3.251710107566256,55.173687753222524,1.2383501563792996,18.708532370446257
qXF,440.41092126473353,7.6926073892033875,-360.8318100221891,29.652479605590937,36.72717756170374,-350.5790246065566,-11.14581058465751,-567.4376642600279,34.13501440052434,342.5294701058851,901.9210200832126,-51.46421521215688,-159.66390795321732,-4.373514000986394,50.93908231151462,3.1268568317621,36.85867363598361,5.319045987616162,87.73094310773459,2.1134162676132604,32.08574144603798
betaG0,20204.96287863477,93.5721167656178,-15991.399339020665,-933.166170005644,-350.5790246065566,15043.683804747918,2789.730091436857,24806.780683756508,2025.3812699812968,-12493.756950961742,-10548.879198024251,-2140.4062223271094,-11415.099800698152,-765.7875341278832,-744.356623814112,-38.296456143362164,-610.6206391345285,-72.787343402271,-1667.7992513144873,-28.42436269893499,-611.45330702753
sG,7293.894727644145,61.073956838878985,-5709.846217353808,-170.91654587384753,-11.14581058465751,2789.730091436857,977.8253330685963,4859.346400824053,614.6934221748784,-1827.3863616811739,-92.38101964029713,-739.5753395213986,-3786.693561396368,-183.06767728840504,-23.118113755409446,7.395598680784089,102.1131737654631,14.213819529557588,286.4868036704527,6.0007162313040805,115.05871545547005
betaF0,34824.556186621856,178.21509512018918,-27417.576440874604,-1563.7886328475229,-567.4376642600279,24806.780683756508,4859.346400824053,41449.75979290804,3394.104251850335,-20360.572556540115,-17117.505139197096,-3626.4953925646296,-19453.518377948356,-1256.6672856058647,-1208.278068973107,-54.019236724981106,-900.8370508692742,-104.28610170465303,-2494.384263221334,-40.60948875474709,-914.3718435331425
sF,6482.714490000888,48.31116363015134,-5399.762015702909,-100.60170858284906,34.13501440052434,2025.3812699812968,614.6934221748784,3394.104251850335,696.5749746397881,-1489.0627569152664,1283.801763257759,-683.5614221266725,-3518.515013903329,-290.74799270161583,54.0120708402178,9.133666417521363,151.81262046956505,18.49776234348648,444.2879951352327,7.59250170346003,173.05186841751706
qEG,-13291.176082784077,-34.957774399276346,10636.259401329735,775.3602548869409,342.5294701058851,-12493.756950961742,-1827.3863616811739,-20360.572556540115,-1489.0627569152664,10955.676471338942,10508.506392873192,1437.3844011401407,7886.731041094994,636.4646143733082,728.3340053074681,43.90845362257629,683.9767633214751,82.89668910965322,1862.1717777928866,32.81528537681794,692.1069583837286
qEF,13871.171830441357,232.12083873437456,-11948.897981955128,799.1615275224401,901.9210200832126,-10548.879198024251,-92.38101964029713,-17117.505139197096,1283.801763257759,10508.506392873192,27316.000511002334,-1508.0165010542526,-5827.908518235784,-369.17566025749545,1638.1342369211427,121.0964856328119,1882.5499294330025,237.8984243180214,5323.459359519224,95.49908794905943,2016.4721853980955
iG,-7317.291416802962,-61.81322029755923,5880.429813029649,112.83737463456316,-51.46421521215688,-2140.4062223271094,-739.5753395213986,-3626.4953925646296,-683.5614221266725,1437.3844011401407,-1508.0165010542526,779.2826617473924,3773.0073371276403,223.52360816276632,-63.28379004947758,-8.963713402671793,-129.83536939817904,-17.416024101754967,-366.7205352939885,-7.211185253845054,-143.91980274368615
iE,-35976.61896187772,-281.7254221258286,29518.003877628475,618.8371805272462,-159.66390795321732,-11415.099800698152,-3786.693561396368,-19453.518377948356,-3518.515013903329,7886.731041094994,-5827.908518235784,3773.0073371276403,19167.050933883456,1269.0660023428775,-230.36596837627553,-49.84066171900599,-771.7846009213122,-100.91513188816543,-2257.4961466427517,-41.48589389665563,-880.7954942961371
Kd0,-2237.3915562353545,-13.299409134950624,1948.5336648040125,34.010797607280054,-4.373514000986394,-765.7875341278832,-183.06767728840504,-1256.6672856058647,-290.74799270161583,636.4646143733082,-369.17566025749545,223.52360816276632,1269.0660023428775,224.08199879406604,-15.457603526049287,-3.523764782334857,-70.88924909141997,-7.2417135386864615,-209.7845756188196,-2.97717931257684,-81.87727964428342
m0,598.734523344893,12.061172290783986,-531.6846030542822,51.90546999331751,50.93908231151462,-744.356623814112,-23.118113755409446,-1208.278068973107,54.0120708402178,728.3340053074681,1638.1342369211427,-63.28379004947758,-230.36596837627553,-15.457603526049287,101.67829490261407,7.282312938538941,120.58149424693013,14.449096595451188,344.44564596296254,5.8140580504694785,131.05773385894182
