profiled_theta,n_success,theta_hat,min_profile_objective,max_lr_stat,crosses_left,crosses_right,chi2_threshold,candidate,objective_kind,profile_identifiable_2sided
betaF0,9,0.2834958243326065,6001.982780707294,512.4253259959041,True,True,3.841458820694124,plus_iG_unregularized,SSE_weighted,True
betaG0,9,0.3950395346620634,6001.982780707294,846.9872237239761,True,True,3.841458820694124,plus_iG_unregularized,SSE_weighted,True
iG,8,0.0188579076202898,6001.982780707294,239.48408432991164,True,True,3.841458820694124,plus_iG_unregularized,SSE_weighted,True
mu0,9,0.1568304913955837,6001.982780707294,1012.7412149018946,True,True,3.841458820694124,plus_iG_unregularized,SSE_weighted,True
qEF,10,0.5022583722548266,6001.982780707294,231939.89619971294,True,True,3.841458820694124,plus_iG_unregularized,SSE_weighted,True
qEG,9,0.5138651627122065,6001.982780707294,213053.94425401092,True,True,3.841458820694124,plus_iG_unregularized,SSE_weighted,True
qN,10,0.0134153553148961,6001.982780707294,169808.61896401574,True,True,3.841458820694124,plus_iG_unregularized,SSE_weighted,True
iG,8,0.0174100915417625,5972.5474116214245,351.7144414954819,True,True,3.841458820694124,plus_qx_iG_unregularized,SSE_weighted,True
qXF,8,0.005,5972.5474116214245,115.75614378308273,False,True,3.841458820694124,plus_qx_iG_unregularized,SSE_weighted,False
qXG,8,0.005,5972.5474116214245,224.61833516845945,False,True,3.841458820694124,plus_qx_iG_unregularized,SSE_weighted,False
iG,8,0.0201896772309379,5998.054500708847,309.9994823505731,True,True,3.841458820694124,plus_qx_iG_logL2_10,SSE_weighted_logL2_10,True
qXF,10,0.0916032749352908,5998.054500708847,1350.0273889238706,True,True,3.841458820694124,plus_qx_iG_logL2_10,SSE_weighted_logL2_10,True
qXG,10,0.0755014543706534,5998.054500708847,352.37308826924163,True,True,3.841458820694124,plus_qx_iG_logL2_10,SSE_weighted_logL2_10,True
