batch,state,t,mu0,sN,qN,qXG,qXF,betaG0,sG,betaF0,sF,qEG,qEF,iG,iE,Kd0,m0
25026,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,X,12.0,36.183853115798215,0.018552911135193733,-8.743125655189907,9.868649107779172e-15,0.0,-9.868649107779169e-15,-7.401486830834377e-14,0.0,0.0,0.0,-4.835638062811795e-15,-4.1064374123322996e-14,-4.440892098500629e-14,0.0,2.220446049250313e-13
25026,X,36.0,52.83545367970024,3.5587479030319015e-06,-1083.6571941485508,3.947459643111669e-14,3.947459643111669e-14,-1.9737298215558338e-14,1.4802973661668753e-13,0.0,0.0,0.0,-9.67127612562359e-15,1.6425749649329199e-13,-1.7763568394002515e-13,0.0,4.440892098500626e-13
25026,X,42.0,52.83484014923783,6.303079909860308e-08,-1083.664359499475,0.0,3.947459643111669e-14,0.0,0.0,-1.9737298215558338e-14,-1.4802973661668753e-13,0.0,-9.67127612562359e-15,0.0,0.0,0.0,4.440892098500626e-13
25026,X,60.0,74.7126108683187,1.5566760453506535e-06,-1532.386113993947,3.947459643111669e-14,3.947459643111669e-14,-1.9737298215558338e-14,0.0,1.9737298215558338e-14,0.0,-9.67127612562359e-15,9.67127612562359e-15,0.0,0.0,0.0,4.440892098500626e-13
25026,X,84.0,74.71261111112591,1.6798907943717097e-12,-1532.3867832886338,0.0,3.947459643111669e-14,0.0,0.0,-1.9737298215558338e-14,0.0,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-13
25026,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,N,12.0,-72.70262819429466,-0.07126005415545261,-1229.1109956796013,0.0,0.0,4.6646334740516555e-14,0.0,0.0,3.4984751055387414e-13,0.0,0.0,0.0,0.0,0.0,0.0
25026,N,36.0,-0.003016954324846126,-1.3668828921613963e-05,-0.02141478553303045,-3.407582512973375e-16,-3.3782221414516723e-16,-4.87609042858387e-15,-5.438341543224477e-16,-4.8710635770960634e-15,-6.395890023534554e-16,2.387714864692028e-15,2.383922038516361e-15,2.47304244350522e-16,-4.3820354496141295e-14,0.0,-2.079915409844257e-15
25026,N,42.0,-3.3178934533853555e-05,-2.42095600263276e-07,-0.0002571625798680073,-3.9049850191507055e-18,-3.878571806134022e-18,-9.34598595587523e-15,-6.240121575191429e-18,-9.34590671623618e-15,-7.334879746277644e-18,4.579507233430108e-15,4.579465000092663e-15,2.8286811257345917e-18,-8.411312916732077e-14,0.0,-2.388136753212359e-17
