,mu0,sN,qN,qXG,qXF,betaG0,sG,betaF0,sF,qEG,qEF,iG,iE,Kd0,m0
mu0,84088.73391072113,718.7561136594164,-65878.10899645192,217.5926152871012,-592.7504272614051,52022.6598168956,11322.888609822154,11226.631904661135,4274.798291794299,5732.130778932998,-2743.855558601672,-6369.98256621212,-41564.90894767053,-2637.734203233851,148.74705113340588
sN,718.7561136594164,12.096730636916265,-406.70488482395194,3.2583762104594363,-4.082328769966182,388.48643209338087,75.21059486583165,72.32231312748883,28.076585413396504,61.766265020083395,-17.778032845845548,-45.001716743215034,-280.22987502163136,-11.490601014580532,1.7198527128407917
qN,-65878.10899645192,-406.70488482395194,55932.58794044572,-171.25694624066452,462.71961124929203,-41350.125223804265,-9421.521571222682,-9194.347582025597,-3568.994348302164,-5091.046638124064,2087.016576440457,5240.6646339570825,34512.68851966421,2338.095445692146,-149.76979617483607
qXG,217.5926152871012,3.2583762104594363,-171.25694624066452,27.24601207069273,7.654584712464489,-476.59596318970273,25.309274802041234,-89.754656785282,-13.981048068325462,662.1402635492084,61.98730675950692,21.895240292797453,-64.27919780495876,1.7035394126523,28.328367994365372
qXF,-592.7504272614051,-4.082328769966182,462.71961124929203,7.654584712464489,23.829609227146452,-696.73062988308,-98.69325660882784,-182.40273038000632,-8.366400899678238,204.4345493549513,165.64819006062947,6.8192480298726155,317.80127017302834,20.16023809660942,14.52593481634893
betaG0,52022.6598168956,388.48643209338087,-41350.125223804265,-476.59596318970273,-696.73062988308,50021.169759395445,7252.445297864583,10668.680773897497,3150.5149407132435,-13573.600066257663,-4433.089053074455,-4703.65443028593,-27208.86708001636,-1729.1543551635746,-713.6306104582577
sG,11322.888609822154,75.21059486583165,-9421.521571222682,25.309274802041234,-98.69325660882784,7252.445297864583,1696.8669443806073,1734.7731760720028,563.2299119335723,856.1101778303888,-607.4626159636749,-810.9127717861114,-6030.440290009839,-438.0493376005725,15.178361090118376
betaF0,11226.631904661135,72.32231312748883,-9194.347582025597,-89.754656785282,-182.40273038000632,10668.680773897497,1734.7731760720028,2562.715513718397,574.7069308775403,-2530.427911841286,-1407.2958121080624,-821.5197200537125,-6135.851770687137,-459.90313063291035,-158.0066690760157
sF,4274.798291794299,28.076585413396504,-3568.994348302164,-13.981048068325462,-8.366400899678238,3150.5149407132435,563.2299119335723,574.7069308775403,360.5125045230331,-432.3202054182345,142.68531112070835,-537.8178803223119,-2292.9640629966343,-167.98125261612694,-9.25472224582024
qEG,5732.130778932998,61.766265020083395,-5091.046638124064,662.1402635492084,204.4345493549513,-13573.600066257663,856.1101778303888,-2530.427911841286,-432.3202054182345,18689.99102841687,1675.839917498645,667.5955839775226,-2056.4551624343094,-20.675457885498737,827.1269744229928
qEF,-2743.855558601672,-17.778032845845548,2087.016576440457,61.98730675950692,165.64819006062947,-4433.089053074455,-607.4626159636749,-1407.2958121080624,142.68531112070835,1675.839917498645,1691.0528408093676,-249.99719280033122,1556.3713863755495,122.75029016656012,139.9761308563769
iG,-6369.98256621212,-45.001716743215034,5240.6646339570825,21.895240292797453,6.8192480298726155,-4703.65443028593,-810.9127717861114,-821.5197200537125,-537.8178803223119,667.5955839775226,-249.99719280033122,815.7381798115485,3346.933533545786,222.60770592741125,13.353866016952034
iE,-41564.90894767053,-280.22987502163136,34512.68851966421,-64.27919780495876,317.80127017302834,-27208.86708001636,-6030.440290009839,-6135.851770687137,-2292.9640629966343,-2056.4551624343094,1556.3713863755495,3346.933533545786,22016.680231014754,1529.7031359971031,-39.015279003709345
Kd0,-2637.734203233851,-11.490601014580532,2338.095445692146,1.7035394126523,20.16023809660942,-1729.1543551635746,-438.0493376005725,-459.90313063291035,-167.98125261612694,-20.675457885498737,122.75029016656012,222.60770592741125,1529.7031359971031,223.5039709665393,2.1471821396564352
m0,148.74705113340588,1.7198527128407917,-149.76979617483607,28.328367994365372,14.52593481634893,-713.6306104582577,15.178361090118376,-158.0066690760157,-9.25472224582024,827.1269744229928,139.9761308563769,13.353866016952034,-39.015279003709345,2.1471821396564352,39.88604053542753
