,mu0,sN,qN,qXG,qXF,betaG0,sG,betaF0,sF,qEG,qEF,iG,iE,Kd0,m0
mu0,33452.754854236286,442.23786947429534,-20451.352581566476,-279.9332050811553,-222.1246527428896,21322.8063090063,5142.792615100855,9693.058747618197,2188.8736610169785,-6246.433571078651,-2602.3554361643683,-3677.8923174663755,-14021.802593889675,-59.37970378028447,-328.8345861484151
sN,442.23786947429534,8.938916914134406,-198.45042701956547,-0.7447183077564695,-1.130095801271686,226.6385962373692,55.77601816403276,95.24863359572863,21.139395124981984,-30.7872948780971,-15.73745777243227,-44.05785094640693,-154.12644657450562,-0.24848582098288674,-1.9183546961616234
qN,-20451.352581566476,-198.45042701956547,14729.666139078592,146.7642929814018,97.93449456649238,-12314.66223873319,-3377.7570732137024,-5699.3651116535475,-1507.472574104051,3088.5696702178648,969.9998948471758,2389.180510833055,9295.781789703165,46.945006532928545,128.48912261053704
qXG,-279.9332050811553,-0.7447183077564695,146.7642929814018,68.95871098955342,45.83223297811167,-1485.6087806844032,-101.23236174771039,-739.7628430101541,-63.001337515990805,1377.7005783958032,627.9003334074473,47.52390520918774,231.67768669809863,3.20242786989545,82.86211763318562
qXF,-222.1246527428896,-1.130095801271686,97.93449456649238,45.83223297811167,46.85371608538582,-1105.731892303984,-95.86486286592519,-576.5235419296872,-28.604493634920807,946.6060350958784,565.0751799874135,-5.305063170030411,171.51174009680346,2.280420093947522,64.42035713092422
betaG0,21322.8063090063,226.6385962373692,-12314.66223873319,-1485.6087806844032,-1105.731892303984,41045.01849145054,4604.048585013515,20149.432841629165,2199.3127964450878,-30901.3072089917,-14901.582270425522,-2515.0568831713363,-11360.976254871206,-62.81859210169084,-1916.8760272784027
sG,5142.792615100855,55.77601816403276,-3377.7570732137024,-101.23236174771039,-95.86486286592519,4604.048585013515,981.0931494335164,2262.1826020689814,391.2881229065644,-2110.949690170762,-1163.0639763531965,-538.822345127934,-2478.161881256107,-10.2586747984762,-130.27873523865176
betaF0,9693.058747618197,95.24863359572863,-5699.3651116535475,-739.7628430101541,-576.5235419296872,20149.432841629165,2262.1826020689814,10078.443835913931,1029.936033065542,-15463.05182249544,-7781.6192539944595,-1066.4743348526554,-5376.935290008558,-41.65521622532702,-981.0990095678094
sF,2188.8736610169785,21.139395124981984,-1507.472574104051,-63.001337515990805,-28.604493634920807,2199.3127964450878,391.2881229065644,1029.936033065542,241.70654442251225,-1318.782421321387,-381.9768845547029,-313.78232706250753,-1120.4699504295222,-6.585782406367455,-63.09320052824317
qEG,-6246.433571078651,-30.7872948780971,3088.5696702178648,1377.7005783958032,946.6060350958784,-30901.3072089917,-2110.949690170762,-15463.05182249544,-1318.782421321387,28396.924190475635,13149.014267986366,980.8921346187267,4858.656731699074,67.40060903802566,1743.5292011082515
qEF,-2602.3554361643683,-15.73745777243227,969.9998948471758,627.9003334074473,565.0751799874135,-14901.582270425522,-1163.0639763531965,-7781.6192539944595,-381.9768845547029,13149.014267986366,7512.135287895703,29.601780151920405,2072.3822060766647,30.286061947234426,894.7928517425596
iG,-3677.8923174663755,-44.05785094640693,2389.180510833055,47.52390520918774,-5.305063170030411,-2515.0568831713363,-538.822345127934,-1066.4743348526554,-313.78232706250753,980.8921346187267,29.601780151920405,542.1341367193295,1648.4085735248223,4.6812540499342274,32.21614081854126
iE,-14021.802593889675,-154.12644657450562,9295.781789703165,231.67768669809863,171.51174009680346,-11360.976254871206,-2478.161881256107,-5376.935290008558,-1120.4699504295222,4858.656731699074,2072.3822060766647,1648.4085735248223,6647.09049029877,24.53598969117657,264.2168987279728
Kd0,-59.37970378028447,-0.24848582098288674,46.945006532928545,3.20242786989545,2.280420093947522,-62.81859210169084,-10.2586747984762,-41.65521622532702,-6.585782406367455,67.40060903802566,30.286061947234426,4.6812540499342274,24.53598969117657,14.590565788587554,3.8456086180497486
m0,-328.8345861484151,-1.9183546961616234,128.48912261053704,82.86211763318562,64.42035713092422,-1916.8760272784027,-130.27873523865176,-981.0990095678094,-63.09320052824317,1743.5292011082515,894.7928517425596,32.21614081854126,264.2168987279728,3.8456086180497486,114.31541186854301
