,mu0,sN,qN,qXG,qXF,betaG0,sG,betaF0,sF,qEG,qEF,iG,iE,Kd0,m0
mu0,22759.3102611906,526.9896854940076,-21053.037260651792,46.01464944600543,59.44279400691514,12110.322989768352,4061.4281933661564,6799.4686778045325,884.5048349858556,1021.5492964511509,1113.5374464679767,-3733.722802199165,-10388.970262922448,-44.187114427227414,71.65128667790137
sN,526.9896854940076,19.176060413728216,-464.67713660756846,1.91844043859499,1.474708146849145,294.65066060618113,89.54065240836725,149.92639295390404,17.98810431866478,35.47631163432832,20.858260952434634,-85.73712313694578,-219.90330962307848,-0.6063267429166777,1.4830713401010378
qN,-21053.037260651792,-464.67713660756846,19566.787728846513,-45.33456566550341,-61.689216322834234,-10989.02820915349,-3761.8736831757874,-6235.802631614946,-829.2455295925971,-1038.1079391195583,-1151.5414046046135,3469.3396955714165,9675.351659584996,42.228702006135826,-73.925549462025
qXG,46.01464944600543,1.91844043859499,-45.33456566550341,4.7781884908108,1.2131911473087,-68.95916888995582,10.884450301847032,-25.612751141595258,-0.39199378228754916,113.75966216874379,21.77022024563755,1.9790789338496095,-16.262471955284255,-0.0016941186937806006,2.666361953166722
qXF,59.44279400691514,1.474708146849145,-61.689216322834234,1.2131911473087,6.033102626546039,-32.794940640538165,-2.010657068865375,-21.33114724006896,6.882062384162192,25.94335133576415,86.89811897819004,-33.020186681561,-25.283483977685716,-0.11620599283421454,4.665382498773565
betaG0,12110.322989768352,294.65066060618113,-10989.02820915349,-68.95916888995582,-32.794940640538165,9170.870348077307,2186.569312093948,4804.217302597973,469.6073255412334,-1989.0867618027771,-557.4770927422467,-2027.6916521200312,-5552.067767373158,-20.97055838562305,-56.819532072967846
sG,4061.4281933661564,89.54065240836725,-3761.8736831757874,10.884450301847032,-2.010657068865375,2186.569312093948,787.8458133280064,1288.2116317842213,143.71178450856715,301.6805544938035,-20.64996747570182,-588.5963669061765,-1897.9880340875477,-8.153741820697883,3.4259587288046007
betaF0,6799.4686778045325,149.92639295390404,-6235.802631614946,-25.612751141595258,-21.33114724006896,4804.217302597973,1288.2116317842213,2644.1745029270705,256.9013383973074,-741.9510599142994,-367.8832864329289,-1062.417439587106,-3194.4959287276797,-13.788313075647874,-29.379948929549585
sF,884.5048349858556,17.98810431866478,-829.2455295925971,-0.39199378228754916,6.882062384162192,469.6073255412334,143.71178450856715,256.9013383973074,43.35685998058716,-27.311122933962416,126.8462103203109,-178.84891042365294,-419.314507276485,-2.0476562422784097,6.128941212783179
qEG,1021.5492964511509,35.47631163432832,-1038.1079391195583,113.75966216874379,25.94335133576415,-1989.0867618027771,301.6805544938035,-741.9510599142994,-27.311122933962416,3094.816190395428,488.1419342915377,124.39592202125037,-380.39725026486684,-0.17086395694077067,69.0266951779468
qEF,1113.5374464679767,20.858260952434634,-1151.5414046046135,21.77022024563755,86.89811897819004,-557.4770927422467,-20.64996747570182,-367.8832864329289,126.8462103203109,488.1419342915377,1522.3057353417669,-554.7526482982156,-504.6117538895388,-3.0406951627588636,84.64660155600603
iG,-3733.722802199165,-85.73712313694578,3469.3396955714165,1.9790789338496095,-33.020186681561,-2027.6916521200312,-588.5963669061765,-1062.417439587106,-178.84891042365294,124.39592202125037,-554.7526482982156,771.9798322634417,1717.7533502710003,7.116349298290064,-26.293591610237858
iE,-10388.970262922448,-219.90330962307848,9675.351659584996,-16.262471955284255,-25.283483977685716,-5552.067767373158,-1897.9880340875477,-3194.4959287276797,-419.314507276485,-380.39725026486684,-504.6117538895388,1717.7533502710003,4888.3950727356105,22.138845911663537,-31.749292346927547
Kd0,-44.187114427227414,-0.6063267429166777,42.228702006135826,-0.0016941186937806006,-0.11620599283421454,-20.97055838562305,-8.153741820697883,-13.788313075647874,-2.0476562422784097,-0.17086395694077067,-3.0406951627588636,7.116349298290064,22.138845911663537,0.46540085910131423,-0.17470389053957058
m0,71.65128667790137,1.4830713401010378,-73.925549462025,2.666361953166722,4.665382498773565,-56.819532072967846,3.4259587288046007,-29.379948929549585,6.128941212783179,69.0266951779468,84.64660155600603,-26.293591610237858,-31.749292346927547,-0.17470389053957058,5.335037459026868
