,mu0,sN,qN,qXG,qXF,betaG0,sG,betaF0,sF,qEG,qEF,iG,iE,Kd0,m0
mu0,46685.872633018334,399.65378791752426,-39646.52476386359,15.985466629802858,90.9008615343763,26936.43307282909,8122.974653476518,13620.105312113272,2727.499818411801,-1213.1510790703467,1584.112040968062,-7230.958628738559,-32853.261209234675,-3707.9080260610745,81.06852781842925
sN,399.65378791752426,9.120546525046732,-265.20420373426043,1.4999011336899177,1.0361782917033928,212.77948612891743,58.04480752130641,95.74237239378003,16.679633115550846,9.544018110019184,9.849704594015952,-55.17476455384192,-250.55300876587427,-16.559213004919116,0.9403371838633835
qN,-39646.52476386359,-265.20420373426043,34821.11743661406,-13.981404432758296,-100.97441193235309,-22544.254595953094,-7032.2644576595985,-11605.349774457338,-2433.615972713338,911.568566173951,-1755.1506710348476,6272.723699050749,28295.046866205965,3391.555278027075,-104.1689048712171
qXG,15.985466629802858,1.4999011336899177,-13.981404432758296,18.467088212829115,6.769356548349938,-302.97394255777965,-4.481829188588982,-143.5830982514407,-9.494743589340676,349.1335834851831,101.67998401222853,16.177436709904647,11.649824441556628,19.22432338505152,17.84265420664584
qXF,90.9008615343763,1.0361782917033928,-100.97441193235309,6.769356548349938,21.62612154256431,-180.64211345508596,-21.863932533846143,-114.62086686305456,21.00568032335121,126.73708537048944,247.40023987094116,-69.39973879083782,-48.69871748560008,-5.95169126684092,22.30300803308147
betaG0,26936.43307282909,212.77948612891743,-22544.254595953094,-302.97394255777965,-180.64211345508596,23162.907112454515,4985.77222873347,11519.384702329105,1590.8529097066933,-7685.1727712657785,-2654.1982399712424,-4217.550689980028,-19631.069114147773,-2216.7691584861223,-433.3462498902959
sG,8122.974653476518,58.04480752130641,-7032.2644576595985,-4.481829188588982,-21.863932533846143,4985.77222873347,1611.3546264348001,2726.365314989562,457.1304486822803,-235.58216436351606,-280.59265173873945,-1124.4712558945243,-5906.570973086311,-747.988944300874,-28.300757545813475
betaF0,13620.105312113272,95.74237239378003,-11605.349774457338,-143.5830982514407,-114.62086686305456,11519.384702329105,2726.365314989562,6058.5033765386615,814.5855143373393,-3648.7595826873826,-1729.5393352159101,-1982.023586175541,-10047.653143483678,-1330.9487874665838,-241.8360737821661
sF,2727.499818411801,16.679633115550846,-2433.615972713338,-9.494743589340676,21.00568032335121,1590.8529097066933,457.1304486822803,814.5855143373393,227.55292951577593,-347.55437837501876,361.1830574261646,-526.5781138113102,-1993.4364748284563,-330.61630387229445,17.0780738655305
qEG,-1213.1510790703467,9.544018110019184,911.568566173951,349.1335834851831,126.73708537048944,-7685.1727712657785,-235.58216436351606,-3648.7595826873826,-347.55437837501876,8007.598893306214,2006.9339578127547,680.9183081282549,1305.7816115602968,561.8609782729465,391.61958384247487
qEF,1584.112040968062,9.849704594015952,-1755.1506710348476,101.67998401222853,247.40023987094116,-2654.1982399712424,-280.59265173873945,-1729.5393352159101,361.1830574261646,2006.9339578127547,3759.4576085741246,-973.9198868792232,-938.8124387385403,-195.9915491632844,346.0802136451925
iG,-7230.958628738559,-55.17476455384192,6272.723699050749,16.177436709904647,-69.39973879083782,-4217.550689980028,-1124.4712558945243,-1982.023586175541,-526.5781138113102,680.9183081282549,-973.9198868792232,1414.06874239082,5176.937432532832,617.6505762581135,-52.82969514589905
iE,-32853.261209234675,-250.55300876587427,28295.046866205965,11.649824441556628,-48.69871748560008,-19631.069114147773,-5906.570973086311,-10047.653143483678,-1993.4364748284563,1305.7816115602968,-938.8124387385403,5176.937432532832,23654.667248912705,2771.974242727752,-30.64506428996855
Kd0,-3707.9080260610745,-16.559213004919116,3391.555278027075,19.22432338505152,-5.95169126684092,-2216.7691584861223,-747.988944300874,-1330.9487874665838,-330.61630387229445,561.8609782729465,-195.9915491632844,617.6505762581135,2771.974242727752,756.3840062949207,1.1772045865142362
m0,81.06852781842925,0.9403371838633835,-104.1689048712171,17.84265420664584,22.30300803308147,-433.3462498902959,-28.300757545813475,-241.8360737821661,17.0780738655305,391.61958384247487,346.0802136451925,-52.82969514589905,-30.64506428996855,1.1772045865142362,38.099563760956
