,mu0,sN,qN,qXG,qXF,betaG0,sG,betaF0,sF,qEG,qEF,iG,iE,Kd0,m0
mu0,38000.69884977106,414.84805794299854,-25937.19070914578,-414.2349768751566,38.92711642510659,21186.08249373771,4215.440817738347,14217.581256972402,3516.7217847908064,-6868.898244112628,981.543367777263,-3445.704482223889,-19099.762643742863,-774.1805147884481,-120.73938352079017
sN,414.84805794299854,8.667995147156583,-197.89672267320597,-1.5641367111045053,1.0039623105149795,189.97026114021824,45.6472666073397,117.1204891273064,24.98889279308982,-32.495700862527286,12.383485208311534,-40.3546194579012,-165.7245990559739,-3.8208973421746717,-0.23278314135389702
qN,-25937.19070914578,-197.89672267320597,19942.070058216294,321.3905306149638,-51.897105856988865,-14603.354882455478,-2810.964741530889,-10062.518981486435,-2754.241158052985,5074.066727452858,-1326.134939005407,2312.595282594499,14064.164309682074,639.0744373830844,54.40937753298205
qXG,-414.2349768751566,-1.5641367111045053,321.3905306149638,33.62037227708429,16.328332124865316,-733.0537722896198,-52.423629099853,-518.4691426782406,-64.31790709541738,587.7287717829187,306.6695190901994,16.787216861766144,290.22987777585246,22.135541170392134,31.080384951962174
qXF,38.92711642510659,1.0039623105149795,-51.897105856988865,16.328332124865316,24.310746400359637,-363.96082774625705,-35.96481164094763,-282.38250785448867,9.843814370972973,302.0124180548705,379.53410682873124,-49.61586064038858,10.62150588598341,5.635013589731704,28.40393860056032
betaG0,21186.08249373771,189.97026114021824,-14603.354882455478,-733.0537722896198,-363.96082774625705,22300.717854087543,2937.85545990279,15579.004379446049,2190.4886262217383,-13568.1103639983,-6887.965947515237,-1639.4837638378533,-12071.331075648552,-574.5660119548364,-721.5170381419068
sG,4215.440817738347,45.6472666073397,-2810.964741530889,-52.423629099853,-35.96481164094763,2937.85545990279,815.0128320944755,2133.919743770172,276.3690060234194,-916.3086014265372,-682.3889573406016,-448.2899631527215,-2245.709557724552,-19.09283121574697,-59.932806475589814
betaF0,14217.581256972402,117.1204891273064,-10062.518981486435,-518.4691426782406,-282.38250785448867,15579.004379446049,2133.919743770172,11220.080106379111,1504.9663992875908,-9593.971842911225,-5450.176200756067,-959.3558696710256,-8398.29823648813,-410.0215788457242,-546.1966638870565
sF,3516.7217847908064,24.98889279308982,-2754.241158052985,-64.31790709541738,9.843814370972973,2190.4886262217383,276.3690060234194,1504.9663992875908,480.0795596340044,-1071.2175053158585,277.61615372228795,-280.9717422647145,-2065.384364537138,-127.22892884277829,-11.166446180972057
qEG,-6868.898244112628,-32.495700862527286,5074.066727452858,587.7287717829187,302.0124180548705,-13568.1103639983,-916.3086014265372,-9593.971842911225,-1071.2175053158585,11142.314329860345,5949.398547565807,399.2254005940759,4866.443876813708,325.6438123344432,605.1433830516564
qEF,981.543367777263,12.383485208311534,-1326.134939005407,306.6695190901994,379.53410682873124,-6887.965947515237,-682.3889573406016,-5450.176200756067,277.61615372228795,5949.398547565807,7288.300255502196,-741.510296689846,-67.4753126327623,80.70859259310757,562.3662687733289
iG,-3445.704482223889,-40.3546194579012,2312.595282594499,16.787216861766144,-49.61586064038858,-1639.4837638378533,-448.2899631527215,-959.3558696710256,-280.9717422647145,399.2254005940759,-741.510296689846,630.7613844605734,1729.1762121807992,-23.51431977843941,-34.271953027016394
iE,-19099.762643742863,-165.7245990559739,14064.164309682074,290.22987777585246,10.62150588598341,-12071.331075648552,-2245.709557724552,-8398.29823648813,-2065.384364537138,4866.443876813708,-67.4753126327623,1729.1762121807992,10658.476865695891,464.42391803413,116.80470900451684
Kd0,-774.1805147884481,-3.8208973421746717,639.0744373830844,22.135541170392134,5.635013589731704,-574.5660119548364,-19.09283121574697,-410.0215788457242,-127.22892884277829,325.6438123344432,80.70859259310757,-23.51431977843941,464.42391803413,76.90030763118955,14.19460296398786
m0,-120.73938352079017,-0.23278314135389702,54.40937753298205,31.080384951962174,28.40393860056032,-721.5170381419068,-59.932806475589814,-546.1966638870565,-11.166446180972057,605.1433830516564,562.3662687733289,-34.271953027016394,116.80470900451684,14.19460296398786,47.21364360812052
