parameter,nominal,lower_bound,upper_bound,theta_minus,theta_plus,delta,minus_pct,plus_pct,mode,n_common_predictions,n_missing_sensitivities,used_in_q_matrix,dropped_from_q_reason
mu0,0.18,0.05,1.0,0.144,0.216,0.07200000000000001,-0.20000000000000007,0.19999999999999996,central_clipped,286,0,True,
sN,18.0,0.5,100.0,14.4,21.599999999999998,7.1999999999999975,-0.19999999999999996,0.19999999999999996,central_clipped,286,0,True,
qN,0.009141696292534281,0.0005,1.0,0.007313357034027425,0.010970035551041138,0.0036566785170137122,-0.19999999999999996,0.19999999999999996,central_clipped,286,0,True,
qXG,0.11249999999999999,0.005,10.0,0.09,0.13499999999999998,0.044999999999999984,-0.19999999999999996,0.19999999999999996,central_clipped,286,0,True,
qXF,0.11249999999999999,0.005,10.0,0.09,0.13499999999999998,0.044999999999999984,-0.19999999999999996,0.19999999999999996,central_clipped,286,0,True,
betaG0,0.225,0.1,10.0,0.18000000000000002,0.27,0.09,-0.19999999999999996,0.19999999999999996,central_clipped,286,0,True,
sG,0.030000000000000002,0.01,1000.0,0.024000000000000004,0.036000000000000004,0.012,-0.19999999999999996,0.19999999999999996,central_clipped,286,0,True,
betaF0,0.225,0.1,10.0,0.18000000000000002,0.27,0.09,-0.19999999999999996,0.19999999999999996,central_clipped,286,0,True,
sF,0.030000000000000002,0.01,1000.0,0.024000000000000004,0.036000000000000004,0.012,-0.19999999999999996,0.19999999999999996,central_clipped,286,0,True,
qEG,0.45918367346938777,0.01,100.0,0.3673469387755102,0.5510204081632653,0.18367346938775503,-0.19999999999999996,0.19999999999999996,central_clipped,286,0,True,
qEF,0.45918367346938777,0.01,100.0,0.3673469387755102,0.5510204081632653,0.18367346938775503,-0.19999999999999996,0.19999999999999996,central_clipped,286,0,True,
iG,0.02703616086515715,0.001,0.1,0.021628928692125723,0.03244339303818858,0.010814464346062855,-0.19999999999999984,0.19999999999999996,central_clipped,286,0,True,
iE,0.025,0.001,0.1,0.020000000000000004,0.03,0.009999999999999995,-0.19999999999999984,0.19999999999999996,central_clipped,286,0,True,
Kd0,0.00044,0.0001,0.05,0.00035200000000000005,0.000528,0.000176,-0.19999999999999996,0.19999999999999996,central_clipped,286,0,True,
m0,0.01,0.0001,0.05,0.008,0.012,0.004,-0.19999999999999996,0.19999999999999996,central_clipped,286,0,True,
