batch,state,t,mu0,qN,betaG0,betaF0,qEG,qEF,iG
25026,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,X,12.0,6.028919093906035,-0.23002863019475892,7.397749694292763e-16,-2.2490253607791167e-15,-6.328760379831632e-16,1.1599949995853118e-15,-4.6921273635513087e-14
25026,X,36.0,50.203544737677355,-24.421837834047068,0.0,0.0,0.0,0.0,0.0
25026,X,42.0,59.48984421788373,-116.76239971473161,0.0,0.0,0.0,0.0,0.0
25026,X,60.0,52.96283412422916,-570.761442751462,-8.285479657607894e-14,-5.39766086586988e-14,2.5315041519326527e-14,0.0,0.0
25026,X,84.0,46.92305049094621,-535.5758960282677,-0.4476180860501014,-0.14040253373541417,0.14372850240449503,0.0037529376046499126,0.6463083019653592
25026,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,N,12.0,-0.1461052716160784,-4.409567667041921,-1.8494374235731907e-16,5.622563401947792e-16,0.0,0.0,-1.1730318408878272e-14
25026,N,36.0,-2.313912018999324,-22.582589706877318,0.0,0.0,7.91095047478954e-17,0.0,0.0
25026,N,42.0,-2.5062034072428174,-21.57240200842609,-6.935390338399465e-17,0.0,-1.977737618697385e-17,3.6249843737040995e-17,0.0
25026,N,60.0,-0.0826456931933882,-0.3144253281172509,7.523273035052858e-15,4.468400484868274e-15,-2.3691133521474223e-15,-3.1860214222008686e-16,1.6953975825331876e-14
25026,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,G,12.0,-26.77432633072092,0.8126989552303789,0.3171749013283872,0.17071905909364074,-5.556496073285051,-0.0006180628166995388,-1.634223306008558
25026,G,36.0,-314.9323181394822,85.96681063866906,4.348887674992316,2.5234919594187524,-25.383587842796747,-0.02040717695900858,-21.918302559036515
25026,G,42.0,-422.0681668596948,321.59789063914576,6.324670894743413,3.7407633721007403,-31.977383774872475,-0.03787698043864897,-31.609836170290052
25026,G,60.0,-587.5932109133163,2122.479108884671,12.936071889501475,8.331346790095102,-49.39540352721692,-0.16783474431123185,-61.45403557955703
25026,G,84.0,-336.6620082723657,2002.077594199606,10.720563839478627,7.541814820044241,-34.78785273296948,-0.26650564483587685,-45.91731057754495
25026,G,90.0,-233.55077951420787,1441.4649241635645,7.770468380630708,5.58944151869183,-25.286418462424773,-0.22221710385290952,-32.354212734824024
25026,G,108.0,-50.223838803301085,326.8197701084733,1.815418517708408,1.4067415220995543,-6.453194703367461,-0.07966594081102865,-6.953113989957088
25026,G,114.0,-28.115907980772345,185.77614246808793,1.0474096847364212,0.8329185523208223,-3.8233401320398905,-0.053590814319125504,-3.899165684890898
25026,G,132.0,-4.895131624764275,33.768674373749484,0.20261299030985713,0.1738744429161844,-0.7841578322603162,-0.01669503857590759,-0.685681789655709
25026,G,138.0,-2.7667783360515754,19.325841569925377,0.11874258192882128,0.10421404865170529,-0.46745989358007295,-0.011540552886745608,-0.3868270404560031
25026,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,F,12.0,-10.990955969380623,0.3549234784993752,0.09732391419441434,0.05239700268221389,-0.03342995270409531,-3.0387719374843796,55.46951082892308
25026,F,36.0,-137.67740496344513,41.6743710369307,1.5729651387933596,0.9125340926191162,-0.7718924321016049,-15.412561755715242,248.031627764993
25026,F,42.0,-192.62298098008455,174.55405927321007,2.4571529881744625,1.453325227796978,-1.3392417300122903,-20.27774473672109,310.2927400925857
25026,F,60.0,-350.7068692476176,1401.113429314335,7.0511176125028,4.541069788344084,-5.259195233195103,-39.6416637701798,481.71538992811094
25026,F,84.0,-492.861536570811,3107.514443301271,14.870466889008208,10.403285225234464,-13.182342290574919,-63.300170115384816,538.058141115772
