fit,medium,batch,state,n,sse,wsse,rmse,weighted_rmse,mean_bias
base_mixed_full17_l2,natural,LAB004,X,12,2.1021795860033157,385.04089799790086,0.41854704892872313,5.664515998726199,-0.016020957933554198
base_mixed_full17_l2,natural,LAB004,Xd,12,0.28415406259724746,69.4171745915949,0.1538814648241863,2.405153747538726,-0.05433309376850997
base_mixed_full17_l2,natural,LAB004,N,13,0.008885539715999737,60.257870375830564,0.02614389135298919,2.1529562926684815,-0.02098779443665845
base_mixed_full17_l2,natural,LAB004,G,13,71.95159846268595,11.512255754029754,2.352602461803425,0.9410409847213699,-0.4146265387442449
base_mixed_full17_l2,natural,LAB004,F,13,424.26423418692667,67.88227746990826,5.712767308587957,2.285106923435183,-1.6236150182420763
base_mixed_full17_l2,natural,LAB004,E,5,284.83559343951543,67.21767644589823,7.547656503041397,3.6665426888527626,-5.742790794113441
base_mixed_full17_l2,natural,LAB004,Gly,13,5.339032747796617,43.58394079833974,0.6408547626050586,1.8310136074430245,-0.46968096349798744
base_mixed_full17_l2,natural,LAB005,X,12,1.346701715608204,183.30288892026647,0.335000213384037,3.9083552478447423,0.03670408409855014
base_mixed_full17_l2,natural,LAB005,Xd,12,0.4182387544149515,77.70753058530461,0.18669019667507797,2.5447254368154106,-0.03652034305913163
base_mixed_full17_l2,natural,LAB005,N,13,0.014614245163709166,92.53888355902797,0.03352868480720211,2.6680284215852663,-0.027648350028728563
base_mixed_full17_l2,natural,LAB005,G,13,60.32747032310095,9.652395251696152,2.1541993037410756,0.8616797214964302,-1.4789709053441937
base_mixed_full17_l2,natural,LAB005,F,13,1218.7514884392729,195.00023815028365,9.682464278030086,3.872985711212035,8.5973242611201
base_mixed_full17_l2,natural,LAB005,E,5,42.331796385478434,9.949826002196806,2.9097008913453095,1.410661263535425,-0.5557503574057335
base_mixed_full17_l2,natural,LAB005,Gly,13,44.5787600875461,270.37529584933986,1.851792480638611,4.560493359354716,-0.709549003922892
