medium,batch,n_rows,t_min_h,t_max_h,temperature_initial_c,temperature_min_c,temperature_max_c,G_initial_g_l,F_initial_g_l,S_initial_g_l,YAN_initial_mg_l,E_final_g_l,X_viable_initial_kg_m3,X_dead_initial_kg_m3,n_density,n_gf,n_y15,n_total_cells,n_ethanol,n_pulses,total_N_pulse_mg_l,scale
synthetic,MS007,10,0.0,213.0,15.0,15.0,15.0,125.34,120.52,245.86,224.0,79.239696,0.3329999999999999,0.117,9,9,9,9,4,1,100.0,laboratory
synthetic,MS008,10,0.0,213.0,15.0,15.0,15.0,124.28,119.63,243.91,218.0,83.975136,0.32835,0.1216499999999999,9,9,9,9,4,1,100.0,laboratory
synthetic,MS009,10,0.0,213.0,23.0,23.0,23.0,120.89,114.19,235.07999999999998,236.0,110.651448,0.3374999999999999,0.1124999999999999,9,9,9,9,4,1,100.0,laboratory
synthetic,MS010,10,0.0,213.5,19.0,19.0,19.0,124.65,113.21,237.86,221.0,110.809296,0.5609999999999999,0.0,9,9,9,9,4,1,100.0,laboratory
synthetic,MS011,10,0.0,213.5,19.0,19.0,19.0,123.57,119.77,243.33999999999997,218.0,105.36354,0.3697499999999999,0.23025,9,9,9,9,4,1,100.0,laboratory
synthetic,MS012,10,0.0,213.5,23.0,23.0,23.0,122.56,114.23,236.79000000000002,223.0,112.07208,0.4757999999999999,0.0,9,9,9,9,4,1,100.0,laboratory
synthetic,MS013,9,0.0,213.0,19.0,19.0,19.0,125.07,116.20000000000002,241.27,218.0,109.70436,0.4597499999999999,0.0,8,8,8,8,4,1,100.0,laboratory
synthetic,MS014,9,0.0,213.0,19.0,19.0,19.0,127.15,126.5,253.65,226.0,109.70436,0.4849499999999999,0.0,8,8,8,8,4,1,100.0,laboratory
synthetic,MS015,9,0.0,213.0,15.0,15.0,15.0,121.91,118.49,240.39999999999998,220.0,85.23792,0.3813,0.0686999999999999,8,8,8,8,4,1,100.0,laboratory
synthetic,MS016,9,0.0,208.0,23.0,23.0,23.0,125.22,116.88,242.1,214.0,114.4398,0.4907999999999999,0.0,8,8,8,8,4,1,100.0,laboratory
