,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrS_stat,kPyrO2,kPyrDrain,kAldPyr,kAldS_N,kAldS_stat,kAldO2,kAldRed,kAcAld,kAcStress,kAcAssim,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim,qgas_threshold_fraction
mu0,4343.159159721838,-3964.431166557057,-459.2727610699034,-89.77426426511703,2852.5251575166117,3722.228004515801,-1324.764995318018,-3452.24120692749,6.388539528334821,454.00503376565473,16.600616332936355,31.681827399130235,-0.3958993254849723,-0.1160156444695204,17.744101032099557,237.07644418826266,142.82452715784564,281.9875567127503,524.3017249780182,-0.7437225638740982,203.492612535035,845.7698072336835,-0.006954681001153292,94.97881620653935,38.94856590349343,47.482322342956174,58.90472926968265,36.320090110289115,32.85673583530525,16.152358319308387,19.4051084955037,3.6975986660942506,0.015081991321523916,20.771602097069454,-203.44256640063867
qN,-3964.431166557057,4243.122395142928,764.294443406166,142.56696577255207,-2971.3662125567075,-3705.8272315436166,1312.4058598726924,3241.4562900731794,-3.4250469439656106,-373.9874852529107,-13.891391536307038,-162.16719395019422,-7.8056585427116465,-147.10924555270788,143.21241299870897,-365.88481593325054,-250.5899393557309,-442.04759273495745,-829.9532098967281,1.104236559109048,761.0273905985961,-879.8991584041578,0.00687219614522191,-201.09214274365746,-84.71321618352283,-33.828450336340026,-47.056296604145864,-115.0343766195895,-109.95776010269391,-20.852249195716333,-16.83094825725541,1.2386634464369506,-0.032489134346975916,-44.814623392167434,193.9157979562865
betaG0,-459.2727610699034,764.294443406166,5351.976198986754,1064.8452475132551,-3608.941874370001,-3249.2839929244574,696.2044690056325,769.7904537340409,83.55708824863021,-621.2564797674889,-23.84167270276194,-37.88858757042428,-2.1939469165327403,-40.58758967558815,41.84947504110081,-75.79190451204379,-38.55183765130908,-93.8578539178061,-176.8892529183734,0.21129876698644817,733.8065008416609,70.18709019398672,-0.0005883835334500171,-26.836286673284064,-12.232447276190905,-25.073775766409828,-28.589878232236476,-45.38411828186918,-50.172664794533034,10.355257422404561,5.99199824546363,7.676238672669671,-0.004653669877042886,-6.480730337760052,-166.84899954674597
betaF0,-89.77426426511703,142.56696577255207,1064.8452475132551,232.47505490525472,-669.6206705923897,-794.6551783866802,178.56332877023704,145.04165284354966,21.792600948364832,-63.15379270255719,-2.4553585933725026,-6.234844257601251,-0.4042427100201894,-7.463248004117383,7.753218773507518,-17.64725633681074,-4.610101331380417,-21.070967892764052,-37.61540776702944,0.05714088040618982,155.90997013654527,15.853996288094791,-0.00012719340675855067,-3.0682475560915776,-1.3397192506066669,-2.8885112225872676,-3.3158980701107,-6.930215108341526,-8.022514106387385,0.9684151909308579,0.5579194422934417,0.7023689743055008,-0.0005078179421573846,-0.7024610985538408,-14.426692745876394
qEG,2852.5251575166117,-2971.3662125567075,-3608.941874370001,-669.6206705923897,7334.061505785948,3901.755584762187,-1121.4412732755302,-2928.809872468763,-58.075288579919906,-1304.8108307933958,-56.82494304022851,110.27232783738327,5.5510776104210295,102.62198414913065,-105.7448327995181,156.51018376989805,175.47940742216173,201.50857604795428,410.08514864417543,-0.34766294754769983,-976.9635884841786,175.7772822242414,-0.0013772270204190852,194.11793722030225,74.84259706382461,99.21850864224034,114.12235464296411,111.36902123377811,101.76429876836507,17.82241386230046,21.98994272190789,0.5533182423409961,0.028658189785158585,38.98454267479003,-194.49503756975923
qEF,3722.228004515801,-3705.8272315436166,-3249.2839929244574,-794.6551783866802,3901.755584762187,7556.6102401217595,-2411.8476799202444,-3920.4981697794715,-36.44297509622987,-40.66049175837488,-1.8834241808626462,73.05619604397437,3.9275353795904486,72.51650662970337,-75.10237967724454,137.05135203517847,110.36329473669845,173.80750610193604,342.6339401023053,-0.33402870954895636,-852.9179018013558,125.0004527183588,-0.0009396272733699761,105.78375769519317,41.600289375167115,54.80081086711064,63.52201646634572,74.56856558966868,74.31011542360024,7.7805083973675595,11.238292415647468,-2.8847760925863764,0.015950067594645016,21.77377469092787,-72.15708242527914
iG,-1324.764995318018,1312.4058598726924,696.2044690056325,178.56332877023704,-1121.4412732755302,-2411.8476799202444,839.9573472887553,1359.6023163304699,4.0838767833274785,4.705435944126628,0.21163497118944485,-31.86315019052728,-1.5768394665085752,-29.138883370870765,30.052921010647495,-42.41790958766417,-53.11556900518916,-55.5934136834875,-115.54430691366251,0.08419087307178137,238.33940568123742,-67.02493593612375,0.0005215917159185091,-57.55837906264783,-22.21286832929971,-29.055113699162806,-33.35216891127547,-31.681495554649647,-28.68000687472423,-5.2465618729676935,-6.436614856885159,0.17689743520559997,-0.008507740158122841,-11.575753008863021,55.29108997928366
iE,-3452.24120692749,3241.4562900731794,769.7904537340409,145.04165284354966,-2928.809872468763,-3920.4981697794715,1359.6023163304699,3482.897883153606,-7.537449334635768,-485.98351859970074,-18.129886603617628,-47.27411306609682,-2.364371337377118,-43.841379034645044,44.864854996851214,-90.37536621391934,-88.21524695161852,-117.74920715175654,-240.19674463819683,0.18856134323404167,437.0877096925099,-163.46474663452884,0.0012344960222190008,-85.782906639108,-34.277784988300475,-40.44181420063018,-49.25650072167532,-51.20844755877428,-49.610598449761206,-11.842784329263392,-14.46807894181419,-0.49864878111120703,-0.013197915735866126,-18.07998603264387,139.38967008097785
Kd0,6.388539528334821,-3.4250469439656106,83.55708824863021,21.792600948364832,-58.075288579919906,-36.44297509622987,4.0838767833274785,-7.537449334635768,21.593072504188154,-3.1101277734962576,-0.14062261398432171,-0.4927136511445024,0.010846165487313948,0.016979239734575657,-0.47213421814963574,-5.073744520042099,-1.9521163785030218,-5.854788171509818,-10.291565044217016,0.018079078682098307,11.200137787212595,-11.615636585037867,6.514834960505116e-05,0.0,-3.506048467648942e-27,0.0,0.0,-0.2192911331652875,-0.3251009502473848,0.0,0.0,0.028400568334674074,0.0,0.0,-0.07638987822501661
gammaG0,454.00503376565473,-373.9874852529107,-621.2564797674889,-63.15379270255719,-1304.8108307933958,-40.66049175837488,4.705435944126628,-485.98351859970074,-3.1101277734962576,2671.4365708314876,107.26442668433293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
