,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrS_stat,kPyrO2,kPyrDrain,kAldPyr,kAldS_N,kAldS_stat,kAldO2,kAldRed,kAcAld,kAcStress,kAcAssim,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim,qgas_threshold_fraction
mu0,4709.86196390405,-4320.7850827771,1016.6105501969619,213.3426626636251,1558.0269565371907,1493.7952738507631,-689.2353842482372,-2201.127306717422,243.20701162754463,312.1249153134732,11.868574676536829,32.79788159995204,-1.2502552593297773,-17.17426811672667,60.122247894721085,346.91357144412336,205.90026354758658,348.943208942943,648.3276471796238,-1.2163526512428482,59.713144002103036,1084.1641342685725,-0.013674691872029623,171.1514761461732,59.318616380613626,81.07316949617251,119.80633425358279,35.28327847828985,9.28115258483723,92.83726825220235,124.80227964313252,37.00597764410231,0.024145189748503,31.631339871698774,-933.1129248391527
qN,-4320.7850827771,5025.557967089095,-478.85912212843726,-108.2931123190783,-1956.5547171778594,-1644.8258108914756,731.0535790785591,2050.0309373114064,-172.1800821114666,-217.22395525999832,-8.383487271573012,-279.5665644025487,-12.169614902714116,-216.93240230095174,228.92409960002428,-593.8944871815515,-406.28602062848734,-610.8060014416249,-1145.3575154327589,2.0074179137689043,1443.7894369774488,-1198.0568932730566,0.014327136275004463,-306.7198183866408,-102.09829893620136,-64.15480140590054,-104.33339036576578,-189.71420334027422,-136.3844933404779,-113.85440640037429,-117.18412187170306,-31.02068414169277,-0.04093804981982187,-52.95985062309742,963.834611632073
betaG0,1016.6105501969619,-478.85912212843726,6283.704269019379,1547.285962679067,-4126.659162771066,-1783.1324853400588,66.27019761254239,-852.7636324928012,1558.1956081807032,-429.12879205776676,-17.881708362947187,-31.978235348953746,-0.5167144196984323,-10.706831025894637,-1.4428890606971514,-65.06281094143114,-73.18565584987941,-75.55686950217702,-146.78195578951824,0.17413184239998003,342.3379250216293,-101.05307999502247,0.0007353785139723977,-25.003059612799774,-5.726112056930463,-29.783996779924596,-32.70412334399632,-49.599312125595326,-37.76450326004996,9.567978623572925,-13.253944886773217,0.1447417520806319,-0.0020919805961065762,-2.380373966168662,-79.4324459461228
betaF0,213.3426626636251,-108.2931123190783,1547.285962679067,415.8721313777004,-1081.32991102365,-521.008917704804,32.453506553757656,-212.7875010620321,452.19939418028946,-38.68977902765009,-1.6202161860369444,-4.350059606938247,0.023818590895691737,0.13934226008568884,-4.139271591321849,-20.7999321064241,-13.306268680353131,-21.692037100316497,-40.365326790673166,0.06994265234466228,86.93116168047237,-30.190652131722995,0.00023814210908052266,-5.648243908526974,-1.5664048794555379,-4.175765666960335,-5.182668771231615,-7.156310486609181,-5.123831283672813,-1.2137903028860078,-3.961211138446743,-2.006360863126622,-0.0006124301478114614,-0.7557270815629774,23.45091933173603
qEG,1558.0269565371907,-1956.5547171778594,-4126.659162771066,-1081.32991102365,8072.182654346329,2250.9806519056488,-476.1734901744293,-1159.6645582764709,-1208.6297094368806,-1996.8506045130428,-94.38104730932683,115.02549706614433,3.8608906853688545,71.95414525409483,-72.63948535079743,91.13758416625117,222.29946321115895,134.13452676713356,279.72735840677205,-0.08057586064366093,-343.0711198569732,328.4039582952027,-0.0036825021672683643,296.4743485759861,94.52848253358344,139.26482351219337,182.2784751292977,137.61748097682488,80.4870756142196,118.7010109580463,161.66155050324602,50.71826798407888,0.03802520869006736,48.865338023424506,-1194.2858664691707
qEF,1493.7952738507631,-1644.8258108914756,-1783.1324853400588,-521.008917704804,2250.9806519056488,3055.799822744652,-959.2360553649916,-1276.8040913916525,-333.46088195177555,-141.9840857303775,-6.765805000305759,52.24520495972115,1.2990334000145969,26.097232330708408,-25.225548433347175,-17.990576785894447,121.19537633199462,24.631466782391236,65.08890986077591,0.28702659493238775,122.50043410324778,188.94936188542545,-0.0021629970233597914,119.16369873267591,35.936168183669174,64.25388281444933,75.69554237055958,82.14137166829127,57.25110128719051,29.50829566471895,50.12696213538081,8.68737491120258,0.01426610669989786,18.05609667020096,-276.70404181674
iG,-689.2353842482372,731.0535790785591,66.27019761254239,32.453506553757656,-476.1734901744293,-959.2360553649916,383.54830334354375,591.3041212698113,-33.522324398856234,18.751126254033355,0.8930343972850413,-30.279166719652746,-1.0496342930829858,-19.722340367453718,22.706281010717625,1.487154894983929,-57.97365949040676,-13.733222482192229,-35.97283908376827,-0.09059954051151226,-19.71139999828608,-75.56693472553007,0.000928382111442445,-65.84744919241781,-19.89196076266474,-33.33573216703176,-38.50083420902694,-37.48269609820494,-24.56426751864272,-17.67949848355225,-24.81156868956227,-5.320770328786797,-0.007911855091439688,-10.022777935281637,160.7659204118122
iE,-2201.127306717422,2050.0309373114064,-852.7636324928012,-212.7875010620321,-1159.6645582764709,-1276.8040913916525,591.3041212698113,1853.9273520161912,-324.65570636875856,-279.84204688908306,-10.922161091330185,-32.992838677836986,-0.8914646276440072,-17.992561498935135,21.881553136720832,43.91598473281233,-84.0047985614338,6.653130302183108,-2.8509128011437213,-0.349327097553891,-255.8363776966931,-140.0244386996544,0.0017702253595989802,-147.71229927320388,-49.577492752384536,-64.32844031097223,-92.76783510298418,-57.75491525740568,-31.93830652300253,-70.81937583895281,-94.33615648704472,-26.827799189319645,-0.020076880231176243,-26.104195001166822,703.278214351135
Kd0,243.20701162754463,-172.1800821114666,1558.1956081807032,452.19939418028946,-1208.6297094368806,-333.46088195177555,-33.522324398856234,-324.65570636875856,655.4199943158819,-8.141348757611343,-0.3877070145890692,-3.6150482191076296,0.13654230977093887,2.1369623807903304,-8.691790586902437,-45.35843212029488,-21.56313782700191,-42.70697723090304,-79.6006639899781,0.1726260581016378,71.8559571981409,-109.83076512401315,0.001037442262315655,0.8288472040165065,0.3067093301870027,0.24504699481448272,0.48549293337098137,-0.3937127573285457,-0.5726126714803877,0.6607384395183001,0.7416069716887635,0.3971417207980784,0.0001268483192281837,0.1685867933859678,-7.151955978698564
gammaG0,312.1249153134732,-217.22395525999832,-429.12879205776676,-38.68977902765009,-1996.8506045130428,-141.9840857303775,18.751126254033355,-279.84204688908306,-8.141348757611343,2914.9431727697192,130.39047720153337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
