,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrS_stat,kPyrO2,kPyrDrain,kAldPyr,kAldS_N,kAldS_stat,kAldO2,kAldRed,kAcAld,kAcStress,kAcAssim,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim,qgas_threshold_fraction
mu0,5226.081785823308,-4668.534905039316,634.8740059764054,65.69593088202781,2379.9173763898984,2039.9307788621775,-878.3118357943783,-2742.7247169480097,169.7943403561814,359.7607064448634,13.676488116081961,29.834353515163393,-1.7591287313292867,-24.42025605931818,68.86236551122384,344.3954120644554,210.15218159253013,348.16387997687013,648.6611681549209,-1.1809589503941074,171.27906878451063,1124.5766749603877,-0.012054686098324136,229.72172735958773,69.68935868117684,80.32358942141508,110.25727093060539,42.72331044808082,6.856217945279495,119.84587828131872,147.32544837896262,48.82061858381011,0.02875708514124976,36.911174172651144,-1076.30818067301
qN,-4668.534905039316,5433.049241347811,-83.79710658881585,37.7402492261584,-2752.1505865835647,-2166.761061986538,915.1711972422237,2540.8519130518607,-117.97837040913177,-253.62296893135857,-9.816048313253008,-310.5794385809225,-12.602697277447675,-229.28374443047167,244.96810858240917,-610.0538368450904,-439.3187724196001,-629.5500944389008,-1183.8939782240732,2.008769858432975,1485.3581145105272,-1231.7849029139165,0.012313968178767658,-403.2689642768538,-119.59156484167856,-62.8165373770058,-94.1205009406997,-213.9361023416583,-142.55769365392482,-140.72415732139262,-133.05492262225016,-39.58982098469943,-0.04862968736230096,-61.5692835403795,1081.1759015773555
betaG0,634.8740059764054,-83.79710658881585,5438.797331467189,1276.7868156138065,-3620.168405747522,-1802.7036644930456,172.39011774651615,-433.3351136798004,1062.0728812130637,-463.5620542197545,-19.139972212480107,-36.04551524622559,-0.7138249583051917,-14.522012223942495,5.932112124674434,-49.46530634069354,-66.90627174274825,-61.920424851741735,-121.90474065510215,0.09946157817403373,373.7999554469929,-39.50225218048757,7.561769637378052e-05,-60.387714939717625,-17.05462634033105,-29.075620490295076,-35.16059599557216,-55.0851602217676,-36.54490588613581,-9.826088741926448,-38.17616193745253,-7.5946795398535745,-0.006832921060863295,-8.502840527480581,109.82224389374474
betaF0,65.69593088202781,37.7402492261584,1276.7868156138065,336.66695742297827,-963.126647170716,-526.5410323170839,70.21131548685597,-58.86370541319884,301.13534421308134,-43.57815579651847,-1.8064070137953439,-4.927453925278104,-0.027297702243061748,-0.8473319551859533,-2.06622766089744,-15.434063613097159,-10.626669932145116,-17.168067799648572,-31.79623328911313,0.045738992324609165,91.32755706665839,-12.072550251408973,4.1448753396457864e-05,-24.66450012622822,-7.501273384130584,-9.642619440526424,-14.49067422657085,-8.956530181027569,-3.324569717727968,-14.416729349458624,-21.056519501574062,-8.001916195021284,-0.003110716282935719,-4.001737157476148,142.07329999496608
qEG,2379.9173763898984,-2752.1505865835647,-3620.168405747522,-963.126647170716,8255.422380093687,2494.559770259395,-656.8640637390563,-1908.7239631923883,-799.4137300593787,-1950.072259570714,-91.51019833855982,128.74029649392827,4.2154006278570995,78.87331673278032,-82.6399891969404,91.7615248994407,234.28758098917945,133.94301995530017,284.49639901177625,-0.04955477548144651,-409.33415093481386,302.71719880656826,-0.002885208045820376,398.57439709011567,115.1443275850201,131.3436759151476,165.75955847015197,155.88963747227444,79.21287902766845,166.02614223692447,206.19824091639376,69.84765534649702,0.047061966552690175,59.50140364473607,-1479.5976774529843
qEF,2039.9307788621775,-2166.761061986538,-1802.7036644930456,-526.5410323170839,2494.559770259395,3687.386701733431,-1201.1921273563778,-1763.1893785738528,-211.56028199187585,-130.75875896795787,-6.212969113212511,66.26897759796545,1.77443597925227,34.54615535416079,-34.78728703676184,5.111957258054076,137.75098108467756,45.77724019672593,109.4067137312801,0.22646263686968915,-31.40523440287369,187.15855144527075,-0.001805918749410051,163.45420842071155,45.87000773532369,54.865435956936906,61.47938278060585,93.84078517182456,60.95967322432456,44.55660725727609,63.98308436495651,13.800658283074375,0.01851236868222456,23.107322887986637,-376.1305521585752
iG,-878.3118357943783,915.1711972422237,172.39011774651615,70.21131548685597,-656.8640637390563,-1201.1921273563778,464.62201671675484,746.895094568913,-27.14167225669583,17.34248945632364,0.8227084827142558,-35.71821638261538,-1.2004652209804656,-22.445949217405108,25.616880963007205,-6.501538330305857,-65.73662529397689,-20.95626264179507,-51.338842591712904,-0.07065737460198637,20.098211566493717,-82.71525087556302,0.0008471471573572738,-85.27707400884664,-23.794367964847787,-27.457954836593004,-29.955154539201562,-42.51129347841259,-26.017118037336544,-24.161086568678503,-30.38142244103199,-7.653127484795962,-0.009608589886709758,-11.982346972463459,198.6522348178218
iE,-2742.7247169480097,2540.8519130518607,-433.3351136798004,-58.86370541319884,-1908.7239631923883,-1763.1893785738528,746.895094568913,2287.7643109353903,-241.69054550761874,-316.2278822737086,-12.402167483032347,-39.37231997168014,-0.9655397001097598,-19.25438450008458,21.49133897819636,24.683691605456335,-98.02221888521416,-9.93362324952182,-38.811149537380274,-0.29457241039893656,-178.1435619526811,-164.68732764630136,0.0016959144902004772,-205.16970008166018,-61.38848464661718,-65.43822821462871,-90.62021234857907,-66.45689508344478,-30.210865550213068,-100.39654201281117,-122.52770847951763,-38.9498982205639,-0.025264841040528143,-32.282133781410536,893.8210294467983
Kd0,169.7943403561814,-117.97837040913177,1062.0728812130637,301.13534421308134,-799.4137300593787,-211.56028199187585,-27.14167225669583,-241.69054550761874,443.056145390904,-7.216527807192124,-0.34151699586013634,-3.1808053457561174,0.10649183397304174,1.480170246061736,-6.42498836746619,-35.37882377516219,-16.530062778259943,-33.44790937322603,-62.12127929450854,0.13327063051259203,57.34408286502481,-84.87553589283354,0.0006425062721335664,3.694213079287505,1.1810311557926276,1.297839918427294,2.1894092640314895,-0.18934189495895895,-0.8713916249581815,2.789392917400808,3.462768019600565,1.3426708220033992,0.0004970509076510844,0.6500518273565524,-26.361374607573886
gammaG0,359.7607064448634,-253.62296893135857,-463.5620542197545,-43.57815579651847,-1950.072259570714,-130.75875896795787,17.34248945632364,-316.2278822737086,-7.216527807192124,2952.9332913357225,130.8127093002914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
