,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrS_stat,kPyrO2,kPyrDrain,kAldPyr,kAldS_N,kAldS_stat,kAldO2,kAldRed,kAcAld,kAcStress,kAcAssim,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim,qgas_threshold_fraction
mu0,4792.472176832434,-4571.711855514379,1110.5460802538864,345.60640958319584,2216.8986789405562,1785.1990259468334,-837.8781690857484,-2519.027819521726,293.26307170854534,297.04068964764,12.063603227098106,33.40004613607271,0.06209333831664421,-6.733594447180952,36.624770737532934,260.8331669028441,175.6390217614446,292.185944523786,538.6852261398546,-0.9059362434728138,363.9203272419102,1069.1632979784915,-0.01008986759077332,293.29516353374504,151.36065531259936,119.61798662469168,293.03148860414547,62.24034429555861,24.50930175155539,209.11043689129573,373.11374053099394,82.96296286112708,0.04764336505451381,67.53138029494386,-1295.8833882551774
qN,-4571.711855514379,4564.916926452169,-825.3352240430322,-279.70962326149396,-2355.3485467670675,-1820.6769889097066,829.1682711210312,2402.3636032326513,-268.71449041187515,-228.72389988513274,-9.264436541884828,-116.69528491340964,-5.8099798985203135,-84.89845942549418,71.65664381523642,-352.5470555104786,-250.5811925811663,-402.0579409684093,-737.582893177104,1.2066329193992267,254.14424270950167,-1105.9113084743658,0.010214418709139446,-354.8443124770751,-180.69305592917337,-109.44329908331301,-279.0605497689107,-116.07463284121806,-78.23781531242633,-229.59661605618086,-362.1107532187477,-85.91483917549631,-0.05636863034983646,-79.76896780455584,1321.3481158622108
betaG0,1110.5460802538864,-825.3352240430322,4402.072102628925,1071.1538038417527,-2718.783271484079,-1125.8342191439708,28.407987587920665,-527.8889430758092,674.811792665167,-437.04469422030667,-19.04830863825009,-15.20081163253136,-0.10465897691645229,0.9127761726639019,-11.912683450244057,-36.58775368535797,-54.19554713937429,-60.956189403831,-97.27431027546675,0.09015348068268197,172.76546391158814,-98.74907718650793,0.0006324359497925581,-53.40034356898835,-27.628552457595514,-42.20898599017059,-99.73174525776913,-41.37105406790078,-30.07170079793459,-25.852647526138185,-121.56778813916887,-24.403954998404366,-0.00848907762937459,-12.042587178264736,230.48418746847446
betaF0,345.60640958319584,-279.70962326149396,1071.1538038417527,282.39842031697157,-619.978965109622,-327.7756237145518,17.71002540925719,-180.8088782411046,197.8505780630147,-40.46572213499649,-1.7729860289867005,-1.1897832055950257,0.14763383747514155,3.1265912907735887,-6.754603333276049,-9.822621631961901,-10.249497609987346,-13.650841118073991,-22.745197956207512,0.030717575348139688,30.085583080074667,-28.575080134458315,0.00018597125437004304,-8.542897260671507,-4.226341392149064,-7.3255927704180115,-17.641749317669568,-7.19844319510065,-4.641414303358581,-4.7266739207185084,-22.238152238521124,-6.056238658856774,-0.0012943339871143342,-1.8255273920647968,48.040110597662995
qEG,2216.8986789405562,-2355.3485467670675,-2718.783271484079,-619.978965109622,7638.1944673070375,2260.8397517112517,-615.554233730329,-1813.0896121352027,-439.55204409446486,-2055.472667292014,-98.20294155390498,66.22545263305497,2.809815101458584,43.27231227577328,-40.625544774308565,40.85116272237936,152.88456573511425,123.72891882343296,176.78598269986944,0.031187227417304453,-142.44831121838902,252.21791642197073,-0.002196379049053251,386.87619847691553,193.7895485876876,166.80059652243142,386.3906596691941,125.27585257953108,71.5232938967821,250.04018662763423,478.6652785798017,115.66915906701662,0.060384859807265746,85.2810734226856,-1590.8898144736097
qEF,1785.1990259468334,-1820.6769889097066,-1125.8342191439708,-327.7756237145518,2260.8397517112517,2935.7666851333856,-1013.6531398676146,-1433.5951111082493,-113.10281611459514,-159.56341651011329,-7.666537927343705,35.621536069225954,1.1098017950539134,17.810340181907556,-16.79055632792293,-37.24086840978066,99.82124464204344,36.944661632138555,15.189011515094762,0.30219304972208727,249.511971381771,172.2507206738985,-0.0015362861937865747,213.6878014283705,107.62349550794357,95.62484355561855,216.91808392654417,81.00643991527367,53.28372037193123,126.272566693165,263.08856191645066,56.10232504505278,0.0333401486552289,47.1269764698266,-803.3253134772287
iG,-837.8781690857484,829.1682711210312,28.407987587920665,17.71002540925719,-615.554233730329,-1013.6531398676146,396.036789349721,625.9171864608991,-26.19604857204248,20.957845733685073,1.01868280156169,-18.98264557743539,-0.8461935995386662,-13.768446897970936,15.475165398897751,6.7546985944987465,-41.71215828104485,-19.48841821724108,-18.32000747807486,-0.08338023855055189,-46.46353993646913,-59.83694503813119,0.0005672642819473577,-88.05471751432455,-43.7648372550305,-36.47666590499417,-78.40451044545956,-31.765521612905466,-20.874834253223142,-48.99530261834895,-92.39594876840562,-20.645187416954098,-0.013474721982924162,-19.015149838085165,297.7689994734045
iE,-2519.027819521726,2402.3636032326513,-527.8889430758092,-180.8088782411046,-1813.0896121352027,-1433.5951111082493,625.9171864608991,1877.3942642471975,-183.0803831174904,-258.01789047016376,-10.8041659167309,-13.596877421740098,-0.34281543415491794,-6.537753000318528,8.952909261511337,52.25227054259814,-48.55418546042475,-0.18701111153364813,38.74726630365461,-0.31707431676281955,-281.9214027354447,-84.74894912898965,0.0008487924332450052,-210.97060672907563,-108.44468663154396,-89.65478923338463,-224.37170483625724,-52.94047181329593,-24.711451547814704,-154.6660199581894,-288.6999238408354,-63.535478457113484,-0.03424379380433755,-48.51091807853052,980.5430893437285
Kd0,293.26307170854534,-268.71449041187515,674.811792665167,197.8505780630147,-439.55204409446486,-113.10281611459514,-26.19604857204248,-183.0803831174904,271.9237997260394,-7.366255051360575,-0.35635821660273126,-1.8485840730685308,0.10454513682596003,2.9019363349630427,-7.853368408118706,-34.18247792729741,-16.360968978785348,-34.35681377251631,-65.40296882420037,0.12985093237461645,37.10202557159273,-101.35560187667983,0.0007579466370492041,6.602302297936399,3.4286819077255903,2.861742937272626,7.819792571950227,0.617584615209481,-0.5834309618142149,5.837387182410733,10.492425603059019,2.7049486543906767,0.0011057080618772387,1.567586300387492,-37.968492264919206
gammaG0,297.04068964764,-228.72389988513274,-437.04469422030667,-40.46572213499649,-2055.472667292014,-159.56341651011329,20.957845733685073,-258.01789047016376,-7.366255051360575,2985.8347899769365,137.0931725690399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
