,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrS_stat,kPyrO2,kPyrDrain,kAldPyr,kAldS_N,kAldS_stat,kAldO2,kAldRed,kAcAld,kAcStress,kAcAssim,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim,qgas_threshold_fraction
mu0,5052.47524906424,-4844.925754003842,818.9344405690803,197.91741250673053,2413.7510777807097,1760.3548296086517,-804.5891375829405,-2553.3750203138284,213.32790761858416,317.0383757485949,12.660604792612384,24.906241072033406,-1.0821528889365746,-20.5706419843528,48.92761149999544,223.55294886229467,168.18536375179292,262.11901962203547,480.8165422638791,-0.7136831881608989,526.905471251046,1008.8497184895314,-0.009487950897911542,268.6147436810761,121.45079924847661,107.66295560172938,233.6134224258164,53.59788527180494,15.724163443957103,176.91974722699493,290.9554120290779,71.38916286546107,0.041749092499341195,57.39284473779013,-1281.566116461912
qN,-4844.925754003842,5020.339507928788,-418.36346996957366,-106.86751249467736,-2700.0636188361914,-1860.8303882331504,818.9170159183291,2448.314939929876,-156.93614911884723,-245.5235942646931,-9.845644357767604,-142.881307049002,-6.582409584688914,-104.15680384939853,95.552995505291,-344.9191573324071,-272.60688814899027,-410.54877611061215,-751.1932325878449,1.0824624567575314,285.9456536467536,-1068.2648088689728,0.009712284035955861,-361.064803726544,-159.87335672948598,-97.37600069910212,-222.71206497303544,-129.48152711376895,-88.2494269688123,-201.79244051667496,-284.89465490608865,-74.10954829386642,-0.054454870098293785,-74.49948313413645,1332.073561382247
betaG0,818.9344405690803,-418.36346996957366,6792.004425425376,1748.2204207618925,-4535.46175692121,-1740.0561781850615,13.030863919339668,-955.5792325134677,1693.5572866144537,-467.8968081408931,-20.255261702694966,-18.807660615124256,0.10658592945094914,3.013556561183858,-15.61309126215995,-47.831993869285974,-67.23324548490369,-72.22992300650199,-124.56791685919416,0.10977253927515923,153.91657234556817,-154.58538744052004,0.0009500410456584382,-54.58950683544586,-23.70696068518952,-39.048765226686406,-79.30141578212904,-42.162162656209624,-30.291782736879284,-19.96996367348704,-88.75378610301271,-18.638136613938137,-0.007989105259139885,-10.863328619335913,199.35276885813684
betaF0,197.91741250673053,-106.86751249467736,1748.2204207618925,480.9915780835926,-1205.576189422294,-535.4228103520147,23.29744013430057,-258.5891167882747,494.7776478723593,-44.545052607696164,-1.944840494622403,-1.4752060698052059,0.23513197186279988,4.284535491791772,-8.389591356329532,-13.151125181463499,-13.200251985912182,-17.81100465135969,-31.059325653939396,0.03655719661122088,23.422345013265975,-45.80793875803301,0.0002905294596415392,-14.950298634002271,-6.623707286792602,-8.66756249331476,-19.11588614618624,-7.340993035700089,-3.8737510847420813,-9.402656306903646,-24.002376626209216,-7.0476330217642715,-0.002269271538107274,-3.1089197891515408,85.02833673255208
qEG,2413.7510777807097,-2700.0636188361914,-4535.46175692121,-1205.576189422294,9079.631220556768,2617.600652392486,-581.5442342452194,-1591.5422302177722,-1213.115023752045,-1985.1984646382068,-94.75962256117613,81.83219444464801,3.1875539051707613,52.42174583242355,-49.050117353718115,64.97908061895599,179.79205195211875,133.66839743485173,222.7977067101811,-0.04045772727295058,-176.98052248910344,305.9845640313947,-0.0025195627536566175,391.6281630965855,170.435809970352,163.08941134240158,330.95214392168594,128.60883880978088,70.33111761195738,227.49009501310607,392.709033418307,103.60264939252724,0.05810210308474615,79.36801111060468,-1675.279749256625
qEF,1760.3548296086517,-1860.8303882331504,-1740.0561781850615,-535.4228103520147,2617.600652392486,3039.3079461497678,-986.6764724712538,-1354.803751457814,-345.1139001225165,-150.0085879169825,-7.206367875085721,38.4537850231452,0.919988918988836,16.55559530957065,-13.931389686735827,-33.96645259763895,106.23765179844237,21.57986629293191,13.448890692350801,0.28407794799733666,274.22534623638643,176.60601856771518,-0.0015050609674227523,189.3978633787591,81.50053728098115,82.58865929345475,160.55528568973543,75.42108231408957,48.58032524903766,93.71659164034799,179.83826964378648,40.65684267976891,0.027608224222730137,37.58787826229808,-687.0004812959967
iG,-804.5891375829405,818.9170159183291,13.030863919339668,23.29744013430057,-581.5442342452194,-986.6764724712538,395.45619329012504,647.5326480834315,-44.16423854083543,20.733560343551087,1.0033701045418844,-22.667905126023502,-0.9604044404421325,-16.40713257179333,18.09010137706741,4.851486002258145,-46.70444073667314,-15.061662575622474,-20.036045352936696,-0.07627498049331498,-44.62812125721187,-59.757321197338534,0.0005597692584819732,-84.05076852869811,-35.55027240426198,-34.333463143653546,-62.88308702383765,-32.225885914601164,-21.095406587207044,-39.00121053687138,-66.75637839104401,-15.53427175503156,-0.011990122438211582,-16.273310398636927,271.823050630508
iE,-2553.3750203138284,2448.314939929876,-955.5792325134677,-258.5891167882747,-1591.5422302177722,-1354.803751457814,647.5326480834315,2117.162996456653,-388.13954047977273,-276.2855274486287,-11.345567440619298,-20.562279405871568,-0.658906969677875,-12.41982830212625,15.115418728849782,45.97676638570716,-57.86356698066113,6.792307575757754,33.378483655403265,-0.28288553828348084,-260.5343720701354,-79.64590982666772,0.0008170662053151548,-212.51177522477053,-95.722403422893,-85.6835498705362,-188.69072691168392,-53.89468989200626,-22.937739864400164,-140.95333983377702,-237.8262884500659,-58.41150278696182,-0.03291887716479431,-45.24336331118705,1033.9849833884423
Kd0,213.32790761858416,-156.93614911884723,1693.5572866144537,494.7776478723593,-1213.115023752045,-345.1139001225165,-44.16423854083543,-388.13954047977273,706.8981449002724,-11.237741974402105,-0.5420251963046133,-1.6556482461017392,0.25960426333123765,5.111187364259573,-10.826425571870608,-37.78622513896441,-19.9831610591149,-40.72428845425492,-75.86022235895545,0.1322016242750248,27.806492765028935,-120.64431629416185,0.0008487290999589937,6.2483645473182685,2.9295680633296244,2.5663888971659876,6.37045837497137,0.3415545783771913,-0.9220610064563135,5.338526131740216,8.825730397292567,2.5409480820773647,0.0010234352547072321,1.4191561082577646,-40.555883897581424
gammaG0,317.0383757485949,-245.5235942646931,-467.8968081408931,-44.545052607696164,-1985.1984646382068,-150.0085879169825,20.733560343551087,-276.2855274486287,-11.237741974402105,2960.0522968741407,134.9367350381087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gammaF0,12.660604792612384,-9.845644357767604,-20.255261702694966,-1.944840494622403,-94.75962256117613,-7.206367875085721,1.0033701045418844,-11.345567440619298,-0.5420251963046133,134.9367350381087,6.251561005142413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS_N,24.906241072033406,-142.881307049002,-18.807660615124256,-1.4752060698052059,81.83219444464801,38.4537850231452,-22.667905126023502,-20.562279405871568,-1.6556482461017392,0.0,0.0,144.22896143720521,9.25821037213985,151.08724778027604,-175.57964211467427,84.12929643735895,31.259208687697758,89.02959121912647,165.55154173119746,-0.29781499684754076,-465.0421082698784,41.63048257455405,-0.0003360641759149546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS_stat,-1.0821528889365746,-6.582409584688914,0.10658592945094914,0.23513197186279988,3.1875539051707613,0.919988918988836,-0.9604044404421325,-0.658906969677875,0.25960426333123765,0.0,0.0,9.25821037213985,0.831727732615729,13.49398298465286,-16.937127118594727,6.399284017278897,1.4524330960339242,6.239036136033152,11.861801739261038,-0.024199076269885465,-35.328318701811,1.842849973942838,-1.411164339120504e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrO2,-20.5706419843528,-104.15680384939853,3.013556561183858,4.284535491791772,52.42174583242355,16.55559530957065,-16.40713257179333,-12.41982830212625,5.111187364259573,0.0,0.0,151.08724778027604,13.49398298465286,219.5067756255389,-276.74153364926644,101.15557773972364,23.575242915606413,98.62899071172039,187.59624399407735,-0.3825443394230787,-557.9141202964295,29.612593215825598,-0.00022800451919271637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrDrain,48.92761149999544,95.552995505291,-15.61309126215995,-8.389591356329532,-49.050117353718115,-13.931389686735827,18.09010137706741,15.115418728849782,-10.826425571870608,0.0,0.0,-175.57964211467427,-16.937127118594727,-276.74153364926644,358.06032996586646,-114.57205827716759,-23.69187326053271,-109.01958791532881,-209.01838531876618,0.4412005171545265,630.4043844892154,-28.03127947290507,0.00021292051961756495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldPyr,223.55294886229467,-344.9191573324071,-47.831993869285974,-13.151125181463499,64.97908061895599,-33.96645259763895,4.851486002258145,45.97676638570716,-37.78622513896441,0.0,0.0,84.12929643735895,6.399284017278897,101.15557773972364,-114.57205827716759,346.1764351157276,123.37902470417441,360.39711588017235,673.894255952901,-1.242180372046835,-1911.546989276127,158.61802350404344,-0.0012843481379326408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS_N,168.18536375179292,-272.60688814899027,-67.23324548490369,-13.200251985912182,179.79205195211875,106.23765179844237,-46.70444073667314,-57.86356698066113,-19.9831610591149,0.0,0.0,31.259208687697758,1.4524330960339242,23.575242915606413,-23.69187326053271,123.37902470417441,170.44277601479297,166.32348917878338,302.3689062636576,-0.32332904954083586,-664.0862535141208,175.93421151950793,-0.0016241608287326246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS_stat,262.11901962203547,-410.54877611061215,-72.22992300650199,-17.81100465135969,133.66839743485173,21.57986629293191,-15.061662575622474,6.792307575757754,-40.72428845425492,0.0,0.0,89.02959121912647,6.239036136033152,98.62899071172039,-109.01958791532881,360.39711588017235,166.32348917878338,406.817743559234,742.1472443677346,-1.2021501643769603,-2001.6362215753206,233.1172960251308,-0.0019003447411208901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldO2,480.8165422638791,-751.1932325878449,-124.56791685919416,-31.059325653939396,222.7977067101811,13.448890692350801,-20.036045352936696,33.378483655403265,-75.86022235895545,0.0,0.0,165.55154173119746,11.861801739261038,187.59624399407735,-209.01838531876618,673.894255952901,302.3689062636576,742.1472443677346,1366.4382710834582,-2.2986369939484255,-3733.3860093761605,401.44565741513264,-0.0032984121126348465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldRed,-0.7136831881608989,1.0824624567575314,0.10977253927515923,0.03655719661122088,-0.04045772727295058,0.28407794799733666,-0.07627498049331498,-0.28288553828348084,0.1322016242750248,0.0,0.0,-0.29781499684754076,-0.024199076269885465,-0.3825443394230787,0.4412005171545265,-1.242180372046835,-0.32332904954083586,-1.2021501643769603,-2.2986369939484255,0.004725362671145169,6.822383067603248,-0.37145389642443527,2.9456424808620595e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAld,526.905471251046,285.9456536467536,153.91657234556817,23.422345013265975,-176.98052248910344,274.22534623638643,-44.62812125721187,-260.5343720701354,27.806492765028935,0.0,0.0,-465.0421082698784,-35.328318701811,-557.9141202964295,630.4043844892154,-1911.546989276127,-664.0862535141208,-2001.6362215753206,-3733.3860093761605,6.822383067603248,14080.284452892329,814.3229164610316,-0.007935770524562749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcStress,1008.8497184895314,-1068.2648088689728,-154.58538744052004,-45.80793875803301,305.9845640313947,176.60601856771518,-59.757321197338534,-79.64590982666772,-120.64431629416185,0.0,0.0,41.63048257455405,1.842849973942838,29.612593215825598,-28.03127947290507,158.61802350404344,175.93421151950793,233.1172960251308,401.44565741513264,-0.37145389642443527,814.3229164610316,1096.546911736772,-0.008867590886765659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAssim,-0.009487950897911542,0.009712284035955861,0.0009500410456584382,0.0002905294596415392,-0.0025195627536566175,-0.0015050609674227523,0.0005597692584819732,0.0008170662053151548,0.0008487290999589937,0.0,0.0,-0.0003360641759149546,-1.411164339120504e-05,-0.00022800451919271637,0.00021292051961756495,-0.0012843481379326408,-0.0016241608287326246,-0.0019003447411208901,-0.0032984121126348465,2.9456424808620595e-06,-0.007935770524562749,-0.008867590886765659,9.159008523174486e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k_EA_growth,268.6147436810761,-361.064803726544,-54.58950683544586,-14.950298634002271,391.6281630965855,189.3978633787591,-84.05076852869811,-212.51177522477053,6.2483645473182685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.54089265492206,95.62241520209939,0.0,0.0,0.0,0.0,73.46739116488375,0.0,0.0,0.03167431105177714,42.36852245658706,-217.93909248337533
k_EA_stationary,121.45079924847661,-159.87335672948598,-23.70696068518952,-6.623707286792602,170.435809970352,81.50053728098115,-35.55027240426198,-95.722403422893,2.9295680633296244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.62241520209939,42.45473398736933,0.0,0.0,0.0,0.0,34.201085563039186,0.0,0.0,0.014233374979843925,19.386366030856,-102.98923169657854
k_IAA_growth,107.66295560172938,-97.37600069910212,-39.048765226686406,-8.66756249331476,163.08941134240158,82.58865929345475,-34.333463143653546,-85.6835498705362,2.5663888971659876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.2565860744757,79.98026056124957,0.0,0.0,0.0,58.54439218192653,0.0,0.0,0.0,-92.2731614186768
k_IAA_stationary,233.6134224258164,-222.71206497303544,-79.30141578212904,-19.11588614618624,330.95214392168594,160.55528568973543,-62.88308702383765,-188.69072691168392,6.37045837497137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.98026056124957,146.80490576159806,0.0,0.0,0.0,144.41926514834557,0.0,0.0,0.0,-230.6507813351009
k_EO_growth,53.59788527180494,-129.48152711376895,-42.162162656209624,-7.340993035700089,128.60883880978088,75.42108231408957,-32.225885914601164,-53.89468989200626,0.3415545783771913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.05567298141025,125.77181701113459,0.0,0.0,15.634833528472884,0.0,0.0,-23.190264850662622
k_EO_stationary,15.724163443957103,-88.2494269688123,-30.291782736879284,-3.8737510847420813,70.33111761195738,48.58032524903766,-21.095406587207044,-22.937739864400164,-0.9220610064563135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.77181701113459,147.24950993447732,0.0,0.0,-10.850524089860953,0.0,0.0,15.555874304675744
alpha_EA_loss,176.91974722699493,-201.79244051667496,-19.96996367348704,-9.402656306903646,227.49009501310607,93.71659164034799,-39.00121053687138,-140.95333983377702,5.338526131740216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.46739116488375,34.201085563039186,0.0,0.0,0.0,0.0,62.62541566307441,0.0,0.0,0.011932800969915764,16.528752496478962,-186.69543400525754
alpha_IAA_loss,290.9554120290779,-284.89465490608865,-88.75378610301271,-24.002376626209216,392.709033418307,179.83826964378648,-66.75637839104401,-237.8262884500659,8.825730397292567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.54439218192653,144.41926514834557,0.0,0.0,0.0,200.7014800414955,0.0,0.0,0.0,-318.5155842155473
alpha_EO_loss,71.38916286546107,-74.10954829386642,-18.638136613938137,-7.0476330217642715,103.60264939252724,40.65684267976891,-15.53427175503156,-58.41150278696182,2.5409480820773647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.634833528472884,-10.850524089860953,0.0,0.0,58.18665576336028,0.0,0.0,-83.04432422455699
k_EA_XE,0.041749092499341195,-0.054454870098293785,-0.007989105259139885,-0.002269271538107274,0.05810210308474615,0.027608224222730137,-0.011990122438211582,-0.03291887716479431,0.0010234352547072321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03167431105177714,0.014233374979843925,0.0,0.0,0.0,0.0,0.011932800969915764,0.0,0.0,4.7955704535273735e-06,0.006544347557845853,-0.036030968137578626
k_EA_XE_Nlim,57.39284473779013,-74.49948313413645,-10.863328619335913,-3.1089197891515408,79.36801111060468,37.58787826229808,-16.273310398636927,-45.24336331118705,1.4191561082577646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.36852245658706,19.386366030856,0.0,0.0,0.0,0.0,16.528752496478962,0.0,0.0,0.006544347557845853,8.954144096579427,-50.02284996229196
qgas_threshold_fraction,-1281.566116461912,1332.073561382247,199.35276885813684,85.02833673255208,-1675.279749256625,-687.0004812959967,271.823050630508,1033.9849833884423,-40.555883897581424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-217.93909248337533,-102.98923169657854,-92.2731614186768,-230.6507813351009,-23.190264850662622,15.555874304675744,-186.69543400525754,-318.5155842155473,-83.04432422455699,-0.036030968137578626,-50.02284996229196,1413.8838498049038
