,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrS_stat,kPyrO2,kPyrDrain,kAldPyr,kAldS_N,kAldS_stat,kAldO2,kAldRed,kAcAld,kAcStress,kAcAssim,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim,qgas_threshold_fraction
mu0,4349.242386577157,-4170.463416281607,433.1806666444519,138.49131813717992,2404.2724160935686,2253.628259839541,-883.7773860134304,-2266.752455640674,30.73288533028049,363.20003374537845,15.616911855379517,15.173911332665673,-1.0348366100187438,-21.12193881928382,34.3639848229374,105.03436537287499,119.4638818115118,171.8094971638607,274.7280364133389,-0.27935838767405574,1005.6075738010247,871.4145229948585,-0.004088253967020285,267.9370519508664,161.08686527296774,101.32698441219253,244.41090389466493,54.554117261913746,26.439735409315915,153.88855250667746,298.4080739048975,63.23112455031966,0.045996637430356084,67.31757503432617,-999.9902524095489
qN,-4170.463416281607,4229.9457121141095,-185.49418104015925,-77.99038472128235,-2570.040208938182,-2300.3505919767213,886.8822103478145,2178.0448799314895,-9.724795853998645,-307.3548509952064,-13.281058942599211,-88.18905524097917,-4.726717373401003,-64.33796317856927,56.358089650176495,-179.1185378511362,-190.30548052019503,-285.0147308392524,-462.2268626784904,0.48738880089256365,-421.23602782505236,-899.8128320277526,0.0040841030129418,-363.44404816074274,-219.12035787468696,-90.3819442678162,-226.20851028529387,-100.99555429840336,-79.31911315601516,-178.39984722660068,-283.1631917617118,-68.69812342551643,-0.06232670546868287,-91.18549736167785,1037.2143732930374
betaG0,433.1806666444519,-185.49418104015925,5005.108660159057,1280.8096864399718,-2887.8024034778773,-1481.7912145435719,49.9356087996527,-543.3581825745235,766.6397354491843,-571.3378300909437,-25.89485670368732,-12.386933476753958,0.008526564496629002,2.5992338326017483,-8.013769734201336,-17.107717992430473,-45.254384440215354,-53.38659305947314,-64.60767975460472,0.007040949304032092,45.7643186139923,-99.08703118875117,0.0002771446342407537,-13.964164796871321,-15.41867414089089,-18.0174912984098,-34.56313812314896,-26.894869018053043,-33.07592533093742,20.279291572249722,-29.866687397229878,0.7249029286291802,-0.0045302337579755545,-6.918039892992439,-70.04107512468791
betaF0,138.49131813717992,-77.99038472128235,1280.8096864399718,357.10949843733215,-678.4603355442906,-509.535387691535,43.72447574211805,-182.79976302212384,230.26374412853272,-59.93093014331956,-2.745819009899419,-1.077262791440922,0.16931794493981012,3.246318685879524,-4.939319115100247,-3.399366391188637,-8.683933400188018,-11.087637321715134,-13.072985549905674,0.0008856251054558586,-7.839801354204832,-29.04362654174464,8.250108494780175e-05,-0.30767308957958406,-1.2605398305264455,-3.0192075108201757,-5.945006440264722,-5.290128232079031,-5.893516299808535,4.419820541574822,-5.7540451651591535,-1.3603157413965783,-0.0003778309557639504,-0.5968920920144678,-12.87989439916583
qEG,2404.2724160935686,-2570.040208938182,-2887.8024034778773,-678.4603355442906,7102.033742495545,2278.966665387055,-570.3505675546163,-1512.6773033618335,-484.8389620884139,-1787.3397192314412,-86.00459580118917,58.70194256072055,3.13007150766602,44.60195834144627,-42.10752996245118,48.283951900432655,130.96295735385257,138.21881152610754,175.7169736340195,-0.03289839097968067,-187.60062085020272,208.15112867764958,-0.00087332641489593,343.3359228367235,201.7627945732087,137.60719412211165,315.67430289238564,104.536990744738,74.21454638730104,176.6324418209649,370.593922718228,83.4927911059276,0.05720473662387331,83.46694609699725,-1171.7457072663478
qEF,2253.628259839541,-2300.3505919767213,-1481.7912145435719,-509.535387691535,2278.966665387055,4211.237953194722,-1293.5982221543525,-1667.2696738141324,-146.13734667697344,-133.2895102110476,-6.455221141278106,36.101170703637145,1.4936306005528823,21.46250444417328,-19.486248795148917,-7.160635610273161,93.83613498776995,62.87082934486813,43.03828605200042,0.1370379234371064,114.19010342547558,140.7269609983884,-0.0006126757425627327,203.04528027484375,125.48503065728985,79.04228342672896,172.79604383315777,67.30295640892415,55.75310529529043,82.45362110681049,192.4885958095246,37.40846709068832,0.03574291216309316,52.42159208891258,-550.3089184364536
iG,-883.7773860134304,886.8822103478145,49.9356087996527,43.72447574211805,-570.3505675546163,-1293.5982221543525,454.19080592996096,663.8355669007599,-25.777160886124598,19.16946118090517,0.9430684154495298,-17.380249026412223,-0.9686044691760318,-14.395832194959654,14.617838401498746,-2.7446481740211626,-37.11713583268569,-26.750072340218104,-25.893391574829934,-0.028016927457930357,-0.8292394602339677,-45.98746969209785,0.00022045209884031353,-88.57904258865187,-53.319875792910956,-32.83710845005541,-70.45443765840861,-26.816648304684897,-20.530502320024546,-38.18050519835973,-77.69164875472973,-16.828267574229546,-0.015124127966450707,-22.117519206994434,241.97652575519564
iE,-2266.752455640674,2178.0448799314895,-543.3581825745235,-182.79976302212384,-1512.6773033618335,-1667.2696738141324,663.8355669007599,1807.59627473041,-203.10132001507426,-319.74008690845744,-14.140237512186935,-13.80950712842491,-0.5667060343096684,-8.780651729922528,9.034784993805358,12.566397659260275,-41.5738071211362,-25.15944029101848,-5.288892249685047,-0.10774329375517736,-75.387175273142,-50.19393372112998,0.00027127835499054175,-178.0905302001095,-104.6487135755795,-72.68511318476865,-182.58726162667304,-42.66236136127712,-23.301926449181934,-110.61846109563243,-228.71463789502002,-46.50583644608717,-0.029838647938968496,-43.569722986097766,744.7327302716832
Kd0,30.73288533028049,-9.724795853998645,766.6397354491843,230.26374412853272,-484.8389620884139,-146.13734667697344,-25.777160886124598,-203.10132001507426,300.3467804566729,-12.032659432121536,-0.5847374248389064,-0.20801768112918628,0.21920646422254797,4.215818337872577,-6.287024187635249,-14.596065576605792,-9.871430612741538,-20.853496562526587,-35.3066345878824,0.04416823352520513,-34.15956163100033,-76.55925850613596,0.00026189735345501886,5.332651747471545,2.8158339196354114,2.5218414642660107,7.010090250870704,0.5700936815919497,-0.830358576604258,4.711959119460552,9.356362537973055,2.2984601498025343,0.0007982337341131396,1.1523566002745322,-32.746543330973196
gammaG0,363.20003374537845,-307.3548509952064,-571.3378300909437,-59.93093014331956,-1787.3397192314412,-133.2895102110476,19.16946118090517,-319.74008690845744,-12.032659432121536,2947.559752347551,137.0371130212918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
