,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrS_stat,kPyrO2,kPyrDrain,kAldPyr,kAldS_N,kAldS_stat,kAldO2,kAldRed,kAcAld,kAcStress,kAcAssim,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim,qgas_threshold_fraction
mu0,64820.25406390891,-51219.21470799238,6889.487800344908,2418.7751976847176,21097.837376347223,24331.825000240184,-9614.40169067138,-26040.485524686803,70.95271092372901,3729.208495192037,151.37177517947666,29.376478991839505,-16.08930773294398,-302.7337721626212,657.1571694117642,1847.9258331130336,902.7731842181422,1733.2834045078366,3219.224274862948,-7.667154383219931,1965.0526457075516,5941.155844768979,-0.05075617715033492,3410.4464425481956,1472.0284657115892,847.8954195447942,1584.3079867286863,655.0294271832549,251.36524348631994,1881.92903080161,1070.0260524664916,878.7300263934382,0.6370906268217795,900.3349299475125,-7107.656379299767
qN,-51219.21470799238,54872.3014726257,-1182.5148891145673,-1095.2776914951664,-23754.301656370153,-24365.761201599813,9237.011443132093,23190.461227649048,180.62206008583664,-2633.1948584503984,-109.14462055141807,-2051.1327973591697,-83.97126519878033,-1436.4659499787938,1568.3991737022081,-3577.419916282839,-2222.7761841859196,-3454.915288956338,-6519.628644034266,13.760845515439977,8613.273492619317,-6357.416663313766,0.052261050095938046,-5185.411020361984,-2339.042627562406,-728.3448514535934,-1481.2166347624557,-1664.8898650044962,-1023.5864177629712,-2171.2570073121783,-1000.1843612196069,-924.6330729993865,-1.0513112429375489,-1497.4107568984043,7668.077882644914
betaG0,6889.487800344908,-1182.5148891145673,80792.98042700157,21486.36517263385,-60736.148300072775,-25278.71635705752,1277.955759485235,-6252.331053906327,6192.259529234818,-4521.436611411383,-197.46493258934728,-326.9675729772404,-6.96194853139547,-119.54780845463783,78.00648437824093,-343.6117840502464,-518.9875578070966,-551.1323161376009,-868.2087374268438,0.8090250126143779,1897.209453391349,-641.7235814638408,0.002098728982552591,-513.5487559739635,-278.44158567653506,-373.84235156618524,-754.7509926100796,-497.92773283462185,-320.90342086206306,120.94699781402353,-220.0488717987808,-254.99735402106592,-0.1251188631818835,-181.21074578604478,-330.7732342591234
betaF0,2418.7751976847176,-1095.2776914951664,21486.36517263385,6091.400012706687,-15759.35725052919,-7425.173672342275,455.29518445261346,-2271.487536696399,1860.709140072656,-444.5473409848032,-19.559592752034835,-45.60622803770561,-0.06680678466833484,-1.0310323771115657,-16.39431307449655,-90.59728999481412,-94.494248474407,-127.62798106903631,-195.52534000537437,0.2962914385948408,308.7247432717336,-202.73041843262308,0.0007333591744632434,-0.9758871469971506,-21.666997912942996,-60.11965282776555,-134.597461333198,-75.53538358857182,-49.41460853678525,109.31157465234318,-20.89301972673353,-29.78863711550133,-0.012489439643193281,-19.840266156495826,76.18778313080728
qEG,21097.837376347223,-23754.301656370153,-60736.148300072775,-15759.35725052919,94489.26224263432,31524.430028392424,-5547.0502491632005,-12045.930368119274,-4312.810813523746,-16988.265881715957,-809.858223398258,1049.867382723033,36.565822191380065,634.2051618162925,-699.8616690106197,554.7901377520968,1465.616951733534,1102.6824661930716,1779.3979811024876,-0.35301400932008586,-3320.4501887267684,1521.5746538841636,-0.01184179764021806,3761.122800447211,1561.927756681317,1120.8002987766138,1991.4731054293081,1313.5964487837857,725.8701695131697,1775.074053299136,1174.8981669136476,981.5820684244313,0.6157633713788723,852.880979733146,-7343.833196149932
qEF,24331.825000240184,-24365.761201599813,-25278.71635705752,-7425.173672342275,31524.430028392424,43030.456384371624,-12372.03603242221,-16531.234278094093,-1236.3208700182183,-1208.799125084157,-58.40062701893025,632.0778159421282,18.81331636429023,334.9029843021253,-359.5548623589796,-54.90694956781916,986.5082885053984,493.61214863403154,595.2434893151548,1.930899388568936,-396.8669061306664,961.9352377999226,-0.007605484564553245,2217.5263528972714,1051.250737852855,768.9470877632406,1479.0621965826522,1010.439043796994,581.0292731398164,726.9934508294152,689.5484274704528,709.0985894459836,0.4015843789743728,568.6027368296501,-3089.3223789046033
iG,-9614.40169067138,9237.011443132093,1277.955759485235,455.29518445261346,-5547.0502491632005,-12372.03603242221,4324.497880606679,6635.442487790681,-176.06564736766776,154.00988063330766,7.4901557105039664,-300.1437517328372,-10.72415668114859,-188.91143316918874,220.60050231217656,-28.736354384331925,-409.0047343257362,-200.05023706264922,-299.19876677904267,-0.49224059517871405,421.8861239628117,-340.7055109036523,0.0031764580524569976,-954.5826624149129,-421.37674009073464,-296.79318936055466,-518.1783756457537,-374.7069344498826,-215.36252671971204,-339.9000695957103,-251.47090060567717,-227.6170031359813,-0.16465657653551125,-230.6196918097794,1347.0721564518676
iE,-26040.485524686803,23190.461227649048,-6252.331053906327,-2271.487536696399,-12045.930368119274,-16531.234278094093,6635.442487790681,18572.363568801164,-1440.9902745401214,-2759.5280202739955,-115.97418706274445,-304.00727176815036,-7.977456746220679,-151.89379307337592,168.91079874717457,242.86736795989694,-540.8199327268568,-129.84447164118478,-87.88847844633598,-2.3182564347309036,-533.1558633007937,-500.1044766111664,0.005707755742383976,-1995.9899210527426,-806.1719055445891,-559.0353682690645,-1070.0678665586763,-605.3844740632853,-291.34732578973865,-1170.271908982078,-761.545961512832,-607.5482601184231,-0.3103428472253353,-426.16802572275856,4736.727958774993
Kd0,70.95271092372901,180.62206008583664,6192.259529234818,1860.709140072656,-4312.810813523746,-1236.3208700182183,-176.06564736766776,-1440.9902745401214,2558.734081977299,-78.07734441465213,-3.7605522492585473,-10.571921081942346,1.15353664898,23.99529123097865,-54.5022786907585,-211.93216539209612,-92.769244332304,-208.84033921856116,-376.2370661856968,0.903138922288276,150.08124317939277,-587.9416305712999,0.0033500551980139783,3.609581374836219,-7.260564797015349,3.151321571908454,6.233846747600372,2.197139762269564,-3.0893653146151263,26.456079538120306,12.214709177568116,11.927526336886077,-0.013256134103402525,-21.13039581289717,-107.18255305272376
gammaG0,3729.208495192037,-2633.1948584503984,-4521.436611411383,-444.5473409848032,-16988.265881715957,-1208.799125084157,154.00988063330766,-2759.5280202739955,-78.07734441465213,26465.940656612,1209.6746750322177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gammaF0,151.37177517947666,-109.14462055141807,-197.46493258934728,-19.559592752034835,-809.858223398258,-58.40062701893025,7.4901557105039664,-115.97418706274445,-3.7605522492585473,1209.6746750322177,56.101985017086854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS_N,29.376478991839505,-2051.1327973591697,-326.9675729772404,-45.60622803770561,1049.867382723033,632.0778159421282,-300.1437517328372,-304.00727176815036,-10.571921081942346,0.0,0.0,1889.056108397153,91.9524914846269,1578.3129759144385,-1986.1516271371559,966.5980434867843,307.7435601799594,816.6296496343775,1606.5845821192645,-4.084780968796529,-4881.9900251329445,237.50773851457976,-0.0018637693132438856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS_stat,-16.08930773294398,-83.97126519878033,-6.96194853139547,-0.06680678466833484,36.565822191380065,18.81331636429023,-10.72415668114859,-7.977456746220679,1.15353664898,0.0,0.0,91.9524914846269,7.180900864583061,118.3217477248174,-155.94482367390293,63.23722836730069,12.645993133078672,51.99195857010762,103.47510322838359,-0.2781095558780743,-319.7500118696184,11.047922260726002,-7.213103687313114e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrO2,-302.7337721626212,-1436.4659499787938,-119.54780845463783,-1.0310323771115657,634.2051618162925,334.9029843021253,-188.91143316918874,-151.89379307337592,23.99529123097865,0.0,0.0,1578.3129759144385,118.3217477248174,1992.118599009695,-2663.8559107241795,1065.0423484247185,214.4161910124005,844.6918659507014,1700.344543309021,-4.759719204364275,-5272.78399138018,171.3515129908517,-0.0012154164724345064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrDrain,657.1571694117642,1568.3991737022081,78.00648437824093,-16.39431307449655,-699.8616690106197,-359.5548623589796,220.60050231217656,168.91079874717457,-54.5022786907585,0.0,0.0,-1986.1516271371559,-155.94482367390293,-2663.8559107241795,3750.827628677372,-1385.2011862763002,-239.1525131670224,-1018.2676918885155,-2082.521299749157,6.613634032993319,6552.20457339161,-162.15019951446922,0.0011404321025947593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldPyr,1847.9258331130336,-3577.419916282839,-343.6117840502464,-90.59728999481412,554.7901377520968,-54.90694956781916,-28.736354384331925,242.86736795989694,-211.93216539209612,0.0,0.0,966.5980434867843,63.23722836730069,1065.0423484247185,-1385.2011862763002,3613.5397785000087,1115.7086573510608,3120.669385154299,6126.14737818857,-15.02433620828399,-18572.643131263285,919.132209177581,-0.006897227647365779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS_N,902.7731842181422,-2222.7761841859196,-518.9875578070966,-94.494248474407,1465.616951733534,986.5082885053984,-409.0047343257362,-540.8199327268568,-92.769244332304,0.0,0.0,307.7435601799594,12.645993133078672,214.4161910124005,-239.1525131670224,1115.7086573510608,1563.923670984513,1357.9347320204463,2516.647584834914,-3.093954773085007,-6608.792704547633,999.7694702999796,-0.008926316237958086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS_stat,1733.2834045078366,-3454.915288956338,-551.1323161376009,-127.62798106903631,1102.6824661930716,493.61214863403154,-200.05023706264922,-129.84447164118478,-208.84033921856116,0.0,0.0,816.6296496343775,51.99195857010762,844.6918659507014,-1018.2676918885155,3120.669385154299,1357.9347320204463,3297.855082596997,5997.8685040642695,-11.224831537580176,-17360.600202156143,1383.9949774533677,-0.009630994558843685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldO2,3219.224274862948,-6519.628644034266,-868.2087374268438,-195.52534000537437,1779.3979811024876,595.2434893151548,-299.19876677904267,-87.88847844633598,-376.2370661856968,0.0,0.0,1606.5845821192645,103.47510322838359,1700.344543309021,-2082.521299749157,6126.14737818857,2516.647584834914,5997.8685040642695,11456.71573887227,-22.626013227334568,-33607.952193746365,2344.0652431425324,-0.017438123942252932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldRed,-7.667154383219931,13.760845515439977,0.8090250126143779,0.2962914385948408,-0.35301400932008586,1.930899388568936,-0.49224059517871405,-2.3182564347309036,0.903138922288276,0.0,0.0,-4.084780968796529,-0.2781095558780743,-4.759719204364275,6.613634032993319,-15.02433620828399,-3.093954773085007,-11.224831537580176,-22.626013227334568,0.07281304385963593,70.56112454134721,-2.167419445824394,1.558446160026536e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAld,1965.0526457075516,8613.273492619317,1897.209453391349,308.7247432717336,-3320.4501887267684,-396.8669061306664,421.8861239628117,-533.1558633007937,150.08124317939277,0.0,0.0,-4881.9900251329445,-319.7500118696184,-5272.78399138018,6552.20457339161,-18572.643131263285,-6608.792704547633,-17360.600202156143,-33607.952193746365,70.56112454134721,122631.22239036148,4795.003113870358,-0.04185283484300561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcStress,5941.155844768979,-6357.416663313766,-641.7235814638408,-202.73041843262308,1521.5746538841636,961.9352377999226,-340.7055109036523,-500.1044766111664,-587.9416305712999,0.0,0.0,237.50773851457976,11.047922260726002,171.3515129908517,-162.15019951446922,919.132209177581,999.7694702999796,1383.9949774533677,2344.0652431425324,-2.167419445824394,4795.003113870358,6467.7410224661035,-0.047624462311239034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
