,0
mu0,0.068971078458909
sN,8.751445870938538
qN,0.0157715073519212
qXG,0.0814909864046577
qXF,0.0709327065015376
betaG0,1.1863356150322233
sG,0.0974550987386739
betaF0,0.3145095249972587
sF,0.1782952055176543
qEG,1.112513547222978
qEF,1.2780096374399066
iG,0.0139707730113223
iE,0.0156601222376879
Kd0,0.0006560949140746
m0,0.0183385793928771
gammaG0,0.0703098676476582
gammaF0,0.0033944444477093
kPyrS,0.8
kPyrD,0.025
kAldPyr,0.0072539497964354
kAldS,0.35
kAldRed,1.0358613504688556e-05
kAcAld,0.0166794269988027
kAcStress,0.0026158743573781
kAcAssim,1.0596409360967886e-06
qO2,0.0416960530672166
kLaO2,0.0015008512210468
O2sat,2.713015080772752
k_EA_growth,0.1118505202294711
k_EA_stationary,0.017271748756853965
k_IAA_growth,0.049550220481314786
k_IAA_stationary,0.040141115300661764
k_EO_growth,0.0008738567050042247
k_EO_stationary,0.00013137177196436242
alpha_EA_loss,0.20000000000000007
alpha_IAA_loss,0.8329099613263082
alpha_EO_loss,2.6571471264954103
kPyrS_N,1.1500821044465468
kPyrS_stat,0.0125647446184551
kPyrO2,0.1686228875540962
kPyrDrain,0.0023971002104149
kAldS_N,3.004250530097617
kAldS_stat,0.6748758627816174
kAldO2,1.9999632849369784
k_EA_X,0.03
k_EA_XE,1.0631056194102648e-05
k_EA_XE_Nlim,0.017087656396075696
k_EA_AcAld,0.02
q10_EA,1.6
qgas_tau_h,36.38236217778723
qgas_threshold_fraction,0.8999999999993697
qgas_power_p,1.0
