,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAldRed,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim
mu0,3735.9666888677575,-2854.9114494038195,1050.0835228157232,246.3343252452926,688.2555167179884,1299.061810850933,-555.4718113470659,-1830.0116665287262,277.5508152825412,312.1563083692616,11.869770897831831,-63.462555477849556,-95.55526243281675,147.2242502483834,-175.2209533823389,0.20910260538291994,466.41484493298583,811.8574540742355,0.083873440609159,27.334032915377403,45.56731363060624,40.8168587164421,31.03962476700268,26.73903691261313,27.884445399077237,29.814318238303443,-9.729047925490526,0.03271153955887998,109.35409281359208
qN,-2854.9114494038195,4472.453771728586,-361.3756515645184,-132.63401531824672,-1701.7272586349695,-1828.8435426862973,797.0927702226645,1930.0778590845944,-235.24066575748645,-217.1488786038882,-8.381025717838646,-135.37026305273895,-76.77642547927157,75.45373267533085,-1332.6515523059027,1.7047649226302735,1076.9320848649895,-829.7954398846517,-0.023097013890149745,-9.46960683490326,-34.20989435498551,-34.313180416843075,-219.54770432681798,-175.47671008096555,-12.659588861239184,-27.17638395864657,-52.252221719735275,-0.011609715164077657,-40.157136231168096
betaG0,1050.0835228157232,-361.3756515645184,6566.685953300777,1636.963724095775,-4548.5574344833485,-1911.1041979452573,87.55167769123315,-777.259924691394,1562.372518883511,-429.1178836527453,-17.880529031377307,-15.892780671872801,-1.3204925278351212,-8.16761605064831,-228.802139475171,0.2781265407094153,241.07602035292115,27.146247569380243,0.038376168432946535,12.823268070778326,-18.472960662890426,-13.875493153873325,-35.2809684163788,-43.3036746594946,25.17138701674576,5.903614747293195,39.912232769047336,0.01571315190823235,53.08289241861617
betaF0,246.3343252452926,-132.63401531824672,1636.963724095775,442.5554814123793,-1160.457573282822,-548.6263347754617,31.420627346189505,-214.56439976203302,452.16187371210094,-38.71539106303996,-1.6212896671199455,1.199219289454966,4.353101364254683,-8.382715113622226,-23.909023510029904,0.026590748667728176,22.467189677703196,-4.802804107167539,0.012717885301019263,4.3586655094690006,-0.8635994905902593,-0.10755831387798453,2.824299064798101,-5.568176082581412,9.990089170664115,3.4110320685232645,23.020197357234185,0.005392704171574877,18.325269432773485
qEG,688.2555167179884,-1701.7272586349695,-4548.5574344833485,-1160.457573282822,7808.646106877554,2296.1667440936976,-432.3254406299104,-795.1917751603537,-1205.963108799762,-1997.0743533128198,-94.39164755029933,97.59684212782574,68.31245213874745,-79.4316561809018,862.1909734002681,-1.0279606940529775,-803.1437432686648,110.12405112148093,-0.024184114615505667,-9.252118937100608,86.48340136049319,68.87367524457876,119.84626416797117,113.10368791877973,-31.802172350201747,25.88699158824546,-48.21979947117197,-0.011849164175021683,-41.14229372521628
qEF,1299.061810850933,-1828.8435426862973,-1911.1041979452573,-548.6263347754617,2296.1667440936976,3122.5188186804935,-971.7267625526695,-1232.0303098364232,-330.5811245180724,-141.98931633555947,-6.766084708260981,60.33070210127951,46.90556270917792,-58.31518345611576,498.33042938760315,-0.6132403002302357,-480.61012090648853,42.7421331398464,0.0044027488424984015,1.2419128526833634,48.87140432624011,39.696835192571655,90.30625780610097,72.61479753027427,-1.9417873297723487,17.400203327989512,7.33824314540526,0.0013774801391145983,4.389822365978428
iG,-555.4718113470659,797.0927702226645,87.55167769123315,31.420627346189505,-432.3254406299104,-971.7267625526695,388.1674875014287,551.9811794370693,-35.48934857054668,18.71860170546624,0.8919435882010863,-32.88412751810445,-26.37868514125209,33.79686194560169,-256.9453061813969,0.3098198910803571,242.630704832058,-23.730543498077875,-0.00582541878542204,-1.8150739390555517,-26.279659309590542,-21.158812362264324,-46.65710517749845,-32.3234829276689,-1.6190870651551421,-9.833774504195503,-16.150893941756284,-0.002156968892999967,-7.1520581017396525
iE,-1830.0116665287262,1930.0778590845944,-777.259924691394,-214.56439976203302,-795.1917751603537,-1232.0303098364232,551.9811794370693,1616.4285060805041,-323.1361406494283,-279.81600779256485,-10.921354006739433,-46.50001979730658,-41.62525878002284,56.155232264507106,-345.52094690722134,0.4355948804033595,329.09167992068336,-53.843656296718216,-0.01702598102337625,-5.219874089215394,-38.609665026451374,-33.911612612413734,-59.890742961181196,-49.263217358345024,-3.9576941975461954,-24.099724608002756,-1.5664966389162203,-0.0061636975320347905,-20.347675355879645
Kd0,277.5508152825412,-235.24066575748645,1562.372518883511,452.16187371210094,-1205.963108799762,-330.5811245180724,-35.48934857054668,-323.1361406494283,654.5789378006648,-8.141455873532276,-0.3877120077542683,8.758847750671157,12.851048745344713,-20.92707830954162,0.856109315820182,-0.012621952616087813,-34.42233928966961,-96.60254166319048,-0.000533473048390837,-0.19357077379361656,1.3805065841367707e-26,1.9721522630525295e-27,-0.7908827204226305,-0.6093313022371106,-0.5127699805078337,5.9164567891575885e-27,-0.627383229950202,-0.00024283715022264344,-0.8338809172473434
gammaG0,312.1563083692616,-217.1488786038882,-429.1178836527453,-38.71539106303996,-1997.0743533128198,-141.98931633555947,18.71860170546624,-279.81600779256485,-8.141455873532276,2914.821720651823,130.38504443627258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
