,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAldRed,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim
mu0,3443.6820072049923,-3137.9216736138133,1318.832549886821,464.09763959186483,601.7629788846107,1249.458214152964,-575.1357560617284,-1493.9139554672067,223.42290160049566,298.8864496391619,13.218929702251192,-15.47566040156698,-47.14509529296466,66.4497455204475,-50.53869800040942,0.08968201628802436,307.7565622744797,672.6215165508241,0.05479071494705588,34.213852563624954,44.45911813304772,73.02415045331347,51.491569971623164,48.39905763118452,11.894123903313947,57.8553538719694,37.363636129396795,0.025638689327972943,94.40523155756306
qN,-3137.9216736138133,3251.256246871346,-1063.2387432615183,-395.3968620060281,-864.61912759123,-1399.3204188721318,614.0586143473091,1437.2359883833608,-198.3011717573964,-242.41020344925025,-10.684107893465201,-40.147350474264215,-18.75482951679221,10.044154391424694,-383.683140482476,0.5505587322151038,252.99497554322616,-687.0556178823423,-0.04092307185437569,-26.81850825353263,-39.665636981213325,-66.38559281626729,-117.90141691537175,-122.70506848530383,-9.082732998618487,-54.546892836458625,-81.05582454671779,-0.02032756813492158,-75.11661157605114
betaG0,1318.832549886821,-1063.2387432615183,6011.861397225984,1711.6067013355587,-3699.108853584682,-1343.5535833291344,-102.1862793105893,-1000.7071130922311,1271.5635124077621,-473.54775829280135,-21.83799591802588,0.6025233479425959,13.931173447082593,-23.161250473517445,-65.30863270844097,0.0714260166980351,57.24982881084976,-49.47901466786623,0.01675506162836407,8.593634471112354,-6.45576762824068,-7.854464998522596,-3.8898097879645324,-26.876679770547398,6.756246403815354,16.07753936440793,45.38046211252205,0.006157175719562146,22.308066554189836
betaF0,464.09763959186483,-395.3968620060281,1711.6067013355587,516.2139100940071,-962.4590421694268,-464.5761743812123,-12.016083332489774,-359.83520619100716,396.06743031098233,-44.9295570735188,-2.0846431421375873,2.1721188047066065,6.596782449173547,-9.832221451008538,-6.754504811074579,0.0034134585599958564,-0.7383761320409438,-20.771469225030675,0.005646625775815033,2.8135942948070234,1.1246287989096455,2.7850016546346184,4.67824891478777,-2.840605528677132,2.491431321847741,8.724834093837732,19.257001263499973,0.0020001694694386203,7.226596367491885
qEG,601.7629788846107,-864.61912759123,-3699.108853584682,-962.4590421694268,6517.685862669192,1564.3343060552922,-185.11765126976275,-236.24228125527043,-891.5825021252256,-2077.6553645951867,-100.35596071303532,36.75264458919759,32.303224103617644,-32.54913379734853,333.1782930318736,-0.44907045795119005,-382.78334438930733,77.21902092422984,0.007544170576518587,5.32283267922291,54.34183336259716,83.62387894835086,61.54468453116125,85.0926888106843,-0.4314645512713594,41.90035832604981,-12.601626975230001,0.004048104357958877,15.01938899882589
qEF,1249.458214152964,-1399.3204188721318,-1343.5535833291344,-464.5761743812123,1564.3343060552922,3242.654416029491,-946.605711372918,-794.0945228991258,-275.60136907344236,-166.51719785909938,-8.081253027700546,35.74994717002759,38.48494481851094,-43.121813577682765,293.5202414024734,-0.42206436410425674,-363.3182551078047,34.994106509408056,0.011219964739261748,7.069798844975913,47.222450541431016,73.94695584187623,80.72564041155496,80.6697637406555,1.9457952613266498,41.89278577152488,54.52421087174242,0.0052883648189743565,19.482867093518646
iG,-575.1357560617284,614.0586143473091,-102.1862793105893,-12.016083332489774,-185.11765126976275,-946.605711372918,328.80620214453836,386.0120407140034,-33.44661366776848,20.258025439852695,0.9987976964455484,-15.028463664286084,-17.04352359508629,19.76231413445459,-114.43954612525744,0.16051895679210612,140.0618130187261,-9.072292417033136,-0.005726098806181367,-3.326517758259842,-19.30790363814496,-30.314875196143333,-33.18069711505558,-29.658289919691825,-1.4314909903264497,-18.964716005283254,-29.400363197564207,-0.0024433110030160706,-8.94682163165488
iE,-1493.9139554672067,1437.2359883833608,-1000.7071130922311,-359.83520619100716,-236.24228125527043,-794.0945228991258,386.0120407140034,1026.1061257985405,-270.49200692400257,-237.72510264251278,-10.77080223612627,-15.92826281077658,-23.454898903498137,29.44921920330498,-104.73407718111564,0.172500592689602,151.3551356269825,15.811513342122147,-0.015388060004191278,-8.681305892380145,-22.69218118712756,-38.16040502953189,-34.51932884448103,-33.58865045215234,-5.1027583946555435,-34.35873711272159,-25.818720733317097,-0.006365889585143764,-23.261132046085034
Kd0,223.42290160049566,-198.3011717573964,1271.5635124077621,396.06743031098233,-891.5825021252256,-275.60136907344236,-33.44661366776848,-270.49200692400257,533.0532667707905,-11.330945914020084,-0.5539223173680856,6.707739191490601,13.879386985087297,-19.13442131074725,7.252453791084492,-0.025700269944642952,-51.4704520569579,-113.98759562119825,-5.9164567891575885e-27,-9.860761315262648e-27,-1.9721522630525295e-27,1.1832913578315177e-26,-0.7353249482620873,-0.7570188543557603,-9.860761315262648e-27,3.944304526105059e-27,-0.8379632960398962,-1.9721522630525295e-27,-7.888609052210118e-27
gammaG0,298.8864496391619,-242.41020344925025,-473.54775829280135,-44.9295570735188,-2077.6553645951867,-166.51719785909938,20.258025439852695,-237.72510264251278,-11.330945914020084,3037.781969160879,143.70880741534376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
