,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAldRed,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim
mu0,3980.5662703030575,-2849.753008047061,770.8652056057291,178.55672324782094,1097.9865051880213,1698.105145330932,-675.6911816137989,-2116.0445571141536,182.65623537157913,359.7040786235986,13.674679858142747,-67.94503228919174,-101.43064790639966,155.51975077383824,-239.37283152709432,0.29130401432242997,548.9448535267666,830.6917371923777,0.09699407573900178,29.948925746337252,32.009009059010495,25.431188134079953,38.03859752513858,29.503195698254284,26.452656502381146,36.49128167813998,-3.723732605465843,0.03656583474127358,123.37621991669664
qN,-2849.753008047061,4701.669558117756,-63.887678007949745,-64.83367551964224,-2168.9911217325166,-2234.8278966191388,937.2444789841225,2176.8477109615096,-153.2120440518468,-253.73153773596707,-9.819896987898575,-160.49613549086533,-87.09850304511171,88.24423670088592,-1469.6718581246932,1.7586443242390093,1149.918825068619,-841.7627105009655,-0.024898965685670255,-10.199671678136474,-21.180770905908325,-19.67204389864181,-245.4654845026625,-185.2613894525822,-11.889431331838123,-32.947165696084625,-57.84041335433619,-0.012828788369345975,-45.08506755245982
betaG0,770.8652056057291,-63.887678007949745,5667.991511343048,1342.2135010181933,-3850.1088448980463,-1872.513422228858,170.80265971856048,-453.08227403865857,1063.2702044151697,-463.5741746461577,-19.13979944740047,-23.23651141701027,-8.450630230849217,3.096343611082834,-235.565295203806,0.265144081543346,254.75197058576248,82.23344014643543,0.03729740940758907,11.444258667920362,-5.109202532082538,-0.9452446952160924,-39.44030246167574,-46.74969755390732,20.993015009471172,6.845746315606542,40.91520165300285,0.014267567867892433,50.458827869191495
betaF0,178.55672324782094,-64.83367551964224,1342.2135010181933,346.541651205741,-916.6982475912083,-518.4867705564817,53.25818246535033,-131.0520861407968,301.1914910365042,-43.5703665976725,-1.8060567933204046,-0.6587658666718469,2.2077361320924545,-4.981138906959259,-24.800735331591262,0.02545889600959074,27.020847859315616,10.881561644171466,0.011851004086314858,3.699950063378244,0.5178360988053281,1.0759862276373726,0.9074120445537686,-6.726243180134746,8.14417626628427,2.9878184681753392,20.036144563980926,0.004671121281590736,16.262475125809875
qEG,1097.9865051880213,-2168.9911217325166,-3850.1088448980463,-916.6982475912083,7405.445562312053,2356.528862615831,-537.2974980402928,-1182.2605834482285,-812.6303562865971,-1950.304875763113,-91.52138821493847,109.14477291705096,75.54375635453115,-90.40890766901514,914.3782337543122,-1.0389188099472875,-840.0592193681575,81.80561212877045,-0.01815184550513154,-6.2752177133487095,51.96557000122642,33.57210836460928,137.42312693144353,121.44324888434903,-24.97455419813487,32.02113695496463,-38.297963361767295,-0.008303437097074155,-32.68355751466833
qEF,1698.105145330932,-2234.8278966191388,-1872.513422228858,-518.4867705564817,2356.528862615831,3696.6480938381887,-1191.0557283662363,-1610.881294567612,-213.72454770977168,-130.79606007379869,-6.214775217610904,66.54610959409423,49.16234570112491,-61.36372775907206,531.1375196267795,-0.6096139434894943,-493.84229290439646,37.32921923096205,0.007914227801984934,2.3815409007061743,31.089382950097267,20.939111228964556,104.24229336220495,79.82488666647814,0.4819462094612831,21.74613760102742,11.405838951915534,0.002862981406824639,8.916711856038315
iG,-675.6911816137989,937.2444789841225,170.80265971856048,53.25818246535033,-537.2974980402928,-1191.0557283662363,460.0337895350449,658.5425535748651,-26.102281716642622,17.35080156656386,0.8229553965804848,-35.63005437141766,-27.298025221926128,34.94548251195934,-277.15402462766536,0.3183019147608135,254.43117880243364,-27.36240523921549,-0.0069453847338004655,-2.067121161225879,-17.070231690071534,-11.585472751446234,-52.454610786988454,-34.809021389920645,-1.9804112262545028,-12.456128802515536,-17.63566573550468,-0.002520097958045018,-8.405177148905835
iE,-2116.0445571141536,2176.8477109615096,-453.08227403865857,-131.0520861407968,-1182.2605834482285,-1610.881294567612,658.5425535748651,1825.5758867316652,-226.7682978255495,-316.19371928755504,-12.400783165050441,-46.25285130210953,-38.42433751763596,51.26984019976212,-350.5925048139425,0.41057217942797897,313.2853252339702,-72.43330463894416,-0.02110896766691847,-6.260258764375962,-26.203134828762686,-20.717112032242124,-69.13447838182398,-52.773214961207835,-5.679070490456146,-29.245386201919004,-8.370532276040251,-0.0076075299045166075,-25.34375180961298
Kd0,182.65623537157913,-153.2120440518468,1063.2702044151697,301.1914910365042,-812.6303562865971,-213.72454770977168,-26.102281716642622,-226.7682978255495,441.0694361897062,-7.216393150500953,-0.3415101220186142,6.590235448303849,9.849350932783727,-16.125020376929733,0.3233645567984591,-0.009714270648890265,-26.663449822288236,-74.6474379179366,-0.00031046144789269087,-0.10208439296932348,-1.9721522630525295e-27,0.0,-0.6885297974070457,-0.5396897149956502,-0.27667098845305427,1.9721522630525295e-27,-0.470931415425026,-0.00013162381083962102,-0.4518330648068978
gammaG0,359.7040786235986,-253.73153773596707,-463.5741746461577,-43.5703665976725,-1950.304875763113,-130.79606007379869,17.35080156656386,-316.19371928755504,-7.216393150500953,2952.8102563445823,130.80725894434397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
