,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAldRed,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim
mu0,3806.4582626586925,-3437.9944262314416,1414.9123276018609,483.8489865486336,597.721940489428,1312.2881092362156,-615.7499906524521,-1682.0359938368172,260.93682064646737,329.850030162572,14.291446164734882,-8.986354721630969,-34.54533812649672,46.95389290220142,-91.62086485610249,0.14816254675270432,348.92225022218213,570.5878413036412,0.07240412064678813,39.25262409094565,43.60445639234031,58.397304471950534,53.04500727821424,46.65823089169069,14.133590864233742,52.78436734126691,28.75035473326602,0.03280655558174273,119.01054656217087
qN,-3437.9944262314416,3812.3056124972463,-1080.7152507835287,-404.40843729548203,-1047.2035638630498,-1588.0249612138675,713.6169299638148,1655.8160837264218,-225.37080060967065,-272.04779562593706,-11.773088655560311,-80.46029146140098,-56.641279626878095,56.195284825803604,-576.6935374603456,0.6314502272072668,415.84385064177667,-597.7747161598379,-0.0494833673913116,-28.91973010008288,-39.88946527419284,-54.531344455733155,-160.92260716712659,-148.43872716470642,-9.915674195770132,-51.31867435084021,-102.89672183883376,-0.02451242591374288,-89.5533232775416
betaG0,1414.9123276018609,-1080.7152507835287,7832.604522828142,2248.5960325120795,-4841.453047783872,-1754.5715668254243,-136.72546866484979,-1434.4828547070588,2063.398725932193,-536.6003223290751,-24.62765728468502,2.1713686200721596,21.70803724214709,-31.88759888287689,-54.36689940794153,-0.01092540013126132,-34.934817096723634,-156.54004888690434,0.02034734839474904,9.1132924339799,-6.635570311870699,-5.797603549061151,-8.779609535495425,-31.247970665629595,7.445378814136073,13.618145867938093,46.28120038987062,0.007354561096482023,26.123037516040277
betaF0,483.8489865486336,-404.40843729548203,2248.5960325120795,677.9293677557562,-1316.1096702299164,-575.8972066996547,-26.468664637098996,-493.3183447073894,645.4652924218458,-55.49686214312788,-2.571899136462889,3.6784482811408683,9.960027102461185,-13.591743074391276,3.6687331670064154,-0.028603290067977218,-37.80098090344853,-55.18740701755694,0.006639610158076806,2.8580077240665207,0.6282707693144027,1.693319190569642,5.441419018733066,-2.756028961632743,2.8227794665166384,6.192712438979602,21.191242403004996,0.0022863755428302675,8.078491052996519
qEG,597.721940489428,-1047.2035638630498,-4841.453047783872,-1316.1096702299164,7285.41840938448,1878.4834874634182,-194.02697854092347,-39.846987070366936,-1399.286901715185,-2024.8230104437177,-97.93467011717726,49.334550657617136,38.46380169646218,-39.14629558230913,426.5494030000576,-0.459888136239718,-420.0551555903066,148.30363418200085,0.007106294365913851,4.592109638629413,56.01923193557021,68.75284622621965,73.51000582010407,94.80763543568021,-1.5785763261754548,37.51430863662939,-22.796087488216685,0.003912879007147751,14.395864221545128
qEF,1312.2881092362156,-1588.0249612138675,-1754.5715668254243,-575.8972066996547,1878.4834874634182,3307.5150359334457,-965.4728035624229,-784.5218091007303,-443.5405353026301,-160.28691140947095,-7.801878555178582,42.76156140058337,40.13758194506681,-44.14111153559409,339.71663178914,-0.3902881896108641,-370.73948609234685,55.72994808372449,0.012396651762835942,6.774328667950009,45.09951111233918,56.51449500502748,89.40249728819718,79.89562288968514,1.896588459790776,35.0077255223563,52.92949897577702,0.005660145206118839,20.544335658014955
iG,-615.7499906524521,713.6169299638148,-136.72546866484979,-26.468664637098996,-194.02697854092347,-965.4728035624229,354.1949569650926,439.8373875654361,-57.49311721270033,22.06795393752333,1.0898074151550023,-20.25811170992569,-21.301384892879412,24.381087712913985,-151.70915927575504,0.18247990795092928,176.54448449256802,-6.456614930812588,-0.006528566274158111,-3.266947516470845,-19.767173114378515,-24.897829123033226,-39.81048005845019,-32.33391485178064,-1.4523059965981582,-16.87872417380483,-31.377679945371057,-0.0026845933503613128,-9.655382460843157
iE,-1682.0359938368172,1655.8160837264218,-1434.4828547070588,-493.3183447073894,-39.846987070366936,-784.5218091007303,439.8373875654361,1248.04458878904,-462.0261054022094,-253.45666068035794,-11.265611389166136,-21.921217413316327,-28.549575463092555,34.506333930789516,-146.71238051003203,0.20029019935731956,202.47054817824682,40.55142338672292,-0.018676699453135794,-9.19142542750692,-24.18062844021597,-32.918028008934826,-39.581369267204295,-34.67288414100228,-5.4284586700647495,-32.05766505063418,-24.558773073610993,-0.007554666024569597,-27.13473354927641
Kd0,260.93682064646737,-225.37080060967065,2063.398725932193,645.4652924218458,-1399.286901715185,-443.5405353026301,-57.49311721270033,-462.0261054022094,913.3335565797792,-22.948732195276175,-1.1223908531885116,9.379622073339908,18.618940207547407,-24.380229531804243,20.209628338063936,-0.057299839055492185,-94.66042701953012,-152.43638833054683,-3.3444241483253712e-06,-0.002126115767762925,-3.944304526105059e-27,-5.9164567891575885e-27,-1.6619586012751224,-1.5515406004097396,-0.0010561874624036135,3.944304526105059e-27,-1.8289695254583884,-1.8706932007563359e-06,-0.0069022245025864145
gammaG0,329.850030162572,-272.04779562593706,-536.6003223290751,-55.49686214312788,-2024.8230104437177,-160.28691140947095,22.06795393752333,-253.45666068035794,-22.948732195276175,3063.092153697786,144.26107034475737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
