,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAldRed,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim
mu0,3491.9390856923123,-3085.141698949887,1817.929146740485,527.9478376047041,271.94532323134945,854.3913327348677,-542.7657181376402,-1738.1600418261885,391.611730999782,298.70480120256616,11.659075146849968,-39.27500016885739,-79.66000302231761,127.26226483659946,-18.048407907032143,-0.007144177043542088,310.9347300305406,924.1323206258745,0.07954176145061123,33.66463566923737,43.93083971215664,52.841303213224045,52.22121956601517,44.98617589477359,19.135206374035512,64.76405667823637,11.185516310205116,0.034296909003284845,118.47197852931473
qN,-3085.141698949887,3412.4140692924834,-1426.0166995038553,-448.40634740910264,-756.0509829707386,-1139.5347648748455,648.8847066225946,1722.6757031081033,-371.8329421353782,-224.09650437784558,-8.649013078241296,-57.05611944878306,-9.632328646607041,-12.684204312815798,-739.3111873818831,1.0772629980977835,511.04034579928896,-939.0751650730213,-0.04875164503785187,-22.14917436658296,-38.16430403106893,-49.670281164022796,-155.42258414186648,-134.34374550720432,-11.72629101755876,-65.76435106265656,-57.373401854610634,-0.022789362313412418,-79.44083027641696
betaG0,1817.929146740485,-1426.0166995038553,5161.305517466339,1279.5094635608923,-3249.789265730956,-1165.5878426675313,-27.422401766814104,-822.0116063889221,898.2396202539363,-405.8368070684806,-17.188287193431382,-8.09823841610861,5.12776337671852,-16.763817490881355,-166.72231863863672,0.2355190597524089,194.21951529940117,24.067000830922417,0.047321540490201555,19.035454594110558,-5.654743533916695,-1.2078557090574096,-19.123085511243254,-36.71504897379909,29.142078084874854,10.9579339335624,46.94015074542769,0.02026687648715004,67.39145530551556
betaF0,527.9478376047041,-448.40634740910264,1279.5094635608923,338.30459646095204,-776.9208586672803,-324.01802789709706,-2.0359267444902898,-255.45532833244982,258.77667066218,-35.49334392822463,-1.496954634286225,1.4534940028829904,4.9661726377971265,-9.314885928037736,-20.167739916529143,0.027030518916876193,22.1816137342704,-1.9904506537994076,0.015531913399463144,6.234402281221161,1.4391524346360882,3.2679774101011017,2.9914348650680913,-4.782411249943433,10.201154426375075,6.853422513766804,19.943242376713062,0.006724314018457973,21.947918244075442
qEG,271.94532323134945,-756.0509829707386,-3249.789265730956,-776.9208586672803,6676.188739332228,1572.34964570235,-299.1444353523281,-633.0787841855372,-678.2951624437165,-2154.1410679555324,-102.40329996367235,69.85960205035306,52.52837467462523,-59.575451120293124,645.9584991701098,-0.8899149278862684,-661.5203583689135,93.00458356161482,-0.030023617309707054,-12.440786892872708,60.392140136957394,59.53527773921307,94.51744155827271,102.8171386928144,-33.14806331673876,51.77758179810269,-35.054507518047686,-0.014227526931012448,-45.69401085808306
qEF,854.3913327348677,-1139.5347648748455,-1165.5878426675313,-324.01802789709706,1572.34964570235,2374.6762583236214,-837.4644910761737,-822.0279349101286,-185.54728943219843,-168.48704275603572,-8.065120070186186,51.67083684929288,44.331030670624294,-54.891476893862055,439.2766763191702,-0.6238478737804511,-464.81862357651164,43.10116519712882,-0.005296831456029983,-2.176423779885092,42.644620080064485,44.623117440200396,89.1651392606879,77.14328762813744,-10.846977565659168,43.02615912604111,23.599352276434587,-0.002889928234527345,-8.155417628254362
iG,-542.7657181376402,648.8847066225946,-27.422401766814104,-2.0359267444902898,-299.1444353523281,-837.4644910761737,349.3746227221969,432.19822657083785,-21.61812924286052,21.957258212333542,1.0591991595920156,-25.514896727809703,-22.83011576593092,29.338892415569465,-203.2990856280352,0.282373160607487,210.0830609257012,-22.397364192792153,-0.003885117793072154,-1.520835293327617,-21.045454992879115,-22.042428298010265,-42.42387486293562,-32.22490678593497,0.46939861037785335,-21.716451238014045,-21.368558379147466,-0.0013974771634712763,-5.184784532874044
iE,-1738.1600418261885,1722.6757031081033,-822.0116063889221,-255.45532833244982,-633.0787841855372,-822.0279349101286,432.19822657083785,1238.9404706766347,-181.21189041407297,-252.02853381821956,-10.189048104318516,-31.360577481735948,-32.81248899287611,45.06477390987488,-230.22969721678987,0.3413268110967299,245.308656074621,-37.00766221370658,-0.013085437102894216,-5.053962658239456,-31.90160046161208,-39.295959962505925,-50.81596703604504,-43.18940496378233,-0.41260361317859895,-49.54969590005745,-16.264721900704664,-0.004738396231219532,-17.29881894559263
Kd0,391.611730999782,-371.8329421353782,898.2396202539363,258.77667066218,-678.2951624437165,-185.54728943219843,-21.61812924286052,-181.21189041407297,361.57273150032444,-5.617124173955034,-0.2704082959959683,7.581170829441274,12.634780924954738,-20.56634960111078,-0.14680664455365244,-0.010845996202182996,-33.84449752162098,-106.42130177718896,-0.0004735140483252386,-0.19748996104920524,0.0,1.9721522630525295e-27,-0.4209845067194825,-0.3825588382979704,-0.37386990466937875,5.9164567891575885e-27,-0.3218028196106744,-0.00022038376747822154,-0.7036344524379389
gammaG0,298.70480120256616,-224.09650437784558,-405.8368070684806,-35.49334392822463,-2154.1410679555324,-168.48704275603572,21.957258212333542,-252.02853381821956,-5.617124173955034,3042.7675939844953,138.4233019157662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
