,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAldRed,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,3884.118091415024,-2819.6537376274628,718.6103684524503,164.0162786110254,1141.8725694852815,1703.8718148182752,-673.9697223391657,-2103.478699702657,182.96615248005324,359.70407855847384,13.674679856416141,-67.94503233224887,-101.43064796990186,155.51975087416818,-239.37283154861998,0.29130401443357895,548.9448537040064,830.6917375974771,0.2600160216148536,6.363126034172057,40.52215304542349,37.564781863920345,39.137137920579775,34.710390892376985,0.2671920219455359,34.862789751785186,-2.110219846446581
qN,-2819.6537376274628,4656.766831001093,-41.120596381530376,-59.31309026449628,-2177.447754244626,-2237.2634587462794,935.5285926194457,2169.506163624875,-153.16777783720562,-253.7322686728452,-9.819931476798242,-160.495719278411,-87.09786637291008,88.24313147510642,-1469.6719285149334,1.7586436278403204,1149.9171012352213,-841.7682135237383,0.12177741075132803,2.864688251160673,-24.94282658624961,-26.307367520190468,-218.52463306892432,-195.14350955883108,0.9677700558832891,-29.31419714443853,-66.96808297730911
betaG0,718.6103684524503,-41.120596381530376,5645.342524629019,1333.906943691315,-3837.122257852284,-1880.726295444525,176.64581644524108,-436.9103797431094,1063.5519833746325,-463.57417473251155,-19.139799449874126,-23.236511460081513,-8.450630294383938,3.0963437113993795,-235.56529523024705,0.2651440816379513,254.7519707680731,82.23344054326405,0.06288139521231068,-0.651199329577355,-13.0518622299601,-9.325145027976015,-40.56589804265178,-50.3587706351614,2.186247527813303,3.966335276634624,33.02919503968951
betaF0,164.0162786110254,-59.31309026449628,1333.906943691315,344.0879950705613,-910.0307150016465,-517.9868632826511,53.47078339561881,-127.63099083218728,301.25613715102554,-43.57036641379128,-1.806056788165901,-0.6587657667258724,2.2077362796755757,-4.981139141120757,-24.800735273695896,0.02545889581006129,27.020847440548927,10.881560712204692,0.06945997944824565,0.8062926210025005,-0.582730130252127,0.0856712950213756,2.3042425741150527,-5.994343884253247,1.0001610476717389,2.5835844582614085,23.76227880130984
qEG,1141.8725694852815,-2177.447754244626,-3837.122257852284,-910.0307150016465,7396.514628632617,2367.7105514976693,-542.9325183923461,-1198.7458980622255,-812.931545541008,-1950.3048758261893,-91.52138821622148,109.14477287038117,75.54375628517097,-90.40890755690366,914.3782337358789,-1.038918809877113,-840.0592191803785,81.80561258342838,-0.11446041131701701,-0.7954019487692929,67.39422875438065,54.61746480723109,121.44803830513669,126.25104275260179,-3.4994746277738056,31.176949369730988,-43.675138064946765
qEF,1703.8718148182752,-2237.2634587462794,-1880.726295444525,-517.9868632826511,2367.7105514976693,3711.331768358001,-1197.6243148820363,-1618.9615945316552,-213.89928601426817,-130.7954175335292,-6.21474470858186,66.54590786941417,49.16203936209055,-61.363204733107025,531.137531148933,-0.6096136034602366,-493.8414508632158,37.33177017413464,0.19861257759217166,5.1835486528333306,40.259976541091866,33.54195104069346,104.6023479682371,89.63173602262684,0.053840994143160736,21.36553600386916,30.95470545666629
iG,-673.9697223391657,935.5285926194457,176.64581644524108,53.47078339561881,-542.9325183923461,-1197.6243148820363,462.9326295289873,660.6698786770573,-26.002507403841168,17.348704289232632,0.8228573224844276,-35.62975484255853,-27.297569926943112,34.94470312957279,-277.15405919525887,0.3183014194620062,254.4298989706735,-27.366351871769282,-0.09046772490887665,-1.6802986909746211,-21.220467451440847,-17.60226846208384,-51.550889660282905,-38.98069634937663,-0.38296132085532614,-11.762796798043498,-26.778903150988327
iE,-2103.478699702657,2169.506163624875,-436.9103797431094,-127.63099083218728,-1198.7458980622255,-1618.9615945316552,660.6698786770573,1827.3026867033257,-226.7904964912418,-316.19334998597435,-12.400765647071125,-46.25293832148373,-38.42447002305992,51.27006784889287,-350.592494758688,0.41057232530756094,313.2856926388671,-72.43216530331611,-0.15541546618117746,-3.8771429633880077,-31.49984852673353,-29.04190631957386,-65.07582822203962,-58.10092346155192,-0.06952656859786521,-27.493917809424797,-11.167019857108528
Kd0,182.96615248005324,-153.16777783720562,1063.5519833746325,301.25613715102554,-812.931545541008,-213.89928601426817,-26.002507403841168,-226.7904964912418,441.07455064143824,-7.216225882820032,-0.3415021878289444,6.590251468736619,9.849375318671592,-16.125062230703673,0.32336343648585153,-0.009714298004293041,-26.663515575186338,-74.64763887818336,-0.006559122439302677,-0.18594611111963955,3.944304526105059e-27,-9.860761315262648e-27,-0.885905008141607,-0.7469791877317986,-0.0351463785577471,0.0,-0.8970129349009694
gammaG0,359.70407855847384,-253.7322686728452,-463.57417473251155,-43.57036641379128,-1950.3048758261893,-130.7954175335292,17.348704289232632,-316.19334998597435,-7.216225882820032,2952.8102563463217,130.80725894419038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gammaF0,13.674679856416141,-9.819931476798242,-19.139799449874126,-1.806056788165901,-91.52138821622148,-6.21474470858186,0.8228573224844276,-12.400765647071125,-0.3415021878289444,130.80725894419038,5.921219121800651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS_N,-67.94503233224887,-160.495719278411,-23.236511460081513,-0.6587657667258724,109.14477287038117,66.54590786941417,-35.62975484255853,-46.25293832148373,6.590251468736619,0.0,0.0,193.59951109958857,146.04772357453118,-185.0691328880446,0.49094051177150766,-0.0008903652041838614,-0.6319251660451204,0.02067030437295005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrO2,-101.43064796990186,-87.09786637291008,-8.450630294383938,2.2077362796755757,75.54375628517097,49.16203936209055,-27.297569926943112,-38.42447002305992,9.849375318671592,0.0,0.0,146.04772357453118,158.9467946542655,-222.8229297604782,0.33304594155859885,-0.0006964592937474022,-0.4690934035999935,0.009741871195849143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrDrain,155.51975087416818,88.24313147510642,3.0963437113993795,-4.981139141120757,-90.40890755690366,-61.363204733107025,34.94470312957279,51.27006784889287,-16.125062230703673,0.0,0.0,-185.0691328880446,-222.8229297604782,323.3189290637221,-0.3756964010064513,0.0008197539070485397,0.5415733345457887,-0.009341734934032751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS_N,-239.37283154861998,-1469.6719285149334,-235.56529523024705,-24.800735273695896,914.3782337358789,531.137531148933,-277.15405919525887,-350.592494758688,0.32336343648585153,0.0,0.0,0.49094051177150766,0.33304594155859885,-0.3756964010064513,1517.2762004409929,-1.7437012638834435,-1412.987798821984,97.04517984806456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldRed,0.29130401443357895,1.7586436278403204,0.2651440816379513,0.02545889581006129,-1.038918809877113,-0.6096136034602366,0.3183014194620062,0.41057232530756094,-0.009714298004293041,0.0,0.0,-0.0008903652041838614,-0.0006964592937474022,0.0008197539070485397,-1.7437012638834435,0.0035374086491338904,2.383546333009899,-0.0546125028384177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAld,548.9448537040064,1149.9171012352213,254.7519707680731,27.020847440548927,-840.0592191803785,-493.8414508632158,254.4298989706735,313.2856926388671,-26.663515575186338,0.0,0.0,-0.6319251660451204,-0.4690934035999935,0.5415733345457887,-1412.987798821984,2.383546333009899,1874.3976948908416,325.6165989164397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcStress,830.6917375974771,-841.7682135237383,82.23344054326405,10.881560712204692,81.80561258342838,37.33177017413464,-27.366351871769282,-72.43216530331611,-74.64763887818336,0.0,0.0,0.02067030437295005,0.009741871195849143,-0.009341734934032751,97.04517984806456,-0.0546125028384177,325.6165989164397,1208.1091943560614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k_EA_growth,0.2600160216148536,0.12177741075132803,0.06288139521231068,0.06945997944824565,-0.11446041131701701,0.19861257759217166,-0.09046772490887665,-0.15541546618117746,-0.006559122439302677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06533495009903877,1.5865087168739416,0.0,0.0,0.0,0.0,0.2531755655426538,0.0,0.0
k_EA_stationary,6.363126034172057,2.864688251160673,-0.651199329577355,0.8062926210025005,-0.7954019487692929,5.1835486528333306,-1.6802986909746211,-3.8771429633880077,-0.18594611111963955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5865087168739416,49.00764206781677,0.0,0.0,0.0,0.0,4.453496300320893,0.0,0.0
k_IAA_growth,40.52215304542349,-24.94282658624961,-13.0518622299601,-0.582730130252127,67.39422875438065,40.259976541091866,-21.220467451440847,-31.49984852673353,3.944304526105059e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.54453412794218,47.66395930603705,0.0,0.0,0.0,22.807126683542343,0.0
k_IAA_stationary,37.564781863920345,-26.307367520190468,-9.325145027976015,0.0856712950213756,54.61746480723109,33.54195104069346,-17.60226846208384,-29.04190631957386,-9.860761315262648e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.66395930603705,41.6948137751792,0.0,0.0,0.0,27.637965234913477,0.0
k_EO_growth,39.137137920579775,-218.52463306892432,-40.56589804265178,2.3042425741150527,121.44803830513669,104.6023479682371,-51.550889660282905,-65.07582822203962,-0.885905008141607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.54058798325116,187.52144234215925,0.0,0.0,96.25321781199989
k_EO_stationary,34.710390892376985,-195.14350955883108,-50.3587706351614,-5.994343884253247,126.25104275260179,89.63173602262684,-38.98069634937663,-58.10092346155192,-0.7469791877317986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.52144234215925,216.36610929209166,0.0,0.0,22.86382851088969
