,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAldRed,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,3093.8004191155565,-2745.565694411224,-120.14577609179989,-25.555029833987227,1786.754537389357,2382.1964189716327,-807.451318354356,-2037.069519083318,-9.122765864324876,388.6215640309255,16.085952688177926,-10.09213821808906,-39.432548647304394,52.75443707762407,-90.3761342466121,0.17096665375752756,364.8111393270507,563.0342166891593,0.23957672434789443,8.660235253603533,34.357708275196536,49.098452363175824,49.518030263214875,58.1542659773341,1.1578921502421788,49.26652086608142,31.934558024956267
qN,-2745.565694411224,2727.2908702948757,325.6958503844378,67.0312826720455,-1925.3408504704491,-2413.8945151021444,821.1099314771969,1909.9852311587329,16.106054810665775,-326.50518403749936,-13.620452123950514,-41.64986208531493,-15.19184393274947,7.430117870917195,-296.31062432894043,0.2863366893738304,91.68807979711231,-557.9089583233017,-0.13921862148319686,-5.281756099622915,-25.405917601152957,-40.049960720156605,-90.12839939074017,-109.19520270073532,-0.6281535470446863,-45.4371531486888,-56.43748132107503
betaG0,-120.14577609179989,325.6958503844378,4327.421934468742,1023.5125621256965,-2757.7444686163426,-1956.256206727935,268.4889388855783,115.54507199421462,348.24908261609187,-573.1381659052327,-25.01510502712041,-10.950175088006764,-6.655206591185706,5.065859842281359,-72.64559282808241,0.07059957334246719,108.3270219069088,96.26291984437131,-0.015467841180402803,-3.6266694154762784,-6.912970944951044,-4.346676123634555,-26.61324134800533,-50.43717334253201,1.8328614227537312,7.179527125355611,15.831554590510152
betaF0,-25.555029833987227,67.0312826720455,1023.5125621256965,267.8511910784404,-596.2776136055772,-616.7085885581708,101.85761384753357,10.271302196939828,100.54073302526575,-59.7729961544521,-2.6339655884171593,-0.8367166750780186,0.5098059729389003,-1.20969043590093,-5.573337919557484,0.0017382349779060226,10.670685292216973,21.28545747990504,0.031622133862216094,0.10077043674306596,0.462640995607156,2.1612897874109835,-0.06188766614814778,-7.579268830708859,0.8819711964326279,5.006400716671178,14.115149314123013
qEG,1786.754537389357,-1925.3408504704491,-2757.7444686163426,-596.2776136055772,6189.904718256495,2357.5527816927556,-563.8683638775378,-1491.9103041137844,-225.44495321889565,-1693.3590029223446,-80.06655832287787,54.070342346573696,52.475470438609904,-56.274101922102425,407.94519564100955,-0.47784015255687895,-467.77839444585953,16.408962675484066,0.08507250376167774,5.908634223020343,50.97127934772266,62.22463238777489,82.49734081699916,119.88769192600354,-2.1641306660116832,45.42113946998688,3.4750454913453237
qEF,2382.1964189716327,-2413.8945151021444,-1956.256206727935,-616.7085885581708,2357.5527816927556,5266.7289323546765,-1581.1713461361983,-2166.975250524688,-69.57279320990857,-109.26501222794131,-5.232086189212785,36.97297315076022,37.31614556162237,-40.689562324280296,275.7063411887551,-0.3280372035184206,-317.893173108228,16.101617623052462,0.26109471566062664,10.171984040300755,36.4719522173396,46.493657210170234,80.05670415821169,97.25666339969135,1.0460907891390374,37.15359225360814,49.47609948504481
iG,-807.451318354356,821.1099314771969,268.4889388855783,101.85761384753357,-563.8683638775378,-1581.1713461361983,529.3919617229543,733.8365766874036,-9.851914359059847,15.115910956296633,0.7343112082294081,-17.950585750950747,-18.560238472433635,20.462468422863388,-134.6048645818836,0.16173291096364723,152.69234015947734,-18.102424328451093,-0.10028818688160332,-3.2255467754745433,-17.693225747972008,-22.851332336981258,-34.41958423681307,-36.93876426787776,-0.6845446547297386,-19.175480776972364,-28.16061480661356
iE,-2037.069519083318,1909.9852311587329,115.54507199421462,10.271302196939828,-1491.9103041137844,-2166.975250524688,733.8365766874036,1819.4948710818494,-88.73709574480213,-363.9408444869115,-15.494816910832347,-16.267096281885756,-18.567332450368596,21.272209607316675,-123.90659597916833,0.15555508225429693,135.3825460594565,-44.52967935593059,-0.21481747544588659,-8.065220847239113,-23.833681480378015,-35.87168568720179,-45.034154650074186,-54.12327386665589,-1.1730813539579432,-38.75241705575817,-31.02334688028846
Kd0,-9.122765864324876,16.106054810665775,348.24908261609187,100.54073302526575,-225.44495321889565,-69.57279320990857,-9.851914359059847,-88.73709574480213,124.27531507284891,-6.93946826230898,-0.33118195796984595,1.7470319962386325,3.9106271616748716,-5.182132069486883,2.2911528251157867,-0.008593571575313402,-15.983121473929407,-31.20241291686078,-0.004070619146386822,-0.17682202804239527,1.9721522630525295e-27,9.860761315262648e-27,-0.47934065856077424,-0.6919706689693609,-0.032813599910306274,0.0,-0.45531374952216586
gammaG0,388.6215640309255,-326.50518403749936,-573.1381659052327,-59.7729961544521,-1693.3590029223446,-109.26501222794131,15.115910956296633,-363.9408444869115,-6.93946826230898,2896.881294083965,130.87253156282503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
