candidate,family,medium,horizon_h,temperature_segments,N_pulses_kg_m3,candidate_logdet,candidate_min_eigenvalue,candidate_max_eigenvalue,candidate_min_relative_eigenvalue,candidate_condition_number,candidate_trace_inv,candidate_rank_1e-8,combined_logdet,combined_min_eigenvalue,combined_max_eigenvalue,combined_min_relative_eigenvalue,combined_condition_number,combined_trace_inv,combined_rank_1e-8,var_ratio_mu0,var_reduction_mu0,var_ratio_qN,var_reduction_qN,var_ratio_betaG0,var_reduction_betaG0,var_ratio_betaF0,var_reduction_betaF0,var_ratio_qEG,var_reduction_qEG,var_ratio_qEF,var_reduction_qEF,var_ratio_iG,var_reduction_iG,var_ratio_iE,var_reduction_iE,var_ratio_Kd0,var_reduction_Kd0,var_ratio_gammaG0,var_reduction_gammaG0,var_ratio_gammaF0,var_reduction_gammaF0,var_ratio_kPyrS_N,var_reduction_kPyrS_N,var_ratio_kPyrO2,var_reduction_kPyrO2,var_ratio_kPyrDrain,var_reduction_kPyrDrain,var_ratio_kAldS_N,var_reduction_kAldS_N,var_ratio_kAldRed,var_reduction_kAldRed,var_ratio_kAcAld,var_reduction_kAcAld,var_ratio_kAcStress,var_reduction_kAcStress,var_ratio_k_EA_growth,var_reduction_k_EA_growth,var_ratio_k_EA_stationary,var_reduction_k_EA_stationary,var_ratio_k_IAA_growth,var_reduction_k_IAA_growth,var_ratio_k_IAA_stationary,var_reduction_k_IAA_stationary,var_ratio_k_EO_growth,var_reduction_k_EO_growth,var_ratio_k_EO_stationary,var_reduction_k_EO_stationary,var_ratio_alpha_EA_loss,var_reduction_alpha_EA_loss,var_ratio_alpha_IAA_loss,var_reduction_alpha_IAA_loss,var_ratio_alpha_EO_loss,var_reduction_alpha_EO_loss,secondary_aroma_mean_var_reduction,secondary_aroma_worst_var_reduction,rationale
natural_pilot_cold_to_warm_earlyN,temperature_N,natural,300.0,"14, 16, 22, 20",30h:0.045,101.64577684633143,0.00019357640953399463,14294.205888473607,1.354229895975463e-08,73842705.95205638,5263.023513133646,27,152.37163718221228,0.004548336469620225,114124.51852206484,3.985415692019633e-08,25091485.488010515,270.3535824622472,27,0.9126960255017253,0.08730397449827465,0.8469001103660446,0.15309988963395538,0.7128425631655637,0.2871574368344363,0.629550659359747,0.37044934064025303,0.7989716685472249,0.2010283314527751,0.6248764728259831,0.37512352717401687,0.5590907940677072,0.44090920593229277,0.7509535419149979,0.24904645808500214,0.26929688588752776,0.7307031141124722,0.6802834694215025,0.31971653057849747,0.6753573315439946,0.3246426684560054,0.8032230981749408,0.19677690182505925,0.7585206918532882,0.2414793081467118,0.8168437343605713,0.18315626563942866,0.8118957651047639,0.1881042348952361,0.9268343252438951,0.07316567475610491,0.8073954141021594,0.19260458589784057,7.808184430059547e-09,0.9999999921918156,0.37232115814507344,0.6276788418549266,0.1924278022489979,0.8075721977510021,0.5941120388648211,0.4058879611351789,0.7542933093802293,0.24570669061977068,0.5826900805931131,0.4173099194068869,0.4174304604583711,0.5825695395416288,0.5645097206682903,0.4354902793317097,0.8700111197972861,0.12998888020271393,0.7260572846224885,0.27394271537751147,0.37508962428584536,0.07316567475610491,Cold start followed by warm transition and early nitrogen pulse.
natural_pilot_high_rate_strip,co2_aroma,natural,300.0,"21, 24, 23, 19",30h:0.03,92.91132450589095,5.388272228910106e-05,14328.483650757567,3.760532070415714e-09,265919817.00330335,18385.35004763567,26,152.23510338397494,0.004675052516095584,115129.09195850686,4.060704758950499e-08,24626267.09799146,277.23060372680413,27,0.9324147182645127,0.06758528173548728,0.8490998250933265,0.1509001749066735,0.7744229586835382,0.22557704131646183,0.7687977890318588,0.2312022109681412,0.632564073003445,0.36743592699655503,0.7618491203411919,0.2381508796588081,0.8498280269054976,0.15017197309450236,0.6815856351787238,0.31841436482127616,0.16980815732686133,0.8301918426731387,0.8429848571293493,0.15701514287065066,0.8467742952149304,0.15322570478506958,0.6521126750923367,0.3478873249076633,0.5080596111256166,0.4919403888743834,0.6287257032643009,0.3712742967356991,0.7879227580358078,0.2120772419641922,0.9017599411028543,0.09824005889714571,0.7236194768262049,0.27638052317379513,9.151274851325872e-09,0.9999999908487252,0.4666625320746379,0.5333374679253621,0.1400683045450324,0.8599316954549676,0.8024185352956139,0.1975814647043861,0.9051997043328408,0.0948002956671592,0.5723276198141805,0.42767238018581955,0.29756231987847054,0.7024376801215295,0.727933405014134,0.27206659498586605,0.8783025102900881,0.1216974897099119,0.6274058077618767,0.3725941922381233,0.3987449428996706,0.0948002956671592,High-rate natural fermentation to excite CO2 stripping and aroma loss directions.
natural_pilot_midN_temperature_step,temperature_N,natural,300.0,"16, 20, 23, 18",54h:0.04,98.478400711224,0.00011596556725574358,13351.212328193134,8.685770580613453e-09,115130832.74752723,8744.386398732879,26,152.0105794369421,0.004570627872257411,114427.09984987686,3.9943578734878944e-08,25035313.100946426,280.838158669889,27,0.9123927035128957,0.0876072964871043,0.8535006125705593,0.1464993874294407,0.7369146718977871,0.26308532810221286,0.796015611495463,0.20398438850453704,0.8523760548977317,0.14762394510226828,0.8038553284974642,0.19614467150253578,0.7265044517284333,0.27349554827156675,0.8705286649524524,0.1294713350475476,0.1974017578230174,0.8025982421769826,0.7347901354555815,0.2652098645444185,0.7364384390697368,0.2635615609302632,0.7291599293164914,0.27084007068350857,0.615919214549051,0.38408078545094904,0.7123067292503159,0.2876932707496841,0.8272162787291758,0.1727837212708242,0.9223421065270441,0.07765789347295593,0.7781633449408975,0.22183665505910255,8.348196193041251e-09,0.9999999916518038,0.46015260067655983,0.5398473993234402,0.16805116905053197,0.831948830949468,0.6859999816468413,0.3140000183531587,0.8141776619788347,0.18582233802116532,0.6006853149876324,0.39931468501236755,0.3563294932363824,0.6436705067636176,0.685406642106024,0.314593357893976,0.8525635740062175,0.14743642599378248,0.6844712218265404,0.3155287781734596,0.381690920551454,0.07765789347295593,Temperature step with mid-growth nitrogen perturbation.
natural_pilot_noN_dynamic_temperature,temperature,natural,300.0,"15, 22, 18, 22",,96.94586173777823,5.695740102438581e-05,12850.83391254965,4.432194938630661e-09,225621845.12329975,17427.111914658988,26,151.49996696438416,0.004704531043374982,112629.77060566415,4.176987148314756e-08,23940700.9045613,274.0628851791092,27,0.9161593828273564,0.08384061717264357,0.8918748156960861,0.10812518430391393,0.7056176803649042,0.29438231963509576,0.7559323588551415,0.24406764114485846,0.8438893814516886,0.15611061854831143,0.7090393938031767,0.2909606061968233,0.6232136880345376,0.3767863119654624,0.8572636321535893,0.14273636784641075,0.4177148806300791,0.5822851193699209,0.7186504675111307,0.2813495324888693,0.7246415482489575,0.27535845175104245,0.6439521196166244,0.35604788038337565,0.4846053535715728,0.5153946464284271,0.6025801234737974,0.3974198765262026,0.8061989929447816,0.1938010070552184,0.8961656385014763,0.10383436149852365,0.7194389760262613,0.2805610239737387,1.044596437309495e-08,0.9999999895540356,0.45628456161783937,0.5437154383821606,0.13947882657871033,0.8605211734212896,0.6602166373208248,0.3397833626791752,0.7975835880189265,0.20241641198107352,0.5491471275965359,0.45085287240346406,0.3033210363900875,0.6966789636099124,0.7259127732269157,0.2740872267730843,0.8580797809187666,0.14192021908123342,0.6833628572187305,0.31663714278126953,0.4171044747832615,0.10383436149852365,Temperature-only perturbation for settings where nutrient action is constrained.
natural_pilot_two_step_N_ladder,N_timing,natural,300.0,"17, 19, 21, 18",30h:0.03; 78h:0.035,92.00414635857646,0.0001151977208877445,10550.438399815648,1.0918761526512244e-08,91585478.58856185,8817.1055030709,27,151.42342571949462,0.004545852689114549,111290.48411180353,4.084673299244291e-08,24481762.107755616,281.94327064963915,27,0.9118355876109223,0.08816441238907768,0.857749136268709,0.14225086373129103,0.7620964399434563,0.23790356005654367,0.8243231785126558,0.1756768214873442,0.8443845410610312,0.15561545893896878,0.8516477663996955,0.14835223360030447,0.7966752824563145,0.20332471754368553,0.872109384418209,0.12789061558179105,0.29190672563929465,0.7080932743607053,0.7568621841826494,0.2431378158173506,0.7619893561155958,0.23801064388440418,0.7888147617635884,0.21118523823641155,0.703679568586583,0.296320431413417,0.7702895867335423,0.2297104132664577,0.8365064458974709,0.16349355410252908,0.9273791213795376,0.0726208786204624,0.8237665584136207,0.17623344158637932,6.85459461937133e-09,0.9999999931454053,0.45851992120778523,0.5414800787922147,0.17855845900197154,0.8214415409980285,0.7080745930216915,0.2919254069783085,0.826562533823742,0.173437466176258,0.6212558389824642,0.37874416101753583,0.37836866847406,0.6216313315259401,0.66949521135515,0.33050478864485,0.8445164514664959,0.1554835485335041,0.7013255174465675,0.29867448255343254,0.3601804222244459,0.0726208786204624,Two smaller nitrogen pulses to separate early growth and later metabolic response.
natural_pilot_reference_20C,reference,natural,300.0,"20, 20, 20, 20",,92.14294937902415,5.360256404899421e-05,11489.037758575574,4.665539897715501e-09,214337466.17184728,18554.396839174897,26,151.34024272847563,0.004693172997147237,111914.13548862007,4.193548005939303e-08,23846156.013564277,276.9083931345004,27,0.9248724053241612,0.07512759467583885,0.8888840749928059,0.11111592500719414,0.742773564680437,0.257226435319563,0.8516959214227396,0.14830407857726036,0.7008881032024188,0.2991118967975812,0.8147000751769874,0.1852999248230126,0.8278066829485738,0.17219331705142615,0.7717718331199798,0.22822816688002023,0.3684737460996951,0.6315262539003049,0.8027728683461245,0.1972271316538755,0.8188017070985146,0.18119829290148537,0.6225533141278622,0.3774466858721378,0.4603022145693195,0.5396977854306805,0.5847143042513979,0.4152856957486021,0.7847422630313626,0.21525773696863737,0.8983297486769187,0.10167025132308127,0.7107994353646896,0.2892005646353104,9.845119516665696e-09,0.9999999901548805,0.47139494337493193,0.5286050566250681,0.1269074493589934,0.8730925506410065,0.7674973431263268,0.23250265687367322,0.866979340188626,0.133020659811374,0.5417722317484749,0.4582277682515251,0.2764871114931687,0.7235128885068314,0.7606894121608545,0.2393105878391455,0.8180078370175095,0.18199216298249055,0.6686208651621077,0.3313791348378923,0.41501263603139604,0.10167025132308127,Natural must warmer reference to increase rate and CO2 information.
natural_pilot_low_temp_aroma_retention,aroma_retention,natural,300.0,"13, 15, 16, 16",54h:0.035,95.80957851237041,7.833056395633734e-05,17457.99068929223,4.486802940293753e-09,222875845.74296674,12729.088124996548,26,151.17305510480122,0.00457779772368097,113894.51591754946,4.019331121258665e-08,24879761.57801219,277.11716890408655,27,0.9164490715701372,0.08355092842986278,0.912242148417428,0.08775785158257199,0.6674344502853506,0.33256554971464936,0.5983212187547698,0.40167878124523015,0.7468145530026222,0.25318544699737777,0.5853779240983444,0.41462207590165556,0.5255550115140271,0.47444498848597294,0.6825187754258802,0.31748122457411976,0.7639758708726955,0.23602412912730453,0.6454500774770595,0.3545499225229405,0.645842719147372,0.354157280852628,0.7698694192658092,0.2301305807341908,0.6722591925378212,0.3277408074621788,0.7454212924820661,0.2545787075179339,0.82615397404722,0.17384602595277998,0.9208966687679128,0.07910333123208724,0.8046812341551388,0.1953187658448612,8.0905331982066e-09,0.9999999919094668,0.43678115011612006,0.5632188498838799,0.19148410355266465,0.8085158964473353,0.5946691457019165,0.40533085429808347,0.7712667144954464,0.22873328550455363,0.6017412928194407,0.39825870718055933,0.40430124938792245,0.5956987506120776,0.6401761556088433,0.35982384439115667,0.869370788071689,0.130629211928311,0.7612177825377022,0.23878221746229777,0.3743568642726096,0.07910333123208724,Cold profile to contrast aroma retention against high-rate stripping.
natural_pilot_warm_to_cool_noN,temperature,natural,300.0,"22, 22, 17, 16",,90.21574633363473,5.387400898936493e-05,9835.130339919839,5.477711746299442e-09,182557981.56512457,18550.40978118942,26,151.17105885057305,0.004704043485496335,110487.57348550578,4.2575317179116354e-08,23487787.43780001,277.8033791542932,27,0.9413615654335498,0.05863843456645024,0.8972004916711478,0.10279950832885221,0.7616406807610249,0.23835931923897513,0.7634951912522373,0.2365048087477627,0.5706948268840825,0.42930517311591754,0.7357572659999647,0.2642427340000353,0.8425448283743687,0.15745517162563127,0.6275984180621428,0.3724015819378572,0.43706091447074913,0.5629390855292509,0.8378402336234979,0.1621597663765021,0.845395135451763,0.15460486454823696,0.6091057561119019,0.3908942438880981,0.4398882650722627,0.5601117349277374,0.5673728903941312,0.4326271096058688,0.7753483434529882,0.2246516565470118,0.8962718532741583,0.10372814672584174,0.703563444176798,0.29643655582320205,9.666259001504073e-09,0.999999990333741,0.48137169540064545,0.5186283045993545,0.1165105385265078,0.8834894614734922,0.836030013483996,0.16396998651600403,0.9225622473974354,0.07743775260256458,0.5289231144040867,0.4710768855959133,0.2540869141795893,0.7459130858204107,0.7884638677421438,0.21153613225785617,0.8811083600168564,0.11889163998314356,0.6420687293325356,0.35793127066746444,0.40983274733548153,0.07743775260256458,"Warm early phase to excite growth and CO2, then cool aroma-retention phase."
natural_pilot_lateN_stationary_probe,N_timing,natural,300.0,"18, 20, 20, 18",80h:0.05,89.88659922598308,7.250534981202934e-05,9272.504677239713,7.819392099094968e-09,127887179.37750456,13876.101328125731,26,150.93906731788667,0.004538515618667948,110188.6017684218,4.118861248649233e-08,24278555.15472746,288.50830927679215,27,0.9065060831906806,0.0934939168093194,0.8597686622541215,0.14023133774587848,0.7503456838996981,0.24965431610030187,0.8539431326547693,0.1460568673452307,0.8048139064048442,0.19518609359515582,0.8753442751070171,0.12465572489298293,0.8358496631138594,0.16415033688614056,0.8589790827761388,0.14102091722386123,0.35642278245141484,0.6435772175485852,0.7736836612161871,0.22631633878381285,0.7843766039721831,0.21562339602781688,0.7460426653144453,0.2539573346855547,0.628069322683562,0.37193067731643803,0.7163941914093096,0.2836058085906904,0.8379473201029681,0.16205267989703187,0.9288985270604865,0.07110147293951352,0.8062044823284743,0.1937955176715257,7.670899051766393e-09,0.999999992329101,0.5060666452755712,0.4939333547244288,0.17319382080263046,0.8268061791973695,0.7315912154172257,0.2684087845827743,0.8425354856908713,0.15746451430912867,0.6245051073964175,0.3754948926035825,0.3596027971983228,0.6403972028016772,0.7302949803955522,0.2697050196044478,0.8421431803079165,0.15785681969208354,0.6878106270489338,0.3121893729510662,0.36491872649352586,0.07110147293951352,Late nitrogen addition to test stationary/growth split in secondary and aroma formation.
natural_pilot_reference_18C,reference,natural,300.0,"18, 18, 18, 18",,91.489600747704,7.127441419152599e-05,13887.43634147428,5.132294574677384e-09,194844622.70228517,14062.301189822101,26,150.8722221504046,0.004664993131533034,112364.6065835935,4.151657068333629e-08,24086767.850538652,277.67321005019693,27,0.9149452802567242,0.08505471974327583,0.9128018257466598,0.0871981742533402,0.7264916498058437,0.2735083501941563,0.8366238260738565,0.16337617392614345,0.7891161773363506,0.21088382266364936,0.8019615325175417,0.19803846748245835,0.7514940443228442,0.24850595567715583,0.8356836270772394,0.16431637292276058,0.582887712067897,0.417112287932103,0.7638104951696171,0.23618950483038292,0.7846031202814613,0.21539687971853871,0.6355242601353316,0.3644757398646684,0.476890753933925,0.523109246066075,0.5980702886771542,0.40192971132284583,0.8009261449333515,0.19907385506664854,0.90374150359833,0.09625849640166995,0.7207492778182519,0.27925072218174807,9.657132495976785e-09,0.9999999903428675,0.4684380466215904,0.5315619533784096,0.13482401606893568,0.8651759839310643,0.7328681928379326,0.2671318071620674,0.8452404104785887,0.15475958952141133,0.5487150398215194,0.45128496017848063,0.2938510451605271,0.7061489548394728,0.7489750306475566,0.25102496935244345,0.8565693846539569,0.14343061534604307,0.7026934141889378,0.2973065858110622,0.40824519879793614,0.09625849640166995,Natural must reference at moderate temperature.
