,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrS_stat,kPyrO2,kPyrDrain,kAldPyr,kAldS_N,kAldS_stat,kAldO2,kAldRed,kAcAld,kAcStress,kAcAssim,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim,kCO2_release_h,CO2sat_scale
mu0,4629.570838376039,-4365.924500573658,810.9660867280169,320.6079606735252,1312.9296478465271,1738.199662433249,-684.1139388013208,-1670.2012372396127,140.58114370052746,298.8542268187114,13.217513320016248,15.586243823332191,-0.4149010313969457,-19.467117850429858,39.86519363872116,161.1326560079096,125.53674312734462,229.91223190611524,752.5226287520857,-0.5312188856907283,771.1191992472576,990.3502583681885,-0.006724633871842767,0.13573760165986343,165.77093273795637,28.410642076511355,92.52076885808708,46.058398091094546,72.76881089642481,55.85776980936601,64.00025127217964,63.88993804555307,0.03310220019214928,86.53615395379241,20.631493379476936,1.5708967937178637
qN,-4365.924500573658,4326.532621638573,-578.3332149505288,-250.8206189481296,-1386.0904758226966,-1713.135046797392,655.193258226223,1536.9756825194559,-98.42049657117862,-242.3884104162491,-10.683112681695071,-91.90631065188634,-6.615193198186116,-83.2124761027029,74.44842841519156,-258.92229930455164,-193.35565468748376,-365.9922597966124,-1212.4957877052195,0.8475329079287066,-116.93860047928155,-1056.7742347670433,0.0070753634870016615,-0.09052054607793976,-117.83982689959255,-18.960318359836815,-65.53818878597455,-93.1884047801358,-165.47576860860968,-39.729588085853635,-53.73016104500147,-118.75522363171838,-0.02390602276995324,-62.77590756611576,-18.60866644700737,-0.9248687370751998
betaG0,810.9660867280169,-578.3332149505288,6278.605725410484,1773.3379019736235,-4198.908340214336,-1662.2209560033857,-32.47164885804786,-782.9392820966314,1273.5576997397013,-473.73147295463,-21.846892677204888,-7.750845452997881,0.3291830653424931,11.65121059564955,-23.06305881363978,-45.07181926401185,-51.58300379152532,-89.24445600319027,-237.5113175679605,0.13052157757208926,47.023985366738046,-201.25331682907557,0.0011249307212862383,0.00033692258198346936,-10.57002714486207,-4.688911721246158,-10.254954373065276,-11.335942023849352,-37.51792156195995,19.999855402293235,12.190420795846062,25.83980773551932,-0.0026337718518431993,-7.2814365886906645,-28.139583613756283,-5.447392646171249
betaF0,320.6079606735252,-250.8206189481296,1773.3379019736235,535.1281810282678,-1074.1626737311371,-559.6051120823371,8.792068866363664,-308.848021633527,402.1492539130148,-44.922953377345344,-2.084436739068803,-0.38240293132777414,0.24478548954521362,5.5900631175430515,-9.232258780143502,-13.007948949073555,-12.144032409935514,-21.88614695661211,-62.03310773023469,0.04388517098910949,-7.527208450525347,-62.99987220641817,0.0003514975189763122,0.004121600831420459,1.4799651645457015,0.09311621998982629,1.6951084742577542,1.05740339675156,-3.358525262082252,8.369070757319722,6.195226634095127,13.676700616084782,0.00011854997536012558,0.1822753335904534,-7.5601472659668465,-1.6065339456525938
qEG,1312.9296478465271,-1386.0904758226966,-4198.908340214336,-1074.1626737311371,7316.163399909767,2041.2242614616775,-276.3986603344987,-583.2119827914398,-904.667202840086,-2077.075295930285,-100.32758583740839,38.650676040567575,1.9642485561516545,22.91477931234222,-17.196866280880315,34.950734448150946,107.60723292182996,143.66408699185192,293.0014652639536,-0.007169881332172515,-44.54475753145343,250.69325307684375,-0.0015688331606554828,0.07605037197001074,96.27983324276285,32.792757365095916,99.12756422853957,47.277849536241405,101.61581013318495,18.761581358292528,49.14523700357104,-2.1320312993065405,0.01933200563508263,50.65803060023739,44.09726828929223,6.707637016811337
qEF,1738.199662433249,-1713.135046797392,-1662.2209560033857,-559.6051120823371,2041.2242614616775,3693.067477498791,-1040.3314049360745,-1038.558509651233,-288.50544171175096,-166.50799131534328,-8.080780234726523,27.063204010619,1.2160192318012377,15.678563154017112,-14.398922112746165,-20.065993711639695,79.65409369766688,74.45484799696352,40.860192337766634,0.17323090827230203,196.11475213605013,155.14879702004202,-0.0010085664636436897,0.0791104940993033,99.81759032418285,28.60704774436959,88.18718440527542,77.0096760295623,124.19357916054092,25.293307897398062,47.91518652276218,117.00878984623124,0.02006947962235707,52.58225340742616,23.82376189016472,2.210902462761794
iG,-684.1139388013208,655.193258226223,-32.47164885804786,8.792068866363664,-276.3986603344987,-1040.3314049360745,346.69824593735996,439.51119511746276,-30.54736020026592,20.27164755962848,0.9993690116654347,-12.15533544425659,-0.7517448639556025,-10.766151534669808,11.698552109731226,4.40731004367671,-27.044157496883187,-25.343037937145986,-22.235273491238683,-0.04931906162425426,-25.317797216493833,-36.14694350243931,0.0002560817937001212,-0.02838975447650651,-33.76610744706495,-11.389197531593942,-35.22379428643223,-28.3166126575407,-43.729930504544626,-11.513694631429857,-20.375109456564836,-46.30258576589356,-0.006676601663779536,-17.42093273894711,-4.144058792701787,0.07517816840353425
iE,-1670.2012372396127,1536.9756825194559,-782.9392820966314,-308.848021633527,-583.2119827914398,-1038.558509651233,439.51119511746276,1179.5457843591207,-274.90296223990254,-237.76323370495064,-10.772583479556959,-6.389788496115591,-0.22972077690000597,-4.657629708242894,7.228184426820364,42.85184241965253,-22.967723974331875,-4.616397780714697,108.46080168684962,-0.21929030263551777,-183.6333164375266,-7.157774239143419,0.00011170266215631869,-0.05821498588888747,-69.6936661044275,-14.078790657013156,-47.40547576566382,-33.20766024670315,-54.143974814212406,-29.71564939930622,-36.96377548760872,-48.747671254463086,-0.013858655232184868,-36.183009039877184,-14.245786631757099,-1.184552397038591
Kd0,140.58114370052746,-98.42049657117862,1273.5576997397013,402.1492539130148,-904.667202840086,-288.50544171175096,-30.54736020026592,-274.90296223990254,539.2994994608887,-11.329760963798782,-0.5538646353205214,-0.8890279739747959,0.21096617376134963,6.06290844239581,-11.116631878771795,-36.02911212822584,-18.289964985393805,-43.77825021240147,-156.6731772287337,0.12897931295923462,-7.802579450886569,-145.53579370679475,0.0008370101697144494,-9.860198498425552e-28,9.860761315262653e-28,-2.4651903288156508e-27,-9.860761315262653e-28,-0.9692707672625105,-1.7583091630790808,3.944304526105024e-27,1.9721522630525306e-27,-1.8982175496155893,-4.9303806576313265e-28,-1.9721522630525306e-27,0.5025282020342176,0.10377827329983406
gammaG0,298.8542268187114,-242.3884104162491,-473.73147295463,-44.922953377345344,-2077.075295930285,-166.50799131534328,20.27164755962848,-237.76323370495064,-11.329760963798782,3038.0857574822207,143.72317877492495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gammaF0,13.217513320016248,-10.683112681695071,-21.846892677204888,-2.084436739068803,-100.32758583740839,-8.080780234726523,0.9993690116654347,-10.772583479556959,-0.5538646353205214,143.72317877492495,6.825519061600871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS_N,15.586243823332191,-91.90631065188634,-7.750845452997881,-0.38240293132777414,38.650676040567575,27.063204010619,-12.15533544425659,-6.389788496115591,-0.8890279739747959,0.0,0.0,85.83360054521656,7.957761266484906,116.78420588005372,-130.79526038050642,59.38859604070916,19.6485930449678,63.6112878774489,251.28508684199738,-0.21592731364539952,-351.5280552302969,32.26113081240119,-0.00019982859590109663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS_stat,-0.4149010313969457,-6.615193198186116,0.3291830653424931,0.24478548954521362,1.9642485561516545,1.2160192318012377,-0.7517448639556025,-0.22972077690000597,0.21096617376134963,0.0,0.0,7.957761266484906,0.9082590279937871,13.851324587332252,-16.2290705539684,6.301529221402935,1.4445625881661508,5.913408242529358,25.427758381441947,-0.0240067245082548,-37.09144925085794,2.3318799524171747,-1.4037672227082445e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrO2,-19.467117850429858,-83.2124761027029,11.65121059564955,5.5900631175430515,22.91477931234222,15.678563154017112,-10.766151534669808,-4.657629708242894,6.06290844239581,0.0,0.0,116.78420588005372,13.851324587332252,215.77527928343315,-258.1226181657447,90.22087967198176,19.529254371084622,82.01383741370188,359.2816528811042,-0.3485816886828415,-529.5711555774255,29.603727796314754,-0.00017769646890138655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrDrain,39.86519363872116,74.44842841519156,-23.06305881363978,-9.232258780143502,-17.196866280880315,-14.398922112746165,11.698552109731226,7.228184426820364,-11.116631878771795,0.0,0.0,-130.79526038050642,-16.2290705539684,-258.1226181657447,315.84998750411046,-97.98232399927369,-19.46591078975756,-85.75121770968342,-384.27380849247254,0.3845349256283346,572.9208971966211,-27.67635348890615,0.00016497445942062884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldPyr,161.1326560079096,-258.92229930455164,-45.07181926401185,-13.007948949073555,34.950734448150946,-20.065993711639695,4.40731004367671,42.85184241965253,-36.02911212822584,0.0,0.0,59.38859604070916,6.301529221402935,90.22087967198176,-97.98232399927369,294.61883969376305,92.73707294477023,307.10403117483014,1233.1021263813875,-1.0840018470805701,-1740.2341923518359,148.8447243994869,-0.0009208172200841614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS_N,125.53674312734462,-193.35565468748376,-51.58300379152532,-12.144032409935514,107.60723292182996,79.65409369766688,-27.044157496883187,-22.967723974331875,-18.289964985393805,0.0,0.0,19.6485930449678,1.4445625881661508,19.529254371084622,-19.46591078975756,92.73707294477023,97.62898079870371,153.96510789163028,474.4397418624715,-0.26740068979900866,-527.3045654475945,138.33771410940207,-0.0009213991235961969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS_stat,229.91223190611524,-365.9922597966124,-89.24445600319027,-21.88614695661211,143.66408699185192,74.45484799696352,-25.343037937145986,-4.616397780714697,-43.77825021240147,0.0,0.0,63.6112878774489,5.913408242529358,82.01383741370188,-85.75121770968342,307.10403117483014,153.96510789163028,406.2572041814157,1418.201540567327,-1.0075715619496561,-1836.8719287184103,271.9743248214484,-0.0017111841329656894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldO2,752.5226287520857,-1212.4957877052195,-237.5113175679605,-62.03310773023469,293.0014652639536,40.860192337766634,-22.235273491238683,108.46080168684962,-156.6731772287337,0.0,0.0,251.28508684199738,25.427758381441947,359.2816528811042,-384.27380849247254,1233.1021263813875,474.4397418624715,1418.201540567327,5380.84256030106,-4.326024308851655,-7343.451517244177,802.043974776208,-0.00500235197220599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldRed,-0.5312188856907283,0.8475329079287066,0.13052157757208926,0.04388517098910949,-0.007169881332172515,0.17323090827230203,-0.04931906162425426,-0.21929030263551777,0.12897931295923462,0.0,0.0,-0.21592731364539952,-0.0240067245082548,-0.3485816886828415,0.3845349256283346,-1.0840018470805701,-0.26740068979900866,-1.0075715619496561,-4.326024308851655,0.004196242627472407,6.337699305639298,-0.3807444186134653,2.3282891539544437e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAld,771.1191992472576,-116.93860047928155,47.023985366738046,-7.527208450525347,-44.54475753145343,196.11475213605013,-25.317797216493833,-183.6333164375266,-7.802579450886569,0.0,0.0,-351.5280552302969,-37.09144925085794,-529.5711555774255,572.9208971966211,-1740.2341923518359,-527.3045654475945,-1836.8719287184103,-7343.451517244177,6.337699305639298,13776.523708779752,815.7849628150266,-0.0056054600582532595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
