,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrS_stat,kPyrO2,kPyrDrain,kAldPyr,kAldS_N,kAldS_stat,kAldO2,kAldRed,kAcAld,kAcStress,kAcAssim,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim,kCO2_release_h,CO2sat_scale
mu0,4357.853718573482,-4097.42106448896,302.6337374169811,190.23190702765237,1585.8629225331788,1887.9442894384533,-673.1249567265824,-1535.4130056694416,-31.19789048607215,344.4043485074989,15.838808053616003,9.846600790280519,-0.8903979339958628,-20.36718889096139,28.736134042210303,57.383710231026825,93.18918626726884,136.36756805726577,336.92807592661745,-0.1372357593564132,1223.996634445336,813.1830273179739,-0.0027657076947088816,0.13871212700362714,183.4249117984475,27.149491837280383,89.6116429152589,52.48035757892444,88.85948118841479,67.5785384152771,53.708790692978184,84.4503799600143,0.035227037577168156,93.12391760484222,11.882508237376722,2.1840023082443043
qN,-4097.42106448896,4020.4993664395706,-95.62867602925053,-126.18202652815593,-1632.9612963911673,-1850.5310543548599,642.7652419072565,1410.9920320675556,64.1607352629276,-297.9515473382787,-13.726727121465819,-64.93346025851193,-4.721982020353025,-56.379262899629396,50.11555109049539,-122.97901783575166,-144.49736316107044,-249.24138962047869,-683.6978739883132,0.32384061420715754,-720.1787796758667,-855.2892805505395,0.002835409549130667,-0.09751145265420656,-136.6169953318643,-18.81656103572783,-64.38172330516909,-88.94393496132118,-165.93601139605073,-49.67938044937851,-45.04728914582836,-133.34585188370846,-0.02661545176819869,-70.64514936936678,-10.20532319469434,-1.448840471739451
betaG0,302.6337374169811,-95.62867602925053,6031.658878082919,1716.478682357821,-3735.820320346548,-1419.9806816415578,-78.77772606810217,-828.0266568497582,1094.3011205185207,-598.8474292812925,-28.495377990780142,-6.765376191496823,0.5623277391490005,13.158485571146326,-18.916333061218364,-17.069112667777564,-49.04788117080106,-74.84171212394503,-132.13560202369777,0.013949790765633269,-224.26282683710292,-234.60009818783627,0.0005557298738921785,0.0024721969559879362,-10.308605631969618,-4.962691737729058,-13.453974865269226,-17.259542733269605,-53.213882944667944,23.651704958775525,11.36907283232519,6.999234500373027,-0.0025729147226033764,-7.29134765998953,-18.356069110102787,-6.409720126600413
betaF0,190.23190702765237,-126.18202652815593,1716.478682357821,529.0110085640263,-917.5831961021129,-509.7628117522547,-2.2814539886230083,-343.79139469813305,350.7569409108643,-65.07992593815143,-3.126363304917474,0.2432606205839023,0.40631267733770354,7.248731046579107,-9.123318685697358,-1.6044431908732868,-11.770510470177614,-15.232418010937078,-19.2905943822121,-0.004050889833167138,-112.93197981649254,-75.89361105639483,0.0001794908079047061,0.005310925346636485,2.299809524207823,0.06518111908847685,1.0636863449241623,0.30654163273931667,-5.732320989634882,10.622006224975033,6.098502162945557,11.33228422164971,0.00022674241962528612,0.42763744757183336,-5.3115347128204755,-1.9647197904603282
qEG,1585.8629225331788,-1632.9612963911673,-3735.820320346548,-917.5831961021129,6646.076827907978,1744.0672093801356,-235.55508314691554,-564.0677076556017,-650.054462860331,-1866.2404917883798,-91.1086395898877,37.68762010575481,2.347460409577887,28.255248556966595,-24.807628146239338,33.689559961954764,98.8281797224254,142.80767619492207,264.2571386818018,-0.022692225367537323,-5.480973569491738,228.3628020763755,-0.0006657480056711572,0.07472257770729285,103.22822818823994,31.297106918894276,97.93749403732627,57.55601237353355,129.93880225276,21.605089401269677,40.27785471503489,35.84511357061123,0.019963706211984455,52.92509412281222,30.065415507726932,8.86501260147767
qEF,1887.9442894384533,-1850.5310543548599,-1419.9806816415578,-509.7628117522547,1744.0672093801356,3782.9921175975683,-1051.302949536475,-1024.6880848285236,-197.95167717855617,-150.58250902262768,-7.389361466545922,25.091137375010504,1.1708910590057175,14.660407887097438,-12.891896448725149,-18.13011619216271,75.55153001544105,64.30753404291028,-2.5532545171846266,0.12839528691607102,237.35469521551573,130.65492374979368,-0.00041379126914344955,0.08243746715226082,113.14536577706829,28.110630868257015,89.0629312574939,80.48873435845451,137.93663816890805,31.639314804223794,40.21805155372058,136.53316108597315,0.02189628737937425,58.0307216752129,13.768298861317076,2.79551904337624
iG,-673.1249567265824,642.7652419072565,-78.77772606810217,-2.2814539886230083,-235.55508314691554,-1051.302949536475,341.27738479605443,431.81364312223127,-40.55043255285063,21.054359766760218,1.0503058973168486,-11.331600596972134,-0.828275592246402,-11.397420889569265,11.507730317515328,0.6271053769322013,-24.684129737565897,-24.001421294182094,-21.69960899464523,-0.022360130405856042,-5.898166516048834,-23.822978654791193,9.606149287692096e-05,-0.028638979826262383,-36.763892595184544,-10.95919986163362,-34.71900851182971,-27.787427256597912,-45.94828573591859,-13.695493834008971,-17.411779767433597,-48.897336564850136,-0.0069894939195417425,-18.433293641532302,-2.168273027230417,-0.03667299029522031
iE,-1535.4130056694416,1410.9920320675556,-828.0266568497582,-343.79139469813305,-564.0677076556017,-1024.6880848285236,431.81364312223127,1194.8090289875777,-293.871158549911,-276.49372559990974,-12.983186171168661,-7.073597924984399,-0.42075753558051676,-6.803777267056525,7.68072875504311,18.77211493547994,-20.430919818200568,-11.487585955609424,53.336896371132376,-0.0929608780025412,-20.393144712263247,28.714693770625985,-2.1827798732695306e-05,-0.05842837279252743,-75.65013911449076,-12.795064088424203,-42.97319265578584,-34.968218992192,-60.68862722095301,-34.59944206801448,-29.66040494085448,-59.30715258009741,-0.014470197536795399,-38.19679081616779,-7.392292259582934,-1.4285698802565912
Kd0,-31.19789048607215,64.1607352629276,1094.3011205185207,350.7569409108643,-650.054462860331,-197.95167717855617,-40.55043255285063,-293.871158549911,451.4911908622173,-20.851334829051662,-1.0299178545711214,0.2411706987475064,0.38538380272447786,7.553688891839344,-9.889568258406786,-16.653172790633935,-14.256237987620588,-31.358457051574707,-89.30530871940958,0.04652343136377578,-121.38674781816772,-134.91442640193756,0.00033907619804193854,-2.9580595495276655e-27,1.9721522630525306e-27,-9.860761315262603e-28,-1.9721522630525306e-27,-1.4527674757593958,-3.0601892186933135,-9.86076131526256e-28,4.9303806576313265e-28,-2.8479612252024546,-4.9303806576313265e-28,-4.9303806576313265e-28,0.7895877528479672,0.32428119267571964
gammaG0,344.4043485074989,-297.9515473382787,-598.8474292812925,-65.07992593815143,-1866.2404917883798,-150.58250902262768,21.054359766760218,-276.49372559990974,-20.851334829051662,3008.4088939877624,144.55449849143292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
