,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrS_stat,kPyrO2,kPyrDrain,kAldPyr,kAldS_N,kAldS_stat,kAldO2,kAldRed,kAcAld,kAcStress,kAcAssim,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim,kCO2_release_h,CO2sat_scale
mu0,5052.818350990783,-4750.199588347566,736.5538350204533,292.5836945397921,1419.4191271911761,1843.3156858114546,-730.2420423111352,-1823.092077523902,102.30539309447084,329.847695235051,14.291259311553466,17.552812019237642,-0.7556916284767485,-19.66185104744195,33.9284976101605,110.56175369196158,132.49862849585227,183.10246763155106,564.6296745786108,-0.2952623330336556,1069.365767782167,925.1738262177241,-0.005026384026175117,0.17214125664390975,182.05958837411163,27.687688387131775,73.34091054118693,51.970814014217865,74.99387768320611,61.06640233899196,55.238018657187055,57.80896515064767,0.04064457331835248,104.73581371641082,23.131830022344733,-0.2592252011517671
qN,-4750.199588347566,4678.070880806185,-412.497303825219,-200.63153948596909,-1546.4847524047846,-1846.308994960754,704.5499659299969,1663.6438098831593,-33.370189873348316,-272.04508865577054,-11.773007165430336,-102.26635895934962,-5.908164564022317,-78.84440075672164,73.29215163307356,-200.11432376674355,-211.08084119025227,-314.6075527492624,-1004.2794446691316,0.5491954250493369,-440.9633438748046,-987.3139474101129,0.005206290153709018,-0.11424089502066787,-130.1191651824905,-17.074713199254713,-49.167729062928785,-107.16136961001568,-169.07060280601127,-43.62259000464196,-46.20056983324395,-122.5771409250004,-0.029482405944115102,-76.4797634073605,-17.465331491921937,-1.150363144337128
betaG0,736.5538350204533,-412.497303825219,8395.4144854832,2386.6035749884913,-5486.529294053984,-2132.486765895153,-68.23931614967485,-1285.434360286686,2160.2802720494046,-536.8945417344861,-24.641758133545217,-10.387940513908996,0.9769351982299832,21.739389992145995,-34.89982633779296,-54.91291709624867,-82.72612690908517,-116.12702420634822,-309.12383508342464,0.11943207317603757,-203.24466350029178,-379.6664360030268,0.0014635507578136388,-0.0010928439922685248,-11.432286584365752,-4.83849106306879,-8.550638914153915,-19.125950179700276,-46.97197196141813,19.05872404075133,8.63856288956747,16.815613427783653,-0.0029780725745250465,-8.232551488421347,-4.104221306192959,-20.00072224156395
betaF0,292.5836945397921,-200.63153948596909,2386.6035749884913,715.4755448804839,-1475.1352639417037,-688.5892214855483,-4.452808372030475,-455.4447666697413,673.3017330236335,-55.50512880460451,-2.572277631194224,0.17216033492953464,0.5442422558552682,10.292556025014482,-14.630959588386172,-13.907252387033001,-20.568544028976753,-28.740479625942793,-76.59151402242613,0.032112451325899564,-99.74367336599155,-119.01327854425341,0.0004604257055787302,0.004704751230053064,1.4193577926025531,0.08451719312937142,1.3324117550737065,2.1804073048806423,-2.393311243773975,8.700009005037701,4.712386571124435,17.359431815426753,0.00016214316570757078,0.22218991815469497,-3.3190570483774358,-4.249512198316037
qEG,1419.4191271911761,-1546.4847524047846,-5486.529294053984,-1475.1352639417037,8056.642564449227,2328.921959444211,-257.7956400338271,-293.4718789271483,-1482.1028571766494,-2024.157660399431,-97.90212201095673,56.962505697610936,2.568690323636627,33.48833909365148,-27.979323898295057,62.69173229650569,146.9791066186312,169.18075095736668,409.4961198768225,-0.08319533226529698,9.374909575369173,364.22514978422817,-0.0016298986520424238,0.08606633522543106,93.0652713622332,32.98291756142479,79.96147640151722,56.4138539826152,110.97913912515085,16.52281266571514,41.924556120262956,-8.931677919606454,0.020808925725490538,53.718553765401396,40.51885308856463,5.9106316445563385
qEF,1843.3156858114546,-1846.308994960754,-2132.486765895153,-688.5892214855483,2328.921959444211,3718.7772046600303,-1037.024854247699,-985.3983751306671,-485.0461038214137,-160.28528513693882,-7.801734743437088,36.15149212922461,1.3891730343207547,19.751284101269178,-17.78115251342237,-9.142084362995227,98.74247850373021,69.51775538253206,64.53769846250344,0.12591464698654872,225.62972718818037,182.6548203608864,-0.0008747447880513462,0.08847677908355418,96.27521387916242,26.536029903763477,65.63471766488952,86.00573159970553,123.66104828575011,24.47037694990148,37.5755209850496,116.26022523633937,0.02160468019419832,55.82079942121421,22.020544460996145,1.5259753999026548
iG,-730.2420423111352,704.5499659299969,-68.23931614967485,-4.452808372030475,-257.7956400338271,-1037.024854247699,361.67471179698543,480.37227533360044,-50.17118501152423,22.07163508218539,1.0899043602674212,-17.868066619936712,-1.0859007480246547,-16.47227501296372,17.737859111677984,-0.9152831834928894,-33.71805734166667,-24.977805799779546,-36.84758415093105,-0.026839099056299477,5.166352745510778,-31.241554001843944,0.00019148361898612163,-0.03241627706136041,-32.91277144590854,-11.253513970337591,-27.878394183410457,-33.558669595971715,-46.75754261659543,-11.340592172116967,-16.63964196079391,-48.47667848152509,-0.007271164051591205,-18.656926840048424,-5.609604878855832,1.5149930055984335
iE,-1823.092077523902,1663.6438098831593,-1285.434360286686,-455.4447666697413,-293.4718789271483,-985.3983751306671,480.37227533360044,1388.88954128569,-475.8120787795556,-253.49842032538697,-11.2675197597525,-13.463066803717739,-0.8064729848189625,-14.071363048767012,17.11135798503392,32.580921175166765,-27.58991969598921,0.7111466580174071,94.06200226877702,-0.15444910884480553,-66.25107680334122,40.5692994694014,-6.450838899932918e-05,-0.07101287544028256,-73.06151673324719,-14.620970105467936,-39.70387287462052,-37.35247552677373,-54.45999811795685,-31.139047301523803,-32.57714200943736,-45.63844228025328,-0.016226187266068334,-41.701243041696,-16.35258037172748,1.155601893800873
Kd0,102.30539309447084,-33.370189873348316,2160.2802720494046,673.3017330236335,-1482.1028571766494,-485.0461038214137,-50.17118501152423,-475.8120787795556,951.0036136941247,-22.950367778820418,-1.122470672220491,0.2365185089915096,0.6340176345422744,12.846252318297662,-18.836003113669623,-37.960895278513235,-29.206770471693105,-55.86550119781257,-182.92633636958064,0.11081396151170282,-121.39865662262103,-216.94645300333954,0.0008730511755690567,-4.207554882839689e-06,-0.006936529261472632,4.930380657631301e-28,9.860761315262653e-28,-2.2275677949244446,-3.678593698414552,0.00013782440850838246,4.9303806576313265e-28,-4.089217041337044,-1.7141258472628105e-06,-0.004571724731988865,0.8767403393541022,-0.015189954105532142
gammaG0,329.847695235051,-272.04508865577054,-536.8945417344861,-55.50512880460451,-2024.157660399431,-160.28528513693882,22.07163508218539,-253.49842032538697,-22.950367778820418,3063.3984731233345,144.27549693271297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gammaF0,14.291259311553466,-11.773007165430336,-24.641758133545217,-2.572277631194224,-97.90212201095673,-7.801734743437088,1.0899043602674212,-11.2675197597525,-1.122470672220491,144.27549693271297,6.83617015785076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS_N,17.552812019237642,-102.26635895934962,-10.387940513908996,0.17216033492953464,56.962505697610936,36.15149212922461,-17.868066619936712,-13.463066803717739,0.2365185089915096,0.0,0.0,104.62055521022387,8.521467287152516,126.80007787404536,-139.38470768580984,58.63193750609337,22.150775692372214,69.71212266602014,263.3629955402627,-0.18792558507627077,-367.27406584799127,33.728536146692925,-0.0001531874377434385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS_stat,-0.7556916284767485,-5.908164564022317,0.9769351982299832,0.5442422558552682,2.568690323636627,1.3891730343207547,-1.0859007480246547,-0.8064729848189625,0.6340176345422744,0.0,0.0,8.521467287152516,0.9177771106283112,14.107957113072157,-16.342262609766504,5.443465664623425,1.2700556081035976,5.725921519410182,23.419258573840697,-0.018437252526653944,-34.36228609287367,2.0061519070704597,-8.581115530870418e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrO2,-19.66185104744195,-78.84440075672164,21.739389992145995,10.292556025014482,33.48833909365148,19.751284101269178,-16.47227501296372,-14.071363048767012,12.846252318297662,0.0,0.0,126.80007787404536,14.107957113072157,219.78540906463738,-257.9403947390728,77.34965333287062,17.583139150374226,80.15514258167664,330.8824603331547,-0.2640321495171974,-488.290682467762,26.719167317070657,-0.00011443034550133577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
