,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrS_stat,kPyrO2,kPyrDrain,kAldPyr,kAldS_N,kAldS_stat,kAldO2,kAldRed,kAcAld,kAcStress,kAcAssim,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim,kCO2_release_h,CO2sat_scale
mu0,4210.935742894995,-3900.4864472958584,-8.426881072580102,30.722112979757796,1966.6666487834275,2129.233205712896,-750.8014853931583,-1855.620078018015,-16.98399206972147,363.21124985122236,15.617357467704194,12.394231528759015,-1.1746263927942626,-23.301101745944283,36.04075022837338,98.83639773047425,110.91480514964778,166.75013464373797,524.6937571515267,-0.2617085971293795,1031.7292542792634,870.1356747280697,-0.00385948745921765,0.1165749922356886,123.95376590001395,29.759104667268804,86.81336504787507,43.96985527396953,71.51447031746045,31.44286407632685,75.15926467055309,49.20630862014209,0.027460061168060358,71.30236463317014,15.90305838808389,-2.6744537305583673
qN,-3900.4864472958584,3815.3790370512907,215.36288109868306,22.015283463395512,-1974.8908801277266,-2076.5941793349384,715.598519016147,1696.5057068613642,39.14367331045767,-307.35675148689546,-13.28112083580031,-88.20062048906591,-5.172462016082618,-70.39358660232502,62.5416335665569,-180.6159176388993,-184.2504563789355,-293.32864650583025,-940.8452191572912,0.4943681064533813,-400.5925805846219,-908.6644956831021,0.003903753777236032,-0.06676635932612143,-79.9084590828382,-17.506164506859083,-58.69999997254375,-84.08804466696135,-146.94871284247282,-20.18242076220559,-61.448715083692306,-90.09700507979633,-0.01806447775278779,-47.37777350922584,-11.88298537321636,1.120179940700824
betaG0,-8.426881072580102,215.36288109868306,5401.7589596195885,1391.4843500645027,-3601.4625150649595,-1807.705400420116,112.59733523290538,-284.99439178140375,768.449703295258,-571.4136855956531,-25.898467195275085,-10.787231226022499,0.09168300323550838,3.948569313689219,-9.303143742505231,-15.17273684144915,-42.05332205746289,-51.82040424786085,-120.77103978439465,0.0013553287268750977,25.783958340040257,-102.51822440682626,0.0002726724197535791,-0.0026752665785734287,-10.275139908335268,-4.514966733825456,-6.095699215181508,-21.137148737557872,-57.21511033025426,11.820097091094084,8.993992189676582,10.877563616351583,-0.0025647856655912583,-7.041447053968354,-0.6218847656007158,-17.48088607402268
betaF0,30.722112979757796,22.015283463395512,1391.4843500645027,390.6613171892154,-857.8236331566059,-597.8539969534519,59.3168308907603,-123.57170468705456,230.29609869197137,-59.93908800679449,-2.746208374502196,-0.8580355018191606,0.1873887687270091,3.53844250987145,-5.1967991220417,-2.9976964389016016,-8.234204224560134,-10.874218797473532,-24.58532337420115,-0.0004788993586997397,-13.647977398076431,-30.782245956920274,8.385388656973443e-05,0.002160014950947125,0.20233300210028113,0.35444865125982716,2.9147469870911555,0.08386956991859804,-7.356929933986559,4.263576969274966,6.0193921925430205,13.642031063127662,-3.90921073854744e-05,-0.20967517149125559,-2.5665201320270277,-3.6973492523215845
qEG,1966.6666487834275,-1974.8908801277266,-3601.4625150649595,-857.8236331566059,6989.542801053115,2243.7777514228746,-423.35957764593957,-1183.4538107633862,-511.86499519117956,-1787.0206598743714,-85.98907000941958,52.29956708050373,2.876081672999216,40.491619784306145,-37.531325818314436,42.970165993744146,119.56200264917038,132.37025414786643,325.55897455250044,-0.019743684931084894,-150.464004967393,206.27175483171112,-0.000816887027186248,0.0713501004383625,77.57647627163061,36.00587769320028,93.17038157972519,61.96595832501026,130.41610880825857,11.782358193812456,63.21116025373516,13.26720675455982,0.017216179061659908,44.78230795385254,34.245579357565994,1.503563408560342
qEF,2129.233205712896,-2076.5941793349384,-1807.705400420116,-597.8539969534519,2243.7777514228746,4329.814627279813,-1261.8339869771635,-1590.2748158658148,-158.2085940313574,-133.23266783108795,-6.452400511572862,31.47997892201212,1.2706134749133375,17.94130156788159,-15.684659397190098,-12.265180814294274,85.20204963095779,56.672330434104126,59.91869631311495,0.15179018046119175,149.92574117349304,137.6236037212754,-0.0005671537600036576,0.06335674795253403,69.37368743144857,28.488340194782317,76.64750817531402,71.3837848867466,118.48603333593167,12.803336827067454,56.26545575169047,84.76483126936247,0.01544213990649299,40.19913772776133,15.593738234922517,-0.7148038897532193
iG,-750.8014853931583,715.598519016147,112.59733523290538,59.3168308907603,-423.35957764593957,-1261.8339869771635,422.9297461185331,576.4351893699827,-20.497796126505154,19.170334418955065,0.9431106316249541,-15.348839685199367,-0.8822108660829479,-13.02338315793532,13.076529683523646,-0.901598267842854,-33.52823200219915,-24.42642889518439,-42.26260765651935,-0.03297338454714345,-12.241556850003457,-44.0349289576844,0.00020101963277554348,-0.025093410461127823,-26.00960373917503,-12.470268227375216,-33.42545065798634,-28.036829051371935,-42.92933890199499,-6.512516535091109,-24.93981557287632,-37.72415272374448,-0.005722292786209044,-14.820569067512404,-4.414184382795911,2.013756738302364
iE,-1855.620078018015,1696.5057068613642,-284.99439178140375,-123.57170468705456,-1183.4538107633862,-1590.2748158658148,576.4351893699827,1547.2988653181671,-187.26715333306583,-319.7721176930822,-14.141766458706334,-11.931804392541387,-0.4715627780006259,-7.301276280708472,7.425276048154693,15.172692768846968,-37.63144284647995,-21.772187046178438,3.244996190342423,-0.11529584604209811,-90.19988133316113,-46.426834581771416,0.000243447578393237,-0.052377879821224806,-54.84951244164332,-17.8145255741492,-54.80431105848949,-37.122080447994485,-62.321889795533004,-18.001175646568228,-51.61143287433555,-44.34484518130827,-0.012125943270354772,-31.445601597264062,-13.662531006364814,3.118842395510382
Kd0,-16.98399206972147,39.14367331045767,768.449703295258,230.29609869197137,-511.86499519117956,-158.2085940313574,-20.497796126505154,-187.26715333306583,301.58237891141624,-12.033966688683659,-0.5848009257740421,-0.22451678002467146,0.2160230042964408,4.181500803637576,-6.165607664914183,-14.393668882783706,-9.456073665008983,-20.987091238663915,-70.40455286466918,0.04373385821621614,-36.043540298086356,-77.77656871410825,0.0002514978896886693,-9.860198498425552e-28,-1.9721522630525306e-27,1.4791141972893903e-27,-4.9303806576313265e-28,-0.7459291352618825,-1.6067616888160714,2.9582283945787677e-27,-1.9721522630525306e-27,-1.021717685327948,-1.479114197289398e-27,1.479114197289398e-27,0.36735338316991184,0.05414692565118529
gammaG0,363.21124985122236,-307.35675148689546,-571.4136855956531,-59.93908800679449,-1787.0206598743714,-133.23266783108795,19.170334418955065,-319.7721176930822,-12.033966688683659,2947.731694766366,137.04510691950148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gammaF0,15.617357467704194,-13.28112083580031,-25.898467195275085,-2.746208374502196,-85.98907000941958,-6.452400511572862,0.9431106316249541,-14.141766458706334,-0.5848009257740421,137.04510691950148,6.43032135611193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS_N,12.394231528759015,-88.20062048906591,-10.787231226022499,-0.8580355018191606,52.29956708050373,31.47997892201212,-15.348839685199367,-11.931804392541387,-0.22451678002467146,0.0,0.0,86.04340881400415,7.370581751968607,109.10276269990322,-115.4847432080932,47.770138207546275,17.562573291168857,62.695087126432,223.19795210472697,-0.15392118833773358,-309.16119696551885,27.62081101078371,-0.00010392496079474479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS_stat,-1.1746263927942626,-5.172462016082618,0.09168300323550838,0.1873887687270091,2.876081672999216,1.2706134749133375,-0.8822108660829479,-0.4715627780006259,0.2160230042964408,0.0,0.0,7.370581751968607,0.9024687455290521,13.69440367554853,-15.367811017264412,4.827574812356027,1.0280045891231262,5.692368800945719,21.50816721437143,-0.016567070411747906,-31.373416159289093,1.7412415940309998,-6.119091387747066e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrO2,-23.301101745944283,-70.39358660232502,3.948569313689219,3.53844250987145,40.491619784306145,17.94130156788159,-13.02338315793532,-7.301276280708472,4.181500803637576,0.0,0.0,109.10276269990322,13.69440367554853,209.45425389774002,-237.4200025445574,69.65781692359467,14.591827867930057,81.31104676891579,308.9269585928658,-0.24058350737221343,-452.3397524977132,24.022926402066602,-8.453040298629655e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrDrain,36.04075022837338,62.5416335665569,-9.303143742505231,-5.1967991220417,-37.531325818314436,-15.684659397190098,13.076529683523646,7.425276048154693,-6.165607664914183,0.0,0.0,-115.4847432080932,-15.367811017264412,-237.4200025445574,273.05396396316513,-72.42639658373383,-13.750262547243274,-82.66508372228938,-318.0393831742061,0.2533931903696737,470.052753204474,-22.203736246125505,7.716459789801725e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
