,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrS_stat,kPyrO2,kPyrDrain,kAldPyr,kAldS_N,kAldS_stat,kAldO2,kAldRed,kAcAld,kAcStress,kAcAssim,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim,kCO2_release_h,CO2sat_scale
mu0,4138.943050224225,-3860.671603183253,146.49657024888114,111.98072504865344,1760.494432074534,1877.7945209612299,-677.7081165886976,-1622.5471525402709,-46.693037742424806,353.165394556163,15.721056786634295,11.196090456061807,-1.0107294673314964,-22.23192925191351,33.435227897732496,80.60858612208959,101.98109044315478,153.49575256608085,439.8067697062906,-0.2125478235559369,1111.6421786031058,847.3382759366307,-0.003252023109537057,0.12771807196220247,152.2900816259727,26.003663735585594,76.52258815626216,49.8765708862395,80.16970324142459,47.493866497503824,51.53110019171497,72.15676817671526,0.0312941239047068,82.06578400147423,14.479354011459193,-0.06417544156427268
qN,-3860.671603183253,3776.917972511491,48.76283466082842,-56.96118740098724,-1780.614151881684,-1832.108408188334,645.6096856626016,1486.8305160355594,67.39316876355798,-302.34075806808454,-13.499345029043326,-74.56428992632952,-4.841597886392751,-60.876502673577846,53.40097977736721,-152.9399799363914,-161.90086707631164,-270.46178742559727,-812.542749992634,0.4208672253251089,-557.936048476121,-887.7231496851122,0.0033104635837512397,-0.08303621968453788,-107.13848990021756,-16.139281974404636,-51.150395185925,-87.6900153945925,-154.71668958456408,-33.329252717445144,-42.58234885014524,-117.38199369828145,-0.022380240596105636,-59.04784897878484,-10.461378999676876,-1.046514541808519
betaG0,146.49657024888114,48.76283466082842,5049.266951242379,1339.9264855312974,-3166.8094142360487,-1356.4772977378418,0.7893451902870652,-473.11328141898343,629.356547186609,-582.8672716050299,-27.13096520778902,-8.314264648364494,0.3235918081254799,8.491204850348641,-14.162270951156433,-13.676188649405947,-43.381376758429965,-58.24255433897105,-112.60814646421964,0.0018130846775207127,-76.65271065734741,-145.90877839775092,0.00037347722737452377,-0.0004094138657158149,-10.800019767860965,-4.803762281914079,-9.45715824626543,-20.665550058917233,-56.29254965106904,17.154154554679938,10.269798149331423,3.3665152413411814,-0.002638970595920792,-7.359910443794496,-6.544983640772761,-15.57483724133194
betaF0,111.98072504865344,-56.96118740098724,1339.9264855312974,391.0644683663938,-723.2716092042607,-471.60623402197973,23.315216331262874,-208.5164650217563,195.08108609743178,-62.56145098192232,-2.9463840253777263,-0.12995435293206192,0.2983332794189617,5.409498941642746,-7.228871231353817,-1.1344208690140363,-9.19781223197333,-10.936627039924543,-15.928986139308664,-0.005543075245936148,-56.261923335869994,-44.97132752257439,0.0001155800108371159,0.003704562940043697,1.1039102176917308,0.06446126427687071,1.4892712663872005,0.5011743027896123,-6.038248866714371,7.15263487029604,5.398395279935774,12.896535442110988,8.68804843095128e-05,0.0856679786287941,-2.111934613579972,-4.935077389513024
qEG,1760.494432074534,-1780.614151881684,-3166.8094142360487,-723.2716092042607,6441.182988759225,1768.0540156313125,-308.7940269334778,-913.9074741891488,-367.97739218079266,-1837.8487696047407,-89.09858042919159,44.07023296524818,2.602586701532958,34.156687063896285,-31.235449103445568,33.44157456715492,106.04801911592318,132.8464912510622,273.2269464414898,-0.004250614080873405,-90.14259416286893,194.30212662613815,-0.0006684736149479401,0.0736758710778321,90.65206032432633,31.671434560589876,86.26991487242948,63.348244772510775,133.40541037543173,16.560573772273514,41.23933107719808,36.523901075459946,0.018696512101352897,49.14006349934368,30.934455012229204,9.44135856084567
qEF,1877.7945209612299,-1832.108408188334,-1356.4772977378418,-471.60623402197973,1768.0540156313125,3730.3038362499155,-1091.8632327377481,-1213.4404907492317,-107.18187108254789,-144.63029468355424,-7.047893342201061,26.973811533712656,1.0777505195007,14.206062943482415,-12.270682896927818,-23.161115927094084,78.8402975065191,54.29784355557202,-4.311158982406283,0.16993565756965026,228.33052143590282,125.69048256744354,-0.0004577091390351621,0.07307436765943798,90.11374119971775,26.300077573610732,72.92657400668723,76.87750990813387,125.82359702770493,20.932633100905218,37.90035238174361,114.89461111715922,0.01863261447835338,48.98829334079922,13.636628316578841,1.3390327769095676
iG,-677.7081165886976,645.6096856626016,0.7893451902870652,23.315216331262874,-308.7940269334778,-1091.8632327377481,365.9094293041889,471.0089728749564,-24.7296739616489,20.71080508258272,1.0269631844858291,-12.983703288180138,-0.8234110211513801,-11.705062370398094,11.857618199900248,1.5471222884234401,-28.72083071778622,-23.53938097471205,-25.16253901695135,-0.03403180334010086,-18.251555604542318,-33.34257915175422,0.0001397718253472216,-0.02709853312846304,-31.38711942297784,-10.812247378496053,-30.108434178875083,-28.696828329177222,-44.44535029923337,-9.885209801512786,-16.628189083270957,-46.02660527978273,-0.006394174939221979,-16.725127570813576,-3.7777558370089226,1.5268219312069267
iE,-1622.5471525402709,1486.8305160355594,-473.11328141898343,-208.5164650217563,-913.9074741891488,-1213.4404907492317,471.0089728749564,1287.3055303876288,-177.2759121072063,-299.07788864793076,-13.666588567323325,-8.616079665315587,-0.35717633393075937,-5.695431230933453,6.292750703155234,21.39767653585684,-28.105409209427133,-15.01755536213839,45.0216599819126,-0.12223402868605937,-80.84156402688943,-8.542134513951499,9.079632452047573e-05,-0.055691845745249775,-65.1723870972094,-13.232471807845553,-40.193712082941936,-37.5233195978434,-61.993737219807585,-25.724252378800298,-30.44178935192619,-57.404309924439765,-0.013351351197903568,-34.96257441192518,-10.539864696141889,1.1104928052364553
Kd0,-46.693037742424806,67.39316876355798,629.356547186609,195.08108609743178,-367.97739218079266,-107.18187108254789,-24.7296739616489,-177.2759121072063,239.98757784585013,-14.872873841291183,-0.7310899995942082,-0.0900238186542226,0.25011886721504767,5.011140870272845,-7.076067463881114,-14.889278250296972,-10.579216481888105,-23.49348528993535,-74.56976175151804,0.04511611621886287,-60.4386618005318,-93.24497077277783,0.00026449286076436,-2.9580595495276655e-27,0.0,6.770640622312922e-58,-1.4791141972893979e-27,-0.9494139614330618,-1.9863620096885857,1.972152263052512e-27,1.1210387714598576e-44,-1.5872335091140022,-4.9303806576313265e-28,-4.9303806576313265e-28,0.5048280441240205,0.3742653775738355
gammaG0,353.165394556163,-302.34075806808454,-582.8672716050299,-62.56145098192232,-1837.8487696047407,-144.63029468355424,20.71080508258272,-299.07788864793076,-14.872873841291183,2988.423478161342,141.41296393150822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gammaF0,15.721056786634295,-13.499345029043326,-27.13096520778902,-2.9463840253777263,-89.09858042919159,-7.047893342201061,1.0269631844858291,-13.666588567323325,-0.7310899995942082,141.41296393150822,6.7308343720923345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS_N,11.196090456061807,-74.56428992632952,-8.314264648364494,-0.12995435293206192,44.07023296524818,26.973811533712656,-12.983703288180138,-8.616079665315587,-0.0900238186542226,0.0,0.0,76.47868422542612,7.212789439627188,102.97641190488783,-108.28991198238937,44.457030336579884,15.718980229221083,58.54116597852155,210.90219478838335,-0.14402534202261372,-292.4795032077985,26.351887590397652,-8.488287835259792e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS_stat,-1.0107294673314964,-4.841597886392751,0.3235918081254799,0.2983332794189617,2.602586701532958,1.0777505195007,-0.8234110211513801,-0.35717633393075937,0.25011886721504767,0.0,0.0,7.212789439627188,0.9368585537306816,13.895167256541903,-15.389859165410062,4.928324926903757,1.0270210002443318,5.698111650789223,22.34051035251369,-0.016930900772086487,-32.52000497353121,1.875844760404454,-5.6406944093425626e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrO2,-22.23192925191351,-60.876502673577846,8.491204850348641,5.409498941642746,34.156687063896285,14.206062943482415,-11.705062370398094,-5.695431230933453,5.011140870272845,0.0,0.0,102.97641190488783,13.895167256541903,209.24967120563454,-235.0338371154807,68.30923836743229,13.67809856964873,77.40072680636396,307.2569033054187,-0.23713169116003965,-450.1437734387127,24.07735403408785,-7.234176607223483e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrDrain,33.435227897732496,53.40097977736721,-14.162270951156433,-7.228871231353817,-31.235449103445568,-12.270682896927818,11.857618199900248,6.292750703155234,-7.076067463881114,0.0,0.0,-108.28991198238937,-15.389859165410062,-235.0338371154807,267.74459542729124,-70.57682622577026,-12.85830007049231,-77.82706202463542,-314.3401036806927,0.24809712589348545,464.57272118833254,-22.212485415479236,6.594095150633001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldPyr,80.60858612208959,-152.9399799363914,-13.676188649405947,-1.1344208690140363,33.44157456715492,-23.161115927094084,1.5471222884234401,21.39767653585684,-14.889278250296972,0.0,0.0,44.457030336579884,4.928324926903757,68.30923836743229,-70.57682622577026,234.66443432129245,74.78854589302729,297.36849374501656,1097.793574856258,-0.774941346670498,-1542.7966975462325,124.71860320257105,-0.0003993876994927659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS_N,101.98109044315478,-161.90086707631164,-43.381376758429965,-9.19781223197333,106.04801911592318,78.8402975065191,-28.72083071778622,-28.105409209427133,-10.579216481888105,0.0,0.0,15.718980229221083,1.0270210002443318,13.67809856964873,-12.85830007049231,74.78854589302729,93.43056725972195,137.17598019394438,408.88258109489374,-0.19503292364190344,-452.3226123124807,112.76535846291489,-0.0004348240761556591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS_stat,153.49575256608085,-270.46178742559727,-58.24255433897105,-10.936627039924543,132.8464912510622,54.29784355557202,-23.53938097471205,-15.01755536213839,-23.49348528993535,0.0,0.0,58.54116597852155,5.698111650789223,77.40072680636396,-77.82706202463542,297.36849374501656,137.17598019394438,435.2133534373925,1470.6683296756964,-0.9056505209670834,-1953.2262193100232,234.5867010449433,-0.0007675867960388163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldO2,439.8067697062906,-812.542749992634,-112.60814646421964,-15.928986139308664,273.2269464414898,-4.311158982406283,-25.16253901695135,45.0216599819126,-74.56976175151804,0.0,0.0,210.90219478838335,22.34051035251369,307.2569033054187,-314.3401036806927,1097.793574856258,408.88258109489374,1470.6683296756964,5249.4573927031915,-3.5144079703528552,-7223.596275612841,686.8967628543376,-0.0022271122916150718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldRed,-0.2125478235559369,0.4208672253251089,0.0018130846775207127,-0.005543075245936148,-0.004250614080873405,0.16993565756965026,-0.03403180334010086,-0.12223402868605937,0.04511611621886287,0.0,0.0,-0.14402534202261372,-0.016930900772086487,-0.23713169116003965,0.24809712589348545,-0.774941346670498,-0.19503292364190344,-0.9056505209670834,-3.5144079703528552,0.0026682745462177047,5.083086511937914,-0.3141746956009698,9.863627776311206e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAld,1111.6421786031058,-557.936048476121,-76.65271065734741,-56.261923335869994,-90.14259416286893,228.33052143590282,-18.251555604542318,-80.84156402688943,-60.4386618005318,0.0,0.0,-292.4795032077985,-32.52000497353121,-450.1437734387127,464.57272118833254,-1542.7966975462325,-452.3226123124807,-1953.2262193100232,-7223.596275612841,5.083086511937914,13461.46003672217,727.8142851116845,-0.0029311262502776606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcStress,847.3382759366307,-887.7231496851122,-145.90877839775092,-44.97132752257439,194.30212662613815,125.69048256744354,-33.34257915175422,-8.542134513951499,-93.24497077277783,0.0,0.0,26.351887590397652,1.875844760404454,24.07735403408785,-22.212485415479236,124.71860320257105,112.76535846291489,234.5867010449433,686.8967628543376,-0.3141746956009698,727.8142851116845,912.4350895503231,-0.0029570393839437443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAssim,-0.003252023109537057,0.0033104635837512397,0.00037347722737452377,0.0001155800108371159,-0.0006684736149479401,-0.0004577091390351621,0.0001397718253472216,9.079632452047573e-05,0.00026449286076436,0.0,0.0,-8.488287835259792e-05,-5.6406944093425626e-06,-7.234176607223483e-05,6.594095150633001e-05,-0.0003993876994927659,-0.0004348240761556591,-0.0007675867960388163,-0.0022271122916150718,9.863627776311206e-07,-0.0029311262502776606,-0.0029570393839437443,1.3837109838894785e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
