,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrS_stat,kPyrO2,kPyrDrain,kAldPyr,kAldS_N,kAldS_stat,kAldO2,kAldRed,kAcAld,kAcStress,kAcAssim,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim,kCO2_release_h,CO2sat_scale
mu0,62948.04642710598,-46016.86991579602,4256.219950402227,1603.7608801681847,17902.261954413087,23422.548956568564,-8871.632951942687,-24301.739221522777,-370.5522115377015,3812.5749375855225,152.12298575450257,50.067420166307286,-15.613792937955788,-272.477085239599,605.8786122741269,1876.491250482767,919.683637558983,1751.7709327324055,6598.1153122340065,-7.7037887360961665,1479.9630585746224,5758.36236316696,-0.049638932944510425,3.605858815223698,2236.816594782533,526.2488546195043,1461.9525255129472,453.72733102479526,531.2884867378559,2445.5469194287443,491.5645300251301,320.05443550276283,0.8675273169357333,2158.4647572264275,164.54230384382922,-64.43257891659088
qN,-46016.86991579602,45641.75590776632,1213.1131445960073,-210.120612655701,-18345.154968153674,-21667.39486018479,7730.837543344222,19790.92840189349,571.4137892347195,-2713.062983247063,-110.54544288198976,-1990.0183323996357,-81.79416551419973,-1438.707055406318,1574.457711586828,-3542.0528172972927,-2147.929184996101,-3400.270604623185,-12955.011048987666,13.61163026776962,8780.700864678389,-6106.564895170694,0.05021384031928684,-1.372317096494965,-1129.323871512408,-265.4628055761591,-884.3458888556644,-1067.5025817944586,-1363.282061488678,-866.7731716139555,-366.1158916164196,-621.4407228971901,-0.47164442612598095,-1220.204543839108,-120.54455282503392,13.520062680537555
betaG0,4256.219950402227,1213.1131445960073,85858.32425168168,22502.008914942406,-67403.76012579964,-28389.17082787086,1894.0058342406048,-4094.126150990205,5600.328474376423,-4660.117272225614,-199.66231690519697,-334.31381637912904,-8.514380651110299,-154.3614736892824,119.75525869970406,-357.76133001710275,-475.23665195771196,-535.6137690698204,-1759.106858680108,0.8751368021965032,2353.965532863788,-416.4884304073063,0.0004989527257006205,1.6018998364286698,770.9623659934957,-198.76458522421407,-644.9485108338812,-298.391173987276,-498.66822729863213,3251.280424911641,179.18406188320213,181.79347603026918,0.24105014722343093,559.8115222258779,-72.92304437349158,-378.58710917694714
betaF0,1603.7608801681847,-210.120612655701,22502.008914942406,6251.03160704788,-17369.10891359144,-8183.808914172247,618.7196067000255,-1637.9299100202506,1653.5777519877447,-458.6771274588943,-19.8091221013552,-47.762176496086745,-0.50309035480048,-10.293091764175685,-4.4747017836766965,-93.21954562611977,-82.69460245157804,-124.29739212168137,-390.4469609744678,0.3114278623688338,421.10962906606204,-141.57374609340923,0.0003165545791846137,0.5130887604163563,255.87463493601862,-20.801423415937006,-86.55146713940107,-12.073873597208813,-66.29455875974216,990.5266301410795,89.39165086950433,148.5670894973947,0.07825538299139373,182.21814295029594,-50.29075155843761,-65.95590547762494
qEG,17902.261954413087,-18345.154968153674,-67403.76012579964,-17369.10891359144,96325.0647107209,32294.313621612106,-4920.101477902679,-11431.633397184607,-4001.1381991759927,-16258.082177002354,-768.281118819154,1048.8349145541022,37.567179934397345,669.1546324470091,-729.3520710210389,621.2126747927273,1432.1932842039766,1101.1638773347509,3821.2533269260125,-0.5591623399316715,-3786.6547887994075,1451.2496117497838,-0.011450832904861024,-0.7492554635239083,-290.5959842147935,601.0986067525959,1603.071419510445,767.24000934625,1101.5317237222948,-2841.193435445278,159.5361147559293,-65.86473223505153,-0.11162057182160719,-257.115087845999,382.4283952013185,84.41853216148021
qEF,23422.548956568564,-21667.39486018479,-28389.17082787086,-8183.808914172247,32294.313621612106,44534.817896326815,-12627.198701519923,-17557.030980337568,-1171.4263824698246,-1104.8358609791221,-53.19096635692525,622.290743391268,19.183994436807907,351.0068688826731,-368.15971620872114,31.74868168618596,933.9718614392813,521.3072614681078,1517.094974542019,1.6381954330004076,-962.6669858427593,897.9015378174605,-0.007143606151324387,0.4251306998541429,341.34196774285687,459.89047522921106,1310.3638731070987,718.2866164238401,912.3468480227815,-298.02942188126826,310.7361599919226,489.7773283836746,0.08039950684533449,196.28774463977788,153.07960281230208,12.37867227388748
iG,-8871.632951942687,7730.837543344222,1894.0058342406048,618.7196067000255,-4920.101477902679,-12627.198701519923,4370.623797687071,6673.744358254753,-133.3260890708121,143.19540333013617,6.9226550986418385,-296.78811415874463,-10.716228588177671,-192.98737320870913,220.93693476162883,-52.768940743369484,-401.5308249628929,-204.7295922897836,-700.477144319865,-0.422858626342399,531.249891193545,-353.64294299932743,0.0032808933952857035,-0.33877950119218336,-206.35550012112202,-190.6282478927266,-486.3938759501428,-295.049273391836,-340.14761534158356,-232.83739899135654,-159.25139346275867,-251.21438140733898,-0.05419937985088532,-127.76374792116225,-38.046554159114486,28.880562432862256
iE,-24301.739221522777,19790.92840189349,-4094.126150990205,-1637.9299100202506,-11431.633397184607,-17557.030980337568,6673.744358254753,18821.630254963908,-1239.378501165112,-2988.542254074238,-122.78390303878336,-321.62493517604776,-9.060986145996852,-172.81924840093833,181.27419972512732,153.1425841050205,-566.0029027881939,-203.58870234605507,-586.9603970936062,-2.069424644337807,-166.02790372591784,-621.5364343172757,0.006619441258150426,-0.9641453500540922,-564.5783111069277,-324.8152188577654,-932.517057397432,-435.9898827773951,-549.175480238604,-755.3632203607131,-341.2475010802679,-286.3603701294156,-0.16334791171063798,-388.0107165918364,-145.38060834293714,72.60680258351712
Kd0,-370.5522115377015,571.4137892347195,5600.328474376423,1653.5777519877447,-4001.1381991759927,-1171.4263824698246,-133.3260890708121,-1239.378501165112,2382.8778042092385,-77.97216804471965,-3.7267592735935597,-11.34480970274916,1.0145343461235743,18.89150179808162,-47.00213480392573,-202.51144952057115,-82.21247751793288,-191.75123109588077,-693.5594646074462,0.8829920727007243,201.89575682237708,-508.2069924307114,0.002884567434133984,-0.051694295204943855,-50.592359168634786,-0.5722582362768136,-2.9972665868243826,-6.506672695530514,-10.698092203399723,-25.742114238095255,-0.6285554448066534,-8.864092674954493,-0.03221437470294087,-86.0600091718038,3.06120115536567,1.148255322809823
gammaG0,3812.5749375855225,-2713.062983247063,-4660.117272225614,-458.6771274588943,-16258.082177002354,-1104.8358609791221,143.19540333013617,-2988.542254074238,-77.97216804471965,26106.39275080328,1174.8918414921336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
