,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrS_stat,kPyrO2,kPyrDrain,kAldPyr,kAldS_N,kAldS_stat,kAldO2,kAldRed,kAcAld,kAcStress,kAcAssim,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim,kCO2_release_h,CO2sat_scale
mu0,7240591.058919322,-18769172.370212205,52433.88337922739,66450.62244708922,67055.11971559461,100158.67081476407,-3780737.400630635,-9485560.398654334,-15256669.418425035,331257.15605505224,272011.045626195,-1417.7457429966878,-11499.655502652471,-16426.27411367663,2254674.3344672634,1013856.9072840281,-98.7115755076038,2938.7456418508423,6654.272385445352,-4518730.527655759,-1201834.0115311467,0.0,0.0,400205.78932748566,1008001.8665738808,126642.04268574728,316580.8011107868,3571431.059630765,9256312.455244234,156225.40087956446,3930.7312802465835,679.1683272406206,942560.7209495642,837791.4396976344,2953.329905677768,-1669.8506176155317
qN,-18769172.370212205,77879326.99166356,-29434.755637926584,-83615.89258051405,-315635.23675604333,-369944.9927395187,12502224.000163423,29157292.90588048,66554843.76902766,-870850.5188898486,-735394.9096410186,-53666.36547387727,-173656.445534146,-235141.02723677596,20266937.601718284,-11477160.090724984,-10598.53579993086,-70745.86469165077,-111388.71919554341,39875595.24808575,22196861.891201843,0.0,0.0,-666733.1972877083,-2169017.045619299,-323372.8027383369,-903507.8134822402,-34787899.05577365,-118107958.38627426,-216024.49114117233,-12175.901236192018,-3625.4657631058676,-2291339.684656804,-2115741.164777966,-7950.305214993943,2705.4957063562383
betaG0,52433.88337922739,-29434.755637926584,36551.19441540924,37698.544825719895,-32838.32404469737,-10113.559706037398,26963.4723038424,-197440.102561137,607990.4876405642,-17422.649468118263,-15450.477805374829,-136.55377726483306,-336.1717874466325,-455.53809680712834,31782.80588202353,-12777.832243920502,-46.91930130232615,-160.18734389969686,-193.40389723129763,28624.258786584196,42085.55740184826,0.0,0.0,13382.628683579225,30081.815599914782,-2795.788524470119,-9395.490844168231,-122870.29686312073,-533445.2996582472,13268.520510454942,142.56408620869607,43.41445023549368,19534.75095489719,16262.99846776776,-207.24499416093133,-124.34184832197151
betaF0,66450.62244708922,-83615.89258051405,37698.544825719895,39936.100341782774,-33367.32575083397,-11066.964564001395,38758.26056437274,-249531.94190534137,646993.7684297438,-6225.511832315527,-5502.2547625270245,-80.3390577272857,-184.25121293454126,-246.61777024270958,12939.74124966158,-13001.883752567384,-30.424298374099486,-130.66438432763772,-159.72700398172896,41032.424926002255,34410.48332212582,0.0,0.0,15400.261321867172,34557.782975806665,-1344.4572153003614,-5818.378236791877,-58989.04656171697,-366542.2066173468,15005.796175563573,240.7189494885958,66.59153999380715,22216.871347467997,18435.869611081147,-278.1329152798116,-138.34578723309826
qEG,67055.11971559461,-315635.23675604333,-32838.32404469737,-33367.32575083397,41231.16468623236,11281.438332035426,-92376.62146192466,-99585.58313599703,-490631.2896040018,-71441.86028210074,-70454.20593407525,404.9033857828208,1076.7321055731318,1482.5528419824143,-125817.9004691354,16532.859994793245,128.2105156207232,314.86562998714516,370.04455906101504,99.65887660894043,-81926.74660915158,0.0,0.0,-10505.8191354425,-26398.36576917362,6827.582781989625,18997.507823889242,344332.58074452967,1252359.6935049382,-12991.122197742556,-54.07141823507098,-22.104618722952058,-17110.91334562614,-14566.094021686886,528.81234346814,91.41808489481788
qEF,100158.67081476407,-369944.9927395187,-10113.559706037398,-11066.964564001395,11281.438332035426,10154.974254378893,-235760.15174101846,-260779.6084732946,-128646.08414088032,-4405.590773246146,-4408.373179276158,224.86591313035674,511.47153016795755,719.1780353960359,-57203.48391572515,-8123.518813014115,82.12532670239102,116.35521071187013,92.88112396457277,78868.95310577768,-23799.428991976583,0.0,0.0,403.01056901270675,-180.10968210683464,5517.518730014701,15054.116811297874,255280.0139165273,841454.3742638908,-1618.5377911458336,117.6008618243955,24.019880045620642,-328.52718829385964,-474.4677251557876,132.71417992776762,3.336053920376162
iG,-3780737.400630635,12502224.000163423,26963.4723038424,38758.26056437274,-92376.62146192466,-235760.15174101846,7386972.118098754,10076303.580713691,-880255.9157127801,48819.67397557123,48898.297849067,-9274.034629643302,-23924.203381585685,-33406.00998453541,2939868.4416745566,48407.98755686104,-2944.532142258578,-4650.781317854822,-4872.239713619865,-1768688.421794152,1141981.895933444,0.0,0.0,-126427.5951258922,-233189.16393865095,-177377.0073227515,-440334.56631655403,-8950859.666573998,-27353455.090645336,-62566.7434292424,-6026.452308684828,-1482.685188111436,-135496.39208646078,-103180.0824212786,-2460.6341428679507,1040.8587405742874
iE,-9485560.398654334,29157292.90588048,-197440.102561137,-249531.94190534137,-99585.58313599703,-260779.6084732946,10076303.580713691,26209215.778535422,-7338505.271244155,-877173.9471253243,-761288.3097089798,-8319.038042877903,-14298.138079758135,-20531.727818837364,1436643.2719953088,1336613.0773904044,-3480.3185481461414,-1512.288403142307,2503.7625306043683,-7933468.462206112,-235144.57435662218,0.0,0.0,-375033.65092253464,-742021.3275799627,-313375.810449876,-864083.1414138428,-12868465.341327252,-41500767.70281609,-187318.9261295435,-11355.849491409383,-2267.798833340801,-498788.1337629095,-403037.8257757086,-8618.501124521927,2673.349926434733
Kd0,-15256669.418425035,66554843.76902766,607990.4876405642,646993.7684297438,-490631.2896040018,-128646.08414088032,-880255.9157127801,-7338505.271244155,499914102.7756673,-278063.6871362696,-263079.32571772055,-2919.3336124460434,-191.6659360188009,10034.6051950878,-6074523.652074854,-12292272.593131967,-2766.027718895203,-58206.03768013832,-92563.71196350754,54511214.31138812,18724282.344944242,0.0,0.0,-784162.5353824538,-3482650.2700074376,-25055.296072623678,-103093.07019222657,-1051637.3933729918,-4191872.2173490766,-193718.0618791157,-1081.7862912717806,-202.27275109969685,-4647530.403589268,-4437291.794692472,4228.0826394076685,1326.58190954884
gammaG0,331257.15605505224,-870850.5188898486,-17422.649468118263,-6225.511832315527,-71441.86028210074,-4405.590773246146,48819.67397557123,-877173.9471253243,-278063.6871362696,1771791.439712396,1669119.6404195488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
