mode,start,success,nfev,data_wsse,n_data_residuals,n_parameters,active_bound_count,params_json,status,message,fit_selection_score,qgas_tau_h,qgas_threshold_fraction,kCO2_release_h,CO2sat_scale,O2_qmax_mg_gdw_h,O2_K_mg_l,O2_ana_K_mg_l,O2_ana_hill,O2_crabtree_floor,O2sat_scale,O2_kLa_h,O2_25171_fraction
instant,0,True,0,240.78837738068813,301,0,0,{},,,,,,,,,,,,,,,
old_lag_threshold,0,True,7,163.4476151670773,301,2,1,"{""qgas_tau_h"": 47.960053368763646, ""qgas_threshold_fraction"": 0.8999999999999074}",2.0,`ftol` termination condition is satisfied.,173.4476151670773,47.960053368763646,0.8999999999999074,,,,,,,,,,
old_lag_threshold,1,True,8,163.44869096887658,301,2,1,"{""qgas_tau_h"": 47.97183003575601, ""qgas_threshold_fraction"": 0.8999999999933059}",2.0,`ftol` termination condition is satisfied.,173.44869096887658,47.97183003575601,0.8999999999933059,,,,,,,,,,
solubility_fixed,0,True,6,254.58440191131723,301,1,0,"{""kCO2_release_h"": 1.2804272665214722, ""CO2sat_scale"": 1.0}",2.0,`ftol` termination condition is satisfied.,254.58440191131723,,,1.2804272665214722,1.0,,,,,,,,
solubility_fixed,1,True,2,734.8242700484791,301,1,0,"{""kCO2_release_h"": 16.06994570451988, ""CO2sat_scale"": 1.0}",3.0,`xtol` termination condition is satisfied.,734.8242700484791,,,16.06994570451988,1.0,,,,,,,,
solubility_scaled,0,True,10,241.48659916622415,301,2,0,"{""kCO2_release_h"": 0.2482212466616185, ""CO2sat_scale"": 0.4679850955083524}",2.0,`ftol` termination condition is satisfied.,241.48659916622415,,,0.2482212466616185,0.4679850955083524,,,,,,,,
solubility_scaled,1,True,2,774.0149850806945,301,2,0,"{""kCO2_release_h"": 18.96300852011412, ""CO2sat_scale"": 1.571068399497674}",3.0,`xtol` termination condition is satisfied.,774.0149850806945,,,18.96300852011412,1.571068399497674,,,,,,,,
solubility_o2_literature,0,True,21,232.3058713117975,301,2,0,"{""kCO2_release_h"": 0.17835568974142976, ""CO2sat_scale"": 0.5001926400178225, ""O2_qmax_mg_gdw_h"": 1.2, ""O2_K_mg_l"": 0.25, ""O2_ana_K_mg_l"": 0.75, ""O2_ana_hill"": 2.0, ""O2_crabtree_floor"": 0.08, ""O2sat_scale"": 1.0, ""O2_kLa_h"": 0.0, ""O2_25171_fraction"": 0.05}",2.0,`ftol` termination condition is satisfied.,232.3058713117975,,,0.17835568974142976,0.5001926400178225,1.2,0.25,0.75,2.0,0.08,1.0,0.0,0.05
solubility_o2_literature,1,True,34,257.7750509402642,301,2,0,"{""kCO2_release_h"": 0.031026336533740432, ""CO2sat_scale"": 0.6618433467419407, ""O2_qmax_mg_gdw_h"": 1.2, ""O2_K_mg_l"": 0.25, ""O2_ana_K_mg_l"": 0.75, ""O2_ana_hill"": 2.0, ""O2_crabtree_floor"": 0.08, ""O2sat_scale"": 1.0, ""O2_kLa_h"": 0.0, ""O2_25171_fraction"": 0.05}",2.0,`ftol` termination condition is satisfied.,257.7750509402642,,,0.031026336533740432,0.6618433467419407,1.2,0.25,0.75,2.0,0.08,1.0,0.0,0.05
solubility_o2_slow_transition,0,True,16,124.65342654331737,301,2,0,"{""kCO2_release_h"": 0.2669276959271604, ""CO2sat_scale"": 0.4066343341502766, ""O2_qmax_mg_gdw_h"": 0.15, ""O2_K_mg_l"": 0.25, ""O2_ana_K_mg_l"": 0.75, ""O2_ana_hill"": 2.0, ""O2_crabtree_floor"": 0.08, ""O2sat_scale"": 1.0, ""O2_kLa_h"": 0.0, ""O2_25171_fraction"": 0.05}",2.0,`ftol` termination condition is satisfied.,124.65342654331737,,,0.2669276959271604,0.4066343341502766,0.15,0.25,0.75,2.0,0.08,1.0,0.0,0.05
solubility_o2_slow_transition,1,True,2,511.4774299774546,301,2,0,"{""kCO2_release_h"": 7.150459344417563, ""CO2sat_scale"": 1.3844334875015765, ""O2_qmax_mg_gdw_h"": 0.15, ""O2_K_mg_l"": 0.25, ""O2_ana_K_mg_l"": 0.75, ""O2_ana_hill"": 2.0, ""O2_crabtree_floor"": 0.08, ""O2sat_scale"": 1.0, ""O2_kLa_h"": 0.0, ""O2_25171_fraction"": 0.05}",3.0,`xtol` termination condition is satisfied.,511.4774299774546,,,7.150459344417563,1.3844334875015765,0.15,0.25,0.75,2.0,0.08,1.0,0.0,0.05
solubility_o2_qfit,0,True,21,124.65354987721601,301,3,1,"{""kCO2_release_h"": 0.26702581875198395, ""CO2sat_scale"": 0.4066559138547713, ""O2_qmax_mg_gdw_h"": 0.15000000000000002, ""O2_K_mg_l"": 0.25, ""O2_ana_K_mg_l"": 0.75, ""O2_ana_hill"": 2.0, ""O2_crabtree_floor"": 0.08, ""O2sat_scale"": 1.0, ""O2_kLa_h"": 0.0, ""O2_25171_fraction"": 0.05}",2.0,`ftol` termination condition is satisfied.,134.653549877216,,,0.26702581875198395,0.4066559138547713,0.15000000000000002,0.25,0.75,2.0,0.08,1.0,0.0,0.05
