analysis,parameter,theta,std_log_approx,approx_95_multiplier,fim_diag,active_bound,classification
current,mu0,0.068971078458909,22360.679774997898,1.0576541811633429e+17,1e-09,False,weak_or_confounded
current,qN,0.0157715073519212,22360.679774997898,1.0576541811633429e+17,1e-09,False,weak_or_confounded
current,betaG0,1.1863356150322233,22360.679774997898,1.0576541811633429e+17,1e-09,False,weak_or_confounded
current,betaF0,0.3145095249972587,22360.679774997898,1.0576541811633429e+17,1e-09,False,weak_or_confounded
current,qEG,1.112513547222978,22360.679774997898,1.0576541811633429e+17,1e-09,False,weak_or_confounded
current,qEF,1.2780096374399066,22360.679774997898,1.0576541811633429e+17,1e-09,False,weak_or_confounded
current,iG,0.0139707730113223,22360.679774997898,1.0576541811633429e+17,1e-09,False,weak_or_confounded
current,iE,0.0156601222376879,22360.679774997898,1.0576541811633429e+17,1e-09,False,weak_or_confounded
current,Kd0,0.0006560949140746,22360.679774997898,1.0576541811633429e+17,1e-09,False,weak_or_confounded
current,gammaG0,0.0703098676476582,22360.679774997898,1.0576541811633429e+17,1e-09,False,weak_or_confounded
current,gammaF0,0.0033944444477093,22360.679774997898,1.0576541811633429e+17,1e-09,False,weak_or_confounded
current,kPyrS_N,1.1500821044465468,22360.679774997898,1.0576541811633429e+17,1e-09,False,weak_or_confounded
current,kPyrS_stat,0.0125647446184551,22360.679774997898,1.0576541811633429e+17,1e-09,False,weak_or_confounded
current,kPyrO2,0.1686228875540962,22360.679774997898,1.0576541811633429e+17,1e-09,False,weak_or_confounded
current,kPyrDrain,0.0023971002104149,22360.679774997898,1.0576541811633429e+17,1e-09,False,weak_or_confounded
current,kAldPyr,0.0072539497964354,22360.679774997898,1.0576541811633429e+17,1e-09,False,weak_or_confounded
current,kAldS_N,3.004250530097617,22360.679774997898,1.0576541811633429e+17,1e-09,False,weak_or_confounded
current,kAldS_stat,0.6748758627816174,22360.679774997898,1.0576541811633429e+17,1e-09,False,weak_or_confounded
current,kAldO2,1.9999632849369784,22360.679774997898,1.0576541811633429e+17,1e-09,True,weak_or_confounded
current,kAldRed,1.0358613504688556e-05,22360.679774997898,1.0576541811633429e+17,1e-09,False,weak_or_confounded
current,kAcAld,0.0166794269988027,22360.679774997898,1.0576541811633429e+17,1e-09,False,weak_or_confounded
current,kAcStress,0.0026158743573781,22360.679774997898,1.0576541811633429e+17,1e-09,False,weak_or_confounded
current,kAcAssim,1.0596409360967886e-06,22360.679774997898,1.0576541811633429e+17,1e-09,False,weak_or_confounded
current,k_EA_growth,0.00010009999999999993,22360.679774997898,1.0576541811633429e+17,1e-09,True,weak_or_confounded
current,k_EA_stationary,0.005946883620726701,22360.679774997898,1.0576541811633429e+17,1e-09,False,weak_or_confounded
current,k_IAA_growth,0.05351497140911779,22360.679774997898,1.0576541811633429e+17,1e-09,False,weak_or_confounded
current,k_IAA_stationary,0.0400843210113409,22360.679774997898,1.0576541811633429e+17,1e-09,False,weak_or_confounded
current,k_EO_growth,0.0008981576275308001,22360.679774997898,1.0576541811633429e+17,1e-09,False,weak_or_confounded
current,k_EO_stationary,0.00014981711584579997,22360.679774997898,1.0576541811633429e+17,1e-09,False,weak_or_confounded
current,alpha_EA_loss,0.2002,22360.679774997898,1.0576541811633429e+17,1e-09,True,weak_or_confounded
current,alpha_IAA_loss,0.660647516561701,22360.679774997898,1.0576541811633429e+17,1e-09,False,weak_or_confounded
current,alpha_EO_loss,1.4781928790448091,22360.679774997898,1.0576541811633429e+17,1e-09,False,weak_or_confounded
current,k_EA_XE,1.0563528006331214e-05,22360.679774997898,1.0576541811633429e+17,1e-09,False,weak_or_confounded
current,k_EA_XE_Nlim,0.0417863701049365,22360.679774997898,1.0576541811633429e+17,1e-09,False,weak_or_confounded
current,kCO2_release_h,0.2669276959271604,22360.679774997898,1.0576541811633429e+17,1e-09,False,weak_or_confounded
current,CO2sat_scale,0.4066343341502766,22360.679774997898,1.0576541811633429e+17,1e-09,False,weak_or_confounded
