,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrS_stat,kPyrO2,kPyrDrain,kAldPyr,kAldS_N,kAldS_stat,kAldO2,kAldRed,kAcAld,kAcStress,kAcAssim,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim
mu0,4376.2980396410785,-3873.7862323533864,943.9314448997796,221.8062705617294,976.1534075403652,1434.8082250285454,-620.5865805268133,-1906.3484522454705,238.96634057475137,312.1249153134732,11.868574676536829,32.79788159993886,-1.2502552593291067,-17.17426811669931,60.12224789468645,346.91357144416787,205.9002635476114,348.9432089429824,648.3276471796173,-1.216352651305242,59.713144001994635,1084.1641342684777,-0.013674691872819058,0.0839231223865191,27.28425115522191,45.561848342612834,40.81000335545441,30.244330231239164,26.63608398526448,27.821174634190555,29.397268965134995,-11.47349672088463,0.03265010905948204,109.14781064629356
qN,-3873.7862323533864,4427.341532803756,-425.4968994470991,-118.27701806758719,-1264.5870570091063,-1523.5633995349385,633.5684186153991,1692.3563267348677,-167.86842648344765,-217.22395525999832,-8.383487271573012,-279.5665644025201,-12.16961490272329,-216.9324023009974,228.92409960009704,-593.8944871816009,-406.28602062853747,-610.8060014416842,-1145.357515432755,2.007417913849476,1443.7894369775797,-1198.0568932729998,0.014327136276359955,-0.023521024975766698,-9.590875158325165,-34.559314989089614,-34.73783206328308,-220.9582585601655,-175.61107644081437,-13.00050374016604,-27.70846885103398,-55.455119651697785,-0.01175997524634664,-40.665894983646716
betaG0,943.9314448997796,-425.4968994470991,6500.424722771439,1625.4781620491667,-4453.676137760948,-1881.7697447286546,71.24692505335489,-782.6975003914681,1556.0882805396345,-429.12879205776676,-17.881708362947187,-31.97823534893204,-0.5167144196967066,-10.706831025881376,-1.4428890607270102,-65.06281094141667,-73.18565584988124,-75.55686950216918,-146.78195578948666,0.17413184240796564,342.3379250215669,-101.0530799950052,0.0007353785142386672,0.03866320162958911,12.887880719085864,-18.338902650952353,-13.715692336195008,-34.48404270879412,-43.21682632554117,25.402342795099994,6.218744845578123,41.71405614540157,0.015793509709667954,53.355920918260985
betaF0,221.8062705617294,-118.27701806758719,1625.4781620491667,440.2884090643282,-1150.1897837788117,-548.0074609695097,30.84486310806004,-213.2495600925708,451.60029887253785,-38.68977902765009,-1.6202161860369444,-4.350059606939665,0.02381859089520741,0.13934226007826878,-4.139271591312776,-20.799932106403947,-13.306268680337421,-21.692037100298144,-40.365326790633176,0.06994265234692668,86.93116168038375,-30.190652131697824,0.00023814210914623434,0.012672780530342336,4.331982259963039,-0.8852678492919532,-0.1202025758749039,2.6876785667308924,-5.592387609673991,9.943826606258728,3.383465041172749,22.735115352709066,0.0053592656631659095,18.21100208119706
qEG,976.1534075403652,-1264.5870570091063,-4453.676137760948,-1150.1897837788117,7524.283596857945,2175.0119170213275,-356.132943527803,-730.8603768090111,-1211.2347420177014,-1996.8506045130428,-94.38104730932683,115.02549706612199,3.8608906853638785,71.9541452540944,-72.63948535077422,91.13758416621879,222.29946321115156,134.13452676711404,279.72735840668634,-0.08057586066462795,-343.0711198567778,328.4039582951707,-0.0036825021676523966,-0.024216821607366067,-9.244497149098079,87.54464379407395,70.04295390466044,120.09312795207157,113.14463421556579,-31.86069698482228,26.00701147091254,-47.70443111667901,-0.011839969530014675,-41.112169862471276
qEF,1434.8082250285454,-1523.5633995349385,-1881.7697447286546,-548.0074609695097,2175.0119170213275,3101.029456917331,-941.3627576836415,-1231.4580565565823,-334.1150559233329,-141.9840857303775,-6.765805000305759,52.24520495971596,1.2990334000086152,26.097232330713563,-25.2255484333313,-17.990576785879767,121.19537633200353,24.63146678240675,65.08890986078036,0.287026594923316,122.50043410325708,188.94936188543545,-0.0021629970236121893,0.004389817270358493,1.2332234143343705,49.2148968881221,40.10509281038294,90.25994406699006,72.60364839409232,-1.9698447306539413,17.400854080221706,7.247384401077143,0.0013665613866199158,4.352290873731944
iG,-620.5865805268133,633.5684186153991,71.24692505335489,30.84486310806004,-356.132943527803,-941.3627576836415,366.3574316670132,536.250330794556,-32.85911525326735,18.751126254033355,0.8930343972850413,-30.279166719632986,-1.0496342930798073,-19.722340367437283,22.706281010688663,1.4871548949988274,-57.97365949040676,-13.733222482182047,-35.972839083738464,-0.0905995405075993,-19.711399998342387,-75.56693472551301,0.0009283821115128629,-0.005804200632001009,-1.7988059967773364,-26.369379894066594,-21.270381920783834,-46.76006043146367,-32.34113954239349,-1.5792400694792392,-10.037697952995295,-16.379111135966685,-0.0021360652413666957,-7.078217308143396
iE,-1906.3484522454705,1692.3563267348677,-782.6975003914681,-213.2495600925708,-730.8603768090111,-1231.4580565565823,536.250330794556,1627.5208785251996,-321.7974347112213,-279.84204688908306,-10.922161091330185,-32.99283867783441,-0.8914646276382578,-17.992561498935356,21.88155313670346,43.91598473280041,-84.00479856144861,6.653130302167824,-2.8509128011563547,-0.3493270975485405,-255.8363776966452,-140.02443869964415,0.0017702253597356146,-0.0173546169597394,-5.314003660283034,-38.86636105139214,-34.204074079769406,-61.336319626721895,-49.458968237865314,-4.214045526185408,-24.665356011494367,-4.7338990121521345,-0.006280522216402315,-20.74312345405784
Kd0,238.96634057475137,-167.86842648344765,1556.0882805396345,451.60029887253785,-1211.2347420177014,-334.1150559233329,-32.85911525326735,-321.7974347112213,655.4885711455947,-8.141348757611343,-0.3877070145890692,-3.615048219109866,0.13654230977039117,2.1369623807806715,-8.691790586893479,-45.358432120319016,-21.563137827013495,-42.70697723092742,-79.60066399001298,0.17262605810914347,71.8559571982094,-109.83076512404061,0.0010374422624954067,-0.0005363619736529908,-0.1941421133033311,-8.765121169122355e-28,1.753024233824471e-27,-0.7953675808584906,-0.6103934882709364,-0.5155476461019921,-3.506048467648942e-27,-0.636051229581708,-0.00024355601255352468,-0.8363541385192688
gammaG0,312.1249153134732,-217.22395525999832,-429.12879205776676,-38.68977902765009,-1996.8506045130428,-141.9840857303775,18.751126254033355,-279.84204688908306,-8.141348757611343,2914.9431727697192,130.39047720153337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
